,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,UI Designer,Cambridge,"£30,000 a year",Annesley Gandon,,today,"Salary: £24,229 - £28,106
Job Title: Service Designer (permanent, full-time position, Cambridge based)
Salary: £27,534 – 32,490
Line Manager: Sam Luckhurst
Deadline: Monday, 12 April
Candidate Notes: Candidates must supply link to portfolio in application to be considered for interview

Do you understand design as a high-value service? Interested in advancing the learning of others through innovative and engaging design?
We are expanding our pool of talented designers within the Global Service Design Team and have an opening for two new roles at associate and mid-level. This is an exciting opportunity to help shape the future design of the English Language Teaching (ELT) group.
As Service Designer, you will be involved in a wide range of projects across multiple channels working with teams in Cambridge and across the globe.
We encourage curiosity, exploration and self-development and truly believe inspired people create their best work. This is a great time to join our growing team of creatives and make a mark on projects from start to finish.
About the role:
Associate level graphic/digital designer
You will be excited by all things creative and looking to hone your design skills in this entry level design role. Working as part of a large design team you will have the opportunity to learn from those around you as well as share your passion and skills across a variety of projects.
Day-to-day you will be supporting the design team by creating high quality product, marketing and digital designs. You will be comfortable using the Adobe Creative suite, working from style guidelines and senior direction and ready to hit the ground running collaborating on anything from social media asset creation, animations and wireframes to storyboards, book designs and presentations.
Support the team to design engaging, original, functional and consistent solutions that align to, and enhance the products design identity
Design assets for various channels including social media, email, website, events, POS, brochures, leaflets including creating cross-platform, responsive user interfaces
Work existing product branding and apply Design across a variety of outputs both physical and digital
Create mixed media designs including animated social posts, video stings and AR filters
Update design guides and align designs across a range of media for consistent user experiences
Support the team by working on wireframes and UI solutions for websites, micro sites and other digital experiences
Support the wider team by being involved in workshops and testing
Contribute to the team's development by bringing new ideas and solutions to the table
Present design solutions to briefs that meet the objectives and align to the design strategy
Learn the importance of to balancing user needs and business requirements in design projects
Mid-level graphic/digital designer
Day-to-day you will be designing new and exciting learning experiences, marketing campaigns and product designs. You will also work on existing brands and products, following guidelines to deliver high quality design solutions.
You will be a key member of the team providing mentorship and guidance to associates in the team as well as encouraging innovation and experimentation by exploring and sharing new tools and methods with the department.
Design engaging, original, functional and consistent solutions that align to, and enhance the products design identity
Design assets for various channels including social media, email, website, events, POS, brochures, leaflets including creating cross-platform, responsive user interfaces
Refine and evolve branding and apply that design across a variety of outputs both print and digital
Design UI solutions for websites, micro sites and other digital experiences. Understand UX best practices and how that can be applied to deliver meaningful solutions
Support the wider team by being involved in interaction design and creating prototypes for user testing
Contribute to the team's development by bringing new ideas and solutions to the table
Present design solutions to briefs that meet the objectives and align to the design strategy
Liaise with stakeholders and comfortably act as the voice of the user
Understand how to balance user needs and business requirements in design projects
About you:
Do you enjoy solving problems with design and deliver original and well thought out solutions?
We are looking for talented designers specialising in print/digital design with an understanding of how design can be used to create meaningful customer experiences. You will be able to demonstrate knowledge of design thinking with a basic understanding and appreciation of UX
At Associate level, we are looking for:
Some experience designing for in-house or agency
Portfolio showcasing work and experience across graphic design including UI/digital design and mixed media like animation or video
Ability to follow brand guidelines and direction and work consistently across a range of print/digital outputs
Highly creative with the ability to work on projects from the initial concept stage to delivery
Excellent working knowledge of all key design tools, such as Adobe suite (Illustrator, InDesign, Photoshop, After effects, Premiere Pro, XD, and Sketch)
Awareness of UX and user research would be highly beneficial
Genuinely empathetic, happy to ask for help and give help to others
Excellent at organising your time and experience of successfully managing busy workloads
Able to articulate your design decisions to other designers and stakeholders
Highly collaborative team player with a positive, can-do attitude
If you are interested in the Mid-level role, we'd like to see:
Experience designing for in-house or agency
Broad experience across graphic design, from branding and print layouts to UI and digital design
Experience designing to brand guidelines and applying this across a range of print/digital outputs
Skills in animation and video editing
Highly creative with the ability to own projects from the initial concept stage to delivery
Expert working knowledge of all key design tools, such as Adobe suite (Illustrator, InDesign, Photoshop, After effects, Premiere Pro, XD, and Sketch) and the ability to learn new software when needed
Awareness of UX and user research would be highly beneficial
Genuinely empathetic, happy to ask for help and give help to others
Excellent at organising your time and experience of successfully managing busy workloads
Confident presenting your work to stakeholders and rationalising your design decision
Highly collaborative team player with a positive, can-do attitude
Amazing portfolio of work demonstrating skills in print and digital design as well as the process that you follow to get to the final result

Please ensure that you provide a link to your portfolio in your application.
Why Cambridge University Press?
We have over 2,500 talented employees across 50 international offices uniting all our publishing groups. We're one of the world's most respected publishers, driven by the purpose of unlocking people's potential with the best learning and research solutions. We work in global teams to tackle the big issues, raise education standards, and deliver innovative solutions to learners and researchers
Cambridge University Press is committed to being a diverse and inclusive place to work. We are part of the University of Cambridge, committed in its pursuit of academic excellence to equality of opportunity and to a pro-active and inclusive approach to equality. We are also a global organisation, serving customers and representing colleagues all over the world. Diversity, in all its various forms, is key to our success as an organisation.
Our benefits include group personal pension and free life assurance, an inclusive and flexible working environment comprising of 28 days holiday (plus bank holidays), on-site fitness facilities, and much more. Furthermore, our Cambridge office is just a ten minute walk from the train station.
The University of Cambridge will be bringing together its publishing and assessment operations to create a single organisation from 1 August 2021. Cambridge University Press and Cambridge Assessment publish and create world-leading content and examinations that are used across more than 170 countries.
The move is in response to a growing desire from learners, teachers and researchers to engage with Cambridge in a joined up digital way, and the demand for innovative products that combine expertise in learning and assessment. The new organisation will have the capabilities to provide world leading assessment, learning and academic research offerings globally, under the Cambridge brand and backed by first class teaching and research departments.
If you have any queries, please contact us on information@cambridge.org
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=10d772f612ec3ac8
1,Service Designer (Associate and Mid-level) (0384),Cambridge,"£24,229 - £32,490 a year",Cambridge University Press,4.0,today,"We are looking for a talented, ambitious UI Designer to join our growing team. We have a great pipeline of exciting new projects and we need someone with an exceptional eye for design to help lead our website designs.
The ideal candidate will have a thorough understanding of user-centred design principles and interaction design as well as a flair for creating website designs that stand out from the competition. As a rapidly growing business, we can offer a great working environment along with exceptional progression prospects.
The role involves
Working with our lead UX/UI designer to deliver first class website designs and user experiences
Participating in the full web design process from project scoping, discovery, wireframing and prototyping to final design.
Collaborating with our in-house developer team to ensure pixel-perfect design implementation
To be considered, the successful candidate will have:
Experience of working with WordPress sites
A good creative eye
Experience with Adobe XD, Sketch or Figma
An understanding of HTML and CSS
Experience of Responsive Web Design.
A portfolio of work demonstrating strong UI design
Good communication skills
This role will suit candidates with experience of web design in an agency environment.
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=478ac0586d463098
2,Consultant Industrial Designer,Cambridge,Not shown,Cambridge Design Partnership,,today,"10to8 is looking for a creative and experienced UX/UI and Graphic Designer with a passion for technology and software.
*
About 10to8
10to8 is leading appointment scheduling software trusted by over 100,000 businesses worldwide including small business owners, teachers, sales professionals, medical practices, and large enterprises such as Expedia, Mercedes-Benz, Yale University, etc.
Our highly skilled and growing team consists of passionate people; software engineering, sales, customer success, HR & admin, and marketing activities are all done in-house. We are a diverse team spread across the globe but mostly located in the United Kingdom. We are office-less and work remotely, but once safe, we are going to meet up regularly in Cambridge and London.
Meet our team here or search for #workingat10to8 on Instagram or LinkedIn to get to know the people you might be working with soon!
*
*
What will you be doing?
Simply put, you are going to help transform the look and feel of 10to8 - Software that is used by millions of people around the world.
You will be in charge of making the 10to8 software’s user interface just as powerful as its features are. You will lead our Engineers’ hands in improving the UX of the software while also transforming its visual design into something fresh and modern. And above all, user-friendly.
You will also be working with the Marketing and Sales teams to provide them with stunning designs including infographics, webinar presentations, sales decks, and more.
You will also be creating branding guidelines and design templates to enable the wider business to produce beautiful and consistent designs.
*
*
Who are we looking for?
Professional skills:
We are looking for an experienced graphic designer who has:
3+ years of experience in UI/UX and graphic design
Proven experience as a software UX Designer, UI Designer, or similar role
Track record of creating marketing and sales materials
Proficient in software products such as Adobe Creative Cloud and other applications (e.g. Balsamiq, UXPin, or similar)
Strong portfolio of design projects
Background in project management is a plus
Problem-solving aptitude, analytical mind with a passion for user testing
Excellent communication skills
Experience in creating branding guidelines and templates for less design-focused team members is a plus
Personality & Culture:
The 10to8 team is a close-tied one and we are hiring just as much for cultural fit as we do for professional skills. We are inclusive, helpful, and professional. We are looking for a new teammate who is…
Professional but friendly, approachable, and fun to work with
Hard-working and enthusiastic
Eager to learn and develop professionally, open for feedback
A team player and good communicator - you will be working with the whole business
Reliable, responsible, and a self-starter who can work independently
If you have worked remotely before, that’s a plus too (but not a must), as we are fully remote from interviews to onboarding to day-to-day work.
Others:
You will also need…
High-speed internet at home
The ability to work from home (home office setup) - we can help here
Right to work in the UK
*
*What will you get?
Apart from your salary (£32-38k p.a.).
Friendly and supportive working environment
Participation in 10to8 company option scheme
Unum insurance for income loss
Multiple laptop schemes (BYOD/Work laptop/Help to buy)
Home office grants to get your office set up
Flexible working
Membership of a hot-desking centre near you & other 10to8ers (post-COVID)
nest workplace pension scheme
Cycle to work scheme, wherever that is?!?!
*
*
How to apply?
Well, you are a designer, so we are expecting a stunning creative CV and ideally a sneak-peak into your portfolio or examples of your past work.
Send your CV to us and if you catch our attention, we’ll be in touch.
*
Job Types: Full-time, Permanent
Salary: £32,000.00-£38,000.00 per year
Benefits:
Bike to work scheme
Company events
Company pension
Flexible schedule
Private medical insurance
Work from home
Schedule:
Monday to Friday
Experience:
total work: 3 years (Required)
UX: 3 years (Required)
Work remotely:
Yes
COVID-19 precaution(s):
Remote interview process
Virtual meetings
Today
Report job",https://uk.indeed.com/viewjob?jk=20e00292832efcd4
3,UI/UX and Graphic Designer,Cambridge,"£32,000 - £38,000 a year",10to8 ltd,,today,"About The Role
You’ll take a leading design role on a broad range of projects in consumer, healthcare and industrial sectors. Working as a Consultant Industrial Designer, you will be responsible for developing user-centred design solutions across product, packaging, device and equipment.
Part of your role will be to contribute to proposals, leading projects and you will help support the development of our client relationships and design capabilities. You will have a keen interest in new technology and innovation and be able to generate graphical and presentation material of exceptional quality.
Here at Cambridge Design Partnership we are passionate about creating new products. Over our 25-year history our growth has been focused on building what we believe is a uniquely effective design and innovation capability.
Few companies outside the vertically integrated global market leaders can assemble innovation teams across consumer research, brand strategy, design, scientific research, engineering development and manufacturing. Our team achieves this and that is why we are trusted by some the world’s largest companies with their most important innovations.
About You

A creative thinker, concept generator, and communicator with excellent interpersonal skills and a track record of multidisciplinary team working
Previous consultancy experience is required and you will demonstrate an outstanding design portfolio containing evidence of in-market product from at least one of the following areas – consumer product, healthcare, structural packaging.
Graphically exceptional, including rapid communication of ideas (from outstanding hand sketching, and full Adobe CS as a minimum), to proven 3D CAD competency (preferably Solidworks and/or Alias). Keyshot, rendering and 3D animation software expertise would be an advantage.
Comfortable with hands-on modelling, general workshop model-making skills and conversant with the latest Rapid Prototyping technologies
2:1 or higher degree in industrial design, product or structural packaging design or a related discipline
Demonstrable industrial/product/packaging design experience in at least one of the following sectors: Consumer, Healthcare, FMCG, Structural Packaging.
Experience of Project Leadership and experience of participating in consumer and market research activities is required
About Us
We are an employee owned company with our staff at the centre of our strategy. Employee ownership allows us to maintain full control over the direction of our business and our creative culture.

We hire people with a genuine enthusiasm and curiosity for design, engineering and science so if you’re the type of person who fills their spare time designing and making things, then we’d love to know.

In return for your hard work and insightful ideas, you receive a competitive salary, discretionary bonus, 12% non-contributory pension, private healthcare and 25 days holiday
CambridgeDesign
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=becd94b34cc3837a
4,Interior Designer,Cambridge,"£21,000 - £24,000 a year",Katie Malik Interiors Ltd.,,2 days ago,"Company description
Katie Malik Interiors, established in 2014, is an award-winning Cambridge based interior design studio. We work globally, specialising in luxurious private residential, developments & hospitality interiors. Our expertise extends across all stages of design and construction, ensuring each project is finished to the highest quality. We collaborate with structural engineers, architects and lighting designers to take existing structures and transform them to suit new functions. Our focus is on transforming the look and feel of spaces through the use of colour, light, finishes, furniture and fixtures.
Job description
Your challenge:
You will be working alongside the creative director and the visualiser to assist with daily design and related tasks. You will be asked to help produce the design packages for client presentations, involving the use of indesign, photoshop and Vectorworks. You will be asked to maintain communication with suppliers, request samples, prices, product information, manage library samples, prepare presentation boxes, post presentation boxes or samples to the clients; you will be asked to attend client and suppliers meetings and presentations and prepare meetings notes. You will be asked to assist with site visits, project installations and procurement.
This is a very diverse role that encompasses: daily communication with the suppliers & clients, project installations, procurement and design.
Within six months, you'd achieve the following:
Have built confidence assisting with production of design packages for clients;
Have build confidence assisting with procurement and project installations;;
Identified and developed new suppliers partnerships;
Who are we looking for?
First and foremost you've got a real passion for redesigning spaces. You are used to (or highly motivated to) producing design schemes that meet or exceed clients’ expectations, on time & budget. You’re a real team player who would like to grow with the brand. You have a great attention to detail and have a strong bias towards results.
A bachelor’s degree in interior design, fashion, textiles (preferred but not essential);
Experience in the interior design industry (2 years minimum essential);
True passion for interiors and luxury items;
High empathy for clients;
High attention to detail and a task orientated mindset;
Ability to meet demanding deadlines;
Hunger for a fast-paced environment;
Confident using Vectorworks (essential); candidates with experience in AutoCAD or equivalent will be considered but must train in using Vectorworks;
Confident using Adobe Indesign & Photoshop (essential);
Experience of using Word, Excel or Numbers or EstiMAC (essential);
Confident using Sketch-up would be a massive plus;
Strong communication skills and a massive plus if you speak a second language, such as Polish, Italian, Portuguese, Mandarin Chinese;
Reference ID: Interior Design 01
Contract length: 6 months
Job Types: Full-time, Contract
Salary: £21,000.00-£24,000.00 per year
Additional pay:
Commission pay
Performance bonus
Benefits:
Casual dress
Flexible schedule
On-site parking
Work from home
Schedule:
Day shift
Monday to Friday
COVID-19 considerations:
All clients and subcontractors are required to wear face masks when meetings take place in person.
Experience:
Interior Design: 2 years (required)
Work remotely:
No
COVID-19 precaution(s):
Personal protective equipment provided or required
Virtual meetings
Sanitisation, disinfection or cleaning procedures in place
2 days ago
Report job",https://uk.indeed.com/viewjob?jk=ae73545a5973acce
5,User Experience Designer (Maternity Cover),Cambridge,Not shown,Healx,,3 days ago,"Start Date: ASAP
Salary: Competitive
Closing Date: 30/04/2021
About Healx
Healx is an AI-powered, patient-inspired tech company, accelerating the discovery and development of treatments for rare diseases. There are 7,000 known rare diseases that affect 400 million people across the globe but only 5% of those conditions have approved treatments. Our mission is to discover and develop novel treatments for rare disease patients at scale through a combination of AI technology, drug discovery expertise and patient insight. Our innovative approach aims to identify existing drugs that may be repurposed and combined to treat rare diseases, meaning treatments can be found more quickly, efficiently and cost-effectively than traditional drug discovery methods allow.
Founded in 2014 in Cambridge, UK, by Dr Tim Guilliams, a Biochemical Engineer and tech entrepreneur, and Dr David Brown, co-inventor of Viagra and former Global Head of Drug Discovery at Roche. In 2019, Healx raised $56 million in Series B funding. In 2019, the company was listed in Tech Nation's Future Fifty cohort and, in 2020, Healx won 5 prizes at the CogX Awards including Grand Jury Prize and Best AI Product and was listed in CB Insights Digital 150.
The role
We are looking for an experienced User Experience Designer to help us define and implement UX flows and best practices for our User Interfaces across the company.
You will be joining a cross-functional team which includes product managers, UX and engineers working towards the development of our internal tools. As a User Experience Designer you will work closely with internal users using research techniques to help us understand their needs and help us build usable tools.
Main duties and responsibilities
Interacting with our internal users through UX workshops and other user research activities to understand user needs and support the development process.
Undertaking user research for key projects to maximize the impact and effectiveness of the services provided by the team.
Designing wireframes and UI based on the research gathered.
Liaising with senior stakeholders to capture priorities and present UX recommendations.
Closely interacting with the engineering team members to ensure their relevant activities are in line with user requirements and expectations.
Essential:
Hands-on experience in user research methodologies, organising workshops, running user interviews and usability testing
Being flexible on quickly mastering different design tools. We use Figma for prototyping, Miro for running collaborative workshops, Zoom for remote user interviews
Experience working on data-driven platforms, ideally in biotech
Nice to have:
Experience in projects involving AI, Life Sciences, Drug Discovery or Pharma Domain
Developing UX methods and frameworks
Working at Healx
Healx works from a modern accessible office in the centre of Cambridge within easy reach of the train station. We offer a flexible, diverse and inclusive working environment that considers your individual needs and believes in maintaining a sustainable work-life balance. You will be welcomed by a team of colleagues with decades of accumulated experience in their areas of expertise, happy to help you develop your own skills in a highly collaborative environment and who are keen to provide guidance and support in your personal and career development plans.
Healx will provide you with support and guidance to help you do your best work and make an impact. We offer flexible working and believe in maintaining a sustainable work-life balance.
Please submit your CV and cover letter below. Applying by any other means may not be successful.
For more information about Healx and how we use your data please go to https://healx.io/privacy/
3 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=30809829af76b074
6,Digital Learning Content Developer/Designer,Stevenage,"£25,000 - £30,000 a year",AccessAble,,3 days ago,"Digital Learning Content Developer/Designer
3-month contract with possibility of extension
Home working
Full time, although flexible working / part time hours considered
£25,000 – 30,000 per annum
AccessAble is the largest provider of accessibility information across the UK. Since 2000, AccessAble has helped 100s of clients develop a more accessible and inclusive offer. Using decades of experience listening to 1000s of disabled people, we support organisations to improve their buildings, policies and services to welcome disabled people as customers and employees.
Building on previous success, AccessAble is currently redeveloping and relaunching its LMS and online courses. We are looking for an experienced, creative Digital Learning Content Developer/Designer to bring our new content to life.
You will join a small team who are passionate about making a difference and creating training content that educates and inspires.
It is crucial that you have extensive experience of Articulate 360 Storyline and delivering SCORM compliant content. You’ll need to be a creative thinker, details orientated with a focus on user experience. You will be someone who can stay focussed, deliver to deadlines and be able to work both as part of a team and autonomously.
If you are interested in this position, please apply with a CV and covering letter outlining why the position appeals to you and how you meet the criteria set out above.
Contract length: 3 months
Job Types: Full-time, Temporary
Salary: £25,000.00-£30,000.00 per year
Benefits:
Work from home
Schedule:
8 hour shift
Work remotely:
Yes
COVID-19 precaution(s):
Remote interview process
Virtual meetings
3 days ago
Report job",https://uk.indeed.com/viewjob?jk=158623900b002c96
7,Artworker,Cambridgeshire,Not shown,Carrot Pharma Recruitment,5.0,3 days ago,"Artworker – Healthcare Advertising Agency – Cambridgeshire - £Salary DOE + Extensive Benefits
Joining a highly successful and award-winning creative healthcare communications agency with a difference…you will be joining a close-knit and hard-working account handling team working for some of the world’s leading pharmaceutical clients.
The Company
This Artworker opportunity working for a leading creative healthcare communications agency is a fantastic opportunity to join a close-knit team working for some fantastic pharmaceutical clients. They are known for producing engaging, insightful, and hard-hitting campaigns that combine scientific rigor with a creative twist.
An award-winning healthcare communications agency.
An impressive mix of notable UK and global clients.
Modern offices in a picturesque location with numerous amenities nearby.
On top of a competitive salary, this agency offers a fantastic benefits package including; private healthcare, cycle facilities, and training and networking benefits of IPA and other organisations.
The Role
As an Artworker you will play a fundamental role between design and production. Working alongside the Design Team you will help realise creative ideas from concept through to production, resulting in a finished, high-quality product:
Working on a varied range of print and digital assets, you will be responsible for the production of artwork
Ensuring creative ideas are realised to a high quality whilst upholding their concept
Overseeing projects from initial layout through final artwork to proof checking and approval
Ensuring brand guidelines are followed across all brands
Liaising with printers and external suppliers
Ensuring project deadlines are met and delivered to exceed client expectations
You
To be successful for this Artworker opportunity you should have a solid level of experience (4-5 years) and strong creative design skills with a focus on both print and digital:
Educated to HND or Degree level in Design
Expert in Adobe CC suite – Indesign, Photoshop, and Illustrator
In-depth understanding of print techniques and production – print and digital
An eye for detail and a high degree of accuracy
Calm under pressure with the ability to work to strict deadlines and client demands
An excellent communicator who enjoys working within a close-knit team
What should you do next?
This Artworker job is a great role and won’t be around for long so don’t delay! If you would like more information or can be free for an informal chat please do not hesitate to get in touch.
Unless otherwise stated, if applying for a job within the European Union, you must ensure that you are already authorised to work there.
Carrot Pharma Recruitment Ltd acts as an Employment Business and an Employment Agency on behalf of our client in recruitment for this role.
3 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=03f695231e1da4e0
8,Remote Working Frontend Developer,Cambridge,"£65,000 a year",ECM Selection,,3 days ago,"Are you an engineer with a flair for intuitive frontend design? Are you skilled in using TypeScript and Angular to create clean, maintainable, reusable cross-browser code? Would you like the flexibility of remote working backed by the security offered by an established global leader in design simulation? If so, and you possess qualities such as a conscientious mentality and a commitment to innovate with high quality work, you may be the self-driven developer our client is seeking.
Working within a team of highly skilled developers, your work will allow the simulation of designs and prototypes for a variety of industries, having far reaching benefits. Creating clear, efficient and compelling web applications, you will be responsible for not only contributing to the design of the applications but their optimisation, scalability and technical reliability, as well as ensuring the user experience is considered throughout the development process. You will be at the forefront of melding disciplined intellect with strategic direction.
The working environment is geared towards innovation, respect, autonomy and fun. You will share a hunger to achieve and maintain high-standards in this industry-leading company with your colleagues and you will have the chance to shine as a creative individual as well as forge new skills.
You will need the following skills and attributes for this role:
Experience in developing commercial frontend web applications in Angular and TypeScript, HTML and CSS
A real aptitude for creating simple and reusable components for complex UIs, using your eye for design, visual aesthetics and attention to detail
Excellent communication skills and the ability to draft and visually communicate UI design
A degree in engineering or similar STEM related subject from a well-respected university
Occasional travel to offices in the UK will be necessary.
Full permission to live and work in the UK without time limit, restriction or sponsorship will also be required, as our client is unable to provide sponsorship.
Keywords: Angular, TypeScript, Frontend Development, Remote Working, Web Applications, UI, Engineering Simulation
Interested? Send your CV to ECM Selection; whilst we can only put forward the top few candidates, we do read every CV and try to respond to everyone. Or recommend a friend for £250, details at http://ecmselection.co.uk/tell-a-friend.
Please note: even if you don't have exactly the background indicated, do contact us now if this type of job is of interest - we may well have similar opportunities that you would be suited to. And of course, we always get your permission before submitting your CV to a company.
3 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=b3ff267bd5f5f21a
9,Learning Designer (Fixed Term),Cambridge,"£30,942 - £40,322 a year",University of Cambridge,4.2,4 days ago,"The University of Cambridge is recruiting to join a team providing learning design and educational technology guidance and expertise to all staff across the University involved in delivering pedagogically-robust online, blended and hybrid teaching as part of the University's strategy for delivery of a high-quality educational experience.
For this role, we are seeking an experienced Learning Designer to join the newly established Technology Enhanced Learning (TEL) team, which also consists of a Learning Designer & TEL Team Leader, two Educational Technologists and an Administrator.
The team will be based within Education Services, and will work closely with the Schools, Faculties and Departments to ensure that effort is targeted appropriately across all Faculties and Departments. The intention is to recruit team members with a range of backgrounds in arts/humanities and sciences to facilitate understanding of subject areas.
4 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=53439346077024e7
