,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Architectural Designer - Retail,"Chicago, IL",Not shown,NORR,3.6,today,"NORR is an employee-owned global architecture and engineering firm. Our multi-disciplinary team of 700 professionals is active in 14 market sectors across Canada, the US, UK and UAE. We believe the ultimate success of any project is driven by people. It involves a team of highly passionate and skilled designers working towards a unified goal, drawing on the integrated thinking of colleagues, partners and clients. Our collaborative approach results in design solutions and programs that are holistic and make our clients successful. With an 80-year history, we continue to build on our deep experience to advance design through technology, sustainable practices and the pursuit of excellence.
As an Architectural Designer - Technical you will apply and integrate technical detailing and material technologies to develop design solution into a concise set of construction documents. Using your ability to analyze and understand design intent you will produce efficient and effective technical design solutions. You will work with members of the design team to develop design solutions appropriate to the context, budget, and aesthetic requirements of architectural projects. You will use your knowledge of detailing, building materials, building codes, and construction technologies to collaborate with other professional disciplines and have opportunities to coordinate the design through all phases of the project.
Duties and Responsibilities
Develops technical designs and edits architectural drawings to ensure an exemplary solution is delivered that meets quality parameters, project timelines, and budgetary requirements.
Performs design activities such as programming, code research, material and building systems research, laying out program components, and calculation of program and building areas
Evaluates site conditions and performs site surveys
Reviews project products, services, and shop drawings
Processes permit response letters and coordinates revisions with engineers and consultants to obtain necessary documentation and permits
Coordinates with contractor, sub-consultants, or relevant building authorities to address and document issues with constructability or owner concerns


Required Skills
Experience in all phases of the project cycle is required
Architectural design software skills including Revit, AutoCAD and other architectural design software
Familiarity with MEP and Structural building systems and building codes is required
Have successfully completed related post-secondary education
Registered with a relevant professional architectural association is an asset


Required Experience
2-5 years of project work experience",https://www.indeed.com/viewjob?jk=386b6bb86a09b83d
1,Architectural Designer - Retail,"Chicago, IL",Not shown,NORR Group,,today,"Chicago, IL
Team: Retail
Commitment: Full-Time/Regular
NORR is an employee-owned global architecture and engineering firm. Our multi-disciplinary team of 700 professionals is active in 14 market sectors across Canada, the US, UK and UAE. We believe the ultimate success of any project is driven by people. It involves a team of highly passionate and skilled designers working towards a unified goal, drawing on the integrated thinking of colleagues, partners and clients. Our collaborative approach results in design solutions and programs that are holistic and make our clients successful. With an 80-year history, we continue to build on our deep experience to advance design through technology, sustainable practices and the pursuit of excellence.
As an Architectural Designer - Technical you will apply and integrate technical detailing and material technologies to develop design solution into a concise set of construction documents. Using your ability to analyze and understand design intent you will produce efficient and effective technical design solutions. You will work with members of the design team to develop design solutions appropriate to the context, budget, and aesthetic requirements of architectural projects. You will use your knowledge of detailing, building materials, building codes, and construction technologies to collaborate with other professional disciplines and have opportunities to coordinate the design through all phases of the project.
Duties and Responsibilities
Develops technical designs and edits architectural drawings to ensure an exemplary solution is delivered that meets quality parameters, project timelines, and budgetary requirements.
Performs design activities such as programming, code research, material and building systems research, laying out program components, and calculation of program and building areas
Evaluates site conditions and performs site surveys
Reviews project products, services, and shop drawings
Processes permit response letters and coordinates revisions with engineers and consultants to obtain necessary documentation and permits
Coordinates with contractor, sub-consultants, or relevant building authorities to address and document issues with constructability or owner concerns
Required Skills
Experience in all phases of the project cycle is required
Architectural design software skills including Revit, AutoCAD and other architectural design software
Familiarity with MEP and Structural building systems and building codes is required
Have successfully completed related post-secondary education
Registered with a relevant professional architectural association is an asset
Required Experience
2-5 years of project work experience",https://www.indeed.com/viewjob?jk=0a4ad3f0da1b0f5f
2,Graphic Designer,"Chicago, IL",Not shown,CST Academy,,today,"CST Academy is a private therapy practice serving the greater Chicago area. We serve families within a variety of settings including home, clinic, school, and within our therapeutic day school.
Therapy Materials Vault is the brainchild of therapists and designers within the company. Therapy Materials Vault provides therapy materials for therapists made by our very own graphic designers and therapists.
To better understand what we do, feel free to check out the website here: https://therapymaterialsvault.com/
We are actively seeking a Graphic Designer to join our team for an immersive experience alongside our senior graphic designer and multidisciplinary teams.
Responsibilities:
Work directly with the senior graphic designer and practice manager to complete a variety of projects
Design and execute concepts across digital and print mediums in a variety of channels
Communicate ideas in a clear and efficient way to maintain brand consistency
Execute projects effectively
Participate and contribute to brainstorming meetings
Provide visual design assistance to CST Academy and Therapy Materials Vault
Collaborate with a multidisciplinary team of therapists to create therapy materials
Support design team as needed
Qualifications:
Minimum level education: Bachelor’s Degree or equivalent with a focus in design or related field
Strong skills in Adobe Illustrator, Adobe InDesign, Typography, Layout, Image Making (still or motion), Storytelling, and Prototyping as demonstrated in a cohesive portfolio
Ability to think creatively about products and services, constantly exploring new and differentiated ways to design for users
Comfortable working in a collaborative cross-disciplinary team setting
Self-starter who is passionate about helping others through their craft and excited to learn and work with a team of designers
*Preferred Qualifications:
One to two years of professional work experience with a proven track record of communication skills, interpersonal effectiveness, and personal management skills is a plus
Basic knowledge of Adobe Photoshop, Adobe After Effects, and Adobe Premiere
Experience producing key design deliverables and activities such as brand collateral, digital activities, presentations, videos, data visualizations, illustrations, and packaging
*
Job Types: Full-time, Part-time
Benefits:
401(k)
401(k) matching
Health insurance
Schedule:
8 hour shift
Monday to Friday
Work Location:
One location
Company's website:
https://therapymaterialsvault.com/
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=6a543baf5947005c
3,Senior Content Designer,"Chicago, IL",Not shown,PayPal,3.9,today,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 375 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: You’re the ideal candidate if you’re an excellent writer who is also a design thinker and customer champion. You love using words to tell stories, to solve problems, and to make the world a better place. You’re just as happy brainstorming big-picture strategy as you are crafting compelling headlines and helpful error messages. You’re excited to work in a fast-paced, high-tech environment that requires independent self-direction as well as collaboration and open communication.
Job Description:
What you’ll do at PayPal:
Plan and write content for web and mobile experiences (across all touch points including navigation and user interface copy, emails, in-app notifications, chatbots, and help).
Transform global product requirements into a strategy for how you will use content to meet business goals and solve real customer problems.
Present your work and articulate your approach to teammates, product owners, and other stakeholders.
Collaborate with Design on page layout, interactions, and visual tone.
Coordinate content with Brand, Marketing and Operations teams to ensure we create a consistent end-to-end experience.
Use data and research to evaluate your content’s impact, and push for continuous improvement that shows real results.
Maintain and evolve PayPal’s content standards, including voice and tone.
Learn a lot, make an impact, have fun.
The skills you need:
Candidates with 4 to 8+ years professional writing experience for web or mobile content are welcome to apply – we’re hiring at all levels.
Excellent, highly creative writing and critical-thinking skills.
Experience working with content standards, such as style and voice and tone guidelines.
At ease managing multiple projects, setting stakeholder expectations, working individually and collaborating across teams.
Experience in financial services, payments, B2B or B2C e-commerce is preferred.
Bachelor’s Degree or equivalent in English, Journalism, Communications, Marketing, Design, Information Science or related field.
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities.",https://www.indeed.com/viewjob?jk=7f538ff7a1ccfc46
4,Graphic Designer / Production Specialist,"Chicago, IL",Not shown,FASTSIGNS #601,,today,"JOB DESCRIPTION
Are you highly motivated, detail oriented, and creative? Are you up for a challenge, eager to learn, and looking to join an established and fast-growing company? If so, we’re looking for talented and inspired candidates who are focused on teamwork, task completion, and customer satisfaction. If you are looking for a rewarding career, not just another job, then come join our team as a Graphic Designer / Production Specialist!

As a Graphic Designer / Production Specialist, you will have a dual role working in the computer room and production room until the center has grown to the point of hiring additional staff and separating the roles.

In the computer room, you will be responsible for creating computer generated vinyl and/or full color graphics output that can be weeded, cut, and applied or printed and mounted to a substrate. In the production room, you will be responsible for all aspects of the physical construction and assembling of signs from computer cut vinyl and wide format full color printouts, which includes proofreading and conducting quality assurance to ensure the accuracy of signs. The ideal candidate is a creative, self-motivated team player who can work in a fast-paced, deadline driven environment and who is determined to make every project his or her absolute best.
RESPONSIBILITIES
Prioritizes each day to efficiently and cost-effectively schedule the workflow
Works with co-workers and customers with file transfers, FTP access, photo library options, online proofs, etc.
Inspects jobs for accuracy before sending them to the plotter or printer
Provides proofs as necessary
Performs daily/weekly computer back-ups
Maintains all equipment including computers, plotters, and printers (water-soluble printers, thermal transfer printers, solvent ink printers, etc.)
Maintains accurate electronic and paper record of File Storage and Disks
Follows a layout to place computer-generated vinyl or full color graphic images on a pre-determined substrate or medium
Performs finishing operations such as laminating, encapsulating, and/or mounting of printed pieces
Installs signs when necessary
Works on different projects simultaneously
Establishes and maintains effective team relationships with all support departments
Follows all company policies, procedures, and business ethics codes
QUALIFICATIONS
High school diploma or GED required; advanced education degree preferred
Strong PC and Mac skills and internet, publishing software, and sign production software skills
Previous experience as a graphic designer, sign-related computer operator, or in desktop publishing required, including an advanced level of experience using Adobe applications
Strong verbal and written communication skills
Basic math skills (adding, subtracting, multiplying, and dividing whole numbers and fractions and converting fractions to decimals and vice versa)
Able to work well under pressure to output high volume, high quality work
Able to sit and view a computer screen for long periods
Able to lift 50 or more pounds
Must have the flexibility to lean over a waist-high table and use back forth hand motions to apply vinyl letters and graphics to a substrate
Able to use light power equipment
BENEFITS
None

Posted
March 29, 2021




Employment Type
Full-time




Compensation
Depends upon Skills and Experience




Company
FASTSIGNS




Location
1101 W Belmont
Chicago, IL 60657
US",https://www.indeed.com/viewjob?jk=1df1a60b7179d165
5,PROJECT ARCHITECT | DESIGNER - moss Design,"Chicago, IL",Not shown,AIA Chicago,4.0,today,"We seek a highly-motivated Project Architect | Designer with 5-8 years of experience in residential (detailing interiors/exteriors), commercial and mixed-use projects to join our growing studio. The candidate should have experience in all facets of project design: programming, schematic design, coordination with clients and consultants, CD’s, permitting, bidding/pricing, and CA. Bonus points for construction management experience since we build some of our own projects through our subsidiary, Moss Build.

In addition to strong design and technical expertise, our ideal candidate is a creative problem solver and someone who is self-motivated that will take ownership of projects and can integrate with our office environment. The ability to draw by hand, strong presentation, client engagement, communication, and organizational skills is essential. We work on a diverse range of projects best suited for someone with varied interests. Our innovative and independent spirit allows for design freedom and flexibility. We also supply endless amounts of sublime coffee!

Interested candidates should submit their resume, portfolio, and CD samples in PDF format or link to laura@moss-design.com. No phone calls, please.
REQUIREMENT FOR APPLICANTS
BS Architecture, B.Arch or M.Arch

Minimum of 5-8 years relevant experience in an architecture studio, including design, construction documents, and construction administration

Experience creating renderings and/or graphics for client presentations

Strong design creativity and technical proficiency

Ability to coordinate with consultants, owner’s representatives, contractors, and architectural team members

Manage projects through all phases from schematic design to construction administration

Ability to create conceptual, presentation, and technical drawings

Experience performing zoning and building code research

Proficiency with Revit, SketchUp or V-Ray, and Adobe Creative Suite

Freehand drawing skills

Strong leadership, organization, and excellent communication skills

Experience with construction and field experience a plus
SALARY
Commensurate with experience
CONTACT TO APPLY",https://www.indeed.com/viewjob?jk=3240724c3bf9949e
6,"Learning Experience Designer, Sales Enablement","Chicago, IL",Not shown,Zscaler,3.9,today,"Zscaler enables the world’s leading organizations to securely transform their networks and applications for a mobile and cloud first world. Its flagship services, Zscaler Internet Access and Zscaler Private Access, create fast, secure connections between users and applications, regardless of device, location, or network. Zscaler services are 100% cloud-delivered and offer the simplicity, enhanced security, and improved user experience that traditional appliances are unable to match. Used in more than 190 countries, Zscaler operates the world’s largest cloud security platform, protecting thousands of enterprises and government agencies from cyberattacks and data loss. The Zscaler platform operates at a carrier grade level– we process over 50 billion transactions a day in our cloud to protect our customers
The Sales Enablement Learning Experience Designer (LED) will apply expertise in instructional design and digital learning tools to develop innovative content, resources, and training that is relevant, actionable, and easily consumed by sales professionals. The LED's design process will include planning, developing and maintaining e-learning modules, building visual assets, creating multimedia learning experiences, and assessing learner retention. This individual will have a keen eye for learner experience, with an unyielding attention to detail and design quality, to create learning solutions that are high quality, engaging and interactive. The LED will work with a broad set of stakeholders, including SMEs, sales leaders, sales trainers, sales operations, and product marketing to launch and measure sales enablement programs.
Responsibilities:
Apply creativity and design principles to develop interactive content that engages the audience, increases retention, and drives sustained behavioral change
Be the voice of the learner, ensuring their needs are at the forefront of our content efforts and help our team iterate and improve according to learner needs
Identify and implement the most effective modalities and tools (in-person, on-demand, virtual, gamification, simulations, and blended learning) to support the sales team based on learning objectives, and considering time and geographical constraints
Create concise microlearning geared to engage learners and break down concepts into easy-to-digest blocks
Decide on the criteria used to judge learner's performance and develop necessary assessment tools
Support the configuration and administration of e-learning modules
Other duties as assigned
Required Qualifications:
Bachelor's degree with 2+ years of experience in sales enablement content development
Experience in building certifications or multi-step learning
Ability to translate concepts, summarize and communicate complex ideas, and clearly articulate business value with a good sense of how sales professionals think, operate, and absorb information
Demonstrated ability to translate business needs into high-impact learning objectives that enhance business performance
Experience with Articulate or other similar interactive tools, publishing and tracking learning objectives in an LMS
Ability to write effective copy, instructional text, and audio/video scripts
Advanced in Microsoft Office Suite (Word, Excel, PowerPoint, and Project)
Proficient in Adobe Creative Cloud or other design software
Highly innovative and analytical with exceptional problem-solving skills
Ability to manage multiple concurrent projects to ensure on-time delivery and quality
Adaptable and able to adjust to multiple demands, shifting priorities, ambiguity, and rapid change
Ability to initiate and build relationships with people in an open, friendly, and accepting manner
Resourceful with a notable ability to execute with little supervision
.
Learn more at zscaler.com or follow us on Twitter @zscaler. Additional information about Zscaler (NASDAQ : ZS ) is available at http://www.zscaler.com.

All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.

#LI-GJ1",https://www.indeed.com/viewjob?jk=a70a76d755c142a0
7,Senior UI Designer,"Chicago, IL",Not shown,Merkle,3.4,today,"Company Description:
Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specializes in the delivery of unique, personalized customer experiences across platforms and devices. For more than 30 years, Fortune 1000 companies and leading nonprofit organizations have partnered with Merkle to maximize the value of their customer portfolios. The agency's heritage in data, technology, and analytics forms the foundation for its unmatched skills in understanding consumer insights that drive people-based marketing strategies. Its combined strengths in performance media, customer experience, customer relationship management, loyalty, and enterprise marketing technology drive improved marketing results and competitive advantage. With 5,500 employees, Merkle is headquartered in Columbia, Maryland, with 24 additional offices in the US and 25 offices in Europe and APAC. In 2016, the agency joined the Dentsu Aegis Network.
We are champions for meaningful progress and we strive to be a force for good—for our people, for our clients, for the industry and for our society. We keep our people at the center, creating space for growth, understanding and learning so they can thrive. We embed diversity, in our mindset, in our solutions and in our teams to empower an inclusive, equitable and culturally fluent environment. Building this culture within our teams makes us better collaborators with each other and with our clients, driving better outcomes for all. Merkle is an agency of dentsu.
Job Description:
We are currently looking for a Senior UI designer. This Senior designer will work in collaboration with a small team of other designers, UX experts, strategists and our technical team to develop well thought out and smartly crafted user experiences.

Responsibilities:
Deliver beautifully simple and strategic experiences that users can relate to.
Present and defend ideas to internal teams and clients.
Effectively implement and define strategic initiatives and lend strategic voice to the success of these projects.
Collaborate with other designers, strategists, account executives, developers, and clients.
Inspire those around you by thinking beyond the obvious to create more effective and more beautiful experiences.
Qualifications:
3-5 years experience working on large scale web projects and apps.
Ability to think strategically on your own as well as in a group.
Ability to create strong brands and be a steward for already established brands.
Strong verbal presentation and written communication skills.
Ability to create thought-provoking, creative solutions that meet or exceed customer expectations.
Strong conflict resolution and negotiation skills.
Professional demeanor with a kind heart and passion for great work.
Superb organizational skills to coordinate complicated projects.
Exceptional team building and team management skills.
Ability to talk technical jargon with developer team, but no coding skills necessary.
Ability to build strong relationships and generate opportunities for repeat business.
Willingness to travel as needed.
Solid knowledge and application of Adobe Creative Cloud, Sketch, and Invision
Additional Information:
All your information will be kept confidential according to EEO guidelines.

More Information:
Our Culture: Merkle’s energy and personality lives through everything we say and do. Learn all about what defines our people and our vibe.
Students & Recent Graduates: Start your career at Merkle and get on the path to success.
Experienced Hires: Leverage your expertise, challenge the status quo and grow your career at Merkle.",https://www.indeed.com/viewjob?jk=4d115bba6b03454d
8,Interior Designer,"Chicago, IL",Not shown,"Brynn Olson Design Group, LLC.",,today,"INTERIOR DESIGNER
JOB DESCRIPTION
Brynn Olson Design Group is an award-winning, full-service interior design firm seeking an experienced design talent to join their dynamic team. As Interior Designer you are responsible for leading the success of large, high-end projects in the creative and project management alongside our Architectural Interior Designer and reporting to the Design Principal from start to finish. Must be highly motivated, well-organized, detail-oriented, a strong communicator, and a fun-loving team player. Ideal candidate will be capable of leading a project, managing task flows with team, and ready to jump in as a seamless part of the design “family.” In addition to creative responsibilities, we require a strong skill set from experience in new construction builds, gut renovations, close communication and management of vendors/contractors/builders/architects and the total completion of a turnkey project are a must. Expert proficiency in organization, leadership, AutoCAD, Microsoft Office (heavy use of Excel and Powerpoint) and Photoshop is required and knowledge of Studio Webware and Outlook is a plus.
Responsibilities
Reporting to Design Principal in managing and leading multiple large-scale turnkey design projects for high-end clientele
Managing and designing multiple projects alongside Architectural Interior Designer to push the creative and technical envelope for our clients
Leading team members to achieve project success including Design Assistant, Intern, etc
Commanding the creative direction of a project with an understanding of the firm's brand
Independently overseeing the execution of our four phases in a turnkey project from beginning to final installation with precision and organization
Sourcing and designing full room designs utilizing vast knowledge of trade sources for FFE; Knowledge in vintage and antiques a plus
Proficiency in budget planning and management in all things FFE
Experience in construction project management and a mastery in AutoCAD including space planning and elevations
Utilizing knowledge of construction finishes and materials for appropriate application
Experience in executing construction documents including finishes, electrical and lighting schedules
Project managing of ordered items from finishes/construction stage to furnishings phase
Directing the final turnkey installation including styling with accessories
Demonstrating strong, clear communication skills to BODG team members, vendors, contractors and architects
Maintaining a trusted relationship with all clients while delivering the highest form of customer service and satisfaction
Assisting with invoicing and project-based administration
Overseeing photoshoots and styling alongside Design Principal
Ability for occasional out of town travel
Key Qualifications + Skills
Bachelor’s Degree
Minimum of six (6) years experience in the Interior Designer role overseeing a team and independently running projects
Experience with large-scale and high profile clientele
Expert knowledge of AutoCAD, Photoshop, Microsoft Office (Powerpoint and Excel in particular)
Exceptional time management skills and ability to multi-task and prioritize work
Valid driver’s license, proof of insurance, and transportation
Acute attention to detail and problem solving skills in a fast pace environment
Excellent written and verbal communication skills
Leadership skill set essential
Proficiency in Outlook and Studio Webware preferred
Fun and friendly people person with paramount integrity eager to excel
Job Type
Full–time
Excellent Benefits
Application Requirements
Cover Letter
Resume
Portfolio of Work
Job Type: Full-time
Benefits:
Dental insurance
Employee discount
Health insurance
Paid time off
Professional development assistance
Referral program
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
AutoCAD: 6 years (Preferred)
Interior Design: 6 years (Preferred)
Work Location:
One location
Company's website:
www.brynnolson.com
Company's Facebook page:
https://www.facebook.com/BrynnOlsonDesignGroup/
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=64b3c26be80e16cc
9,"Senior Product Designer, Freight Forwarding Operations","Chicago, IL",Not shown,Flexport,3.7,today,"Senior Product Designer, Freight Forwarding Operations
Design the products that power global trade
The opportunity:
Flexport's mission is to make global trade easy for everyone. To achieve this goal, The Flexport User Experience (UX) team creates end-to-end experiences for our clients, partners, and operations teams. We are seeking a Senior Product Designer to create tools that simplify intricate workflows and direct users' attention to what matters. This individual enjoys complex design challenges and driving clarity from ambiguity. Senior Product Designers are key stakeholders in the product development lifecycle, from collaborating with cross-functional partners and formulating the product vision to ensuring high-quality implementation. To be successful, Senior Product Designers must be relentlessly curious, embrace change, communicate clearly, and consistently balance user and business needs. Join us as we lay the foundation of our vision for global trade.
As a Senior Designer on the Freight Forwarding Operations team you will drive the user experience across multiple tools. You'll craft features that enable users to prioritize, plan, and execute international shipments that travel via ocean and air. You will work on products that serve users around the world.
You will:
Collaborate with your cross-functional team to shape product design vision and strategy in your product area.
Create high quality designs while informing the design process.
Incorporate and recommend ways to extend Flexport's design system.
Conduct user research and gather insights.
Give and solicit feedback from other designers to continually raise our bar for quality.
Build prototypes to share and test concepts.
Present work in a range of fidelities.
Provide mentorship to more junior designers.
Inspire your team to push the boundaries of UX quality.
You should have:
5+ years professional hands-on design experience.
Strong portfolio of product design work illustrating multiple successfully launched products. Please include a link and password to your portfolio.
Ability to clearly articulate your work and rationale while advocating for UX.
Expert understanding and application of user-centered design methods.
Experience working with product teams in a dynamic, agile environment.
Demonstrated strategic thinking and vision.
A degree in HCI, UX, Interaction Design, or related field is preferred.
About Flexport:
We believe global trade can move the human race forward. That's why it's our mission to make global trade easier for everyone. We aim to do this by building the Operating System for Global trade - a strategic model combining advanced technology and data analytics, logistics infrastructure, and supply chain expertise. Flexport today connects almost 10,000 clients and suppliers across 109 countries, including established global brands like Georgia-Pacific as well as emerging innovators like Sonos. Started in 2013, we've raised over $1.3B in funding from SoftBank Vision Fund, Founders Fund, GV, First Round Capital and Y Combinator. We're excited about the three big ways we're moving forward after our recent $1B investment from SoftBank Vision Fund in February 2019.
Worried about not having any freight forwarding experience?
Don't be! We're building the first Operating System for Global Trade. That's why it's incredibly important for us to bring people from diverse backgrounds and experiences together with our industry veterans to help move the freight forwarding industry forward.
What's freight forwarding and why does it matter? Freight forwarding is the coordination and shipment of goods from one place to another and it's what makes global trade possible. Flexport is on a mission to make global trade easier for everyone because we believe it can help connect the world and break down economic barriers.
We know this industry is complex. That's why we invest in education starting day one with Flexport Academy, a one week intensive onboarding program designed specifically to set every new Flexport employee up for success.
At Flexport, our ability to fulfill our mission of making global trade easy for everyone relies on having a diverse, dedicated and engaged workforce. That is why Flexport is committed to creating and nurturing an environment where anyone can be their authentic self. All qualified applicants will receive consideration for employment regardless of race, color, religion, sex, national origin, age, physical and mental disability, health status, marital and family status, sexual orientation, gender identity and expression, military and veteran status, and any other characteristic protected by applicable law.",https://www.indeed.com/viewjob?jk=a768c7ce3b34e1ce
