,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Lead Audio Designer,Espoo,Not shown,Remedy Games,,1  päivä sitten,"Lead Audio Designer
Espoo, Southern Finland, Finland /
Design – Audio Design /
Permanent
Remedy Entertainment, the creator of Control®, Quantum Break®, Max Payne®, Alan Wake® and Death Rally® and one of the leading independent game studios in the world is looking for a Lead Audio Designer for a key role working on Remedy’s projects.

Join the team behind action-packed and story-driven gaming experiences that have acclaimed several best audio nominations in DICE, Develop and G.A.N.G. awards. As the Lead Audio Designer you you will be part of the project’s extended leadership team owning and driving all areas and aspects related to audio from vision to execution. You will be able to clearly communicate your vision to the team, and have a great skill leading a group of experts in the creation of exciting and memorable audio that will leave players wanting more.
Responsibilities
Define and implement the audio design vision in alignment with the project’s overall creative vision
Be part of the project’s leadership team and contribute ideas toward all aspects of the game’s production, development and creative vision
Own the audio design backlog and allocate tasks to the internal and XDev teams, including accurately assessing the time required to complete each task
Be accountable for a well-balanced, high-quality audio experience
Be responsible for the project’s audio design documentation and for troubleshooting design issues from a creative standpoint
Ensure that consistent communication is maintained in all directions to guarantee the quality of the game
Actively optimize and improve work methods and best practices to drive team efficiency
Requirements and qualifications
Demonstrable experience in game development and at least one shipped AAA title as a Lead Audio Designer
Ability to establish and direct the audio vision of a project and communicate this effectively within the team as well as to external partners.
An understanding of audio in both linear and non-linear environments
Proven track record on high quality audio design and implementation skills
Ability to direct and communicate with music composers
Experience on studio-based and outsourced sound effects production work
Excellent team leading and project management skills
Strong critical thinking and problem-solving skills
Excellent verbal and written communication skills (in English)
What is in it for you?
Above all, you get to work on awesome, unique video games that the global audience is interested in at a studio where your input is valued. We try our hardest to keep our team sizes and the work load sensible, so your contributions feel valuable
This position is based in Helsinki metropolitan area in Finland, where the quality of life is exceptional and cost of living is affordable. If you're not already in Finland, our relocation service is there every step of the way to take care of you. You can concentrate on work, while we’ll take care of everything else
You will be offered competitive compensation with a bonus system
We work hard, but at Remedy we believe in a great work life balance. Happy people work better. In Finland you get up to 5 weeks of paid vacation every year. This is on top of public holidays and other special occasions
To apply, please fill in the application form with your LinkedIn/CV, portfolio and other information relevant to the position.
The position will be filled as soon as a suitable applicant is found.
1 päivä sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=a952e255d0a4849c
1,Product Designer (Creative Product),Helsinki,Not shown,Smartly.io,,1  päivä sitten,"Product Designers at Smartly.io are at the forefront of our fast-paced Product Development process working as an inherent part of the whole product development cycle. Together with product managers we estimate next big area of improvement and planning the big picture for development teams; conducting discovery and research interviews with the biggest, most advanced and demanding advertizers. Within the design team we maintain and grow our own design system to sustain fast development cycle while keeping the quality of the output high.
At the moment we are building tools to solve ad creative production needs for the world's biggest brands by helping them to produce vast numbers of creatives across online advertising channels and formats and to understand what is resonating with their audience and why. This includes image and video editors, digital asset management, visual reports and team collaboration capabilities.
What we offer you...
A chance to hit the ground running. There's a wide variety of different challenges to be solved by the Design Team: from developing brand-spanking new features from scratch to harmonizing our UX patterns across the product.
You'll have a significant personal impact on the products we're building, as well as their impact on our customers and our business, because of our strong culture of ownership.
If you're interested in working closely with customers, you'll have an opportunity to work with some of the most advanced online marketers out there. Some of them use Smartly.io 8 hours a day, every day!
Relocation support, competitive salary and benefits.
Responsibilities...
Designing, building and iterating on complex user workflows.
Interacting directly with our customers to validate your proposed design solutions.
Collaborating with a cross-functional team of Developers, Product Managers and other Designers to continue building and scaling our design systems.
Delivering a great, end-to-end user experience for all customers, from tech-savvy power users to less advanced, small-scale operators.
How to succeed in this role...
You feel confident owning the design process end-to-end, from collecting product requirements internally and from end users, to prototyping, to delivering high-fidelity designs and working closely with engineers to bring your solutions to life
You're passionate about the entire product discovery process, conducting UX research and customer interviews, as well as working closely with Product Managers to define the future of the product.
Experience with SaaS, Enterprise software, Data Management / Visualization or Ad Tech is a plus.
During the interview process we are very eager to learn more about your skillset by taking a look at your previous projects. Please prepare yourself to present your work and design decisions for us if we move forward with you in the recruitment process.
Also, you can check what our CEO Kristo and Product Managers think about the importance of our UX.
Have a look at our design principles and how we're building a design process at Smartly.io.
Meet Smartly.io
Bringing brands and people together smartly. We are building a platform that combines media buying, creative, and data to automate every step of digital advertising.
We manage 2.5B€ in ad spend and serve more than 650 brands worldwide, including eBay, Uber and TechStyle. Our technology liberates marketers from manual work and allows them to focus on what matters.
As a fast-paced growth company, Smartly.io offers opportunities to maximize your learning and amplify your impact. With colleagues from 62 nationalities, you'll work in a collaborative and inclusive environment built on a culture of trust, transparency, and feedback. Join our global team of over 450 Smartlies in reshaping the future of marketing. Learn more at smartly.io/careers and smartly.io/our-leadership-and-culture.
Reasonable accommodation for people with disabilities
Smartly.io is committed to providing reasonable accommodations for qualified individuals with disabilities or special needs in our job application procedures and working environment. If you need assistance or have any questions please contact us at accommodations@smartly.io.
1 päivä sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=a5fa14e7aeba5c85
2,Product Designer (greenfield product),Helsinki,Not shown,Smartly.io,,1  päivä sitten,"Product Designers at Smartly.io are at the forefront of our fast-paced Product Development process working as an inherent part of the whole product development cycle. Together with product managers we estimate the next big area of improvement and planning the big picture for development teams; conducting discovery and research interviews with the biggest, most advanced and demanding advertisers. Together with developers digging into technical, contextual models of how media buying works across multiple platforms and distilling that into mental models that help customers do their job better. And with this in mind, you shape product experience to best fit our customers? needs.
Currently, we are about to start adding a new social media platform to Smartly.io product. Because we are starting a totally new greenfield project, you have the possibility to have a big impact on the next platform Smartly offers. A big part of our ways of working is cross-team collaboration to learn from existing products to build automation and efficient workflows for our customers to launch, optimize and scale their advertising campaigns.
If you are passionate about working with a new project that will expand our product to completely new customer segments, this could be just the role for you!
What we offer you:
Possibility to lead the design for the new greenfield product at Smartly.io
A chance to hit the ground running. There?s a wide variety of different challenges to be solved by the Design Team: from developing brand-spanking new features from scratch to harmonizing our UX patterns across the product.
If you?re interested in working closely with customers, you?ll have an opportunity to work with some of the most advanced online marketers out there. Some of them use Smartly.io 8 hours a day, every day!
Relocation support, competitive salary and benefits.
What will be your responsibilities:
Designing an easy to use new product, providing value to customers as early as possible
Building and iterating on an enjoyable UI/UX
Interacting directly with our customers to validate your proposed design solutions.
Collaborating with a cross-functional team of Developers, Product Managers and other Designers to continue building and scaling our design systems.
Delivering a great, end-to-end user experience for all customers, from tech-savvy power users to less advanced, small-scale operators.
What we are looking for:
You feel confident owning the design process end-to-end, from collecting product requirements internally and from end users, to prototyping, to delivering high-fidelity designs and working closely with engineers to bring your solutions to life
You?re passionate about the entire product discovery process, conducting UX research and customer interviews, as well as working closely with Product Managers to define the future of the product.
Experience with SaaS, Enterprise software, Data Management / Visualization or Ad Tech is a plus.
During the interview process we are very eager to learn more about your skillset by taking a look at your previous projects. Please prepare yourself to present your work and design decisions for us if we move forward with you in the recruitment process.
Also, you can check what our CEO Kristo and Product Managers think about the importance of our UX.
Have a look at our design principles and how we're building a design process at Smartly.io.
Meet Smartly.io
Bringing brands and people together smartly. We are building a platform that combines media buying, creative, and data to automate every step of digital advertising.
We manage 2.5B€ in ad spend and serve more than 650 brands worldwide, including eBay, Uber and TechStyle. Our technology liberates marketers from manual work and allows them to focus on what matters.
As a fast-paced growth company, Smartly.io offers opportunities to maximize your learning and amplify your impact. With colleagues from 62 nationalities, you'll work in a collaborative and inclusive environment built on a culture of trust, transparency, and feedback. Join our global team of over 450 Smartlies in reshaping the future of marketing. Learn more at smartly.io/careers and smartly.io/our-leadership-and-culture.
Reasonable accommodation for people with disabilities
Smartly.io is committed to providing reasonable accommodations for qualified individuals with disabilities or special needs in our job application procedures and working environment. If you need assistance or have any questions please contact us at accommodations@smartly.io.
1 päivä sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=7ac2a57ccc25dced
3,Digital Brand Designer,Helsinki,Not shown,Growth Tribe,,2  päivää sitten,"Join us as Digital Brand Designer to support creative initiatives spanning graphic design, art direction, brand and product identity, performance marketing, and campaign development!
As our Digital Brand Designer, you'll partner cross-functionally with our Marketing team to develop remarkable marketing and communication campaigns, elevate our storytelling, and bring our brand to life across all touchpoints. You'll also use your ace command of design and creative wits to amplify the story of Growth Tribe and build the most recognisable EdTech brand in Europe.
We are looking for a truly innovative and driven self-starter, who is passionate about digital skills and can translate business goals into creative concepts to help us boost our brand globally.
Growth Tribe is
Mustakbil
2 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=39841bba1676c10e
4,UI/UX Designer with Frontend skills,Helsinki,Not shown,Unikie,,2  päivää sitten,"WE ARE LOOKING FOR
At the moment we are looking for a UI/UX Designer with front end development skills to strengthen our team at Unikie. We are flexible with the location, but would prefer if you would be located to Turku, Helsinki or Kokkola. You would start your work at Unikie in an interesting and meaningful project in our R&D department.
Would like to
Build new solutions for our customers?
Collaborate along with colleagues who are the top in their field and together with our customers to strive for understanding what they need?
Develop and challenge yourself and learn more from experienced software talents?
Work with modern technologies and be involved to solve complex difficult challenges our customers might be facing?

Sounds interesting? Awesome, keep reading!
REQUIRED QUALIFICATIONS
You would be responsible of UI and UX Design, so the most important skill for you is to have previous experience with UI/UX design, and with prototyping tools such as Sketch or Figma.
To support your success in the position, we hope that you would have some front end development experience with React and/or React Native. We are not looking for a professional front end developer so you don’t have to consider yourself as a React Guru, but if you are familiar with it and are happy to work with it, that would be a great benefit for this position.
The expertise what we are looking for:
UI/UX Experience
Experience with some prototyping tool such as Sketch or Figma
Experience with both Mobile and Web design
React
React Native
WE OFFER YOU
You get to work within an experienced and ambitious community
With us you get to work challenging and changing projects and you get the chance to develop your skills in a superb group of people
Fair and transparent wage model which highly correlates with your skills and offers you a fair share from the customer invoicing
You get to work in a flexible low-hierarchy organization that looks after its own
ADDITIONAL INFORMATION
For more information about this position, please contact:


Elisa Haikala, +358 50 568 5328, elisa.haikala@unikie.com,
Mariella Merikallio, +358 50 472 6766, mariella.merikallio@unikie.com
LOCATION
Helsinki (Finland)
Kokkola (Finland)
Tampere (Finland)
Turku (Finland)
Other locations are also negotiable.
TAGS
React, React Native, UI/UX
About Unikie
Unikie, founded 2015, is a modern age company in software industry. Unikie develops cutting edge technology solutions for automotive, telecom and industrial domains. We focus on ADAS, telematics, analytics and machine learning solutions, software and algorithms. With our software and competence, our clients can accelerate their R&D to a completely new level.
For us, transparency, taking responsibility from our work, working together and putting clients and results first are an important part of our business and also guide our operations as our company values. Just a couple words about numbers – since our founding, our revenue has grown quickly while we have also been able to maintain profitability. In 2019 we were chosen by Deloitte as the third fastest growing technology company in Finland. Now Unikie employs over 300 professionals and the growth continues!
2 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=87f74b54a3148420
5,Senior Level Designer – AAA PvP – Finland,Helsinki,Not shown,Datascope Recruitment,,2  päivää sitten,"""
I am seeking a Senior Level Designer for a world-renowned AAA studio based in Finland working on their brand new PvP project. You will be part of a world-class international game development team who have just started develo0pment of a new game based on their own IP.
You will be responsible for designing and implementing gameplay elements and levels according to the design and creative visions. You will also work closely with the art team to help design environments that will be visually impressive.
The ideal candidate will have:
Previous game production experience
Previous experience in designing PvP systems and features
If this looks like it could be your next exciting challenge, click apply now or send your CV along to yasmin@datascope.co.uk
IND123MP or phone 020 7580 6018 for a confidential chat (ideally over your cv / resume). We value close, personal relationships with our candidates and applications by this method tend to be more successful.

Please click for more Games Jobs""
2 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=dc574b033e50bf08
6,Senior Level Designer (Vanguard),Espoo,Not shown,Remedy Games,,3  päivää sitten,"Senior Level Designer (Vanguard)
Espoo, Southern Finland, Finland /
Design – Level Design /
Permanent
Remedy Entertainment, the creator of Control®, Quantum Break®, Max Payne®, Alan Wake® and Death Rally®, and one of the leading independent game studios in the world, is looking for a (Senior) Level Designer for an exciting new online multiplayer game.

If you are passionate about F2P / Games as a Service and like taking ownership of multiple levels, driving them from concept to final implementation in production and being responsible for their final quality in the hands of our passionate players, then this job is for you!
Responsibilities
Create fun, memorable levels and gameplay events.
You will be expected to own level designs from conception to the final stages of polish, facilitating communication and coordinating departments to ensure the vision is clearly understood.
Follow deadlines and plan your own work accordingly.
You are more than happy to mentor other members of the design team, helping them to improve and grow.

Requirements and qualifications
Experience in Unreal Engine development
Ability to pitch level design concepts in a clear, detailed manner, through strong written and verbal skills
Understanding of the aesthetics of environment, function vs. form relationships, narrative pacing as well as what makes a game level fun and intriguing
Excellent verbal and written communication skills (in English)
Knowledge and experience of working with scripting languages (Lua, C# etc.) to script prototype game features and level flow / logic
Ability to take constructive criticism from leads, publishers and other team members and channel it into improving the product
The ideal candidate will also have
Demonstrated experience in Level Designer roles on F2P / GaaS titles
Interest and understanding of F2P/GaaS: you are an avid player of F2P/Gaas games
Prior experience with multiplayer games
Prior experience in building live game services
Experience working with Agile development methodologies (Scrum, Kanban etc.)
What is in it for you?
Yes, you get to move to Finland where the quality of life is exceptional, and cost of living is affordable.
Moving to a new country can be intimidating, but our relocation service is there every step of the way to take care of you. You can concentrate on work, while we’ll take care of everything else.
You will be offered competitive compensation with a bonus system.
We work hard, but at Remedy we believe in a great work life balance. Happy people work better. In Finland you get up to 5 weeks of paid vacation every year. This is on top of public holidays and other special occasions.
Above all, you get to work on awesome, unique video games that the global audience is interested in at a studio where your input is valued. We try our hardest to keep our team sizes and the workload sensible, so your contributions feel valuable.
To apply, please fill in the application form with your CV, design portfolio and other information relevant to the position. The position will be filled as soon as a suitable applicant is found.
3 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=1961b4d3fa94882a
7,"Service Architect, Device Management",Helsinki,Not shown,UPM,3.8,4  päivää sitten,"Are you looking to join a dynamic, innovation-driven, international company, building a better future for us all? UPM leads the forest based bioindustry into a sustainable, innovation-driven, and exciting future. The competence, integrity and drive of our people make us unique. We live by our values – trust and be trusted, achieve together, renew with courage.
We are now looking for a Service Architect, Device Management for UPM IT Workspace Services to have a key role in developing and optimizing our existing service towards an even more ambitious modern device management service. Our global workstation fleet is one of the largest managed by a Finnish company.
Our office fleet is already standard Evergreen Win10. This year, we take our efforts to simplify and standardize our workstation landscape to our production sites, shared workstations, and other more special cases. We are moving from on-prem towards the Cloud whenever feasible and actively exploring alternative solutions for our workstation service offering. At UPM IT, understanding the possibilities of the newest technologies is in our focus. We lead, steer and manage the work of our partners.
Placing the user in the center of your design focus is mandatory for succeeding in this job. If user-centricity and Design Thinking have not been top of your mind before, we will show you how it’s done in a way which fits the need.
What you’ll do
Your main tasks and responsibilities in this position would be:
Designing service high-level architecture with the user in mind with the support of your closest colleagues: Service Owner and Service Designer
Ensuring that technical solutions are aligned with architecture and dependencies
Planning and maintaining the service area roadmap and long-term strategy view in close co-operation with Service Owner and Chief Architect
Participating in requirement and deliverable setting and vendor cooperation
Ensuring that relevant, high-quality high-level design documents are in place
Following emerging technologies and participating in the device offering decisions
Supporting projects and managed changes
Identifying opportunities for service improvement and cost optimization
Ensuring that processes for running the services efficiently in the ITSM tool (Servicenow) are in place and related data intact
Who you are
You have a University degree (or similar) in a relevant area
You have worked as an architect for several years, preferably in consulting or global manufacturing
You have state-of-the-art knowledge of Microsoft’s technologies in the area (such as ConfigMgr, Intune), additional experience with other technologies is valued and you will need the ability to adopt and resign technologies
You have a basic understanding of the most common dependencies: IAM, remote access solutions, network segregation, and firewalls
You have excellent documentation, collaboration, and presentation skills, and communicate fluently in English in an international team
You have a “Privacy by Design” approach as well as GDPR consciousness, cybersecurity experience is considered as an asset
You are continuously developing your ways of working, both independently as well as together with your colleagues, knowledge of Agile methods is considered as an asset
You are willing to travel in Finland and occasionally to other countries according to existing travelling guidelines
This is what we offer for you
Meaningful job: We are proud of what we do. Our work highlights the expertise of our personnel, the high quality of our products and the company's values.
Inspired and motivated teams: We have highly skilled workforce. We are a multifaceted, international organization that works as a team to achieve our shared objectives.
Development opportunities: With us you can build up your expertise. We provide opportunities to support your development throughout every stage of your career.
Responsibility for people and environment: Our ethical principles embrace people as well as the environment. We are always striving to build a more sustainable future.
Additional information
This position is based in Tampere or Helsinki, Finland.
For further information, please contact Chief Architect, Director, Service Design and Architecture Pirita Vainio at pirita.vainio@upm.com .
Please apply via the apply button and attach your CV and cover letter by 30th of April. Please notice that we will start checking applications right away and may invite candidates for interviews already before the deadline. The position will be filled as soon as a suitable candidate has been found.
For support with submitting your application, please contact HR Service Center at contacthr.gl.recruitment@upm.com or +358204146600.
A security background check may be performed for those selected to UPM positions, in accordance with the company recruitment guidelines and the Security Clearance Act 726/2014.
UPM is a non-smoking workplace in Finland.
4 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=23c179dab5c0390e
8,"ELECTRONICS DESIGNER , Vantaa (Enedo Finland)",Vantaa,Not shown,Asiakasyritys / Target Headhunting Oy,,5  päivää sitten,"Enedo is an international company which designs and manufactures custom and standard DC power systems, AC/DC power supplies, and LED Drivers for a wide range of demanding industry applications including telecom, industrial, medical, lighting, utility, railway, and military. Enedo’s story began in March 1975 in Finland. Since then, Enedo has grown from a six person engineering office to a truly global organization, operating on four continents and serving customers worldwide. We make electricity better – more reliable, more secure, more energy efficient – and just right to fit its purpose.

Enedo Finland is looking for an experienced ELECTRONICS DESIGNER to participate in product development of new products as well as maintaining of current product portfolio. You will be responsible for electronics design for power electronic products. Your role will include designing, testing and documentation as well as maintenance of design tools. You will work in cooperation with R&D-, purchasing and Sales team and you will report to the R&D Manager.

You will have the opportunity to grow your responsibility to cover complete product ownership. To succeed in this position, we hope you to have: 5+ Years of experience in Electronics design for Power Electronics products. Experience in power electronics like AC/DC and DC/DC converters is a benefit Experience in SMPS technologies BSc or MSc degree in Electronics Engineering Experience with related standards and certifications Experience with embedded solutions is a benefit You also are: Interested in working in the customer interface solving challenges Open minded for new challenges and areas to learn Fluent in English, both written and spoken We offer you a role with a view and possibility to work on the complete product lifecycle; from creating a concept to product end of life. To apply for this position send your CV and application to careersfinland(at)enedopower.com by 11th April.

For more information please contact Sten Nordman, sten.nordman(at)enedopower.com, +358 50 434 7505 and from Target Headhunting Oy, Alexandra Kymäläinen alexandra.kymalainen@targetheadhunting.fi +358 40 903 0303.
Rekrytointi.com
5 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=63ca68b1ab85e340
9,Business Designer,Espoo,Not shown,TietoEVRY,,13  päivää sitten,"You may apply to TietoEVRY by selecting Apply and fill your application details to the form. You may also Apply by using LinkedIn and populate details to your application from your LinkedIn profile.
We are looking for a Business Designer to Keilaniemi!

Is creating winning customer experiences your passion and you are curious-minded enough for the fast-changing world of digitalization? Do you have that burning desire to grow professionally and personally?
Great! As a member of our Customer Experience (CX) Advisory, Design and Innovation team, you get a genuine possibility to influence to millions of people’s lives.

As a Business Designer you get to
Work in customer assignments which usually has an objectives like
Create compelling new value propositions for customers
Design new digital services and customer experiences that differentiate the company from its competition.
Design a new and differentiated digital service, or customer experience that unlocks growth
Design a new business model that enhances and extends customer experiences while creating new opportunities for revenue
Design, lead, and measure experiments to gather feedback and make your concepts better

As a Business Designer you’d also
Co-lead business design activities, including client workshops, stakeholder interviews, business intelligence gathering, creative brainstorms, visioning, and KPI development
Present, communicate and share interests and insights with the project team
Create high quality deliverables
Build the business through cultivating key client relationships and selling in related work
Develop impressive business concepts and rethink traditional ones in client assignments and sales proposals

Meet your future team

TietoEVRY CX Advisory, Design and Innovation team designs superior customer experiences and businesses by combining strategic consulting, business design, marketing intelligence, CX architecture, service design, UX design and visual design competencies. We are inspired about digitalization, growth, customer behavior and brands. We love to do our best in enabling clients reach their target and to offer winning services for their customers in BtoC and BtoB landscape. Our home in TietoEVRY Finland is CX (Customer Experience), a unit creating broad set of customer interfacing solutions and services to companies based. When not working from our sofas and kitchen tables, we are located in Keilaniemi, Espoo.
ADI, as we call it, is in charge of helping our clients succeed in all areas of customer experience. We gather customer insight, analyze markets, innovate, create (digital) service concepts, turn them into clickable prototypes, build design systems, co-create strategic roadmaps, map customer journeys and so on and so forth. Our clients range from public to private sector, from mining and forestry to hospital districts and public transportation. We serve many of the leading Finnish companies and public sector organizations.
In the bigger picture, our team Advisory, Design and Innovation is part of Customer Experience (CX) unit, which is one of the spearhead business areas of TietoEVRY. We help our customers to deliver winning digital experiences powered by intelligent technology, data and analytics. CX is a strategic competitive edge to our customers. We believe in holistic brand-wide customer experience design, innovation and development instead of point-to-point CX solutions to make a long-lasting difference. We usually partner with our customers in customer experience strategy, design, architecture, technology and data needs covering solution areas such as marketing automation, CRM, e-commerce, customer service, web and mobile applications. We work primarily with large Nordic organizations that have high standards to their CX partners and agencies. We also work with multiple leading commercial technology and cloud vendors as well as multiple open source technologies.

What we are looking for

You’d have
A minimum of 5+ years of industry experience
Preferably 2+ years experience focused on client facing in a design agency or consulting firm
Fluent Finnish skills and proficiency in English
A Masters degree in business, or equivalent experience

You’d also have a wide range of design and creative capabilities, such as:
Business-oriented mindset
Experience in the design field
A full and fluent knowledge of current design tools and software
Strong written and verbal communication skills
Good presentation skills and enjoys to facilitating larger groups
Ability of working well as part of a design team
The ability to think creatively and deliver impressive concepts
Ability to create experience maps, user journeys and service blueprints, interaction models, flows, and wireframes
Familiarity with rapid prototyping methods, ranging from paper sketching to digital prototypes

What We Offer
In CX unit
We support our people to grow on professionally and on personal level
We want our employees to be happy and have meaningful work combined with good work life balance
Your expertise will be rewarded by our attractive compensation model
You have opportunities to develop your competence and pursue a career path you desire
We are genuinely international
We have wide range of Customers
You can take responsibility
You can make a difference
We have big company's benefits but Startup spirit combined with agile ways of working
You will have a fun team to work with

Join us and be part of our success!

Did we get you inspired? We are looking forward to hearing from you! Please send your application as soon as possible but the latest by 11th of April. The position will be filled immediately when the suitable candidate is found.
For more information, feel free to reach out to Aleksi Kärkkäinen, Head of CX Advisory, Design and Innovation (aleksi.karkkainen@tietoevry.com and tel. +358 40 7505 588). Feel free to call him for more details on 24th of March 11-12am or 6th of April 12-1pm (EET).

TietoEVRY is the leading digital services and software company creating digital advantage for businesses and societies. Whether you are a strategist, coder, analyst, or a future-enthusiast, you will find a home at TietoEVRY. Join an exciting journey, building a brighter future together with our 24,000 experts globally. Help businesses and societies meet their full potential – while you are also reaching yours.
13 päivää sitten
Tee ilmoitus työpaikasta",https://fi.indeed.com/viewjob?jk=43889b38d0f169b0
