,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Web Designer & Developer,Falkirk,Not shown,Crunchy Carrots,,today,"NEW CHALLENGE?
Crunchy Carrots is a highly experienced digital marketing team delivering a bespoke service of online digital services for small to medium businesses. We are a dedicated “bunch” of people who work with clients in partnership to reach optimum potential through successful digital marketing.
THE ROLE:
We are looking for a Web Designer and Developer who can support a small dedicated team to help build our digital offering. You will help grow our team of digital developers and define the roles within the team. The successful candidate will have the opportunity to lead whilst acting as the key point of contact for all technical requirements.
The role will involve working on a variety of projects across a range of clients. You must have commercial experience working as a Web Developer/Designer, specifically using the WordPress framework with a minimum of 1 years experience with this platform. We require you to have a creative mindset and enjoy putting new ideas across to a team.
This is a fantastic opportunity for someone who is looking for the next step in their career within software development as well as professional development.
EXPERIENCE AND KNOWLEDGE:
The ideal candidate will have the following technical knowledge and experience:
Proficient front-end skills, HTML, CSS, JavaScript
Delivery of responsive solutions across various devices
Confident with PHP driven content management systems, primarily WordPress
UI/UX Design
Proficient understanding of cross-browser compatibility issues and solutions
A solid understanding of SEO principles and their application
An awareness and understanding of server security
An ability to demonstrate experience with Front-end and Back-end development, seeing projects through from conception to completion
Experience of managing web hosting and deploying solutions
Maintain and support the wellbeing of existing client sites
REQUIREMENTS:
A minimum of 2 year’s relevant work experience
Enthusiastic and passionate, actively keeping at the forefront of current and emerging technologies
A keen interest in design
Understanding of Google Analytics, Google Ad Words, Facebook insights, Facebook pixel
Excellent communication skills (both written and verbal)
Good attention to detail
WORKING HOURS:
The role would ideally be Full Time generally working within Monday to Friday office hours. A level of flexibility is required depending on meetings, events and the our clients digital requirements. Full-time hours: 37.5 per week.
WHERE YOU WOULD BE BASED:
Our office is based in Falkirk Town Centre, 2 mins walk from Falkirk Grahamston train Station and 10 mins from Falkirk High train station. We will also be working remotely on an office rota basis during COVID.
GET IN TOUCH:
We are looking for a creative person, please be creative with your covering letter and show us your interest in the role.
Part-time hours: 37.5 per week
Job Types: Full-time, Part-time, Permanent
Schedule:
Monday to Friday
COVID-19 considerations:
Crunchy Carrots have COVID guidelines and procedures in place.
Experience:
Wordpress: 1 year (required)
Work remotely:
Temporarily due to COVID-19
COVID-19 precaution(s):
Remote interview process
Social distancing guidelines in place
Virtual meetings
Sanitisation, disinfection or cleaning procedures in place
Just posted
Report job",https://uk.indeed.com/viewjob?jk=8b4d4f03c1f89ca0
1,Graphic Designer,Glasgow,"£23,500 - £27,500 a year",NIC ICE Ltd,,1 days ago,"General Function
Responsible for covering the tasks and duties as required including managing the design aspect of the annual brochure production, creating new designs and produce images to be used in marketing, keeping the Company website updated, keeping company e-mail footers updated, keeping a fresh Company image. Artwork for all personalised goods
Key Responsibilities
Create visual designs that demonstrate a high level of graphic composition, and creative problem solving
Managing the design element of the annual brochure, support the marketing team with ideas and suggestions regarding images and layout – in conjunction with the brochure team. Need to generate new and exciting ideas for images to represent the Company and brands.
Personalised products – Working closely with the packaging team in updating and maintaining images and database, liaising with suppliers and internal customers throughout the group. Raising the profile of personalised goods
The company is represented at a number of industry trade shows. Fresh images and designs are required to represent the company using various media such as, pull up banners, display boards, stands and digital displays. With the use of existing images as well as bringing new ideas, making sure that we present ourselves as unique and innovative
Regularly reviewing the website and offering fresh ideas about how to generate new interest. Daily update of social media sites
Reviewing and keeping e-mail footers updated with images and details of offers
Assisting with creation of e-mail campaigns and flyers
Maintaining a professional but fresh Company image for all advertising within the Nic UK group
Carrying out regular research within the industry to ensure that we maintain a leading and professional image within the industry
Project work – managing your own projects – content, timings, and costs from inception to completion
Adherence to deadlines and a flexible approach to working hours is necessary for this role.
Person Specification
A multi-tasker who is able to keep calm under pressure. Must be a excellent time management with good communication skills at all levels. Creative thinker with a passion for design. Ability to think outside of the box and be able to turn their hand to a number of creative styles.
Qualifications / Experience
Essential
· Minimum 3 years’ experience using Adobe Photoshop, Illustrator & InDesign
· Experience using Microsoft Office
· Minimum BA honours in Graphic Design or equivalent qualification or apprenticeship scheme
· Minimum 2 years’ design industry experience
· Proficient in Adobe creative suite
· An understanding of building website content
· A strong portfolio, experience across campaigns including branding, print, digital platforms and a high level of attention to detail.
· Knowledge and experience with social media campaigns
· A knowledge of photography, video and video editing
· Knowledge/experience of creating marketing campaigns
· Strong visual conceptual graphic and creative skills in practice
Desirable:
· Basic knowledge of HTML and CSS
· Packaging design experience
· Experience in creating print ready artwork, with an understanding of the printing process
· Experience in the use of Adobe After Effects and Premier Pro
· Good communication skills and an understanding of budget
· Experience working with suppliers and creating strong working relationships
Please Note: Salary is dependent on location and experience
Job Types: Full-time, Permanent
Salary: £23,500.00-£27,500.00 per year
Benefits:
Bike to work scheme
Company events
Company pension
On-site parking
Schedule:
Monday to Friday
No weekends
COVID-19 considerations:
Full COVID-19 Management Plan is available upon request.
Education:
Bachelor's (preferred)
Experience:
Adobe Photoshop: 3 years (preferred)
Adobe Illustrator: 3 years (preferred)
Adobe InDesign: 3 years (preferred)
Graphic design: 2 years (preferred)
Work remotely:
Temporarily due to COVID-19
COVID-19 precaution(s):
Remote interview process
Personal protective equipment provided or required
Plastic shield at work stations
Social distancing guidelines in place
Virtual meetings
Sanitisation, disinfection or cleaning procedures in place
1 day ago
Report job",https://uk.indeed.com/viewjob?jk=59f7d888ad475c98
2,UI Designer,Glasgow,"£30,000 - £35,000 a year",Bright Purple Resourcing,,1 days ago,"About this job
I'm working with a leading software house in central Glasgow looking to add an experienced UI Designer/Developer to the ranks.

This is a great opportunity for someone in the early stages of their career as you'll be joining a collaborative team offering some of the best progression and development opportunities on the market right now.

Ideally for this role you'll have 1-2 years' commercial experience, and most importantly be passionate about all thing's UI and design related; able to show/demonstrate a portfolio of previous work in this area, as well as possess strong skills in UI design/development across HTML, and CSS.

The salary for this role between £30-35k depending on experience and skillset, with some flexible/remote working options on the table post the current lockdown situation.

Key skills:

UI Design/Development experience
HTML / CSS / SASS
Portfolio of previous UI work
Exposure to JavaScript frameworks: React, Vue or Angular
Product Design experience

We are looking to move quickly on this role with an immediate start date on offer. My client has successfully on-boarded multiple people during the pandemic with a smooth remote process so will be able to start immediately.

Please apply with an up-to-date CV and/or contact Ben at Bright Purple Resourcing for an informal chat and more information.

Bright Purple Resourcing is acting as an Employment Agency in relation to this vacancy.
For further details, contact Benedict Price on
Show phone number
or e-mail benedict.price.06825.2188@brightpurple.aplitrak.com.
1 day ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=093742df97e6f5b0
3,Head of Design,Glasgow,Not shown,The HR Booth,,3 days ago,"Inspire IT are one of Scotland’s top digital agencies with a head office in Perth, a design and project hub in Glasgow and satellite offices in Fife, Edinburgh, Stirling, Kilmarnock, and West Lothian. We are a team of designers, developers, and digital marketers and we are looking for ambitious people to join our growing team. We are currently recruiting a dynamic and experienced Senior Creative Designer who has a passion for creating exciting design and unique digital solutions. An individual who would thrive in an environment where they can truly make a difference to clients. Someone who has a passion for continuous improvement, both for themselves and the people they manage.

The role
You will be responsible for all aspects of brand management and design, as well as working closely with our digital marketing and web development teams to deliver high-quality designs and support the sales and marketing objectives of our clients from a diverse range of sectors.
You will be working alongside our first-class design team on the delivery and execution of the online marketing strategy to support sales and marketing objectives of businesses from a diverse range of sectors.
You will play a key part in a very strong team, where you will be exposed to the latest trends, tools and technologies, you will be producing mock web design layouts based on detailed requirements, SaaS application design layouts incorporating company branding and graphic design.
You will provide direction for our interdisciplinary teams to broadcast not only our story but all our clients’ stories out to the world.

Key skills you need to have:-
You will have solid knowledge of Digital Design / Mobile / HTML5 / CSS3 / Adobe CC / UX.
Previous industry experience, preferably working within a digital agency.
Competent user of online prototyping tools such as InVision.
Experience with infographics.
Experience with video editing software.
You will be organised and be able to work under pressure whilst managing conflicting deadlines and your own workload.
You will be a proficient user of MS Office.
You will be an excellent communicator with the ability to build and maintain effective partnerships with all stakeholders.
You will have a passion for the web and all things digital.
A degree or equivalent experience in a relevant subject would be advantageous.

What we value
We value continuous learning and investing in our team. We are looking for someone with a burning desire to grow and fulfil their potential. You will have a personal training budget so you can learn, improve your knowledge – and by working with the best, we want you to grow and succeed with us.

In return you will receive a competitive salary and benefits package including:
30 days paid holiday per year including bank holidays.
Fun, challenging projects for interesting, creative clients.
We are a social bunch so expect to enjoy Takeaway Fridays and have 2 fully paid team away outings per annum.
Add great achievements to your CV: you'll have direct influence on the success of many client’s online presence.
Free coffee (bean to cup), tea, fruit, and snacks.

In the last year we've grown and plan to double in size, so you'll have the chance to shape how we grow this year and beyond. To apply please click the link, attaching cover letter and CV. As part of your application please include your portfolio showing examples of final and draft work.

Our entire team shares the Inspire Vision of creating fabulous websites that work for our clients and add value to their business....it doesn’t get more Inspiring than that!
3 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=9f6f44252b11a65a
4,UX Designer,Glasgow,Not shown,"Turnitin, LLC",,3 days ago,"Company Description

When you join Turnitin, you'll be welcomed into a company that is a recognized innovator in the global education space. You'll join our diverse community of colleagues who are all unified by a shared desire to make a difference in education. So come join us and begin the most gratifying next chapter of your career.
For more than 20 years, Turnitin has partnered with educational institutions to promote honesty, consistency, and fairness across all subject areas and assessment types. Our products are used by educational institutions and certification and licensing programs to uphold integrity and increase learning performance, and by students and professionals to do their best, original work.

Job Description

As a User Experience Designer at Turnitin, you will collaborate closely with other designers, product managers, engineers, researchers, data scientists, teaching experts, writers, and marketers to shape and ship exceptional user experiences — serving millions of students, instructors, and administrators in the global online education space. Our ideal candidate is highly motivated, collaborates broadly to create beautiful, user-focused solutions, and has experience in one or more of the following areas: product brand design or management, design systems, or data visualization.
Deliver full lifecycle of designs that meet product requirements and business objectives.
Create designs at all levels of fidelity; e.g. workflow maps, sketches, prototypes, wireframes, and high-fidelity specs.
Conduct usability research and other data collection methods to iterate and improve workflows, features, and user-facing communications.
Collaborate closely with other parts of the organization to balance design ideas with technical possibilities.
Regularly accept and manage feedback and constructive criticism from many internal and external stakeholders to iterate toward the best possible solution.
Define accessible, inclusive, and highly-usable interactions without sacrificing aesthetics.
Efficiently document and communicate designs in formats that are easy to understand and effective in driving the project’s next steps.
Provide visual QA for implemented designs to ensure designs are built to spec.
Uphold and push for design quality—with a deep appreciation for details.
Contribute to the evolution of Turnitin’s design system and interaction pattern library by adding to and regularly improving our core stylistic guidelines, components, and interaction models.
Inspire and help cross-functional team members build and operate with strong user empathy.
Facilitate creativity and collaboration among cross-functional team members to elicit ideas and cultivate shared understanding.
Support Turnitin’s commitment to world-class design by providing regular, constructive critique to other designers in design reviews.
QUALITIES WE'RE LOOKING FOR
You care tremendously about hearing from users and using their feedback to help guide your work.
You are passionate about the balance between strong usability and world-class visual design.
You understand and enjoy the experimental and iterative nature of product design teams.
You enjoy digging into the details to define the best possible outcome.
You can adjust to changing focus, priorities, and tasks. You can work independently and meet deadlines.
You have strong communication and presentation skills, written and verbal.
You are an empathetic teammate and cross-functional partner.
You are skilled at identifying small decisions that can have a significant impact.

Qualifications

MINIMUM QUALIFICATATIONS
Must provide a portfolio for consideration, showing how you design for user needs and iterate on those ideas based on user feedback, engineering constraints, and stakeholder desires
1+ years of experience as a UX designer, product designer, or related role
Fluency in design tools such as Figma and the Adobe Creative Suite
PREFERRED SKILLS/EXPERIENCE
Experience designing for education
Experience designing on machine learning, data, or growth teams
Experience designing for web accessibilitySkills in product branding, motion, illustration, or design systems
Skills in data visualizationSkills in UX writing
Skills in HTML, CSS, or javascript

Additional Information

Our Mission is to ensure the integrity of global education and meaningfully improve learning outcomes.
Our Values underpin everything we do.
Customer Centric - We realize our mission to ensure integrity and improve learning outcomes by putting educators and learners at the center of everything we do.
Passion for Learning - We seek out teammates that are constantly learning and growing and build a workplace which enables them to do so.
Integrity - We believe integrity is the heartbeat of Turnitin. It shapes our products, the way we treat each other, and how we work with our customers and vendors.
Action & Ownership - We have a bias toward action and empower teammates to make decisions.
One Team - We strive to break down silos, collaborate effectively, and celebrate each other’s successes.
Global Mindset - We respect local cultures and embrace diversity. We think globally and act locally to maximize our impact on education.

Seeing Beyond the Job Ad
At Turnitin, we recognize it’s unrealistic for candidates to fulfill 100% of the criteria in a job ad. We encourage you to apply if you meet the majority of the requirements because we know that skills evolve over time. If you’re willing to learn and evolve alongside us, join our team!
Turnitin, LLC is committed to the policy that all persons have equal access to its programs, facilities and employment. We strongly encourage applications from people of color, persons with disabilities, women, and the LGBTQ+ community, regardless of age, gender, religion, marital or veterans status.
3 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=40b715e097e48554
5,Digital User Experience (UX) Designer and Strategist,Glasgow,Not shown,Retina,,3 days ago,"Digital User Experience (UX) Designer and Strategist
Job Description
Retina is a multi-award-winning global advertising, marketing communications and technology services company -- and both 2020 ANA B2B Agency of the Year and The Drum's 2020 Martech Agency of the Year, providing expertise to global Fortune 500 clients in the areas of strategy, creative and content, and go-to-market/media.
We’re seeking a brilliant, dynamic digital user experience designer and strategist in our rapidly growing Glasgow office to help grow and coordinate our digital design and web and mobile development capabilities.
This person is an excellent facilitator, master prioritiser and highly proactive problem solver. Someone who has strategic, business and diplomatic acumen, and a ridiculously strong eye for detail. Someone who thrives on big challenges and responds with big creative solutions – and user experiences that engage, excite and compel action.
The digital/UX strategist should have experience developing strategy for, producing and project managing websites, microsites, landing pages, and digital experiences – from gathering project requirements through user journeys and wireframing, to planning, design, production and QA. Digital advertising and mobile app experience would be huge pluses as well.
Key Responsibilities:
· Run project meetings and facilitate workshops to provide and extract valuable insights that will contribute to a project’s concept, strategy and architecture rationale
· Conduct and lead research initiatives on the project and its influencing factors e.g. competitors, infrastructure, market, etc. Once complete, perform quantitative and qualitative analysis on this information to outline solutions
· Ascertain and analyse all the relevant business and user considerations: produce user personas, user journeys/flows and engagement maps, use case diagrams and scenario mapping diagrams, goal identification, etc.
· Define the structure and content strategy for a digital experience relying on a wide range of information architecture techniques, including but not limited to system flow diagrams, taxonomy, SEO analysis, nomenclature, site mapping, content mapping and personalisation (dynamic content) techniques
· Produce wireframes and prototypes to visualise page structure
· Present and discuss complex solutions (and the resulting deliverables) to a highly professional standard in both oral and written forms.
· Work with design and development teams to implement polished, interactive designs that look, feel and function as intended
Qualifications:
Minimum 2-3 years of design experience in agency, in-house or journalistic setting, online and traditional
· Fluency in Adobe Creative Suite, Microsoft Office/Apple software (Word, PowerPoint, Keynote, Excel) and wireframing software (Figma, InVision, Sketch, Adobe XD, etc.)
· Knowledgeable and experienced with web development methodologies (agile, waterfall)
· Familiar with Wordpress and other common content management systems (CMS), such as Adobe Experience Manager, Joomla, Drupal, Contentful,
· Experience working in B2B or business marketing in complex categories a plus
· Multi-hyphenate skill set: Digital-traditional-social, Advertising-marketing-content, Long-form and short-form content, Left-brain-right-brain-creative-strategic
· A well-rounded portfolio that reflects innovative work for a variety of industries
· Outstanding communication skills – both written and verbal
· Consistently meets deadlines and has the ability to prioritize multiple projects
· Ability to work independently, as well as collaborate with a team
Perks and Benefits:
It’s a full-time position with a competitive salary, negotiable dependent upon prior experience. This position also includes paid vacation and a flexible schedule, including working from home. You’ll have the chance to partner with industry-leading companies while helping an innovative global organization reach its full potential.
If this sounds like the perfect fit, we want to hear from you!
Job Types: Full-time, Permanent
Benefits:
Flexible schedule
Work from home
Schedule:
Monday to Friday
Experience:
UX Design: 1 year (required)
Work remotely:
Yes
COVID-19 precaution(s):
Remote interview process
Virtual meetings
3 days ago
Report job",https://uk.indeed.com/viewjob?jk=a2237043710f9eee
6,Web Designer,Glasgow,Not shown,Arnold Clark,3.2,4 days ago,"As an Arnold Clark Web Designer, you’ll plan and build our industry-leading web pages and campaigns from inception to completion as part of our large, in-house design studio.
Based at our Hillington HQ, you’ll be working as part of Scotland’s largest (and award-winning!) Marketing team, and you’ll gain experience fast, working on national campaigns that are seen by millions of people every year.
Hours
Full time, Monday-Friday, 9am – 5.30pm
Day-to-day duties
Designing and building websites, landing pages and email campaigns.
Collaborating with other designers to maintain shared ownership of components and tools.
Embracing new challenges and creating design solutions that will solve real business problems.
Taking full ownership of your own areas of the business.
Liaising with marketing executives and our in-house development team.
Designing, building, testing, learning and iterating, with the end user in mind at all times.
Working to tight deadlines without compromising on quality.
Essential skills
Excellent design skills and creative flair.
You won’t be afraid to get your hands dirty with a bit of HTML and SCSS.
Strong previous digital experience.
Experience using Sketch.
Demonstrable attention to detail and strategic thinking across all customer touchpoints.
Excellent communication skills.
A proactive attitude, with the ability to work on your own initiative and as part of a fast-paced team.
Nice to have
Familiarity with SCSS and Javascript.
Confidence to work in an agile environment.
Experience using Creative Suite.
You’ll relish the chance to show us something different and exciting that’ll push the boundaries of digital design. You’ll also have a strong portfolio that demonstrates previous successes, and enjoy staying up to date with the latest design trends and technology.
In exchange for your considerable talents, expect a creative and collaborative working culture, plus some great perks, including one of the best employee benefits packages in the automotive industry, including private healthcare, life assurance and generous staff retail discounts.
Employment within the Arnold Clark Group is offered subject to satisfactory reference and disclosure check.
Closing Date: 08 April 2021

Benefits
Every Arnold Clark employee is entitled to a wide range of benefits, including:
Discount on new and used vehicles
Contributory pension scheme
Private medical insurance
Life assurance
4 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=b83e9d21a9f0f747
7,Graphic Designer,Glasgow,Not shown,G1 Group,2.9,4 days ago,"Graphic Designer
G1 Group is a privately owned and operated business which focusses on a bold & brave approach to delivering customer experiences which challenge the status quo. Our team of fearless leaders and bright go-getters help us realise our vision across a multitude of sectors including hospitality, retail and property development and design. With such a dynamic spread of interests, we take a “people over paperwork” approach, and value people who aim high and innovate, no matter what their CV says about their career to date. G1 can offer you truly unrivalled opportunity in terms of career progression as we continue to grow and diversify, and there has never been a better time to join us.
The Group currently has an exciting opening for a Graphic Designer to join our in-house studio, based in Glasgow’s west end. This is a key appointment, and as such we are seeking an exceptional individual with a keen eye for detail to join an exceptional team.
RESPONSIBILITIES:
Creating, developing and implementing creative solutions
Designing, proofing and sending jobs to print
Maintaining brand standards
Providing cross departmental support where required
Dealing with external suppliers and negotiating costs
Developing creative ideas for different levels of the business
Managing and organising workload to meet tight deadlines
Ability to work within brand guidelines
SKILLS & EXPERIENCE:
Degree in graphic design
Have 2+ years of design experience in an agency or similar paced environment
Strong organisational skills and ability to work in fast paced environment
Work toward tight deadlines while producing a high standard of work
Proficient in Adobe Suite – In particular InDesign, Illustrator & Photoshop
IT literate including email management, scheduling and filing
Creative, outgoing, enthusiastic team player willing to learn
Able to work on numerous projects simultaneously
Preferably experience or an understanding of the hospitality industry

In return for the above, we offer our Graphic Designer a competitive salary, generous company benefits, and the opportunity to use your exceptional design skills on some of the most challenging and rewarding brands in Scotland.
4 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=d45f7088cd6341d1
8,UX Designer (VP),Glasgow,Not shown,"JPMorgan Chase Bank, N.A.",3.9,4 days ago,"Putting our clients and their needs first remains the top goal for our User Experience team. As a User Experience Associate, you'll be responsible for project work as well as helping shape the direction of our teams. Working as a valued member of a multidisciplinary design team, you'll be involved in complex projects, and will participate in user research and design planning to respond to feedback.
In addition to primary project work, you'll contribute to design systems such as our pattern library, visual design library, and motion library, as well as mentor others on the team. You'll hone your communication skills by presenting your work to diverse stakeholders and the broader technology organization.
This role requires a wide variety of strengths and capabilities, including:

Bachelor's degree or equivalent experience
Three to five years of UX experience
Exceptional skills with standard UX software such as Sketch and Invision
Experience with generative and evaluative research methods, motion design or video or an interest in learning those skills
User-centric design approach that involves rapid testing and iteration of designs
Understanding of how design translates to code
Ability to use prototyping tools to convey design intent
Demonstrated ability to handle multiple priorities on tight deadlines without compromising quality
Understanding of accessibility and the ability to apply that to designs
Open minded, collaborative and flexible work style
Comfortable receiving feedback and critiques
Strong communication skills with the ability to articulate the value of UX and the rationale behind your research process and design decisions

To be considered for this position, you must have a portfolio available for review.J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
JPMorgan Chase
4 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=e73ff9db1b904e4f
9,Digital User Experience (UX) Designer and Strategist,Glasgow,Not shown,Transiris Corporation,,4 days ago,"Digital User Experience (UX) Designer and Strategist
Job Description

Retina is a multi-award-winning global advertising, marketing communications and technology services company - and both 2020 ANA B2B Agency of the Year and The Drum's 2020 Martech Agency of the Year, providing expertise to global Fortune 500 clients in the areas of strategy, creative and content, and go-to-market/media.
We’re seeking a brilliant, dynamic digital user experience designer and strategist in our rapidly growing Glasgow office to help grow and coordinate our digital design and web and mobile development capabilities.
This person is an excellent facilitator, master prioritiser and highly proactive problem solver. Someone who has strategic, business and diplomatic acumen, and a ridiculously strong eye for detail. Someone who thrives on big challenges and responds with big creative solutions – and user experiences that engage, excite and compel action.

The digital/UX strategist should have experience developing strategy for, producing and project managing websites, microsites, landing pages, and digital experiences – from gathering project requirements through user journeys and wireframing, to planning, design, production and QA. Digital advertising and mobile app experience would be huge pluses as well.
Key Responsibilities:

Run project meetings and facilitate workshops to provide and extract valuable insights that will contribute to a project’s concept, strategy and architecture rationale
Conduct and lead research initiatives on the project and its influencing factors e.g. competitors, infrastructure, market, etc. Once complete, perform quantitative and qualitative analysis on this information to outline solutions
Ascertain and analyse all the relevant business and user considerations: produce user personas, user journeys/flows and engagement maps, use case diagrams and scenario mapping diagrams, goal identification, etc.
Define the structure and content strategy for a digital experience relying on a wide range of information architecture techniques, including but not limited to system flow diagrams, taxonomy, SEO analysis, nomenclature, site mapping, content mapping and personalisation (dynamic content) techniques
Produce wireframes and prototypes to visualise page structure
Present and discuss complex solutions (and the resulting deliverables) to a highly professional standard in both oral and written forms.
Work with design and development teams to implement polished, interactive designs that look, feel and function as intended

Qualifications:

Minimum 2-3 years of design experience in agency, in-house or journalistic setting, online and traditional
Fluency in Adobe Creative Suite, Microsoft Office/Apple software (Word, PowerPoint, Keynote, Excel) and wireframing software (Figma, InVision, Sketch, Adobe XD, etc.)
Experience working in B2B or business marketing in complex categories a plus
Multi-hyphenate skill set: Digital-traditional-social, Advertising-marketing-content, Long-form and short-form content, Left-brain-right-brain-creative-strategic
A well-rounded portfolio that reflects innovative work for a variety of industries
Outstanding communication skills – both written and verbal
Consistently meets deadlines and has the ability to prioritize multiple projects
Ability to work independently, as well as collaborate with a team

Perks and Benefits:

It’s a full-time position with a competitive salary, negotiable dependent upon prior experience. This position also includes paid vacation and a flexible schedule, including working from home. You’ll have the chance to partner with industry-leading companies while helping an innovative global organization reach its full potential.
If this sounds like the perfect fit, we want to hear from you!
4 days ago
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=9cf199d6054dbcef
