,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Kitchen Sales Designer,London,Not shown,Howdens Joinery Co.,3.5,today,"Why work for us?
At Howdens we invest in our people and provide thorough on the job training and excellent career progression opportunities. We have been awarded a place in the top 25 Best Companies to Work for in the Sunday Times for recognition of excellence in the workplace.
Howdens Joinery, a trade only business with over 700 depots, has built a reputation that builders can trust through offering best local price and providing product from local stock. Our unbeatable service and product has led to us becoming a market leader, which is why we were awarded the Royal Warrant of Appointment to Her Majesty the Queen 2015 for our quality and excellence. Despite its scale, Howdens remains a local business with traditional values.
We are proud of our substantial growth and remain committed to success through the expansion of our local depot network. We are seeking talented people to help us continue to grow our business.
Summary of the Role
To plan, design and sell, with the aid of computer aided designs (CAD), the full range of Howden Joinery products, keeping in mind safety and practicality, with the objective of achieving and exceeding depot and Company sales and growth targets.
The Role
Plan, design and sell inspirational kitchens using the Company’s range of products with the highest level of customer service.
Develop long term collaborative business relationships with customers from the building trade and their clients.
Utilise Howdens unique 'My Kitchen' service which offers the ability to create and view high quality images.
You will be required to visit sites to measure and evaluate the customer’s needs.
Previous design (CAD) and/or sales experience is preferred but not essential.
Correctly process estimates, pricing, delivery dates and stock requirements for your customer.
You will be required to use your own vehicle during business hours, and travel expenses will be reimbursed accordingly.
The Person
Excellent customer service skills
Able to communicate effectively at all levels
Ability to achieve and exceed sales targets
You will have strong creativity skills
You must hold a driving licence
Planning and organising skills
A desire for continuous personal and professional development
Proven experience in a Trade Designer role
In return for your hard work and commitment you will be rewarded with some great benefits, which include:
Competitive salary
Monthly depot performance bonus
Matched contribution pension scheme
Team incentives and outings
24 days holiday, rising to 26 days after 5 years
Staff discount on Howdens products
Share awards and prize draws
#LI-LO1
Just posted
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=21d52f73790c6191
1,"Service Designer, Customer Experience and Innovation, Financial Services",London,Not shown,Publicis Sapient,3.9,today,"Company Description

Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mind-set and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value.
The Publicis Sapient Customer Experience & Innovation Consulting (CX&IC) Team:
We are a group of super-smart people with diverse skills and experience who like solving complex challenges to create what’s next across a wide range of industries – from retail to energy, from automotive to financial services.
We work at the intersection of innovation in technology, business and customer experience to conceive, develop, design and help deliver new experiences that will transform businesses and make life better for millions of our clients’ customers.
We harness deep customer research, insight and understanding to identify, test and validate new opportunities, then shape them into market-defining strategy and solutions for our clients.
We work in a fast-paced, ‘sprint’-based environment where no two days and no two challenges are the same.
We thrive on innovative and impactful work for clients and for ourselves.
We can draw upon an unrivalled depth and breadth of technical, creative and consulting capability across Publicis Sapient to shape businesses so they can meet ever-evolving customer needs.
We do this at scale. We make an impact.

Job Description

As a Service Design Senior Manager at Publicis Sapient, you will act as a transformation partner for our clients – helping them understand how changing customer expectations will require them to deliver new, innovative experiences, propositions, products and services.
You are an eclectic thinker who can balance multiple considerations simultaneously – changing technologies, emerging business models and customer insight – to identify new opportunities for our clients.
You will be well versed in design thinking, and the application of these techniques to uncover, identify and understand customer interests, motivations and behaviours, then work iteratively and collaboratively towards experiences that meet these customer needs.
You will use these techniques to map out the customer experience and the business capabilities required to deliver it; and use design research to iteratively test hypotheses underpinning the new experience as it evolves into design, build, launch and beyond.
As a Service Design Senior Manager in the CX&IC team, you will:
Act as a transformational partner for clients - including departmental heads and project sponsors
Work autonomously in the strategic ownership of larger, more complex projects from the client briefing through to final recommendations and delivery
Work collaboratively with all disciplines (and the client) to define how we will create customer and market insights that inspire the team and generate breakthrough solutions
Conduct customer and market place research that helps strategically frame, validate or test core hypotheses, then distil this research into actionable insight
Use design thinking techniques to identify opportunity areas for new experience, propositions, products and services, then help converge thinking around feasible, viable and desirable solutions
Map out the customer experience and the technology and organisational capabilities that are its necessary pre-requisite
Clarify and translate the strategic direction into priorities, objectives and a clear evaluation framework
Facilitate the creation of design artefacts - e.g. personas, as-is and future state customer journeys, service blueprints, storyboards, prototypes, etc.
Be a strong and convincing narrator and moderator both internally and with clients, reconciling perspectives, finding common ground and advocating customer value and business solutions at critical moments
Mentor more junior staff, defining a role for them on projects, overseeing their work and guiding their development in the discipline
Actively seek out thought leaders and different perspectives on industry approaches, developments and break-through methodologies
Develop new techniques and approaches, then collate and share expertise across the discipline in order to help build the company’s collective capability
Act as a champion and advocate for design thinking and techniques both internally and to a wider external audience

Qualifications

You are commercially minded; you can identify and pursue new opportunities to bring value to client engagements.
You are able to see the big picture and zoom in on the details to impactful moments of the customer experience.
You champion the customer and you are passionate about delivering meaningful experiences which positively impact the lives of customers.
You have an appreciation and an interest in how technology can support the design solution
You are confident working in multidisciplinary design, technology and consulting teams
You display empathy, intellectual curiosity and openness to learn about new industries, new fields, new disciplines and are excited by change and learning.
You are comfortable designing journeys from scratch for net new propositions that didn’t previously exist
What you need to have:
An outstanding portfolio of work demonstrating strong customer insight-driven design thinking across a diverse range of projects
Experience within financial services – either within a consultancy, agency, fintech or client-side
Experience formulating novel research and development programmes that iteratively identify, test and refine new and innovative propositions, products and services
Experience working collaboratively with colleagues and clients in a variety of different ways – flying solo, as part of an “agency” team, co-working with the client in “agile” teams
A mind set that’s open to change and to challenge – you need to be curious, consultative, self-starting, collaborative, empathetic, helpful, not prepared to settle for ‘that’ll do’, resilient, and eager to learn
Pride and passion in your work

Additional Information

What you'll get from us:
A big canvas – major companies, major brands, major challenges – our clients want us to answer big questions about what their future business should look like. You will be the at the spear point answering that question – and the answer will shape the experience of millions of people.
Capability – Publicis Sapient works at scale with a breadth and depth of creative, consulting, and technology talent – the ideas you shape will be translated into reality.
Autonomy – you’ll be faced with unique questions and challenges; client teams will look to you for your expertise in your field; you’ll have the chance to shape the company’s response, applying your thinking and expertise in the way that best meets the client’s needs.
Support – we’re committed to making you better at what you do best - plenty of training, learning and development opportunities from conferences to courses to simply working alongside some of the best and friendliest people in the industry.
In the company you’ll find:
Smart, decent, fun, stimulating, collaborative folk to work with.
Lots of travel/work abroad opportunities.
Wellbeing perks included subsidised gym and in-house massages.
Lots of support networks - VivaWomen! (for all genders), Egalite (for LGBT), Uni (diversity council), Hue (people of colour).
Free barista drinks all day, Frinks (free Friday night drinks), free fruit and chocolates (it’s the little things), quarterly Town Halls (with free pizza and drinks).
Benefits of Working Here:
An array of benefits are offered to Publicis Sapient employees. In addition to a leading compensation package, 25 days paid annual leave, life assurance, dental insurance, income protection, private healthcare for you AND your family (pre-existing conditions included), and a pension is the least we want to provide to you.
The learning opportunities here are endless plus of course the opportunity to be part of a game-changing organisation that encourages outside-the-box thinking and empowerment to know that the world is your oyster when it comes to your career! With free soya lattes and gym fee reimbursement being thrown in, you’ll get to taste the best coffee in town (in our opinion).
Flexibility and mobility is required to deliver this role as there may be requirements to spend time onsite with our clients to enable delivery of the first class services we pride ourselves in.
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=ad635e5d0e9ac7ea
2,Senior Designer - Menswear Knitwear & Jersey,London,Not shown,COS,3.9,today,"Company Description

COS is a fashion brand for women and men who want timeless, modern, functional and considered design. Offering reinvented classics and wardrobe essentials, we create pieces that are made to last beyond the season. Since launching in 2007 we have opened stores in over 40 countries worldwide, all in carefully considered locations, applying a design concept that preserves the buildings’ original features whilst creating a modern, contemporary space.

Job Description

Do you have knowledge of innovative design methods? Do you convey concepts in an inspiring way and are you passionate about our menswear customer? Are you a designer with leadership interest and capabilities?
If so, this could be the role for you. Our Design team is responsible for creating pieces made to last beyond the season, incorporating traditional methods and innovative techniques to create a timeless collection for stores worldwide and ecommerce.
We are now looking for a Knitwear & Jersey Senior Designer to join our Menswear team. This role will report into the Head of Menswear and is offered on a full time, permanent contract.
As a Senior Designer at COS you will work directly with the Head of Menswear Design and Head of Menswear Buying to drive the assortment and development of the collection through all channels. You will ensure that our offer continues to drive our brand forward delivering quality and design integrity in line with the COS’ DNA. In this role you will be responsible for coaching, developing and actively support junior designers to achieve their goals and those of the team.
What you will do:
Work collaboratively with design, buying and pattern teams from concept to completion while aligning on priorities and direction as well as an efficient workflow
Ensure the development of the collection and trends each season, providing a complete wardrove offer
Together with buying, drive product development while considering sales analyses, customer insights and the creative vision
Show a high level of awareness by constantly evaluating trends, customer behaviours and identifying selling opportunities
Work hands-on, producing and presenting research, sketches, drapes and 3D samples for collection development, ensuring newness and offering true choice to the customer
Develop and communicate visual information to all relevant functions
Research into innovative and sustainable materials to identify and propose new ranges and prospective products
Communicate the department goals and results throughout the organisation
Guide, involve, inspire and develop Assistant and Junior Designers

Qualifications

The ideal candidate is an experienced senior designer with proven team leadership skills who will bring creative strength and newness to each collection with a focus on form and functionality. You will have a strong design identity as well as a clear understanding of the business strategic goals with customer expectations at the heart of what we do.
Significant experience as a senior designer specialised in knitwear & jersey
Wide knowledge of knitwear techniques, stitches, yarns, jersey garment making and fabric
Certifiable textile/design qualification with a focus on menswear
Strong grasp of sustainable fashion solutions, material innovation and product development
Good eye for colour, detail and proportion
Excellent hand and technical drawing ability
Strong team player and inspiring communicator, previous experience managing a team would be an advantage
Ability to work well in a fast paced and creative environment
If you are interested and think you would thrive in this role, we can’t wait to meet you! Please apply with your CV and a portfolio with a selection of your work most relevant to COS’ design aesthetic and this position, in a PDF format or web URL. Please note that we only accept applications via our careers site.

Additional Information

When you first join COS we will give you a full training plan and access to our E-Learning tool.
In addition to this you will also receive some fantastic benefits including;
25% staff discount on all H&M Group brands.
A generous holiday entitlement.
Employee Assistance Program
A range of long service benefits.
Over the last 10 years we have carefully built a culture where our people are supported, inspired and encouraged to be the best they can. Our brand is creative, forward thinking and modern; choosing longevity over passing trends.
We set the bar high at COS; we are committed to recruiting great people, offering an environment where talent is recognised and valued. We believe that a diverse workforce plays an important role in the success of COS. We celebrate individual differences and appreciate the contribution that all our colleagues make.
Please note this position is offered on a local contract, therefore you should have the legal right to work in the UK before applying.
We look forward to hearing from you!
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=ca8b88d6c9d10683
3,Senior Designer - Menswear Woven,London,Not shown,COS,3.9,today,"Company Description

COS is a fashion brand for women and men who want timeless, modern, functional and considered design. Offering reinvented classics and wardrobe essentials, we create pieces that are made to last beyond the season. Since launching in 2007 we have opened stores in over 40 countries worldwide, all in carefully considered locations, applying a design concept that preserves the buildings’ original features whilst creating a modern, contemporary space.

Job Description

Do you have knowledge of innovative design methods? Do you convey concepts in an inspiring way and are you passionate about our menswear customer? Are you a designer with leadership interest and capabilities?
If so, this could be the role for you. Our Design team is responsible for creating pieces made to last beyond the season, incorporating traditional methods and innovative techniques to create a timeless collection for stores worldwide and ecommerce.
We are now looking for a Senior Designer to join our Menswear team. This role will report into the Head of Menswear and is offered on a full time, permanent contract.
As a Senior Designer at COS you will work directly with the Head of Menswear Design and Head of Menswear Buying to drive the assortment and development of the collection through all channels. You will ensure that our offer continues to drive our brand forward delivering quality and design integrity in line with the COS’ DNA. In this role you will be responsible for coaching, developing and actively support junior designers to achieve their goals and those of the team.
What you will do:
Work collaboratively with design, buying and pattern teams from concept to completion while aligning on priorities and direction as well as an efficient workflow
Ensure the development of the collection and trends each season, providing a complete wardrove offer
Together with buying, drive product development while considering sales analyses, customer insights and the creative vision
Show a high level of awareness by constantly evaluating trends, customer behaviours and identifying selling opportunities
Work hands-on, producing and presenting research, sketches, drapes and 3D samples for collection development, ensuring newness and offering true choice to the customer
Develop and communicate visual information to all relevant functions
Research into innovative and sustainable materials to identify and propose new ranges and prospective products
Communicate the department goals and results throughout the organisation
Guide, involve, inspire and develop Assistant and Junior Designers

Qualifications

The ideal candidate is an experienced senior designer with proven team leadership skills who will bring creative strength and newness to each collection with a focus on form and functionality. You will have a strong design identity as well as a clear understanding of the business strategic goals with customer expectations at the heart of what we do.
Significant experience as a senior designer specialised in woven
Certifiable textile/design qualification with a focus on menswear
Strong grasp of sustainable fashion solutions, material innovation and product development
A wide technical knowledge of garment making, fit and fabric
Good eye for colour, detail and proportion
Excellent hand and technical drawing ability
Strong team player and inspiring communicator, previous experience managing a team would be an advantage
Ability to work well in a fast paced and creative environment

If you are interested and think you would thrive in this role, we can’t wait to meet you! Please apply with your CV and a portfolio with a selection of your work most relevant to COS’ design aesthetic and this position, in a PDF format or web URL. Please note that we only accept applications via our careers site.

Additional Information

When you first join COS we will give you a full training plan and access to our E-Learning tool.
In addition to this you will also receive some fantastic benefits including;
25% staff discount on all H&M Group brands.
A generous holiday entitlement.
Employee Assistance Program
A range of long service benefits.
Over the last 10 years we have carefully built a culture where our people are supported, inspired and encouraged to be the best they can. Our brand is creative, forward thinking and modern; choosing longevity over passing trends.
We set the bar high at COS; we are committed to recruiting great people, offering an environment where talent is recognised and valued. We believe that a diverse workforce plays an important role in the success of COS. We celebrate individual differences and appreciate the contribution that all our colleagues make.
Please note this position is offered on a local contract, therefore you should have the legal right to work in the UK before applying.
We look forward to hearing from you!
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=66f1f9f5705180fd
4,FOOTWEAR DESIGNER - SANDALS,London,Not shown,Dr Martens,4.1,today,"CREATIVE GRAPHIC DESIGNER
Fast growing UK brand are on the hunt for a talented and aspiring Middleweight designer or conceptually driven Senior Graphic Designer to join our Marketing team.
Based in Welwyn Garden City, this role would be the perfect opportunity for a versatile designer with at least 3 years' experience across all areas of design, to expand their 'hands on' creative experience within a fast paced busy team, over a broad variety of mediums from print to digital.
Being responsible for design projects and creative origination across all campaigns, it is crucial that you are not only adept at taking briefs but are also able manage through projects liaising with both suppliers and customers as well as the team. In this role you will be expected to perform a variety of tasks and are looking for someone with the experience and judgment to plan and accomplish goals within the given timeframes.
The ability to see the 'bigger picture' and interpret broader marketing objectives as well as understand branding principles would be preferable.
Cultural and team fit is very important to us so as we are a small team so in addition to the experience and good technical skills we need a highly motivated, passionate individual with a positive 'can do' attitude.
The role reports creatively to the Business Development Director, however there is the scope for a good deal of autonomy and input for the right candidate. You will be supporting both the broader marketing team as well as NPD.

Accountabilities:
Creativity Integrity - ensure appropriate application and adherence to brand guidelines across relevant marketing materials to present a consistent brand image
Delivery of projects within scope, on time and to the required quality and budget
Key Skills and Competencies:
Mac literate with an excellent understanding of InDesign, Photoshop, Illustrator,
Illustration experience and understanding of textile print techniques preferential
Good understanding print repro guidelines
Experience of working in a multi-channel design environment and dealing with suppliers and customers
Experience in the design and origination of packaging and POS beneficial
Basic knowledge of Magento,CMS systems & HTML/Wordpress beneficial
Dreamweaver and familiarity with graphic design guidelines beneficial
Animation and video experience a beneficial
Experience managing digital, web and collateral design and print production projects
Project management - ability to manage multiple projects simultaneously
Ability to think outside of the box and a keen eye for detail
Excellent interpersonal skills and willingness to be part of a team
Educated to degree level or equivalent
Professional creative or design qualification preferred, or a compelling portfolio
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=acf2ac88da6d6e54
5,Senior Designer - Menswear Woven,London,Not shown,H&M,3.7,today,"We’re always on the lookout for people who share our ambition — passionate, driven people with fire in their hearts. Do you think you have what it takes?
THE GIG
To deliver commercial sandal designs, in-keeping with Dr. Martens Core Values which address the seasonal briefs.
You'll work closely with our Product Team and key retail partners to deliver products.
While continue to evolve technologies, constructions and aesthetics.
THE STUFF THAT SETS YOU APART
Quality Product Design:
Design sandals to briefs with innovative and commercial concepts relevant to Dr Martens and work to tight FOB’s and margins
All projects are completed to the Design/Product development timeline
Product Presentation
Create product presentations (internal and external) from concept to final review on all delegated projects Present seasonal concepts and articulate product information to the business Prepare materials and samples for presentations (minimum twice per year)
Liaise and work with Development team and supplier factories as and when required
Development of Prototypes/Samples
Work with Development team to create prototypes that meet with deadlines required on Design/Product calendar
Design Market Trends/Conceptual Research
Create on trend image, material and colour presentations on boards and in document form, for seasonal product reviews, meetings and presentations. Conduct market research at retail and trade shows and through any other innovative medium/platform in order to communicate effectively to the team
OUR FUNDAMENTAL QUALITIES
It’s never just a job at Dr.Martens. It’s a way of life. We live and breathe our Fundamentals: INTEGRITY. PROFESSIONAL. PASSIONATE. TEAM PLAYERS.
Working for Dr. Martens is everything you’d expect it to be. We’re a diverse, passionate bunch who believe each role is as unique as the person who does it.
We're looking for someone who has
Experience in sandal design with a strong design portfolio to match.
Strong design and illustration skills both hand drawn and digital.
Proven ability to work to a brief and translate designs into production ready designs.
Working knowledge of current Mac OS, Adobe Creative Suite, Illustrator, Photoshop, InDesign, PowerPoint, Word & Excel.
Good Working knowledge of footwear constructions and processes.
Experience of working with factories and suppliers in the Far East and able to travel.
WHAT’S IN IT FOR YOU?
Welcome to the family free pair of docs
65% off all docs
Our Culture Team are a dedicated team focusing on culture, wellness, and charity work across the business
2 paid volunteer days per year
4.30 Friday finish
Amazing Camden based offices with roof terrace overlooking the canal
Private healthcare
Pension contribution
Are you ready to fill your boots? Apply now.
At Dr. Martens, we are committed to creating an environment where we can all be proud to work and be our best. Part of this commitment is being an equal opportunity employer. All qualified applicants will be considered for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, and age.
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=37ceccc3cf8bb31a
6,Interior Designer,London,Not shown,HTA,2.8,today,"Do you have knowledge of innovative design methods? Do you convey concepts in an inspiring way and are you passionate about our menswear customer? Are you a designer with leadership interest and capabilities?
If so, this could be the role for you. Our Design team is responsible for creating pieces made to last beyond the season, incorporating traditional methods and innovative techniques to create a timeless collection for stores worldwide and ecommerce.
We are now looking for a Senior Designer to join our Menswear team. This role will report into the Head of Menswear and is offered on a full time, permanent contract.
As a Senior Designer at COS you will work directly with the Head of Menswear Design and Head of Menswear Buying to drive the assortment and development of the collection through all channels. You will ensure that our offer continues to drive our brand forward delivering quality and design integrity in line with the COS’ DNA. In this role you will be responsible for coaching, developing and actively support junior designers to achieve their goals and those of the team.
What you will do:
Work collaboratively with design, buying and pattern teams from concept to completion while aligning on priorities and direction as well as an efficient workflow
Ensure the development of the collection and trends each season, providing a complete wardrove offer
Together with buying, drive product development while considering sales analyses, customer insights and the creative vision
Show a high level of awareness by constantly evaluating trends, customer behaviours and identifying selling opportunities
Work hands-on, producing and presenting research, sketches, drapes and 3D samples for collection development, ensuring newness and offering true choice to the customer
Develop and communicate visual information to all relevant functions
Research into innovative and sustainable materials to identify and propose new ranges and prospective products
Communicate the department goals and results throughout the organisation
Guide, involve, inspire and develop Assistant and Junior Designers

Qualifications
The ideal candidate is an experienced senior designer with proven team leadership skills who will bring creative strength and newness to each collection with a focus on form and functionality. You will have a strong design identity as well as a clear understanding of the business strategic goals with customer expectations at the heart of what we do.
Significant experience as a senior designer specialised in woven
Certifiable textile/design qualification with a focus on menswear
Strong grasp of sustainable fashion solutions, material innovation and product development
A wide technical knowledge of garment making, fit and fabric
Good eye for colour, detail and proportion
Excellent hand and technical drawing ability
Strong team player and inspiring communicator, previous experience managing a team would be an advantage
Ability to work well in a fast paced and creative environment

If you are interested and think you would thrive in this role, we can’t wait to meet you! Please apply with your CV and a portfolio with a selection of your work most relevant to COS’ design aesthetic and this position, in a PDF format or web URL. Please note that we only accept applications via our careers site.
Additional Information
When you first join COS we will give you a full training plan and access to our E-Learning tool.
In addition to this you will also receive some fantastic benefits including;
25% staff discount on all H&M Group brands.
A generous holiday entitlement.
Employee Assistance Program
A range of long service benefits.
Over the last 10 years we have carefully built a culture where our people are supported, inspired and encouraged to be the best they can. Our brand is creative, forward thinking and modern; choosing longevity over passing trends.
We set the bar high at COS; we are committed to recruiting great people, offering an environment where talent is recognised and valued. We believe that a diverse workforce plays an important role in the success of COS. We celebrate individual differences and appreciate the contribution that all our colleagues make.
Please note this position is offered on a local contract, therefore you should have the legal right to work in the UK before applying.
We look forward to hearing from you!
Job Location
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=8a5f09232b430e5a
7,Digital Designer - 12 month's contract - 37.5 hrs (Battersea),London,Not shown,JoJo Maman Bebe,3.8,today,"Type:
Permanent

Salary:
Competitive

Closing:
16 Apr 2021

HTA Design LLP is an award winning multi-disciplinary design partnership of specialist teams working collaboratively in Architecture, Urban Design, Landscape Architecture, Interior Design, Graphic Design and Communications, Sustainability and Planning. Our focus is on creating great residential places - we have a 50 year track record of the design and delivery of better housing.
We are currently seeking a talented Interior Designer to work in collaboration with our highly skilled architects and contribute to the development of our growing interiors business.


Candidate
To be considered, the successful candidate will have:
A degree in Interior Design, or other relevant qualification.
A passion for and previous experience of working within the residential sector and of residential interior design.
Strong design and technical ability and an understanding of the design process and ability to manage/deliver this from concept to completion.
High level creative skills with the ability to produce concepts, presentations and present with confidence.
A can-do attitude, with a high degree of flexibility and the ability to respond proactively.
Experience of working directly with clients, contractors and multiple design teams.
Excellent interpersonal, written and verbal communication skills, including the ability to communicate confidently by telephone, email and in person with a wide range of people.
First class attention to detail, consistency and accuracy.
Strong organisational skills and ability to manage multiple projects and deliver to tight deadlines.
Strong Microsoft Office Software, Adobe Suite, specifically: InDesign, Photoshop, AutoCAD, and Revit skills are also desirable.


How to apply
If you have what we are looking for and want a role with excellent career development opportunities and a supportive environment, then why not apply?
Closing date for applications: 12 noon, Friday 16th April 2021

Answer all pre-application questions accurately.
Upload a brief letter of introduction.
Upload your CV and a selection of your best and most relevant portfolio samples (formatted as a single PDF file).



By submitting your application to us via our secure online portal, you are providing HTA with your full consent to process, manage and retain your personal information for the purpose of considering you for potential employment. Please refer to HTA's Privacy Notice for Job Applicants.
Candidates must be eligible to live and work in the UK.


Equality, Diversity & Inclusion
HTA is committed to Equality, Diversity and Inclusion and we actively encourage applications from under-represented groups. We value the differences, needs and contributions a diverse workforce represents and we strive to embed this ideal across all our people related activities and to create a culture of belonging.
HTA is a Disability Confident signatory - If you have a disability and would prefer to apply in a different format, or would like us to make reasonable adjustments to enable you to apply or attend an interview (whether virtually or in person), please contact us at: recruit@hta.co.uk quoting 'Reasonable Adjustment Request' and we will be in touch to discuss how we can assist.
Documents
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=ca0f4eae0fbbec3d
8,Acquisition Marketing Executive,London,Not shown,Immediate Media Company London Limited,,today,"Who we are:
We are a multi-channel retailer of maternity wear, babywear and nursery products; with 90+ stores in the UK and Ireland. We have a thriving e-commerce presence, and a growing international trade department. From humble beginnings we now employ over 900 people in the UK.

The key to our success is down to our passion for people and our commitment to running an ethical and sustainable company. Couple this with our fantastic designs, innovative products, attention to detail and never-ending pursuit of high standards means we have built a company that makes us proud.
What we expect from you:
Do you love designing everything digital – web page mock-ups and wireframes, animated and static performance ads, newsletters, social and online campaigns? Are you looking for a role where you can push digital creative forwards and mentor junior designers? We are looking for a Digital Designer in our Graphics Team, working closely with our Print Design Team and Digital Marketing Teams to ensure consistent design across all marketing channels. The role will be highly varied, requires a great deal of collaboration within the team and with other teams and offers the chance to learn from other talented designers in a fun and exciting environment.
Reporting to the Lead Digital Designer, you will be involved in producing the creative look of our websites, social presence and emails; balancing our brand guidelines with our commercial objectives. You will conceptualise and deliver creative ideas across a range of digital channels while helping to mentor junior designers and working closely with them so that they understand their priorities and briefs. Assisting the team to consistently deliver strong creative designs of a high standard, on time and whilst meeting objectives.

You will already have an in-depth knowledge of digital design, an appreciation of HTML and CSS (but don’t actually need to know how to code) and a thorough knowledge of Adobe Creative Suite (especially XD, After Effects and Photoshop).

The role is based in our Battersea Office but offers the opportunity for a blend of office based and homeworking. Macbook Pro, Wacom tablet and full Adobe Suite provided.

Along with your CV, we would also like to see some relevant examples of your work in an online portfolio.

Your main responsibilities will include:

Designing a wide range of projects across multiple digital platforms.
Supporting with BAU updates to the Magento platform across all devices.
Producing highly creative content in line with brand guidelines, briefs and deadlines.
Designing and building marketing Customer Welcome/ Retention Strategy emails, Newsletters, using our DotDigital platform.
Designing banners for Google, Facebook and other paid advertising platforms.
Using animation wherever possible to enhance our brand image.
What we look for in you:
Proven experience as a Digital Designer, gained with forward-thinking, digital-first brands.
Proven ability to effectively mentor junior team members.
A strong portfolio which showcases digital designs across mobile and desktop for responsive websites.
Good understanding of UX/UI design best practice and creating seamless online experiences for customers.
Ability to understand the online customer’s shopping behaviours, expectations and needs, and to use this knowledge in your creative process.
Basic understanding of HTML/CSS – being able to design with the build in mind and being able to work closely with the ecommerce team to ensure that any pages or projects are built exactly as per the designs.
A great eye for detail, and the ability to create pixel-perfect assets.
Good communication skills and the confidence to communicate effectively with juniors, peers and managers.
A strong knowledge of Adobe suite, specifically Adobe XD, After Effects, Illustrator, Photoshop.
Experience using DotDigital (or a similar email marketing platform) and Trello (or similar workflow management tool) would be beneficial.

Along with your CV, we would also like to see some relevant examples of your work in an online portfolio.

The benefits.:

We believe R&R is important so for each year you’re with us, you have an extra day’s holiday!
Why work on your Birthday? Have it off!
Let’s celebrate doing well – encouragement schemes
Helping plan for the future - contributory pension scheme
Get on the move - cycle to work scheme
Support for planning your finances - JoJo saving scheme
Having a great time - fabulous social events
Supporting our communities – volunteer days
We love our products! 40% discount off JoJo branded lines
Learning environment - ongoing training and educational development initiatives
JoJo Maman Bébé
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=6a3bab24dd2ba51b
9,Head Interior Designer,London,Not shown,OKA,3.6,today,"We’re always on the lookout for people who share our ambition — passionate, driven people with fire in their hearts. Do you think you have what it takes?
THE GIG
To deliver commercial footwear designs for our casual category, in-keeping with Dr. Martens Core Values which address the seasonal briefs.
You'll work closely with our Product Team and key retail partners to deliver products.
While continue to evolve technologies, constructions and aesthetics.
THE STUFF THAT SETS YOU APART
Quality Product Design:
Design casual footwear to briefs with innovative and commercial concepts relevant to Dr Martens and work to tight FOB’s and margins
All projects are completed to the Design/Product development timeline
Product Presentation
Create product presentations (internal and external) from concept to final review on all delegated projects Present seasonal concepts and articulate product information to the business Prepare materials and samples for presentations (minimum twice per year)
Liaise and work with Development team and supplier factories as and when required
Development of Prototypes/Samples
Work with Development team to create prototypes that meet with deadlines required on Design/Product calendar
Design Market Trends/Conceptual Research
Create on trend image, material and colour presentations on boards and in document form, for seasonal product reviews, meetings and presentations. Conduct market research at retail and trade shows and through any other innovative medium/platform in order to communicate effectively to the team
OUR FUNDAMENTAL QUALITIES
It’s never just a job at Dr.Martens. It’s a way of life. We live and breathe our Fundamentals: INTEGRITY. PROFESSIONAL. PASSIONATE. TEAM PLAYERS.
Working for Dr. Martens is everything you’d expect it to be. We’re a diverse, passionate bunch who believe each role is as unique as the person who does it.
We're looking for someone who has
Experience in footwear design with a strong design portfolio to match.
Strong design and illustration skills both hand drawn and digital.
Proven ability to work to a brief and translate designs into production ready designs.
Working knowledge of current Mac OS, Adobe Creative Suite, Illustrator, Photoshop, InDesign, PowerPoint, Word & Excel.
Good Working knowledge of footwear constructions and processes.
Experience of working with factories and suppliers in the Far East and able to travel.
WHAT’S IN IT FOR YOU?
Welcome to the family free pair of docs
65% off all docs
Our Culture Team are a dedicated team focusing on culture, wellness, and charity work across the business
2 paid volunteer days per year
4.30 Friday finish
Amazing Camden based offices with roof terrace overlooking the canal
Private healthcare
Pension contribution
Are you ready to fill your boots? Apply now.
At Dr. Martens, we are committed to creating an environment where we can all be proud to work and be our best. Part of this commitment is being an equal opportunity employer. All qualified applicants will be considered for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, and age.
Today
- apply on company site
Report job",https://uk.indeed.com/viewjob?jk=a5896e9801860999
