,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Technology & Research Support - iHUB Urban Design Laboratory,Melbourne VIC,Not shown,Swinburne University of Technology,4.1,today,"The first of its kind, the iHUB is a state of the art national Research Facility, leveraging virtual technologies to bring together politicians, planners, developers, architects, engineers, social scientists and citizens across 5 nationally established nodes in 4 capital cities to make collective decisions and take appropriate actions around urban development, using real time data and ‘what-if’ scenarios. This position has cross-Faculty and Swinburne Research support and resides within the Faculty of Health, Arts and Design.

In this role you will support the seamless integration of Swinburne’s iHUB’s node in Hawthorn with the national partner nodes across Australia. You will optimise the Hawthorn node’s operational capabilities, efficiencies and effectiveness in providing an exceptional collaboration experience for the iHUB’s Swinburne University Research staff. Duties will include: the general management and set-up of the iHUB; maintaining an urban modelling digital workbench enabling reliable interoperability between combinations of proprietary, open source, and in-house software tools; provide support to successfully restore service or resolve problems with Swinburne IT Support Group.

About Swinburne University of Technology
Swinburne is a multi-sector university of science, technology and innovation with more than 54,000 students and 5,000 staff globally. We offer postgraduate, undergraduate, vocational education and online education to provide students with a variety of work-relevant pathways. Our mission is to be a world-class university, creating economic and social impact through science, technology and innovation. We aim to deliver future-ready learners, research with impact and innovative enterprise.

Faculties, Institutes and Research Centres
The iHUB Laboratory will be linked to leading edge researchers drawn from the Faculties of Health Arts and Design as well as Science and Engineering Technology as well as through links with University Research Institutes such as The Smart Cities Research Institute and Research Centres such as the Centre for Urban Transitions. Leading edge research centres, strong ties to industry and commitment to high-quality, high-impact research allows you to understand contemporary urban societies deeply, bring real world problems to focus and make your mark with innovative solutions.

About you
To be successful in the role, you will have:
Relevant qualifications (BSc. Computer Science/software engineering/IT) and relevant experience; or an equivalent combination of relevant experience and/or education/training. In particular, AV/IT experience for collaborative urban design applications using SAGE2 and other interactive software
A strong customer service orientation with a focus on results and quality of service.
Ability to exercise substantial initiative and high level judgement and to work independently or as part of a team to deliver outcomes within defined timeframes
A full list of selection criteria is available within the position description.

Benefits
Participate in regular staff and management development programs
Onsite health services
Private health insurance discounts
Discounted annual Myki cards are available to Swinburne staff
To find out more about the extensive range of benefits offered to Swinburne employees please visit Career Benefits

How to apply and further information
Please submit your application by clicking on the ‘Apply’ link, and submit a resume, cover letter and a response to the Key Selection Criteria, as listed in the position description. For further information about this position, contact Professor Peter Newton Research Professor - Centre for Urban Transitions via email pnewton@swin.edu.au

Should you require further support for an interview due to special needs or consideration, please contact Maree Norden (Diversity Manager)on inclusion@swin.edu.au. For support or queries related to Aboriginal and Torres Strait Islander employment, please contact DeadlyCareers@swin.edu.au
If you are experiencing technical difficulties with your application, please contact the Recruitment team on staffrecruitment@swin.edu.au

Agency enquiries will not be accepted for this position.

Swinburne is a large and culturally diverse organisation. We are proud of our commitment to equity and inclusion through key initiatives such as our Charter of Cultural Diversity, Pride@Swinburne Strategic Action Plan, Science in Australia Gender Equity (SAGE) Action Plan and our Reconciliation Action Plan. Equity and diversity are integral to our 2025 vision to be a world class university creating social and economic impact through science, technology and innovation.

Applications close at 5pm on Tuesday 6th April 2021
Just posted
Report job",https://au.indeed.com/viewjob?jk=da75c9525bfc976c
1,"Casual Teachers - Illustration, Visual Arts, Photography, Graphic Design (Art & Design)",Frankston VIC,Not shown,Chisholm Institute,3.5,today,"S

Multiple opportunities to teach Illustration, Visual Arts, Photography and Graphic Design with our Art and Design program area.

You will provide professional teaching and vocational expertise, across all aspects of delivery, planning and performance to ensure excellent outcomes for learners.

Focusing on excellence in learner support, teaching delivery and learning assessment, your key accountabilities will be to:
Plan education practices and delivery sessions that reflect the most effective way to engage learners
Develop and deliver planned teaching sessions in a variety of innovative and adaptive ways, using technology, including Moodle, to engage learners and meet their needs and learning styles
Liaise with key stakeholders such as employers, schools and other education providers to explore pathway options for learners as required
Implement the Institute’s Educational Excellence Framework across all teaching and learning practice
Maintain professional development by ensuring educational currency and excellence and actively participating in the development of own annual professional development plan in line with Institute practices and policies

ABOUT YOU

You will have relevant tertiary qualification in:
Certificate IV in Training and Assessment (TAE40116) or qualifications that meet the RTO Standards
Vocational qualifications at AQF level equivalent to the highest level of teaching of the discipline
Vocational currency as demonstrated through a range of work and related experience
Registration with relevant professional bodies/associations as required for the discipline

Crucial to your success will be your strong understanding of contemporary approaches education, teaching and learning. A proven track record in design and delivery of up to-date and engaging programs in conjunction with the ability to motivate and guide students to optimise their learning outcomes.

You will have the ability to quickly develop rapport with students and colleagues from a diverse background in a collaborative and innovative environment. As well as have a firm understanding of educational administration tools and practices.

Aboriginal and Torres Strait Islander people are encouraged to apply.

OUR COMMITMENT TO DIVERSITY

At Chisholm, we embrace differences in gender, age, ethnicity, race, cultural background, disability, religion and sexual orientation. We know that diversity and inclusion helps us to attract, recruit, engage and retain a team of talented people. If you require specific support to apply for this position, please advise the recruiting manager whose contact details are listed in the advertisement. We will work with you to identify the best way to assist you.

HOW TO APPLY

Applications for this position close 9am Monday 12 April 2021.

Applications should include:
a covering letter
curriculum vitae
contact details of three (3) referees

Appointment to this position is subject to satisfactory completion of Safety Screening requirements including but not limited to:
Valid Employee Working With Children Check
National Police Check
International Police Check (if applicable)
Verification of unrestricted work rights in Australia, eg citizenship, passport or birth certificate
Certified copies of qualifications

If you have any questions regarding the position or require further information please contact Rachel Hunter, Manager Art and Design on +61 3 9238 8404.

Chisholm Institute reserves the right to withdraw an advertised position at any stage.
Position Description Graphic Design
Opens in new window
Position Description Visual Arts & Illustration
Opens in new window
Today
Report job",https://au.indeed.com/viewjob?jk=a81d910ae92606fb
2,Interior Designer (Revit),Melbourne VIC,"$50,000 - $70,000 a year",Martin Friedrich Architects,,today,"Job Summary
Great opportunity to work in a design focused studio in one of the best working environments, located in St Kilda.
Martin Friedrich Architects is an architectural and interior design studio who is seeking an experienced Interior Designer (Revit) to join our growing, close knit team for an immediate start.
Specialising in luxury single residential and high end multi residential/apartment developments, this medium size studio has a fun, collaborative work environment.
The Role
You must have documented, run and/or designed residential / multi residential projects (preferably high end) using Revit. This studio prides itself on the high level of design, detail and documentation that we provide to clients. You will be technically minded and enjoy the challenge presented in complex interior design and conceptual detailing.
Within this medium size studio, you will be working closely with 2 other interior designers.
Desired Skills and Experience:
To be successful, we need someone that can offer:
· Minimum of 3 years Revit documentation experience on on various residential projects
· A high level of design and passion for interiors particularly high end residential
· 2 years minimum Australian experience (preferred)
· Interior products knowledge
· Communication and organisation skills
· Self starter, confident and self sustained
· Ability to work independently as well as part of a team
What you'll get in return - You will have the opportunity to work within a great team environment with lots of growth potential. Great location and benefits, most of all an opportunity to work in a collaborative nature.
Martin Friedrich Architects is a boutique design practice, focused on inspiring and functional architecture for high-end residential and multi-residential projects. We have various new clients as well as many repeat clients.
View our Company Website: www.mf-arch.com.au
Instagram: @martinfriedricharchitects
Please send us your CV and folio in particular demonstrating documentation knowledge. Please ensure your CV includes your attached folio.
Job Types: Full-time, Contract, Permanent
Salary: $50,000.00 – $70,000.00 per year
Schedule:
8 hour shift
Monday to Friday
Experience:
Revit residential documentation: 3 years (Preferred)
Education:
Bachelor Degree (Preferred)
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Required)
COVID-19 Precaution(s):
Temperature screenings
Social distancing guidelines in place
Sanitising, disinfecting or cleaning procedures in place
Today
Report job",https://au.indeed.com/viewjob?jk=c012e7ded9e658af
3,Graphic Designer,Melbourne VIC,"$40,000 a year",Security in Depth,,today,"Job Description
About the business
Our mission
To derive satisfaction from helping to create a more secure society with the help of our technical and innovative solutions (Mission for 2025).
Our core values
· To lead the way in innovation.
· Discretion: we work with and create confidential information and we are trusted by our clients to handle their sensitive information.
· Excellent reputation: being part of something unique (pride).
· Encouraging both individual skills and entrepreneurial and technical creativity.
· Enjoying what we do and working with colleagues.
What is the SiD culture?
At SiD, we are passionate about our work and take great pleasure from it. Our culture is characterised by many factors, including the following:
· A lot of our colleagues are smart nerds.
· We value and respect each other.
· We communicate informally and always know how to get in touch with each other.
· Confidentiality and integrity are a given for us.
· We have the freedom to share, investigate and implement innovative ideas.
· We learn from each other and from our mistakes.
· We are always alert, to the point of being paranoid.
· We are honest and open in our communications and give our opinion, solicited or unsolicited.
· We are great colleagues.
· We have really good coffee.
About the role
Job Description
· Work simultaneously on 5+ projects based on current client workload
· Planning concepts by studying relevant information and materials.
· Illustrating concepts by designing examples of art arrangement, size, type size and style and submitting them for approval.
· Create visual aspects of marketing materials, websites and other media, including infographics
· Preparing finished art by operating necessary equipment and software.
· Coordinating with outside agencies, art services, web designer, marketing, printers, and colleagues as necessary.
· Contributing to team efforts by accomplishing tasks as needed.
· Communicating with clients about layout and design.
· Creating a wide range of graphics and layouts for product illustrations, company logos, and websites with software such as photoshop.
· Reviewing final layouts and suggesting improvements when necessary.
Benefits and perks
· We are a very flexible organisation - this is a part time role and we are happy for you to choose your own hours and even days you work.
· Based in StKilda Rd, Melbourne
Skills and experience
· Bachelor's degree in graphic design or related field.
· Experience as a graphic designer or in related field.
· Demonstrable graphic design skills with a strong portfolio.
· Proficiency with required desktop publishing tools, including Photoshop, InDesign Quark, and Illustrator.
· A strong eye for visual composition.
· Effective time management skills and the ability to meet deadlines.
· Able to give and receive constructive criticism.
· Understanding of marketing, production, website design, corporate identity, product packaging, advertisements, and multimedia design.
· Experience with computer-aided design.
Job Types: Full-time, Part-time
Salary: $35,000.00 – $60,000.00 per year
Job Types: Full-time, Permanent
Salary: From $40,000.00 per year
Benefits:
Employee mentoring program
Professional development assistance
Work from home
Schedule:
Monday to Friday
Experience:
Adobe: 1 year (Required)
Graphic Design: 1 year (Required)
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Required)
Work Remotely:
Yes
COVID-19 Precaution(s):
Remote interview process
Today
Report job",https://au.indeed.com/viewjob?jk=2fc496f88eda73a4
4,Senior UI/UX Designer,Melbourne VIC,"$150,000 a year",Mountleap HR Solutions,,today,"Overview
Our Client is a rapidly growing technology company with a broad spectrum in finance, communication with the most updated disruptive technology.
This role is an exciting opportunity to join a thriving, well-funded company with big ambitions. In addition to doing ground-breaking work, this role will be pivotal in establishing a culture of open thinking, positive communication, and continuous learning. We are looking for the best and brightest to take our platform to the next level.
Key Accountabilities
The ideal candidate will be a self-starter, capable of delivering brilliant creative ideas and innovative designs. You’ll have amazing attention to detail, love challenges and be opened to not only teaching new technologies to the team but also learning from existing technologies and processes as well. You will be empathetic to users and motivated to create quality product experiences for our users. You’ll be involved in all aspects of the creative process and be well supported by senior staff.
Requirements
5+ years of of web or mobile web design experience, familiar with Web, iOS, Android UI design rules. UI design is preferred
Familiar with the usage patterns of mobile web users and attach importance to user experience
Be keen on the latest UI and tech trending; Asking for strong visual skills and keen aesthetics; extensively understand international UI design trending
Proficient in commonly used design software such as Photoshop, Illustrator, XD and Sketch; Familiar with most of the design theories and sensitive about any current trending design style
Detail oriented person preferred. A man with passions on interactive animation.
Responsible for the visual design and process design of the mobile application’s presentation; and carry out specific renderings and visual design according to the product prototype (including primary and secondary interface stylization, in control of details of web page layout, icon design, etc.)
Be able to understand the connections between product design in a short time; And ensure the feasibility of the design
Please send us your resume and PDF portfolio
Perks and Benefits
Unlimited room for improvement and advancement in an ever-growing company
Great work culture and environment
Career growth
Job Types: Full-time, Permanent
Salary: Up to $150,000.00 per year
Schedule:
Monday to Friday
Experience:
web or mobile web design: 5 years (Required)
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Required)
Work Remotely:
No
Today
Report job",https://au.indeed.com/viewjob?jk=8a625dd6d93ae2b1
5,Digital Designer - Melbourne,Melbourne VIC,Not shown,Aginic,,today,"Aginic is on the hunt for an enthusiastic, innovative Digital Designer to join our creative team. The right candidate will be full of ideas and driven by an innate desire to create great work.

As a Digital Designer at Aginic you will create user-friendly designs, including (but not limited to) data visualisations (dashboards), websites, web & mobile applications as well as a range of branding elements (such as infographics, logos and icons). You will work closely with clients, data analysts and developers to reach the best design solutions. The work is very diverse and will range from making rough prototypes to facilitating workshops with clients.

REQUIREMENTS

You have a strong creative portfolio and a willingness to expand your skill set. You are smart, in
Mustakbil
Today
Report job",https://au.indeed.com/viewjob?jk=f7eaa930e2dca938
6,Business Solutions Designer (CL 4),Melbourne VIC,"$135,000 a year",State Trustees Limited,3.6,today,"Job Description
Location: Melbourne | Western Metropolitan
Job type: Full time / 12 months
Organisation: State Trustees Limited
Salary: Salary not specified
Occupation: IT and Telecommunications
Reference: VG/CS/1523793ES
Footscray location, with initial working from home arrangement
Full time 12-month contract
Salary circa $135,000 plus super
Applications close 12 April 2021

About State Trustees

State Trustees is a state government owned company that plays an important role in building awareness and educating the community to protect the legacy and financial affairs of Victorians - we believe every Victorian deserves to live on, that's why we exist.
For more information about State Trustees and what we offer as an organisation, please visit www.statetrustees.com.au
About the Role
Reporting to the Solution Delivery Manager, we have an excellent opportunity for an experienced Solutions Designer to assist with the solution requirements and provide quality and innovative solutions. This position works closely with all divisions of the business to create business process and information models, determine requirements and design efficient, integrated technology solutions for State Trustees, with the objective of minimising risk and realising expected benefits.
Duties
Develop solution requirements using various methods, including interviews, process modelling, requirements workshops and surveys
Analyse and document solution requirements for the purpose of improving, updating and implementing solutions in line with business objectives and capability models
Engage with business stakeholders and project managers to clarify and validate high level solution requirements
Deliver design artefacts requirements for the implementation and handover phases
Produce solution options, based upon business and solution requirements
Skills and Experience
Strong customer service focus
Tertiary qualification in Information Technology, Business Management or related discipline
Proven experience and success in problem-solving and delivering appropriate solutions
Demonstrable experience in technologies underpinning the IT assets within the portfolio
Proven IT and business change management experience with an emphasis on providing of business and user focussed technology solutions
Well-developed relationship management and interpersonal skills.
Good working knowledge of multi-tier / web services applications developed in a service-oriented architecture
Experience in all facets of the SDLC (system development life cycle)
Experience in project management methodologies and the practical management of projects
Experience in business process re-engineering and process improvement
Experience in applying sound IT Service Management practices, such as ITIL or DevOps
Technical knowledge of system design, development techniques, IT infrastructure and database concepts
Excellent communication skills (written and spoken)
How to Apply
Click the Apply button to commence the application process. Please include a cover letter and your current resume.
Note you do not need to address any key selection criteria and may skip step in the application process.
We are an Equal Employment Opportunity employer committed to fairness, diversity and respect. As such, we will respond to requests for reasonable adjustments from applicants with disabilities.
We strongly encourage applications from Aboriginal and Torres Strait Islander people.
Victorian Government
Today
Report job",https://au.indeed.com/viewjob?jk=bb63c95b6671cf60
7,Graphic Design Team Lead,Melbourne VIC,Not shown,Foundr Magazine,,today,"We need you, an experienced Digital Graphic Designer Team Lead to join us in our mission to build a household name entrepreneurial brand impacting 10’s of millions of founders on a weekly basis with our content. HQ’ed in Melbourne, we now operate a truly global business. In order to deliver a product that's used by millions of people across the globe, we’re building a team that represents this user base. That’s where you come in!

As Team Lead of the Graphic Design Team you will report to our Head of Growth & Marketing and you will have the opportunity to showcase your broad set of design skills to a massive audience!

You will have solid experience creating graphics and collateral for social media and marketing campaigns, as well as leading teams to deliver.
Mustakbil
Today
Report job",https://au.indeed.com/viewjob?jk=848c0e4aff740c56
8,SENIOR INTERIOR DESIGNER,Melbourne VIC,Not shown,Bloomfield Tremayne & P,,today,"Innovative, cutting edge environment
Stunning office in the city centre
Career transforming role
With offices based around the globe, this medium-sized practice is located in the heart of the city and they've built a reputation for their innovative and dynamic design solutions.
Having secured a high profile and complex workspace project, they are keen to appoint a Senior Interior Designer with a minimum of 10-12 years experience delivering large corporate spaces.
To excel in this key role, our client expects the ideal candidate will possess:
10-12 years experience on large workplace, government, public and health fitouts
Able to work through the life cycle of the project from strategy through to delivery and execution2
Exceptional client management and coordination skills
Revit proficiency
From a personal perspective, a flexible, positive, professional approach and ability to work autonomously will be key. You will also be responsible for leading and supporting a small team of designers and ensuring their work is delivered efficiently and effectively.
In your dealings with clients and internal and external stakeholders, it goes without saying that outstanding people skills are essential.
Moving forward, you would be involved in the design and delivery of a range of public, government, civic and health focused fitouts.
The atmosphere is relaxed but focused and filled with positive, forward thinking people. They encourage social events and supportive management strategies.
Brilliant opportunity where you can rest assured that you'll be rewarded for your depth of experience, talent, innovation and leadership capabilities.
If you would like to be part of this down to earth team, apply now!
For further information or a confidential chat please contact Stephanie on 03 9349 1055.
Reference number: M17723
To view all job opportunities currently available, which are updated daily please visit:
www.bloomfieldtremayne.com.au
Please Note: Bloomfield Tremayne adhere strictly to the Privacy Act 1989, you can be assured that your information will be kept confidential and not forwarded to a 3rd party without your consent.
Today
Report job",https://au.indeed.com/viewjob?jk=1c0369720b2c8cdd
9,Graphic Designer,Melbourne VIC,"$55,750 - $85,229 a year",Immex Group,,today,"Are you a talented Web/Graphic Designer?
We need a designer with a proven track record to join our boutique creative tech business, providing both unique and custom web design/development, mobile and online marketing solutions to property developers and agents.
You will not only deliver quality web & graphic design work to a high standard but we are looking for plenty of creative ideas.
The role will also be very client focussed, assisting the account director with scoping and design and working along side our front end and back end development team.
Job Types: Full-time, Permanent
Salary: $55,750.00 – $85,229.00 per year
Benefits:
Work from home
Schedule:
Monday to Friday
Experience:
Graphic Design: 2 years (Preferred)
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)
Work Remotely:
Yes
COVID-19 Precaution(s):
Remote interview process
Virtual meetings
Today
Report job",https://au.indeed.com/viewjob?jk=83de83fcf955d3d4
