,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,UI/UX Designer,"Milano, Lombardia",Not shown,Webranking,3.2,today,"Stiamo cercando un* UX/UI Designer per la nostra sede di Milano.
Farai parte del team UX/UI di Webranking che si occupa di ideare e sviluppare strategie volte a migliorare la comunicazione e la visibilità online dei brand attraverso il miglioramento della User Experience, raggiungendo, con contenuti creativi ad alto engagement, il target di riferimento dei nostri clienti. Ti interfaccerai con tutti gli altri team del digital marketing in Webranking, dalla SEO, al Content fino all’Analytics al fine di progettare interfacce dal punto di vista dell’esperienza digitale.
Ruolo
Come UX/UI designer seguirai l’intero flusso di realizzazione, dalla fase iniziale di research alla delivery. Lavorerai a stretto contatto con il team di sviluppo, trasformando gli obiettivi di business in “esperienze” digitali.
Requirements
Sei la persona che stiamo cercando se hai:
Laurea in discipline artistiche, design, comunicazione grafica e visiva, usabilità e psicologia cognitiva o esperienza analoga in ambito di web design o progettazione UX/UI.
Una specializzazione in ambiente digital e hai maturato almeno 2 anni di esperienza in agenzie web o creative come UX/UI Designer (è richiesto un Portfolio di progetti differenti che mostri le competenze nei vari ambiti)
Conoscenza dello User Centered Design e del Data Driven design
Conoscenza delle principali tecniche di User Research e di Service Design
Proponi le migliori soluzioni UI sulla base dei feedback degli utenti e dei KPI aziendali
Realizzi interfacce ed applicativi avvalendoti dei principali strumenti di progettazione e prototipazione visuale (es: Axure, Figma, Sketch, Adobe XD)
Conoscenze di Google Analytics e analisi dei dati a supporto della progettazione
Conosci ed utilizzi le logiche di monitoraggio dell’esperienza utente online: (es. CrazyEgg, Usabilla, Hotjar, Clarity)
Caratteristiche personali:
Forte passione per il mondo digitale
Capacità di presentare efficacemente le proprie idee e il proprio lavoro
Team working e flessibilità
Intraprendenza e capacità di trovare soluzioni in autonomia quando necessario
Nice to have:
Buona conoscenza della lingua inglese
Conoscenza della metodologia Agile
Precedente esperienza in team strutturati su prodotti digitali complessi e basati su un Design System
Pregressa esperienza nella progettazione di app mobile
Esperienza in ambito CRO testing (Conversion Rate Optimization / AB testing)
Benefits
Avrai la possibilità di entrare a far parte di un team affiatato a cui offriamo:
Smart Working
Contributo Smart Working Station
Flessibilità oraria
Buoni pasto
Formazione interna e esterna con tempi e budget dedicati con occasioni di partecipazione a eventi in Italia e all’estero
Welcome kit: zaino, laptop, borraccia e postazione di lavoro dedicata
Possibilità di partecipare ad eventi di team building aziendali offerti da Webranking.
Inquadramento e tipologia contrattuale saranno discussi in sede di colloquio in base alle effettive esperienze e competenze maturate.
Oggi
Segnala offerta",https://it.indeed.com/viewjob?jk=dfda56908e3fbe18
1,JUNIOR GRAPHIC DESIGNER,"Abbiategrasso, Lombardia",Not shown,Pasquali,4.5,1 giorno fa,"JUNIOR GRAPHIC DESIGNER
BCS S.p.A. è una società multinazionale leader nel settore della meccanizzazione agricola. Con genialità inventiva e iniziativa imprenditoriale progetta e costruisce macchine secondo la migliore espressione tecnologica del settore per applicazioni sempre più esigenti.
Mettendo in campo investimenti importanti e impegno costante sviluppa nuovi prodotti di grande tradizione meccanica unita alle più innovative soluzioni elettriche ed elettroniche.
La risorsa, all’interno del team di Marketing & Comunicazione si occuperà di sviluppare le attività di grafica, design e comunicazione del brand e dei prodotti.

Le attività principali di cui si dovrà occupare saranno:

Editing grafico, impaginazione ed elaborazione immagini per cataloghi, campagne stampa, affissioni, eventi, materiali istituzionali e pagine web del Gruppo;
Restyling grafico di brand, creazione di esecutivi di stampa, campagne di digital advertising e loghi;
Attività di editing e montaggio video;
Realizzazione di 3D e rendering realistici.

Il candidato ideale è in possesso dei seguenti requisiti:
Diploma o laurea triennale in ambito Grafico/web Design;
Gradita esperienza preferibilmente di almeno 1/2 anni nel ruolo;
Ottima conoscenza dei programmi principali della Creative Suite Adobe (in particolare Photoshop, Illustrator, Indesign e Dimension);
È gradita la conoscenza base di almeno un programma di montaggio video;
Buona padronanza della lingua inglese (scritta e parlata).

Completano il profilo le seguenti caratteristiche personali: capacità di lavoro in gruppo, creatività e proattività, precisione nella realizzazione del materiale grafico, capacità comunicative e di organizzazione, affidabilità e flessibilità.

Si offre inserimento in un contesto altamente qualificante, dinamico e con investimenti in crescita.

Cosa comprende l'offerta: ottima opportunità di carriera.

Sede di lavoro: Abbiategrasso (MI).
1 giorno fa
Segnala offerta",https://it.indeed.com/viewjob?jk=bba312f9a85399a4
2,GRAFICO/A IMPAGINATORE/TRICE,"Milano, Lombardia",Not shown,Manpower Italia,3.8,1 giorno fa,"Manpower per prestigioso quotidiano con tiratura nazionale con sede a Milano, ricerca:

GRAFICO/A IMPAGINATORE/TRICE

La risorsa, inserita all'interno del team, si occuperà della progettazione e della realizzazione grafica delle pagine di quotidiani, periodici e libri.
Principali attività:
'' Analizza, insieme al redattore editoriale, le esigenze redazionali relative alla priorità e al taglio dei contenuti
'' Propone un'impaginazione (layout) coerente con il progetto grafico generale della pubblicazione
'' Definisce la gabbia grafica che meglio risponde alle esigenze redazionali e giornalistiche
'' Progetta il menabò (struttura grafica in cui viene inserito il testo e l'apparato iconografico) secondo le direttive ricevute dal redattore editoriale
'' Sceglie il materiale fotografico tenendo conto degli argomenti trattati nei testi
'' Adatta la grafica al testo e/o chiede la riduzione o l'ampliamento dell'articolo al redattore editoriale o al giornalista che l'ha scritto
'' Collabora con l'illustratore alla definizione dei disegni (vignette, disegni grafici, ecc.)
Il profilo ideale è una risorsa con buona preparazione tecnica in ambito grafico, precedente esperienza anche di stage in ruolo analogo, conoscenza dei programmi di grafica (photoshop, xpress, illustrator) conoscenza di base di disegno, di colorimetria, dei sistemi di stampa, capacità di applicare le tecniche della comunicazione visiva, del photoediting, di progettazione grafica, di impaginazione.
Dovrà altresì essere in grado di consultare le banche dati fotografiche, di valorizzare i contenuti redazionali per stimolare l'attenzione del lettore e dotato di una sensibilità fotografica.

Orario di lavoro: da Lunedì a Sabato su 3 turni nella fascia 14.00 - 23.30. è richiesta la disponibilità a lavorare anche nei festivi.

Sede di lavoro: Milano - MM Gialla

Si offre: inserimento diretto in Azienda. Ral 26K.
NOTE LEGALI:
Manpower è una compagnia eticamente responsabile. Il servizio è gratuito. I candidati ambosessi (L.903/77 - D.Lgs. n.198/2006) sono invitati a leggere l'informativa Privacy su www.manpower.it Aut. Min. Prot. N. 1116 - SG - del 26/11/04.
Il titolare della registrazione e/o candidatura dichiara di essere a conoscenza delle sanzioni penali previste in caso di dichiarazioni mendaci o contenenti dati non più rispondenti a verità come previsto dal D.P.R. nº445 del 28.12.2000
1 giorno fa
Segnala offerta",https://it.indeed.com/viewjob?jk=26e8571faa928dc0
3,Instructional Designer/eLearning Developer,"Milano, Lombardia",Not shown,Clinical Solutions,,1 giorno fa,"Position Summary:
The Instructional Designer/eLearning Developer’s role is to partner across the Global Learning and Development team to provide consultative advice and insight on the design and development of eLearning tools and training materials. To serve as an expert resource to other Learning & Development team members on instructional design, adult learning principles and effective learning tool identification; to create those tools and manage the distribution/assignment of learning solutions through our Learning Management Systems.

Essential functions of the job include but are not limited to:

Advise global learning & development team members on best in class design, interface, interactivity and tools for eLearning solutions
Create instructionally sound, interactive, eLearning materials leveraging existing training documents, presentations and tools
Collaborate with subject matter experts to understand their needs and guide them in the development of draft training materials
Maintain and update online training materials as required
Partner with Learning and Development department members on professional L&D expertise
Project manage and create status reports of online training development progress

Qualifications:
Minimum Required:
Bachelor’s degree, or equivalent experience in learning and development roles
At least 5 years in Instructional design and eLearning development
Advanced skills in using Articulate Storyline/Rise
Expertise in Adobe Creative Suite software including Rise, Photoshop, Illustrator and InDesign or other viable rapid authoring tools
Ability to synthesize complex topics into easy-to-understand communication and training materials.

Other Required:
Strong written and verbal communication skills
Strong organizational, project and time management skills
Fluent in ppt design and layout
Ability to work both independently and within a team
Expertise in Instructional Design, Adult Learning and consulting skills
Experience in JavaScript, PHP, MySQL, Responsive HTML/CSS
Strong troubleshooting and problem solving skills
Solid testing and QA practices
Self-starter with solid self-management skills
Demonstrated experience creating user interfaces, development of color schemes with a strong understanding of composition
Demonstrated experience producing design process deliverables – wireframes, style frames, story boards, etc.
Creative thinker to conceptualize content, and then have the organizational mind to create a pragmatic plan of action.

Preferred:
Familiarity with Learning Management System operations

Competencies:
Able to communicate in an effective, global/multicultural manner, where English may be a secondary language
Highly motivated and inquisitive; concise, articulate, and creative
Ability to distill complex concepts into simple, understandable communications
Extremely collaborative, a team player, an outstanding communications consultant
Excellent attention to detail and ability to see and work towards a big picture
Comfortable with a fast-paced, always-on, quickly changing environment and deadline driven
Ability to transition seamlessly among projects of varying scale, audience, format, and distribution channels
Fluent in English

Precision Medicine Group is an integrated team of experts in fields from advanced lab sciences to translational informatics, clinical trial delivery, and regulatory affairs, payer insights to marketing communications. Together, we help our pharmaceutical and life-sciences clients conquer product development and commercialization challenges in a rapidly evolving environment.
Precision Medicine Group
1 giorno fa
Segnala offerta",https://it.indeed.com/viewjob?jk=ff412d960f94f31a
4,Fashion Designer,"Milano, Lombardia",€1.200 al mese,Ansperto SRLS,,1 giorno fa,"Startup moda ricerca con soluzione contratto progetto designer per realizzazione di abbigliamento, il candidato ideale è una persona pronta a lanciarsi in un nuovo progetto da zero e costruire un carriera all'interno dell'azienda
Contratto di lavoro: Tempo pieno, Lavoro a progetto, Tempo indeterminato
Stipendio: a partire da €1.200,00 al mese
Benefit:
Lavoro da casa
Orario flessibile
Disponibilità:
Dal lunedì al venerdì
Orario flessibile
Turno diurno
Retribuzione supplementare:
A progetto
Bonus
Premio di produzione
Esperienza:
fashion designer o simili: 1 anno (Opzionale)
Smart working:
In via temporanea, causa COVID-19
Precauzioni contro il COVID-19:
Colloqui da remoto
Misurazione della temperatura
Riunioni virtuali
1 giorno fa
Segnala offerta",https://it.indeed.com/viewjob?jk=3b4c129a7d4b994c
5,Graphic Designer,"Milano, Lombardia",Not shown,Adecco,3.8,2 giorni fa,"BCS S.p.A. è una società multinazionale leader nel settore della meccanizzazione agricola. Con genialità inventiva e iniziativa imprenditoriale progetta e costruisce macchine secondo la migliore espressione tecnologica del settore per applicazioni sempre più esigenti.
Mettendo in campo investimenti importanti e impegno costante sviluppa nuovi prodotti di grande tradizione meccanica unita alle più innovative soluzioni elettriche ed elettroniche.
La risorsa, all’interno del team di Marketing & Comunicazione si occuperà di sviluppare le attività di grafica, design e comunicazione del brand e dei prodotti.

Le attività principali di cui si dovrà occupare saranno:

Editing grafico, impaginazione ed elaborazione immagini per cataloghi, campagne stampa, affissioni, eventi, materiali istituzionali e pagine web del Gruppo;
Restyling grafico di brand, creazione di esecutivi di stampa, campagne di digital advertising e loghi;
Attività di editing e montaggio video;
Realizzazione di 3D e rendering realistici.

Il candidato ideale è in possesso dei seguenti requisiti:
Diploma o laurea triennale in ambito Grafico/web Design;
Gradita esperienza preferibilmente di almeno 1/2 anni nel ruolo;
Ottima conoscenza dei programmi principali della Creative Suite Adobe (in particolare Photoshop, Illustrator, Indesign e Dimension);
È gradita la conoscenza base di almeno un programma di montaggio video;
Buona padronanza della lingua inglese (scritta e parlata).

Completano il profilo le seguenti caratteristiche personali: capacità di lavoro in gruppo, creatività e proattività, precisione nella realizzazione del materiale grafico, capacità comunicative e di organizzazione, affidabilità e flessibilità.

Si offre inserimento in un contesto altamente qualificante, dinamico e con investimenti in crescita.

Cosa comprende l'offerta: ottima opportunità di carriera.

Sede di lavoro: Abbiategrasso (MI).
2 giorni fa
Segnala offerta",https://it.indeed.com/viewjob?jk=b63676e34f5f238e
6,JUNIOR GRAPHIC DESIGNER,"Abbiategrasso, Lombardia",Not shown,BCS,3.6,2 giorni fa,"Consultant Adecco Technical & Engineering Milano City seleziona per conto di Azienda cliente, specializzata nel settore Graphic & Marketing , zona Milano City:

Graphic Designer

Obiettivo

Il Graphic Designer si occuperà della realizzazione di loghi, locandine, poster, volantini, ma anche layout di stampa per l'editoria o la veste grafica del packaging di prodotti, banner, maxi affissioni, layout particolari per rivestimenti pubblicitari o di comunicazione oltre alla predisposizione di qualsiasi tipo di bozza grafica necessaria agli uffici della Società.
Si occuperà inoltre della predisposizione di file esecutivi di stampa per ogni eventuale lavoro da inviare alle stampe.
Dovrà inoltre essere in grado di realizzare rendering per l'allestimento di eventi, fiere o esposizioni per le quali potrà essere necessaria una fase di progettazione visual degli spazi e dei luoghi da allestire.
Dovrà avere dimestichezza con tutti i formati previsti dalla Social Communication, in particolare modo Instagram e Facebook.
Il Graphic Designer dovrà essere in possesso di un titolo di studio professionale legato al mondo della Grafica e/o dell'Arte.
Il candidato ideale dovrà avere capacità di operare in Team, facilità di partecipazione attiva in Brainstorming, conoscenza del mondo dello shopping e della comunicazione ad esso correlata.
Rapidità nell'utilizzo degli strumenti di elaborazione dei files sarà requisito decisamente importante.
Il Graphic Designer lavorerà in Team con il settore Marketing e sarà strettamente operativo con un Art Director col quale elaborerà e realizzerà idee e proposte da sottoporre alla direzione Marketing.

REQUISITI FONDAMENTALI
Capacità di disegnare a mano libera e con Tavoletta Grafica.
Ottima conoscenza ed operatività con i seguenti programmi:
Adobe Photoshop
Adobe Illustrator
Adobe InDesign
Pacchetto office, non sono richieste particolari abilità in Excel

E' gradita la presentazione di lavori eseguiti per altre Aziende e/o esercizi didattici.
Potrà essere prevista una prova pratica.

CCNL commercio - Livello 5°
Contratto a tempo determinato per un anno
Retribuzione lorda annua: € 24.000 (divisa in 14 mensilità)

Milano zona San Babila
E' richiesta la disponibilità dal 1°/04/2021

Disponibilità oraria: Full Time

CCNL: commercio

Livello contratto: 5° livello

Patente: B

Mezzo di trasporto: Auto
2 giorni fa
Segnala offerta",https://it.indeed.com/viewjob?jk=bdfd53be6914dfd4
7,Digital Marketing Specialist,"Milano, Lombardia",Not shown,Ikimi,,2 giorni fa,"L’obiettivo principale di questa posizione è di disegnare, proporre e adattare materiali grafici per tutti i canali E-Commerce nel limite di tempo richiesto dalle aree integranti della società.
Responsabilità:
Creare e adattare materiale grafico per i vari canali di e-commerce.
Creare grafiche in KeyVisual e copies che rispecchiano il branding utilizzato sui canali E-Commerce.
Garantire che il tono di comunicazione e l’immagine corporativa siano coerenti.
Creazione e monitoraggio campagne social media per le vendite e-commerce.
Requisiti:
Formazione professionale in graphic design, comunicazione o pubblicità.
2+ anni di esperienza come graphic designer, posizionamento di marca, comunicazione.
Part-time hours: 20 per week
Contratto di lavoro: Part-time, Lavoro a progetto
Benefit:
Orario flessibile
Disponibilità:
Orario flessibile
Esperienza:
digital marketing specialist o simili: 1 anno (Opzionale)
Smart working:
Sì
Precauzioni contro il COVID-19:
Colloqui da remoto
Riunioni virtuali
2 giorni fa
Segnala offerta",https://it.indeed.com/viewjob?jk=3292c7130ceac731
8,APPRENDISTA ARREDATORE/INTERIOR DESIGNER,"Cernusco sul Naviglio, Lombardia",Not shown,Venezia Home,,2 giorni fa,"Venezia Home ricerca un APPRENDISTA ARREDATORE/INTERIOR DESIGNER
Si richiede:
- Laurea in Architettura o Design ed avere una particolare passione per il campo dell’arredamento
- Serietà, motivazione ed ambizione
- Predisposizione a lavori in team
- Dimestichezza utilizzo pacchetto Office
- Dimestichezza utilizzo pacchetto Adobe (Photoshop, Illustrator)
- Dimestichezza utilizzo software di grafica, modellazione 3D e rendering
- Disponibilità a lavorare nei giorni festivi (Sabato e Domenica)
- Ottime doti di comunicazione e attitudine al contatto con il pubblico
- Personalità solare, di buona presenza, di buon gusto e con buona volontà
- Capacità e volontà di apprendimento e di adattamento ai nostri standard qualitativi
- Automunito
- Possibilmente residente in zona
Si offre Stage/Tirocinio di 6 mesi volto all’assunzione
Sede di lavoro: Cernusco sul Naviglio (MI)
La ricerca è rivolta ad entrambi i sessi
Astenersi dalla candidatura chiunque non sia in possesso dei requisiti richiesti
Per candidarsi a questa offerta inviare curriculum con foto a: risorseumaneweb@ veneziahome.it
Contratto di lavoro: Tirocinio formativo/Stage, Tempo indeterminato
2 giorni fa
Segnala offerta",https://it.indeed.com/viewjob?jk=e00f126fd8e84a09
9,Process Management Expert,"Milano, Lombardia",Not shown,ING Direct,4.0,2 giorni fa,"The Process Management Expert guarantee to the Bank the se up and maintenance of end to end processes and procedures.
Ensure the Process efficiency trough Lean Six Sigma methodology, leading waves of E2E Process Improvement across all Bank departments.
Works on projects to improve quality, reduce errors, design new business processes and assist the organization to achieve its business objectives and goals.
Guarantee that processes and procedure are implemented in line with law, policies and business requirements and embed the controls needed to minimize the inherent risks and are instrumental for a good product governance.

Key Responsibilities:
Coordinate and actively execute the following activities:
Document local Bank processes, guaranteeing their mapping into local and global process taxonomies;
Define and update the inventory of the process leaders who, as responsible of the end to end processes, are the first contact point for their update, documentation and optimization;
Enable and facilitate the link of external attributes to the processes, like Key Performance Indicators, applicable Laws and Regulations, risk related attributes, CIA classifications and any others deemed useful for process analysis and optimization;
Support Process Leaders and Domain Owners to document processes and rules and execute quality assurance on their deliverables (procedures, policies, governance manuals etc); make sure that such documents are properly validated, authorized and communicated to all involved people;
Take part of the projects and small changes (CR) to assess their impact on Bank processes;
Guarantee the bank process knowledge.
Coordinate and execute Process Reengineering, in order to restructure and optimize processes, aiming to reduce operational costs and incidents and improve customer satisfaction
Is also involved in
international working tables, like Process Expert Group
Italian Bank Association (ABI) working tables (Organization & Processes).

Requirements (Educational Qualifications, Work Experience, Technical, Language and other Specialized skills):
Green or Black Belt Certification
Aris Connect tool Knowledge
SharePoint Designer
Soft skills:
Know the Business: Understanding of what is relevant to the company; use of knowledge of the business to proactively support teams, departments, and/or the organization
Negotiation and good communication skills, both in Italian and English
Reliable, makes things happens empowering the team and motivating all to do the best in their role to contribute to the results.
Leadership skills
Problem solving and Objective oriented.
Good flexibility, integration and facilitation skills
Strategic view of activities

Duration: permanent
Location: Milan
2 giorni fa
Segnala offerta",https://it.indeed.com/viewjob?jk=29eb6f71c3258b7f
