,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,"Senior Designer, Social","New York, NY",Not shown,The Estée Lauder Companies,4.1,today,"PRINCIPAL ACCOUNTABILITIES:
Responsible for producing all social media content and regionally relevant content for the different regions.
Thorough understanding of the creative objectives of projects and partner with various departments and functions including Marketing, Art Directors, Designers and Creative Services to create innovative and compelling creative.
Must be active on all social media platforms and have a strong understanding of the social experience and user interface of all major social platforms including Facebook, Pinterest, YouTube, Instagram, Tumblr, Pinterest, and understand other regionally relevant/specific platforms.
Strong design skills
Excellent communication, collaboration, and interpersonal skills
Collaborate successfully with all cross functional teams
Ability to handle more than one assignment at a time across brands, and can adapt quickly to changing priorities
Partner with Senior Designer(s) of Digital Content to ensure creative excellence, cohesiveness, and quality across all creative.
Source and secure UGC content from Creators
Maintain awareness of global and regional social trends, conversations, news that could impact the brand’s content, cadence, or strategy.
Assist in any production design work
Shoot BTS content, make selects, edit content, and deliver assets for various events, campaigns that require social coverage.

Qualifications

POSITIONS REQUIREMENTS:
BA or BFA preferred
3-4+ Years of social media design experience
Fluent in Adobe Creative Suite, Animated GIF’s, Premiere Pro
Ability to work with a variety of people in various disciplines
Superior organizational and multi-tasking skills
Ability to work in a very fast paced environment and tight deadlines
Meticulous attention to detail

Job: Creative / Design
Primary Location: US-NY-New York
Job Type: Standard
Schedule: Full-time
Shift: 1st (Day) Shift
Job Number: 213573

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",https://www.indeed.com/viewjob?jk=17326a7b73f6dc0f
1,Associate Experience Designer,"New York, NY",Not shown,Northwestern Mutual,3.8,today,"AT NORTHWESTERN MUTUAL, WE ARE STRONG, INNOVATIVE AND GROWING. WE INVEST IN OUR PEOPLE. WE CARE AND MAKE A POSITIVE DIFFERENCE.
OUR MISSION:
Northwestern Mutual (NM) has 160 years of history providing financial security to millions of people. Continuing that tradition means changing to meet the needs of our clients and financial advisors. We are a strong, innovative, and growing company that invests in people who care and make a positive impact. The Product Design team leads the way by creating human, simple, and engaging products to help people plan, track, and protect their financial goals.
THE ROLE:
An Associate Experience Designer has a passion for making a difference in people's lives. You are process oriented, hands-on, collaborative, and able to juggle 1-2 projects. You are eager to tackle complex problems and inspired by elegant and intuitive solutions. We are also seeking someone who is open to taking risks because you will work in an environment where you are well supported by your peers and managers.
An ideal candidate will be an advocate for our users while balancing technical constraints and business objectives. You will play a critical role in a major digital transformation underway at Northwestern Mutual and should be passionate about helping us achieve our vision.
Assoc. Experience Designers have a strong community of peers, and work on projects that will allow them to learn and grow as designers. Designers at NM are all given development plans to help them achieve their career goals while also meeting the needs of the organization.
WHAT YOU’LL DO:
Translate business objectives, technical requirements, and user insights into useful and elegant solutions.
Produce thoughtful journey maps, user flows, site-maps, wireframes, and prototypes.
Understand design principles and how to apply them.
Be a conceptual thinker and explore multiple directions before landing on a solution.
Collaborate with other designers, product partners, and engineering to bring the work to life.
Work on more than one project with different timelines simultaneously and be able to represent their work.
BRING YOUR BEST! WHAT THIS ROLE NEEDS:
You have a Bachelor’s degree, or equivalent experience
During your learning you have found ways to gain direct relevant industry experience through internships, apprenticeships, contracting, or similar methods.
Strong familiarity with UX fundamentals: user-centered design process, product research, usability heuristics, graphic design, information architecture, interaction design, and experience design (a mix of fluency in some and literacy in others)
Self-starter who is user-focused, detail- and solutions-oriented
Experience creating systematic designs and working independently
Ability to articulate design decisions in written and oral form
Proficiency in a variety of design and prototyping tools (Sketch, Figma and InVision)
Link to work or an online portfolio is required
#LI-POST
This job is not covered by the existing Collective Bargaining Agreement.
Required Certifications:
GROW YOUR CAREER WITH A BEST-IN-CLASS COMPANY THAT PUTS OUR CLIENT’S INTERESTS AT THE CENTER OF ALL WE DO. GET STARTED NOW!
We are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.

FIND YOUR FUTURE
We’re excited about the potential people bring to Northwestern Mutual. You can grow your career here while enjoying first-class perks, benefits, and commitment to diversity and inclusion.
Flexible work schedules
Concierge service
Comprehensive benefits
Employee resource groups",https://www.indeed.com/viewjob?jk=53f13e6a0c21f9f0
2,"Assistant Designer, 3D-7","New York, NY",Not shown,PVH,3.8,today,"POSITION SUMMARY:
The Assistant Designer will support the Product Design team with the development of 3D assets. This includes coloring existing blocks and re-creating launch/fashion product in 3D. A great eye for details is key in this position.
PRIMARY RESPONSIBILITIES/ACCOUNTABILITIES OF THE JOB:
Coloring up 3D blocks in Lotta, placing graphics and prints
Recreating New styles for the season in Lotta and Photoshop
Rendering 3D assets and set up renders for digital systems
Aid Product Design team in the preparation of presentations to global and regional accounts
Partner with Product Design and Tech Design to capture the design intent
Partner with Merchandising (both global and regional) for follow up of specific needs
__________________________________________________________________
QUALIFICATIONS & EXPERIENCE:
Experience: 1-2 years of Design experience with an emphasis on design.
In depth knowledge of 3D design preferred.

Education: Bachelor’s Degree in Fashion Design
Skills: Proficient in Browzwear, Photoshop, Illustrator, Microsoft Office (Excel, Word and PowerPoint); Strong written and verbal communication skills, strong organizational skills, ability to work in a team environment, self-starter, and detail oriented.
INTERNAL & EXTERNAL CONTACTS:
Internal: Product Designers, Tech Design, Merchandising (both regional and global for both genders), Raw Materials, Supply.
External: Product Vendors and Suppliers

__________________________________________________________________
BUDGETARY RESPONSIBILITIES: N/A
DECISION MAKING: N/A
RESOURCEFULNESS/CREATIVITY: Ability to handle multiple seasons at one time. Ability to work across different categories. Utilize problem-solving skills to find effective solutions to day-to-day problems that arise. Take corrective action that will not result in financial liability or cause delivery delays.
ENVIRONMENT: Fast-paced, time sensitive and deadline-driven Design Studio. Must be extremely organized with an acute focus to detail.
PVH Corp. or its subsidiary (""PVH"") is an equal opportunity employer and considers all applicants for employment on the basis of their individual capabilities and qualifications, consistent with applicable law and without regard to race, color, sex, gender identity or expression, age, religion, creed, national origin, citizenship status, sexual orientation, genetic information, physical or mental disability, military status or any other characteristic protected under federal, state or local law. In addition to complying with all applicable laws, PVH also has a strong corporate commitment to inclusion, diversity and to ensuring that all current and future PVH associates are compensated solely on job-related factors such as skill, ability, educational background, work quality, experience and potential. To achieve these goals, across the United States and its territories, PVH prohibits any PVH employee, agent or representative from requesting or otherwise considering any job applicant’s current or prior wages, salary or other compensation information in connection with the hiring process. Accordingly, applicants are asked not to disclose this salary history information to PVH",https://www.indeed.com/viewjob?jk=5620291c833eb07a
3,"Motion Designer, WWE/Peacock","New York, NY",Not shown,NBCUniversal,4.0,today,"59728BR
Digital Media
Peacock
Responsibilities
Peacock is the place to stream thousands of hours of hit movies and shows, exclusive originals, live sports, news, and pop culture. We’re in need of courageous leaders and creative problem-solvers who work hard and want to be at the epicenter of content, tech, and entertainment. NBCUniversal’s Peacock is growing, and we’re looking for another smart, passionate, and collaborative person to join our team.

We value inclusivity in our content and our people, and believe that success is only possible when we represent the world around us. So, are you ready to join our flock?

Peacock, NBCUniversal’s video streaming service, seeks a motivated Motion Designer for its in-house creative team to support the WWE franchise on Peacock. A visual problem solver and storyteller, the Motion Designer will take ideas from concept to execution stage, in both video and digital advertising. Working within a larger team of creative professionals, supporting company goals and media initiatives, the Motion Designer will create video design content for a wide variety of WWE marketing assignments across all video, mobile platforms, social media, and emerging media platforms.

Responsibilities could include, but are not limited to:
Demonstrate expert-level knowledge of the Adobe Creative Suite, high level of proficiency in After Effects, video motion graphics, and compositing, 3D skills in Cinema 4D.
Keep current with WWE content, characters, storylines, and products.
Work closely with Creative Directors, Editorial Director, and Project Managers to help create marketing solutions that reflect the ""Peacock "" and “WWE” visual sensibility.
Keep up to date with Peacock's brand guidelines and rules from across the entire Marketing organization, ensuring all consumer-facing work maintains a consistent design voice and tone across every platform and touchpoint.
Ensure a high-volume of design elements are finished and delivered accurately, on-time, while working with highly analytical data-driven assignments.

Qualifications/Requirements
3+ years of experience in Motion Design.
3+ years of work experience; digital media and/or direct-to-consumer entertainment,
Ability to PIVOT and work with great agility in a fast-paced and entrepreneurial marketing culture.
Proficient compositing FX skills (green screen, keying, tracking, rotoscoping).
Creative drive to explore brand new approaches to video storytelling.
Adept at using web pages and applications, such as HTML and CSS.
Desired Characteristics
Excellent presentation skills.
Impeccable typographic skills.
Strong editorial sensibilities.
Bachelor’s Degree strongly preferred, educational discipline in graphic design/art school desired.
Knowledge of video editing, video production equipment, cinema cameras, and still photography is a plus.
Sub-Business
Peacock Brand Marketing & Strategy
Career Level
Experienced
City
New York
State/Province
New York
Country
United States
About Us
At NBCUniversal, we believe in the talent of our people. It’s our passion and commitment to excellence that drives NBCU’s vast portfolio of brands to succeed. From broadcast and cable networks, news and sports platforms, to film, world-renowned theme parks and a diverse suite of digital properties, we take pride in all that we do and all that we represent. It’s what makes us uniquely NBCU. Here you can create the extraordinary. Join us.
Notices
NBCUniversal’s policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. NBCUniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the City of Los Angeles Fair Chance Initiative For Hiring Ordinance, where applicable.",https://www.indeed.com/viewjob?jk=9767288c7dfeb3cb
4,Architectural Designer III,"New York, NY",Not shown,GreenbergFarrow,3.4,today,"Team player able to independently evaluate, select and apply standard architectural techniques, procedures and criteria using judgment for adaptations and modifications. Autonomously performs architectural assignments with increased design responsibility. Receives instruction on specific assignment objectives, complex features and possible solutions from the Project Designer/Architect/Captain/Manager.

Job Qualifications:



Bachelor’s or Master's degree in Architecture

3 - 4 years’ experience in commercial (retail/mixed-use) or multi-family housing projects

Strong and versatile design skills

Excellent presentation and communication skills (verbal and written)

Team player

Proven ability to prioritize in order to meet deadlines and provide high quality service to clients

Self-starter and proactive

Strong sketching and/or model building skills

Proficient in current version of AutoCAD, 3D Studio or Form-Z, Photoshop, PowerPoint, MS Word and MS Excel",https://www.indeed.com/viewjob?jk=766d3eab3e918e02
5,Sr. Manager (Senior Designer),"New York, NY",Not shown,Merkle,3.4,today,"Company Description:
360i is a fully integrated creative and media agency that helps brands capitalize on change. As a highly strategic creative and media partner with a deep understanding of how people discover brands and share stories, we don’t just react to changes in the marketplace – we predict and define them. We’re built for progressive marketers hungry for ideas that make human and business sense. By bringing together some of the smartest, most curious people with expertise in data, creativity, media, strategy, search, and social, we help our clients achieve their objectives and drive their business forward. And our hustle doesn’t go unnoticed. In 2019, we were selected for Ad Age’s A-List – our ninth consecutive year in the coveted issue. We’ve also been named Adweek’s Breakthrough Media Agency of the Year, one of Campaign’s Top 25 Most Influential Agencies, one of Fast Company’s Most Innovative Companies, and ranked amongst the best Performance Marketing Agencies by Forrester Research. That’s some range. We work with brands including 7-Eleven, Ben & Jerry’s, SkinnyPop, DSW, Kroger, and Mondelez. 360i is a dentsu company.
Job Description:
Responsibilities include, but are not limited to:
Design and create visually compelling PowerPoint/Keynote presentations and print materials
Collaborate with various pitch teams to turn complex ideas and concepts into effective visual stories
Edit photos and build charts, infographics and data visualizations as needed
Identifying pitch theatre needs and brainstorming creative ways to bring their stories to life
Build and customize templates based on client, type of pitch presentation, etc.
Maintain and organize creative assets and design files in Creative Cloud and the New Business Drive
Provide design support to the corporate marketing team, including company posters, social media graphics, microsites, event signage, print materials, and executive keynote presentations
Work with external print studios to ensure files are properly prepared for print, identifying appropriate print specifications and reviewing proofs
Supervise and provide art direction to interns and junior associates
Qualifications:
Bachelor’s degree in design, marketing, communications or a related field
4 – 8 years’ experience in a design role (previous experience in the new business
function at an ad agency strongly preferred)
Expertise in PowerPoint, Keynote, Photoshop, Illustrator and InDesign
Video editing and animation expertise in Premiere and After Effects
A portfolio that displays an understanding of design principles, branding, layout,
and typography
Highly organized, with the ability to self-manage multiple projects and deadlines
A quick thinker who is able to problem solve on the fly and contribute ideas at a
moment’s notice
Additional Information:
Employees from diverse or underrepresented backgrounds encouraged to apply.
Dentsu (the ""Company"") is committed to a policy of Equal Employment Opportunity and will not discriminate against an applicant or employee of the Company, on the basis of age, sex, sexual orientation, race, color, creed, religion, ethnicity, national origin, alienage or citizenship, disability, marital status, veteran or military status, genetic information, or any other legally-recognized protected basis under federal, state or local laws, regulations or ordinances. Applicants with disabilities may be entitled to reasonable accommodation under the terms of the Americans with Disabilities Act and/or certain state or local laws. A reasonable accommodation is a change in the way things are normally done that will ensure an equal employment opportunity without imposing an undue hardship on the Company. Please contact [email protected] if you need assistance completing any forms or to otherwise participate in the application process or to request or discuss an accommodation in connection with a job at the Company to which you are applying.

More Information:
Our Culture: Merkle’s energy and personality lives through everything we say and do. Learn all about what defines our people and our vibe.
Students & Recent Graduates: Start your career at Merkle and get on the path to success.
Experienced Hires: Leverage your expertise, challenge the status quo and grow your career at Merkle.",https://www.indeed.com/viewjob?jk=804add668a97d2f6
6,Electrical Designer,"Latham, NY",Not shown,Plug Power Inc,2.9,today,"Electrical Designer
Status: Exempt (Salaried)
Department: Electrical Engineering
Position Summary
Plug Power is looking for an Electrical Designer to create complex harness designs for the Gendrive and Progen platforms. The successful candidate must strive for elegant and simple designs in the complex world of new technology and automotive rigor. The role will require collaboration with various engineering disciplines as well as other cross-functional departments. The ideal candidate should be creative, self-motivated, able to handle multiple project assignments and willing to learn and adapt within a fast-paced engineering organization.

Core Duties and Responsibilities
Work with systems, electrical and mechanical teams to understand the system component requirements and layout
Create EIDs from System P&ID, component and electrical boards flow downs
Select wiring, connectors, pass throughs, attachment areas, breakouts etc
Create device drawings for components connections
Model/design harnesses and layout based on EID, system and mechanical models
Work with manufacturing and field engineering to understand multiple customer needs
Oversee and assist prototype harness build for first run prototype of lab benches
Communicate consistently and effectively to all cross-functional team members where needed to ensure that design improvements and changes are understood, and questions are answered to move projects forward
Represent Plug Power in a professional manner in all interactions; support the philosophy of the organization to provide high-performing technology to maximize customer satisfaction
Perform all other duties as assigned
Education and Experience
Bachelor’s degree in relevant engineering discipline such as mechanical or electrical engineering
Three (3) or more years of related work experience preferably within a technology product manufacturing environment
Experience with Creo Schematic, PTC Harness 3D, Visio
Electrical knowledge of
wire and connector gauge sizing
low and high voltage systems
Experience with
complex harness design in tight spaces
wire sizing, connector selection, watertight designs, poke-oke
automotive, truck or off-road vehicle design
Demonstrated analytical abilities with strong attention to detail
Dynamic interpersonal skills and the ability to effectively communicate with diverse audiences and stakeholders at all levels
Excellent verbal and written communication skills
Ability to manage complex projects and multi-task effectively
Excellent follow-through
Must be driven and self-motivated
Must possess the highest ethical standards and a commitment to work quality
Plug Power, Inc. is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.",https://www.indeed.com/viewjob?jk=3d68855fde146a4d
7,"Senior Designer, Baby & Kids Furniture & Accessories - West Elm","Brooklyn, NY",Not shown,West Elm,3.5,today,"This role presents an exciting opportunity to lead product design efforts for furniture and accessories for the West Elm Baby & Kids brand. The selected candidate will be part of small team leading the creation of innovative, functional and beautiful items through design, presentation, specification, and development.
ESSENTIAL FUNCTIONS:
Lead and manage daily functions of the Baby & Kids furniture and accessories design team.
Through clear understanding of department design and business objectives, drive the design and development of products from initial concept through approval:
Manage daily communication with internal teams, vendors, agents, and brand partners.
Create specification packages and product comments.
Create presentation packages and product renderings.
Present designs to internal and external teams.
Develop designs through sketching and 3D modeling.
Coordinate sample presentations and organize samples.
Review, comment, and issue approvals on products.
Assist in the seasonal concepting process for relevant categories. This means:
Gather market data on key trends and competitor initiatives through comp shopping, trade show attendance, etc., and integrate into seasonal concepts and strategies.
Work with VP of Furniture and other design leadership to assemble seasonal concepts.
Create concept boards.
Assist in presentation of concepts to internal and cross functional partners.
Ensure all deadlines and key dates are met.
Assist junior staff members in managing their workload as required.
Recommend effective processes and procedures to improve workflow and results.
Travel as needed to factories and buying shows domestically and internationally.
Reports to VP of Design .
YOU…
Are passionate about design, style, and decorating.
Love to work collaboratively in a group, and have an innate willingness to dig in and contribute with your team.
Are a true business owner comfortable with decision making and calculated risk taking for the benefit of your business.
Are driven and motivated by the possibilities ahead.
Think innovation is critical in a business environment and support others in creative thinking.
Pride yourself on the quality of work and are a stickler for the details.
Naturally challenge yourself and others to grow
QUALIFICATIONS
Minimum 8 years professional experience required.
Degree in design or equivalent experience.
Experience with drafting and ability to quickly review and comment on drawings.
Knowledge of 3D modeling, and rendering essential.
Photoshop, InDesign, Illustrator, and Outlook are essential.
Benefits:
Once you are here, you can look forward to a wide variety of benefits designed to help you grow, personally and professionally, to keep you healthy, to prepare you for the unexpected, to care for your family and to build a secure future. Depending on your position and your location, here’s a look at what you might be eligible for:
A generous discount on all Williams Sonoma Inc. brands through multiple shopping channels
A 401(k) plan and other investment opportunities
Paid vacations, holidays and other time-off programs
Health benefits, including health, dental and vision insurance; health and dependent care tax-free spending accounts; medical, family and bereavement leave; same-sex domestic partner benefits; short- and long-term disability programs; life and travel insurance; an employee assistance program
Tax-free commuter benefits
A wellness program that supports your physical, financial and emotional health
In-person and online learning opportunities through WSI University
Cross-brand and cross-function career opportunities
Location specific sample sales
A business casual work environment
San Francisco based bike share program
Time off to volunteer
Matching donations to qualifying nonprofit organizations
Company-sponsored community involvement
Various discounts on local businesses
WSI will not now or in the future commence an immigration case or ""sponsor"" an individual for this position (for example, H-1B or other employment-based immigration
This role is not eligible for relocation assistance.
FOR SF ONLY:
Williams-Sonoma, Inc. is an Equal Opportunity Employer . Williams-Sonoma, Inc. will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance, or other applicable state or local laws and ordinances.

Our Company

Founded in 1956, Williams-Sonoma, Inc. is the premier specialty retailer of high-quality products for the kitchen and home in the United States. Our family of brands are Williams Sonoma, Williams Sonoma Home, Pottery Barn, Pottery Barn teen, pottery barn kids, Rejuvenation, Mark & Graham, west elm, or Outward. These brands are among the best known and most respected in the industry. We offer beautifully-designed, stylish and functional products for every area of the home, including the kitchen, living room, bedroom, home office, closet, laundry room and even outdoor spaces. We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. What hasn't changed is our passion for high-quality products, functional design, outstanding customer service, and enhancing the lives of our customers and the communities where we operate. Today, we're a multi-brand, multi-channel, global enterprise supported by state-of-the-art technology and some of the most talented teams in retailing - and we're always looking for new energy and ideas.",https://www.indeed.com/viewjob?jk=4873c4476af73542
8,"Lead Designer (Product + Marketing),","New York, NY",Not shown,MealPal,4.1,today,"Are you a sharp, creative designer who loves lunch as much as typography and technology? Are you motivated by designing things that drive top line results?

MealPal is looking for a talented Lead Designer to join our fast-paced, growing team. The Lead Designer will support all areas of design – from digital marketing to product design. This is an amazing opportunity for a motivated designer who’s hands-on and also able to build and grow a team.

Responsibilities:

️ Product Design: We build and launch new products frequently! You'll be responsible for building elegant and intuitive user experiences
️ Brand Design: You'll work on a wide range of deliverables, including marketing and promotional collateral, digital and web assets, social media creative, swag, and more
️ Email Design: You'll create clean and direct emails that help explain the value of MealPal
️ Design Leadership: Being the voice of design, brand and user experience within the organization

Requirements:

️ 3-6 years of relevant design experience
️ A solid portfolio including examples of work that drove results, typography, color, imagery, and graphics
️ Fluency in Adobe CC + Sketch
️ The ability to collaborate and communicate effectively across the organization
️ Strong bias for action. This is a hands-on role for someone who wants to have ownership and leadership responsibility

Compensation:
️ Competitive base salary
️ Meaningful equity and the opportunity to build something
️ 401(k) with Employer Match
️ Health, Vision, & Dental benefits (healthcare is 100% covered by MealPal)
️ Paid vacation time
️ Opportunity to work with a smart, passionate team",https://www.indeed.com/viewjob?jk=103ca3666d6b1302
9,Designer,"Brooklyn, NY",From $22 an hour,Toyish Labs,,today,"Clixo (by Toyish labs) is a first of its kind creation toy that uses magnets to combine the intuitive ease of building blocks with the flexibility and endless possibility of origami.
We are looking for a designer with graphic design experience as well as photo and video editing skills.
We launched our first toy last summer and it has been quite exciting, now we are growing the family.
About the role:
You will join a small team of designers to imagine, prototype, and bring to market the toys you wish you had when you were a kid (or adult). The company is small and starting, so your input will quickly go into market.
We have a perpetually transforming shop/lab where we test ideas and prototypes with kids from the local community (Clinton Hill), and a basement with a well equipped prototyping workshop.
The ideal candidate has many of the following, but not necessarily all:
Graphic Design
Illustration
Web Design
Packaging Design
Illustrator & Photoshop
Photo/video experience
Product photography
Stop motion animation
Video recording and editing
Capture one
A hands on approach to thinking
If you have a passion for toys, enjoy being creative, and love interacting with kids and parents, we’d love to meet you!
Job Types: Part-time, Contract
Pay: From $22.00 per hour
Schedule:
8 hour shift
Monday to Friday
COVID-19 considerations:
Masks are required and hand sanitizer will be provided as well as 3 separate sinks for hand washing. Toyish Labs has also installed an advanced air filtration system and social distancing is required in the space.
Education:
Bachelor's (Preferred)
Experience:
Graphic Design: 1 year (Preferred)
Contract Length:
Varies
Work Location:
One location
Hours per week:
20-29
Typical start time:
10AM
Typical end time:
7PM
Company's website:
www.clixo.com
Company's Facebook page:
www.facebook.com/myclixo
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=14a5c6e1b609a472
