,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,I&C Designer - OGC Engineering,"Houston, TX",Not shown,Kiewit Corporation,3.7,today,"Requisition ID: 117139
Job Level: Senior Level
Department: Design Engineering
Market: OGC
Employment Type: Full Time

Position Overview
We are an innovative team of engineers and designers that supports projects throughout the company. Our staff leads and collaborates with Kiewit’s module fabrication and construction teams to approach construction-driven engineering with a focus on safe, cost effective, and innovative designs that achieve client expectations and further Kiewit’s legacy of excellence.
District Overview
Kiewit Engineering Group, Inc is a full-service engineering firm serving oil, gas and chemical markets. Our combined staff of engineers and design professionals have expertise that spans all major engineering disciplines to serve the LNG, midstream, refining, and petrochemical markets. Backed by 130 years of construction experience, our construction-driven engineering focuses on constructability and safety in the earliest phases of projects to ensure on-time and on-budget project delivery.
Our rapidly growing oil, gas and chemical team, which includes structural, civil, piping, mechanical, process, process safety, electrical, instrument and control disciplines, is a multi-faceted and leading-edge division of Kiewit with best-in-class technical expertise focused on the EPCC delivery model for dynamic process facilities.
Location
This position is based out of our Energy Corridor Office in Houston, TX.
Responsibilities
Reviews the work of designers developing documents as needed for the project.
Acts as a field resource to assist construction in field resolution on issues.
Possesses advanced AutoCAD skills and is able to design and draft advanced drawings.
Proficient in 3D modeling with some supervision.
Acts independently to utilize industry and company standards to design effectively. No supervision required to apply standard correctly to design.
Reviews application of standards and can make suggestions on improvements needed
Serves as a resource to department, projects and construction.
Identifies changes in scope of work during small to mid-sized projects and produces drawing changes as needed to stay within budget and schedule.
Balances individual performance requirements with the demands for team participation.
Performs assigned work efficiently and effectively to maximize person productivity.
Review vendor documentation and comment as it applies to client and project needs.
Complete instrument installation details and location plans with no supervision.
Complete loop diagrams with no supervision.
Proficient in 3D modeling.
Complete as-builts by utilizing Request for Information (RFIs), Engineering Change Notices (ECNs) and red-marked drawings from construction
Possesses critical analytical skills and is adept at utilizing good decision making tool; high level of data analysis skills.
Regularly performs reviews of vendor documents to ensure project requirements are met.
Leads mid to large-size project or proposals.
Develops and leads others in ways of improving the design and lowering cost.
Considers multiple solutions and makes good decisions based on good data analysis.
Manages several different assignments simultaneously.
Applies techniques/technologies to improve processes and business results.
Utilizes industry and company standards to design and engineer effectively.
Serves as resource to less experienced designers.
Leads team to identify changes in the scope of work during mid to large-sized projects.
Produces design changes as needed to stay within budget and schedule.
Recognizes the importance of customer needs.
Performs assigned work efficiently and effectively to maximize person productivity.
Leads quality checks of the design of a mid to major-sized project to ensure accuracy.
Establishes credibility in terms of technical competency and team leading ability.
Prioritizes time to meet team commitments and individual work requirements.
Communication design with: Controlnet, Devicenet, Profibus and Ethernet/IP.
Designing and developing new control systems.
Participate in customer witnessed FAT, SAT and other related Control System checkouts as needed
Familiarity with variety of control and safety systems (DCS, SIS, BMS, PLC, SCADA).
#LI-ES1
Qualifications
Associate Degree or High School diploma plus 15 years’ experience minimum requirements.
15-25 years of related experience. Based on performance and merit. Heavy refinery, petro chemical and pipeline design. Proven Leader.
Plans individual work to accomplish objectives. Continually improves efficiency and performance. Notices gaps in group and work to resolve and close.
Can provides guidance to less experienced designers.
Adjusts to varying demands of work and performs well.
Develops and presents work in well-constructed written and verbal presentations. Clearly conveys messages and ideas, gains understanding.
Works collaboratively across departments and involves others in solving problems. Initiates meetings within own team, other disciplines or internal customers for clarity on work.
Supports project teams and departments in a positive and productive manner. Works well with other to accomplish common goals and objectives.
Advanced experience utilizing a computer-aided drafting program (MicroStation, AutoCAD, Navis Works) and have knowledge of the latest computer operating systems; thorough understanding of spreadsheets and databases.
Advanced experience with SmartPlant SPI.
Open to learn the latest software.
Ability to learn Kiewit tools used to deliver projects.
Report and track man hours and claiming tools.
Serves as point of contact for external or internal customers.
Ability to read Isometrics, P&ID’s and PFD’s for proper installation of measurement and control devices.
Follows through on commitments made to internal and external customers.
Builds and develops high performance teams. Works well with others to accomplish common goals and objectives. Fosters an environment that emphasizes collaboration and coordination
Actively seeks feedback from customers and takes action to improve processes. Must be proactive and resolve issues before they are elevated.
Highly motivated, with a demonstrated passion for excellence and taking initiative
Strong work ethic, willing to do what it takes to get the job done right the first time
Demonstrated commitment to ethics and integrity
Exhibit safety awareness and safe work practices. Protect employees and visitors by maintaining a safe and clean working environment
Strong interpersonal, written, and verbal communication skills
Team player with the ability to work independently to meet deadlines, goals and objectives
Strong organization, time management, and attention to detail.
We are an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.",https://www.indeed.com/viewjob?jk=4849e2b88b8002e4
1,Senior Instructional Designer,"Houston, TX",Not shown,Baylor College of Medicine,3.9,today,"Summary
Job Purpose
The Senior Instructional Designer participates in the planning, design, development, and delivery of high-quality, technology-enabled discovery and learning experiences. The instructional designer will work closely with educational leaders and faculty teaching in all modalities including technology enhanced face-to-face courses, online and hybrid or blended courses and programs. The Senior Instructional Designer will have responsibility for instructional design, project management, and collaboration with faculty to assist in the development of instructional materials to support transformation in curriculum design, innovative use of technology and enhanced learning outcomes.
Job Duties
Assist faculty in creating engaging learning activities and compelling course content that enhances retention and transfer.
Apply tested instructional design theories, practices and methods.
Consult with subject matter experts to identify target audience’s training needs.
Collaborate with faculty to design materials and face-to-face, online and hybrid courses that are learner centered and aligned with outcomes and assessments.
Coordinate the development of instructional materials that are functional, informative, and consistent with sound pedagogical and instructional design principles.
Provide guidance related to the selection and design of exercises and activities that enhance the learning process.
Identify assessment criteria used to judge learner’s performance, provide feedback to learners, and develop assessment instruments.
Assist in the evaluation of the instructional effectiveness of programs, courses, and training products.
Collaborate and consult with faculty on the effective use of Web-based resources, multimedia technologies, and instructional software and systems to improve teaching both online and on-campus.
Plan, develop and teach faculty and staff workshops and other activities that promote teaching, learning, and assessment in areas related to learning strategies, instructional technology, and student learning outcomes.
Conduct individual training and coaching for faculty to meet instructional design and development learning opportunities and needs.
Train faculty to leverage technology and implement pedagogy effectively.
Assess new and emerging technologies, instructional design theories, and approaches and policies for potential application to instructional opportunities.
Create and maintain resources for faculty and staff on pedagogy, course design, tools and techniques for teaching and learning.
Collaborate and consult with other instructional technology staff.
Maintain project documentation and course folders.
Participate in instructional research and analysis on learners and contexts.
Minimum Qualifications
Bachelor's degree in a related field.
Five years of relevant experience.

Baylor College of Medicine is an Equal Opportunity/Affirmative Action/Equal Access Employer.
6361
CA; CH",https://www.indeed.com/viewjob?jk=786cbb4ff9aaf8e7
2,Graphic Designer,"Houston, TX",Not shown,Stewart Title Guaranty Company,3.3,today,"Graphic Designer - 00E3Z

Description

Since 1893, Stewart has served our customers with integrity and service excellence. We focus on smart growth – allowing us to remain strong regardless of external market conditions. Stewart (NYSE: STC) is a customer-focused, global title insurance and real estate services company offering products and services through our direct operations, network of approved issuing agencies and other companies within the Stewart family.

The Graphic Designer is responsible for the artistic development of a wide range of creative, persuasive and educational communication deliverables to meet client objectives. Support the maintenance and enhancement of the Stewart brand.
Develop creative ideas that solve communication problems in conjunction with the writing staff and account management teams
Design a wide range of marketing deliverables including advertising, brochures, folders, video story boards, promotional flyers, trade show booths and materials, direct mail programs, signage, web page content, email content, giveaways, flash demos, booklets, sales presentations, training/education materials, logos, etc.
Implement corporate graphic standard in all marketing materials to maintain brand integrity and campaign consistency
Prepare files for the print/video production processes, ensuring that production timelines are met in a deadline sensitive environment
Attend press checks and video production/editing sessions to ensure accurate representation of approved designs in selected media
Perform other duties as assigned by the manager
Job Roles:

Develop creative ideas that solve communication problems in conjunction with the writing staff and account management teams
Design a wide range of marketing deliverables including advertising, brochures, folders, video story boards, promotional flyers, trade show booths and materials, direct mail programs, signage, web page content, email content, giveaways, flash demos, booklets, sales presentations, training/education materials, logos, etc. Implement corporate graphic standard in all marketing materials to maintain brand integrity and campaign consistency
Prepare files for the print/video production processes, ensuring that production timelines are met in a deadline sensitive environment
Attend press checks and video production/editing sessions to ensure accurate representation of approved designs in selected media
Perform other duties as assigned by the manager
Qualifications

Role Specific Knowledge:

A self-starter, with the ability to work under minimum supervision
Strong conceptual and problem-solving skills
Excellent written and verbal communication skills
Able to prioritize and handle multiple responsibilities while meeting strict deadlines
In-depth understanding of the creative development process, concept development, color theory, typography and accepted graphic design principles
Extensive working experience with graphics design software programs such as: Indesign, Illustrator, Photoshop (Creative Cloud), PowerPoint and other digital skills, etc.

Education, Licensure, and Experience:

Completion of an undergraduate degree in graphic design, advertising, communications or relevant work experience
Minimum of 5+ years of experience in graphic design which includes experience in an advertising agency or client sided marketing communications department

Training:
Minimum training required per year as assigned by the company
Scope of job:
Job role has budgetary type of accountabilities or directly impacts a revenue center's viability or its quality of service via personal contributions.

Autonomy of Job:
Under general supervision: occasional supervision over repetitive tasks. New duties or project-type tasks may receive ""Strict"" or ""Direct"" supervision, depending upon the nature of the task(s).

Supervisory Responsibility of Job:
Performs own work and provides assistance to others as directed

Work Environment:
work is primarily sedentary; exerting up to 10 pounds of force occasionally and/or a negligible amount of force frequently or constantly to lift, carry, push, pull or otherwise move objects. The noise level in the work environment is moderate.

Returning Job Seekers
Already have a candidate profile? Log in to access and update your current profile to access and update your current profile.

Stewart Employees
Stewart employees should access Careers through the Stewart Point internal jobs database.
Equal Employment Opportunity Employer

Job: Marketing
Primary Location: Texas-Houston-Houston-1360 Post Oak Blvd
Organization: Stewart Title Guaranty Company
Schedule: Full-time

Job Posting: Mar 30, 2021, 3:02:47 PM",https://www.indeed.com/viewjob?jk=f95a7f16b138b3f1
3,Structural Engineer - Wood Framing Designer,"Houston, TX",Not shown,Pioneer Engineering LLC,4.0,today,"This position requires thorough knowledge of structural design and engineering techniques, and diverse experience in structural for Residential, Office Buildings, Retails Centers, Multi-family Homes, Hotels, Storage Facilities, Restaurant and Gas stations (C-stores). The selected candidate will be responsible for planning and conducting independent work requiring judgment in the evaluation, selection, application and adaptation of engineering techniques, procedures and criteria. The selected candidate will also devise new approaches to problems, and prepare or modify drawings, specifications, calculations, charts and graphs, and monitor work for compliance to applicable codes, and accepted engineering practices on projects of small to medium size and complexity with minimal technical oversight.
Job Functions
Provide primary point of contact for Client and design team including Architect and General Contractor. Manage project schedule, activities and budget.
Maintain procedures and ensure all calculations and details are in accordance with relevant codes (IBC, ASCE-7, ACI, AISC, NDS, AISI, etc.) based on project-specific jurisdiction.
Plan and conduct independent work requiring judgment in the evaluation, selection, application and adaptation of engineering techniques, procedures and criteria.
Conduct structural calculations, specifications and reports.
Maintain the technical quality and consistency of work, including compliance with project design criteria and standards, project procedures, relevant corporate standards, and local codes and regulations.
Devise new approaches to technical problems.
Coordinate technical issues with other departments on projects including constructability requirements and reviews.
Maintain professional and technical knowledge by attending educational workshops; reviewing professional publications.
Requirements
Education and License Requirements
Bachelor’s degree in Structural Engineering or Civil Engineering with a structural emphasis.
5-10 years of experience in structural design.
PE license in the State of Texas (Highly preferred).
Proficiency with AutoCAD and Microsoft Office (Revit is a plus).


Skills Requirements
Mandatory: Wood framing design experience
Capable of functioning as Engineer and project discipline technical authority for execution of all structural discipline work for small and mid-sized commercial and residential projects.
Proficient at preparation of structural calculations (utilizing computer programs, as well as by hand) for timber, concrete and steel structures and building foundations.
Excellent knowledge of geotechnical engineering. Capable of reading and interpreting a geotechnical investigation report to assess recommendations and determine best foundation type for a project.
Excellent knowledge of drawing development, presentation, composition and arrangement, scale, orientation, dimensioning, section and details, and other drafting practices applicable to the preparation of structural drawings.
Proficient with vendor drawings. Responsible for redlining vendor information and signing off for completeness.
Proficient at checking a complete structural drawing package including but not limited to foundation plans, and timber, concrete and steel detail drawings, and calculations.
Complete understanding of project specifications related to structural disciplines.
Excellent verbal and written communications skills required.
Experience with Microsoft Office (Word, Excel, Project), AutoCAD, structural engineering software, drafting techniques and structural engineering terminology.
Ability to prepare clear, complete, and accurate work plans and detail drawings, as well as detail drawings, sketches, and diagrams necessary for construction documents.
Proven ability to handle multiple projects and meet deadlines.
Ability to direct and recommend cost-effective creative solutions.
Prior experience with residential projects is critical.
Occasional fieldwork (inspections).
Benefits
All full time employees are eligible for the following benefits:
Employer Sponsored Medical Coverage
Paid Time Off
401(k) with Match
Dental and Vision Coverage
Disability Coverage",https://www.indeed.com/viewjob?jk=ac80a7f11500616a
4,Pipe Designer,"Houston, TX",Not shown,Clough,,1 days ago,"Job no:
495558
Work type:
Contract (USA Only)
Location:
Houston, Texas
Categories:
Design Engineering, Drafting, Piping
Your key responsibilities will include, but are not limited to:
Primary focus is to work with the Area Pipe Lead on Pipe isometric production;
Perform isometric scrubbing and back check corrections that are received by the Chief Pipe Checker
Responsible for the timely and accurate generation of quality IFC piping isometrics
Ensure quality of work is of a high standard and any discrepancies or areas for clarity are addressed with the Area Pipe Lead in a timely manner
You should possess the following:
5 or less years of specific piping isometric pipe scrubbing and isometric production
Verifiable Cadworxs and Piping experience is essential
Demonstrable and extensive working knowledge of AutoCAD
Full understanding of isometric production and scrubbing expectations
Working knowledge of Bluebeam or PDF reader software
This is a very exciting time for Clough with many new projects on the horizon. If you meet the necessary requirements above and wish to be part of Clough’s success, then don’t delay – !
Please note: Clough reserves the right to commence the shortlisting process for this role immediately and the right to remove the advertisement before the closing date. Agency submissions will not be considered for this position
Advertised: 29 Mar 2021 Central Daylight Time
Applications close: 23 Apr 2021 Central Daylight Time
Job Type: Contract",https://www.indeed.com/viewjob?jk=b22ad37a39f39485
5,CAD Designer,"Baytown, TX",Not shown,"Trans-Global Solutions, Inc.",2.8,1 days ago,"SUMMARY:
The CAD Designer use computers to generate detailed drawings, analyzes engineering data, sketches layout drawings, computes mechanical and structural needs of a job and drafts multi-view drawings. The Designer drafts detailed construction drawings and specifications used in planning and construction of conveyor and conveyor system-engineering projects. They can help establish timelines, budges, and assist many different departments in making vital decisions about major projects.

ESSENTIAL DUTIES & RESPONSIBILITIES include the following. Other duties may be assigned:

Uses AutoCAD and other computer design/drafting equipment/software to develop designs and/or blueprints.
Develops detailed drawings and related specifications of mechanical equipment according to engineering sketches and specifications.
Analyzes engineering sketches, specifications and related data and drawings to determine design factors as size, shape, and arrangement of parts.
Sketches layout of machines and computes angles, weights, surface areas, dimensions, clearances, tolerances, leverages and location of holes.
Drafts detailed drawings of machine and subassemblies including specifications for gear ratios, bearing loads and direction of moving parts using engineering data.
Modifies machine design to correct operating deficiencies or to reduce production problems.
Knowledge of industry, engineering, math, and materials.
Ability to analyze data and situation and come up with creative solutions.
Utilize large databases of material property information to best select materials for modeling.
Keep up to date on industry and engineering standards.
REQUIREMENTS & SKILLS:
Sit for extended periods of time.
Use of hands to operate computers.
Extensive knowledge of the company's preferred software.
Make decisions based on designs.
Strong communication & organizational skills.
Firm grasp of mathematics, engineering, and industry information.
Excellent attention to detail
An abundance of patience to see a complicated project to the end.
EDUCATION AND/OR EXPERIENCE:
Associate degree (A. A.) or equivalent from two-year college or technical school; or three (3) years progressively responsible drafting and design experience of which two (2) years were in a project or system capacity; or equivalent combination of education and experience. Skills should include principles, practices and methods of drafting and design. Must be knowledgeable of computer usage including AutoCAD, understanding of AISC, ASME, CEMA, AWS, and practices required by state and federal regulations. Desired experience would include structural and mechanical detailing and 3-D modeling.

WORK ENVIRONMENT

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is frequently exposed to moving mechanical parts. The employee is occasionally exposed to wet and/or humid conditions, fumes, or airborne particles, toxic or caustic chemicals, outside weather conditions, extreme cold, extreme heat, risk of electrical shock, and vibration. The noise level in the work environment is usually moderate. However, when working in the Manufacturing and Assembly area, hearing protection may be required.",https://www.indeed.com/viewjob?jk=941d5a0387bfabff
6,Instructional Designer,"Houston, TX",Not shown,Amazon.com Services LLC,3.6,1 days ago,"Description:
Powers Brown Architecture is looking to add a Project Designer to its Houston office. The ideal candidates must have a passion for design, excellent interpersonal abilities, strong communication and organizational skills and enjoy working in a fast-paced, team-oriented environment.
Responsibilities
The person chosen for this role will:
coordinate project design, develop creative design concepts for projects, and prepare presentations and design drawings;
work both independently and in a team environment on architectural design projects;
often coordinate project design effort;
Develop planning and creative-design concepts for projects; and
Prepare presentation and design drawings and details.
Requirements
The ideal candidate will have:
experience in developing details and providing planning and design support in the preparation of design development;
bachelor’s degree in architecture (or equivalent); and
proficiencies in several of the following programs: 3ds Max, Podium, Rhino, AutoCAD, Revit, Adobe Creative Suite.
Powers Brown Architecture offers competitive salaries, healthcare, and other benefit programs like 401k, and profit sharing.
About Powers Brown Architecture:
Powers Brown Architecture operates as a 21st century architectural practice. Much like our clients do.
We harness the energy that comes from merging the power of technology with a commitment to the idea that Architecture is not just for special occasions. We treat every project with the exact same care and intensity.
The result is an award-winning practice that is comfortable with the conversation between architecture as both content and commodity. Cross-pollination between client types and project types most only “specialize” in.
The firm is as committed to our developer clients’ needs and influences as we are to the Institutions, Corporations and Governments for whom we have delivered award-winning buildings. Over 102 awards ranging from Urban Design to office buildings to firm management.
We thrive at the intersection that Design, Creativity and Innovation are possible both on an industrial warehouse and on a student center on a university campus. There is always an optimal opportunity, a budget and people who live with the project long after we are finished.
We are Researchers, Educators, Authors and Community Leaders. We publish, collaborate, comment and distribute because architecture is “open source”.
Our offices are located across North America serving the world.
Powers Brown Architecture is an Equal Opportunity Employer. All associates and applicants shall be treated equally according to their individual qualifications, abilities, experiences and other employment standards. There will be no discrimination due to gender or gender identity, race, religion, color, national origin, ancestry, age, disability, sexual orientation, veteran/military status or any other basis protected by applicable law.
How to Apply: If you are interested in applying, please send a cover letter and resume via our Contact Form.",https://www.indeed.com/viewjob?jk=a5455374e649830a
7,Project Designer I,"Houston, TX",Not shown,Powers Brown Architecture,5.0,1 days ago,"BA or BS degree in a relevant field such as instructional technology, educational technology, organizational development, etc. is desirable.
5+ years proven work experience with career progression in the field of instructional design, including significant experience in designing and delivering training solutions to large organizations.
5+ years project management skills including, planning work, managing details, keeping multiple tasks/projects on track, using time well, working with stakeholders, and doing whatever it takes to deliver reliable results.
3+ years demonstrated experience developing self-paced eLearning curriculums, storyboards, job aids, online tutorials, assessments and print-based materials
3+ years experience developing training content for localization to multiple languages/cultures
Extensive experience with authoring tool - Storyline 360
Experience working with content management systems
The Associate Training Automation (ATA) team is seeking an Instructional Designer to develop world-class learning solutions for our customers worldwide. In this position, you will be an architect and leader in creating and improving learning products. You will work on instructional design projects that utilize your expertise in learning theory, instructional technologies, and human performance technology to enhance the performance of Amazonians.

The solutions you create will enable improved employee experience, shorten lead times to proficiency, and provide performance support at the point of need. This includes performing needs assessments to identify learning objectives with business stakeholders, designing, and rapidly iterating instructional content for your audience, and developing knowledge and performance observation assessments to evaluate the effectiveness of training.
Candidates should expect to work with multiple global locations and teams across different fields of expertise, develop and maintain strong business relationships, and implement learning project plans. This will be a fast paced environment where innovation is encouraged and proactive planning is necessary.

Master's degree in related field
Experience designing or developing learning solutions a plus
Learning Experience and understanding of associate training content preferred
Experience in video design or editing
Understanding of multiple facets of operations
Ability to earn trust of subject matter experts and stakeholders
Excellent verbal, written, and interpersonal communication abilities
Experience troubleshooting ambiguous technical issues and collaborating with software teams from discovery through resolution
Demonstrated ability to lead and develop peers
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",https://www.indeed.com/viewjob?jk=78d0a08bbae40bf3
8,Instructional Designer,"Houston, TX","$60,000 - $70,000 a year",U.S. LawShield,,1 days ago,"We are the Texas reps for Castaway Customs which specializes in custom SeaDek. Our office is small and we all work as a team. You need to be self motivated, a problem solver and have an eye for design. SeaDek designs are based on digital scans and symbols. You need to be able to communicate well with team members and customers. This job is full time and you are expected to be in the office during set hours.
Responsibilites
Create accurate CAD designs based on digital scans of boats provided by field technicians
Must learn and follow parameters of the product
Meet deadlines, maintain 48-72 hour turn around times
Overtime is an option during busy season/as needed per demands
Work as a team player
Skills
CAD experience (Rhino preferably but we will train)
Boat knowledge (brands, models, style, areas)
Communicate well with team and customers
Be self motivated
Have an eye for design
Problem solver
Boat knowledge preferred
Job Type: Full-time
Pay: $35,000.00 - $40,000.00 per year
Job Types: Full-time, Contract
Pay: $35,000.00 - $40,000.00 per year
Benefits:
Paid time off
Schedule:
8 hour shift
Supplemental Pay:
Bonus pay
COVID-19 considerations:
We have very few visitors. All employees have been asked to take precautions while at work as well as when they are not at work.
Contract Renewal:
Likely
Work Location:
One location
Company's website:
www.castawaycustoms.com
Company's Facebook page:
Facebook.com/castawaycustoms
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=7ff2dbfdcded78ee
9,CAD Drafter/Designer,"Kemah, TX","$35,000 - $40,000 a year",L&L Services,4.7,1 days ago,"Overview:
U.S. LawShield is looking for an Instructional Designer to join our team in Houston, TX reporting to the Education Programs Director. As Instructional Designer, you will develop and deliver training courses and curricula associated with U.S. Member Services department. The goal is to facilitate learners in acquiring knowledge and competencies in an effective manner.
The Instructional Designer role will assist the Education Program Director in providing continuous improvement and enhancement of all internal Member Services learning opportunities and courses including utilization of new methodologies and delivery technologies. This role is critical to the organization, as it assists in the development of essential programs provided to our Member Services department.
Responsibilities:
Create engaging learning activities and compelling course content that enhances retention and transfer of knowledge
Work with business subject matter experts, identify target audience training needs, and effectively design content and tools which increase our employees level of knowledge and confidence around the our systems and processes.
Visualize instructional graphics, the user interface, and finished product using instructional design methodologies such as ADDIE
Conduct instructional research and analysis on learners and content
Facilitate training as needed by the department
Apply proven instructional design theories, practice, and methodologies to the development of interactive and effective courses
Provide gamification, knowledge assessments, exercises, and activities that enhance the learning process
Create supporting materials/media (audio, video, simulations, role plays, games)
Decide on the criteria used to judge learner’s performance and develop assessment instruments
Maintain project documentation and course folders – leverage Teams Project Management function
Utilize Learning Management System for effective delivery and maintenance of courses and curricula
Design a variety of instructional materials for traditional instructor-led courses, online programs, web-based learning aids or products, and other programs as needed
Create realistic objectives for learning objectives
Design courses for online presentation that are conducive to distance learning programs
Remain aware of all emerging instructional technologies (i.e., augmented reality software) and make recommendations
Be involved in other projects and duties as needed
Qualifications:
5+ years of professional instructional design and training enablement
Proven working experience in instructional design and with instructional technology
Excellent knowledge of learning theories and instructional design models
Lesson and curricula planning skills
Basic HTML and Flash programming knowledge
Solid knowledge of course development software and Learning Management Systems
Visual design skills (Photoshop, Illustrator) and ability to storyboard courses
Authoring program skills (Articulate, Captivate, Camtasia) and eLearning development experience
Ability to write effective copy, instructional text, scripts
Bachelor’s degree in Instructional Design, Education, Business, or related field
Proven ability to complete full training cycle (assess needs, plan, develop, coordinate, monitor and evaluate)
Knowledge of adult learning theories and fundamental skills in the areas of training curriculum, design, and evaluation
High energy, enthusiastic, motivational training style
Able to interpret, synthesize, and simplify complex and technical information.
Self-starter with strong sense of ownership and ability to work autonomously.
Strong verbal and written communication skills, including the ability to effectively facilitate and adjust communication styles to the audience.
Excellent creative and conceptual thinking abilities.
Highly computer literate with in-depth knowledge of MS Office and web-based systems.
Benefits:
Medical Insurance
Dental Insurance
Life Insurance
401(K)
Paid Time Off
About U.S. LawShield®:
We are a rapidly growing company and the leader in the Legal Defense for Self-Defense industry. We have over 650,000 active members and are expanding field operations in 46 states. We are looking for hard-working professionals who are not afraid to learn new things and challenge themselves. So, if you are a passionate self-starter and eager to make an impact, we encourage you to visit our website at www.uslawshield.com to find out more about our company.
Job Type: Full-time
Pay: $60,000.00 - $70,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Education:
Bachelor's (Preferred)
Experience:
Instructional Design: 5 years (Preferred)
eLearning Development: 3 years (Preferred)
Work Location:
One location
Company's website:
www.uslawshield.com
Work Remotely:
Yes
COVID-19 Precaution(s):
Remote interview process
Virtual meetings",https://www.indeed.com/viewjob?jk=1469acd920dce3b5
