,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Senior Product Designer (Remote),"San Francisco, CA",Not shown,Autofi,2.3,today,"About AutoFi
Founded in 2015, AutoFi is an e-commerce software platform that connects an auto dealer’s customers to a network of lenders, allowing car buyers to purchase and finance a car entirely online. Our mission is to become the industry standard checkout experience for all online vehicle transactions. We are well-funded and backed by investors including Crosslink Capital, Ford, BMW iVentures and Mouro Capital.

Our team is diverse - spread out across the U.S. and Canada, we have backgrounds from finance and technology as well as deep experience in all areas of the auto space. We’re empathetic, gritty, curious, and humble owners of this business and are supported by some of the biggest names in the auto and financial industries as commercial partners.

We’ve never been more excited about the opportunity in front of us to help transition the auto industry from offline to online. If changing a trillion-dollar industry sounds exciting, we’d love to hear from you. Read more about us at
www.autofi.com.

Job Description
AutoFi is looking for a passionate product designer that can work closely with the Director of User Experience, Product Managers, Engineers and Internal Stakeholders to develop world-class designs that will be shipped to car buyers and auto dealerships. There will be many opportunities for early stage design concepts and innovative ideas.

You will be owning the UI and the UX for a variety of products and be in charge of research, design, and validating prototypes with internal teams, dealerships, and car buyers.

This is a product leadership role where you are a designer, researcher, and troop leader. In short, we need someone with director-level experience who wants to do more hands-on design.
Responsibilities
Manage and own the product and brand style guide
Create low/med/high fidelity prototypes in Figma
Define micro-interactions for the developers to build
Collaborate with internal stakeholders on the prototype design, content, and flow
Think laterally when it comes to translating wireframes to final designs
Design responsive, progressive web app solutions for product and website
Tools
Primary Stack (80% of the time)
Figma
Google Workspace
Asana
Maze
Zoom
Other Tools (Less than 10% of the time): Photoshop, Illustrator, Amplitude, Chartio
Success Metrics
Passion towards the primary and secondary users delight
Making deadlines and making realistic deadlines for yourself
Quality of work
Creating multiple ideas to present professionally
Preparing designs with a user story
Getting designs/prototypes bundled with specific questions ready for internal and external validation
Following the design sprints
Validating internally
Keeping manager in the loop
Making sure what is done gets distributed (follow up, add to style guide, etc.)
Qualifications
1 year / 1,000+ hours using Figma
8+ years of experience of both agency and in-house UX design
Proven ability to solve complex problems, work with ambiguity, and be self-motivated
Experience developing and refining new processes, standards, templates, or internal tools
Ability to work in a fast-paced and challenging work environment
Empathy for all the parties (customer, dealers, lenders) in the customer journey
Experience in the Automotive space working on Dealer SaaS products is a plus
AutoFi is an equal opportunity employer. Individuals seeking employment are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, sexual orientation, gender identity or other protected status under all applicable laws, regulations, and ordinances.

#LI-REMOTE",https://www.indeed.com/viewjob?jk=0cb5b01872426674
1,Web Designer,"San Leandro, CA",From $20 an hour,Tez Marble,,today,"We are looking for a Web Designer who can maintain our website and increase our social media. We are a slab and cabinet Showroom and we also have in-house contractors to provide Fabrication and Installations of slabs and we need an individual with the talents to showcase our work and to keep on top of our Website and social media with current completed jobs and new products.
Job Types: Full-time, Part-time
Pay: From $20.00 per hour
Benefits:
Flexible schedule
Paid time off
Schedule:
8 hour shift
Education:
High school or equivalent (Preferred)
Experience:
Web Design: 1 year (Preferred)
Work Location:
One location
Hours per week:
30-39
Typical start time:
8AM
Typical end time:
4PM
Company's website:
stoneempirefab.com
Work Remotely:
No",https://www.indeed.com/viewjob?jk=1af9887a7eac5e57
2,Architectural Intern/Designer,"Oakland, CA",Not shown,Transystems,3.6,today,"Req ID: 17681

For more than 50 years, TranSystems has provided engineering and architectural planning, design and construction solutions to enhance the movement of goods and people across today’s integrated transportation infrastructure. Headquartered in Kansas City, Mo., its professionals in more than 30 offices throughout the U.S. perform a broad range of services to all sectors of the transportation and federal marketplaces. Services are delivered throughout the asset life cycle, from concept to construction to long-term operations, maintenance and rehabilitation.
Responsibilities:
Performs architectural assignments that include programming, conceptual design, design development and construction documentation
Collaborates with other design team members, consultants, vendors and contractors to meet project objectives
Resolves complex design issues with innovative and practical solutions
Produces graphic presentations and 3D renderings
Assists with construction administration duties under direction of project architect
Develops understanding of basic accounting principles, project budgets and fees
Qualifications:
Accredited degree in Architecture or related field
On the path to Architectural Registration
Typically with 0-3 years of experience
Proficiency in architectural software such as Revit, AutoCAD and 3D modeling
Knowledge of materials, construction techniques and building codes
Ability to communicate in a clear, concise and professional manner both verbally and in writing
Strong organization skills and ability to prioritize work on multiple projects
Ability to problem solve both individually and as a part of a project team

TranSystems is an equal opportunity / affirmative action employer and ensures nondiscrimination and equal employment opportunity in all programs and activities in accordance with all applicable laws and regulations. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, pregnancy status, marital status, sexual orientation, genetic information, citizenship status, disability, protected Veteran status or any other status protected by law. In compliance with the Immigration Reform and Control Act of 1986, we will hire only U.S. citizens and aliens lawfully authorized to work in the United States (if the position is or will be one that is subject to U.S. law.",https://www.indeed.com/viewjob?jk=4ac4dc4d34d6ff42
3,Graphic Designer Associate,"San Francisco Bay Area, CA",Not shown,MetricStream,3.4,1 days ago,"MetricStream is the global market leader for Integrated Governance, Risk, and Compliance (GRC) solutions delivered on an intelligent integrated platform. MetricStream’s purpose-built platform is proven with over a million global users, designed to serve GRC use cases across industries and powered by deep domain expertise, embedded content, rich context, integrated data, and explainable AI. Since 2001, MetricStream has empowered organizations to intuitively harness front-line intelligence that enables all stakeholders to make real-time risk-aware business decisions.
Graphic Designer Associate
Key Responsibilities
Create and design various materials for print and digital collateral
Monitor all incoming branding requests from the Organization including social media collateral, weekly newsletters, marketing campaigns, executive presentations, branding and more
Perform Retouching and any refreshing/manipulation required for external facing documents
Help manage the workflow of the branding team at the organization and keep all collaterals brand compliant
Skills and Experience
5+ years of Graphic Design experience at a Technology Company or relevant
Must be a branding guru and be able to create brand compliant imagery for social media banner creation, internal newsletters, executive board meetings, internal event posters, external event banners
Excellent verbal and written communication skills
Advanced skills in MS Office and Adobe Creative Suite
Advanced Power Point skills, comfortability with animations and creative graphics
Compelling portfolio of work over a wide range of creative projects
Video editing/experience preferred
Education
Bachelors degree with a Major in Graphic Design and Communications or similar
MetricStream is proud to be an Equal Opportunity Employer. We not only celebrate diversity, we thrive on it. We are committed to creating an all-inclusive workplace and do not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, genetic information, age, non-disqualifying physical or mental disability, national origin, veteran status, or any other applicable characteristics protected by local, state or federal laws. All employment is decided on the basis of qualifications, merit, and business need.",https://www.indeed.com/viewjob?jk=d385fc6b22fb7723
4,User Experience Designer II,"San Francisco, CA",Not shown,Expedia Group,3.9,1 days ago,"User Experience Designer II

The Expedia UX team envisions, builds, and scales experiences for trip takers for numerous brands, across devices and platforms, around the world.

As User Experience Designer II for Communications, you will work closely with UX designers, content strategists, user researchers, product managers, engineers, and more. You will help Expedia communicate the right messages to travelers at the right time by creating designs for Notifications, Product Communications, Alerts, and more. Your work will enable Expedia to enhance traveler experiences by delivering timely and useful communications across our websites and native apps. You will partner with teams including Conversations Platform, CRM, Crisis Ops, Brand Marketing, and others.
What you’ll do:
Frame problems and opportunities clearly through analysis of qualitative and quantitative inputs, and customer and partner perspectives
Challenge the starting definition of a problem, ask why, clarify assumptions
Define customer experience success metrics for feature-level work
Build the habit of generating diverse, novel, workable concepts, and use different methods to identify ideas with the most potential
Gain experience in facilitating idea generation with partner teams
Demonstrate solid understanding of common visual and interaction design principles and practice, and create appropriate sketches, wireframes, flows, design comps, and prototypes with guidance
Help coordinate partner input and work efforts
Learn to consider customer experiences more broadly by default and understand how to push on constraints to factor in structure, process, and technology
Design system effectively and appropriately with some guidance and understand differences and similarities between design systems/platforms
Create routine, informative communication materials explaining design thinking & decision-making rationale to team members and partners
Collect, process and act on design feedback constructively
Consider the customer's specific needs
Design explorations and solutions which are focused on customer needs, wants, and problems
Value and apply existing customer insights from research to guide design decision

Who you are:
Bachelor's or Equivalent Experience; 2-5 years of professional experience in User Experience Design, Product Design, Human-Computer Interaction, or other related Design field
Strong in 1 core skill, capable in 2 others: interaction/visual design, information architecture, technical/platform knowledge, product thinking, and prototyping. It’s a bonus if you also have skills in facilitation, user research, and/or content strategy
You have experience in designing consumer-facing apps and websites
About Expedia Group
Expedia Group (NASDAQ: EXPE) powers travel for everyone, everywhere through our global platform. Driven by the core belief that travel is a force for good, we help people experience the world in new ways and build lasting connections. We provide industry-leading technology solutions to fuel partner growth and success, while facilitating memorable experiences for travelers. Expedia Group's family of brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Vrbo®, Egencia®, trivago®, Orbitz®, Travelocity®, Hotwire®, Wotif®, ebookers®, CheapTickets®, Expedia Group™ Media Solutions, Expedia Local Expert®, CarRentals.com™, and Expedia Cruises™.

Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization.",https://www.indeed.com/viewjob?jk=9583b1fe6b03af1a
5,Senior Multiplayer Game Designer,"San Francisco, CA",Not shown,Ubisoft,3.9,1 days ago,"Your Opportunity:
Charles Schwab User Experience and Design is responsible for software design across mobile, web and desktop platforms. We are a multi-disciplinary group of user experience designers, visual designers, prototypers and researchers. We work with strategic business and technology partners across the enterprise to build best-in-class software experiences for our users.

Our business is driven by looking through our clients’ eyes, which makes it a great place to practice user-centered design. Our purpose is designing tools and experiences that enable users to achieve their financial goals.
The team is responsible for:

Design Consulting
Facilitate collaborative design sessions including sketching and ideation.
Lead design reviews and drive decisions.
Effectively “sell” design solutions to partners through design storytelling and by demonstrating traceability in the design thinking.
Represent the design team brand and deliver a consistent design process to partners.
Understand great designs are achieved iteratively.
Visualize ideas in a clear form (sketch, diagram, wireframe or prototype) and provide appropriate level documentation.
Design Management
Set expectations with the project team and prioritize activities.
Create and maintain design schedules.
Communicate status and agreements with project team.
Review work with UX managers, keep them updated on project status and escalate items appropriately.
Design Expertise and Execution
Maintain the high standards set by the group.
Conduct the primary design activities, create deliverables and conduct QA at an expert level.
Participate and support research efforts.
Commit to improving our process and methods with an emphasis on both effectiveness and efficiency.
Teamwork, Collaboration and Engagement
Work well with all partners to deliver work.
Support UX team members.
Strategically listen to feedback and help guide the delivery
Collaborative and cooperative.
Has a design position but is not rigidly fixed when presented with new information.
Passionate about team, our mission and the needs of our partners and users.
Enthusiastic about UX design.
Empathy & Curiosity
Understand user needs, walking in their shoes when possible.
Focus on innovation and improvement.
Regularly learns more about design theory, practice and tools.
What you are good at:
You will support an engaged set of users who rely on our products to manage their financial lives.
By researching and understanding the user needs you will be able to impact how our users do business with Schwab.
You will learn how balance functionality against complexity on a highly visible platform which serves millions of advisors and retail customers.
You will work with an engaged design team that fosters a learning environment.
What you have:
5+ years of rich interaction design focused on digital products.
1+ year of interaction design experience for touch-based mobile interfaces
Enterprise financial services experience
An online portfolio demonstrating interaction design process and thinking
Experienced with all aspects of a user-centered interaction design process, including user research, developing user flows, creating wireframes, conducting usability tests and creating annotated design specifications.
Experience working in a collaborative multi-disciplinary team within an iterative process and an Agile development methodology.
Experience working on an Agile team. Working a sprint ahead to quickly and continuously deliver ideas to product owners, stakeholders, and developers. Experience being a present and active contributor in the current sprint, with all its meetings and ceremonies.
Strong self-management skills, comfortable with substantial responsibility, working directly with our client partners.
Capable of creating and managing your design project schedules.
Proficient in these tools: Figma, Sketch, Jira, Axure.
Experience facilitating design thinking sessions with cross-functional teams.
Effective relationship builder - ability to partner cross-functionally, cross-enterprise and work effectively with various levels of the organization as well as various personality types.
Comfort in a project-oriented work environment, with a positive attitude and solid work ethic.",https://www.indeed.com/viewjob?jk=8270090253b4c33f
6,"Manager, User Experience Designer","San Francisco, CA",Not shown,Charles Schwab Inc.,4.0,1 days ago,"Company Description

Ubisoft is composed of over 18,000 talented people located in 55+ development studios and offices across the globe. With more than 80% of our teams dedicated to creation, Ubisoft is the biggest in-house creative force in the industry.

Home to the North American Ubisoft headquarters since 1996, Ubisoft San Francisco opened its development studio in 2009 and since developed Rocksmith® and Rocksmith 2014, to teach millions of people how to play guitar and bass. With a song library of over 1,500 songs and 9 years of support the Rocksmith franchise helped millions of players around the world on their musical journey. In 2017, the studio released the critically acclaimed South Park™: The Fractured But Whole™, in collaboration with Trey Parker, Matt Stone, and South Park Digital Studios. The studio is currently working on two unannounced projects.

Ubisoft’s worldwide network of video game development studios and business offices work hand-in-hand each day to deliver rich and innovative gaming experiences that reflect the creativity and diversity of their teams. This cross-studio collaboration model means every team member has the opportunity to participate in challenging projects based on iconic brands including Assassin's Creed®, Tom Clancy's Rainbow Six Siege®, Tom Clancy's The Division®, For Honor®, Rabbids®, Rayman®, Watch Dogs®, Far Cry®, The Crew®, Just Dance® and more. Ubisoft is a global leader in the video games and entertainment software industry.

Ubisoft is committed to enriching player’s lives with original and memorable gaming experiences. We create worlds where people can express themselves, explore and discover new possibilities.

Are you looking to work with enthusiastic experts who are tackling game-changing challenges in entertainment and beyond? At Ubisoft, we offer an open environment where bright ideas are given a chance to shine and everyone is eager to share knowledge.

Take entertainment to the next level. Join us and create the unknown.

Job Description

WHAT YOU'LL DO

We are looking for a highly talented, motivated and experienced person for a new unannounced AAA project, based in our San Francisco studio. The Multiplayer Game Designer collaborates with design, engineering, and animation teams to create a fun and immersive experience that fulfills the creative vision and desired gaming experiences.

Design, implement, and balance multiplayer gameplay systems such as game modes, progression systems, player abilities, and weapons
Prototype your ideas using our in-house tools
Continue to iterate on gameplay systems throughout the project phases from concept to final
Rapidly respond to and iterate on team and player feedback
Understand the high level vision of the game and be able to translate the vision into gameplay systems designed that can be used by everyone to build all of the experiences in the game

Qualifications

WHAT YOU'LL BRING

Experience in multiplayer design for PC or console games
Minimum 2 years of games industry experience
Methodology and problem solving ability and with a focus on multiplayer systems
Collaborative between all disciplines on the game development team

Additional Information

WHAT YOU'LL GET

Medical, dental, and vision coverage
Employer HSA contribution to fully cover your deductible (with enrollment in a HSA eligible medical plan)
401k match
Paid vacation, holiday and wellness time
Fitness, physical challenge, and eSports competition reimbursements
Ginger emotional support app for you and your adult dependents with up to 10 sessions per year of video-based therapy and psychiatry services
Membership to One Medical
Rocket Lawyer online legal service membership
Paid parental leave
Paid time off to volunteer
Pawternity – paid time off to bond with a newly adopted pet
Sabbatical leave available after 5 years of employment
Access to all of the latest Ubisoft games for PC
Generous discount on new Ubisoft games

Ubisoft is committed to creating an inclusive work environment that reflects the diversity of our player community. We are an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to their race, ethnicity, religion, gender, sexual orientation, age or disability status and will be kept confidential according to EEO guidelines.",https://www.indeed.com/viewjob?jk=01a7265c5a532f95
7,"Senior UX Designer, SASE","San Francisco, CA",Not shown,Cisco Systems,4.1,1 days ago,"What you'll do
The SASE (Secure Access Service Edge) UX team, you will work with designers, researchers, product managers, and software engineers to build highly-usable products that help people connect to the Internet safely everywhere and from any device. Specifically, you will:
Design features and interactions for the Cisco Secure group of products
Conduct customer and user research activities
Produce low and high-fidelity design artifacts
Drive alignment and consistency across our products
Adopt and help evolve our design system as part of your design process
Work cross-functionally to be the voice of the design team, facilitate design discussions and help shape product strategy
Advocate for the prioritization of user-centered changes, refinements, and improvements across our products Who you are
You are a collaborative problem solver who is energized by a good challenge. You are insightful and self-aware, with a history of building successful working relationships. You also have an outstanding portfolio that shows off your UX achievements and you are confident discussing the business challenges, constraints, and decisions you faced while creating those artifacts. Minimum requirements for this role:
Typically, 7+ years of experience as an individual contributor on a UX/Product Design team
Ability to guide sophisticated features from initial concept to production and post-launch evaluation
Ability to work across multiple product teams and bring share knowledge to design unified experience
Current knowledge of web technologies, tools, and industry trends
Working knowledge of common design tools (such as Sketch, Invision, and/or Figma)
Strong story-telling skills with the ability to clearly articulate design concepts visually and verbally
Proven visual design skills
Bonus: Enterprise design experience
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!",https://www.indeed.com/viewjob?jk=a6124c453bdc9f7d
8,Visual Designer,"San Francisco, CA",Not shown,Envoy,3.3,1 days ago,"About Envoy
Envoy makes workplaces work better. With a focus on the details, we craft beautiful, modern software that elevates the workplace experience. Companies like Tesla, GitHub, Slack, Stripe and Pinterest work with Envoy to welcome over 50 million visitors to more than 14,000 locations around the world. We are proudly backed by Andreessen Horowitz, Menlo Ventures, Initialized Capital and others.
Our mission is to challenge the status quo of workplace technology. This idea started at the front desk. We're also going through the rest of the office— the mailroom, meeting rooms and beyond—and we're asking how we can make these better too. Right now, Envoy is helping the world return to work safely. We do this with our Envoy Protect product. Next to that, we help customers prepare for the new normal of work, Hybrid Work, with our Workplace Platform, our developer platform, Desks and other offerings. Our rate of innovation is high, we are customer-centric and we like to move fast. We envision a world where technology is woven through our workplaces, all of it working together to make our time there delightful. If this world sounds exciting, we'd love for you to help us build the Workplace Platform.
About the role
We are a top-notch team with a friendly, low-ego culture, and we have the same high standards for our design work, practices, and people. We value learning and growth, and hire diverse, well-rounded, and communicative people.
Our high-quality design and polished experiences are what set Envoy apart from our competitors, and we're looking for a visual designer who can create industry-leading brand and marketing collateral to take us to the next level.
You will serve as an advocate for our brand standards, leading external-facing designs that are aimed at communicating our products and driving growth. You will be the go-to for visual assets, including one-pagers, ads, event collateral, presentation decks, email headers, and more, ensuring strong visual communication and consistency across deliverables. You will collaborate with visual designers, marketers, and other cross-functional partners, reporting to the Visual Design Manager.

You will
Run point on highly complex, critical projects—managing aesthetics, brand alignment, clear communication, and quality.
Work with marketing partners to define problems to be solved.
Assume a leadership role on the visual design team, and be held accountable for design quality and cohesion across output.
Demonstrate and articulate understanding of layout, typography and visual hierarchy.
Maintain and suggest evolutions of our design system and existing style guides with a holistic consideration for the future of our brand.
Communicate with Marketing partners in their vernacular, designing with consideration for their cares and concerns.
You have
Extensive experience in visual design (layout, typography, hierarchy).
A strong portfolio of visual and web design work living in production.
Proficiency with Illustrator, InDesign, Photoshop, and Figma.
Experience with print (pre-press, processes, communicating with print shops).
Demonstrable understanding and examples of how your designs support your team's goals, the broader product vision, and company objectives.
Experience acting in a leadership role cross-functionally.
You Are
Flexible: You enjoy taking on new challenges as new opportunities arise.
Curious: Before you even consider a solution, you want to understand and clearly articulate the problem, and when devising solutions, you seek and value input from as many sources as possible.
Someone with extremely high standards: You're practical and know perfect is the enemy of good, but you aspire for us to be great, and you care deeply about the quality of our work and our team.
A strong communicator: You can lead design conversations and communicate complex ideas, goals, and problems in a way that is accessible even to those unfamiliar with the project.
Bonus points
Experience with creating pixel-perfect iconography
Experience with creating or extending illustrations
Experience with Figma
Please include
A link to your portfolio and work living in production
A link to your Dribbble profile, if you have one
If this kind of work sounds interesting, we'd love to hear from you! We're open to all backgrounds and levels of experience, and we believe that great people can always find a place. People do their best work when they can be themselves, so we value uniqueness. We never discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status or disability status.",https://www.indeed.com/viewjob?jk=0c1ffb2f24fbdf17
9,Jr. Production Designer,"Berkeley, CA",Not shown,Magenta Inc.,,1 days ago,"JOB TYPE: Freelance, Contract Position - No agencies & No C2C
LOCATION: Remote (TimeZone: BST, CST, EST)
HOURLY RANGE: Our client is looking to pay $55-70 USD / HR
ESTIMATED DURATION: 40Hrs/Week - Long Term, 6-month project
HIGH-LEVEL QUALIFICATIONS:
Consumer based, health tech app & mobile web experience preferred
Please be sure to include a portfolio
Strong Motion Graphics/ Illustrations preferred
Must use Figma

ABOUT US:
Braintrust (usebraintrust.com) is a user-controlled talent network, where you keep 100% of what you earn and actually get to own the platform. We've been onboarding some big clients and specifically need a Senior Product Designer for our client.

Responsibilities
Iterative design and product development
Collaboration with Marketing and Engineering
Assist in experimentation and choosing the right tool for the job (A/B testing, customer surveys, user interviews, etc.)
Communicate insights and advocate for data-driven product development
Understand the Growth KPIs and look for high impact UX work that will meet business objectives while providing a great user experience
Participate in the experimentation process, including assisting the
Director of Engineering and Director of Marketing with crafting hypotheses, designing experiments and interpreting results
Work with the team to prioritize the experiments backlog
Requirements
5+ years experience in product design (app + web), ideally with conversion-focused, behavioral economics experience
Deep understanding of product growth principles and research methodologies
Understanding of iOS, Android and Web standard UX/UI practices
Have a high degree of autonomy and ability to carry a project from conception to finished production ready design files
Strong use of analytics, user research, and business cases to inform design decisions and improve products
Understanding of motion as a crucial part of UX/UI solutions
Motion design and illustration skills
Experience executing quantitative and qualitative experiments
A portfolio demonstrating product acumen, data-driven decision making, and strong visual design skills
Experience with Figma and prototyping tools
Excellent written and verbal communication skills

TECHNICAL SKILLS:

ABOUT THE HIRING PROCESS:
Qualified candidates will be invited to do a screening interview with the Braintrust staff. We will answer your questions about the project, and our platform. If we determine it is the right fit for both parties, we'll invite you to join the platform and create a profile to apply directly for this project.
C2C Candidates: This role is not available to C2C candidates working with an agency. If you are a professional contractor who has created an LLC/corp around their consulting practice, this is well aligned with Braintrust and we’d welcome your application.
Braintrust values the multitude of talents and perspectives that a diverse workforce brings. All qualified applicants will receive consideration for employment without regard to race, national origin, religion, age, color, sex, sexual orientation, gender identity, disability, or protected veteran status.

This is a remote position.",https://www.indeed.com/viewjob?jk=0b68aed28f080a58
