,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Junior Floral Designer,"Reseda, CA",From $16 an hour,Allen's Flower Market,3.0,today,"PerkinElmer is looking for a Senior UX Designer

About you:
You have a curious nature and keep abreast of new developments or ideas gaining momentum in the business. You are a talented UX Designer looking to create industry leading and intuitive user experiences. You possess strong user focus and are a usability research advocate . You have an eye for clean and artful design, possess superior UX skills, and be able to translate high-level and detailed requirements into smart, functional user interfaces. You love to produce delightful user experiences in every single product you touch.
You enjoy collaborat ing continuously with Users, Product Management, Engineering, and other stakeholders using design thinking and other UX techniques to solve complex problems . Most of all, you want to work on software experiences that contribute to making people’s li f e and health better and make a difference .

Within 30 days -

Getting to know your team and the people involved

Gaining a basic understanding of the problem space

Designing some features that will go directly into a shipping software product

Develop prototypes, screenshots, wireframes -- whatever gets the job done

Refine other people's ideas and come up with your own

Within 60 days -

Participate and collaborate in concept development and design ideation for new product features.

Quickly and thoughtfully incorporate team feedback into designs

Produce compelling, engaging, user experiences that allow users to accomplish their tasks easily and efficiently

Create and validate hypotheses regarding what we can build to solve user problems

Get c omfortable conducting or working with UX research to validate designs with end users

Incorporate and contribute to our internal design guidelines, ensuring consistency across the entire product

Within 90 days -

Be a partner with Product Management and your team to define the vision for the product

Lead and apply different methods of design thinking to understand and solve for problem spaces along different phases of a project, working directly with product owners and tech leads

Collaborate with Product Management to understand product requirements and turn them into buildable user experiences, balancing design scope to address usability and engineering concerns with release timelines.

Mentor and work closely with more junior level designers to offer feedback and production support

Contribute to coordination of design systems and documentation of UX best practices

Basic Qualifications:
Bachelors or Master’s Degree in User Experience Design, Graphic Design, New Media, Interaction Design, Psychology, or equivalent experience

5+ year Career Experience in User Experience and User Interface Design

Preferred Qualifications:
Self-driven, curious, collaborative , and a good communicator

I ncorporating User Research findings into the design process

Experience with a variety of design tools such like : Sketch, Axure , and Figma

A strong UX toolkit demonstrated in your portfolio

Strong ownership and leadership capabilities

Experience in agile UX methodologies, Lean UX, Agile design methods

Designing digital products using a minimum viable product approach

Understanding theory and constraints of modern JavaScript /CSS technologies like React or similar (experience with code is a plus, not required)

Experience in science, life sciences, chemistry , laborator ies etc., a plus but not required",https://www.indeed.com/viewjob?jk=6e1cadb8194f3946
1,Graphic Designer,"Los Angeles, CA",$14 - $20 an hour,Zest Grill House,,today,"Job Summary
Allen's Flower Market in Reseda is growing!!! We are looking for an experienced, energetic, friendly, and organized Junior designer who can help us with that growth. We offer advancement opportunities and competitive wages. Currently, we have openings for part-time designers. Please only respond if you have AT LEAST 2 YEARS of prior design experience and recent references. Bilingual in Spanish preferred, but not mandatory. Must be available evenings, weekends and all major holidays.
Responsibilities and Duties
Customer service/sales, processing and cleaning flowers, phone sales, assisting designers, following our more senior designers' direction and producing custom flower arrangements and arrangements from our website. This is a swing position which means you'll also be assisting our sales staff.
Qualifications and Skills
Please only respond if you have AT LEAST 2 YEARS of prior design experience and recent references. Bilingual in Spanish preferred, but not mandatory. Must be available evenings, weekends and all major holidays.
Job Types: Full-time, Part-time
Pay: From $16.00 per hour
Benefits:
Employee discount
Schedule:
Day shift
Holidays
Monday to Friday
Night shift
Weekends
Supplemental Pay:
Tips
Education:
High school or equivalent (Preferred)
Experience:
Floral design: 2 years (Preferred)
Work Location:
One location
Typical start time:
9AM
Typical end time:
5PM
Company's website:
www.allensflowermarket.com/reseda
Work Remotely:
No
COVID-19 Precaution(s):
Personal protective equipment provided or required",https://www.indeed.com/viewjob?jk=8e54edd2278ac86e
2,Experienced Floral Designer,"North Hollywood, CA",$15 - $20 an hour,Bent Willow Florist,,today,"We are looking for a graphic designer to create engaging and on-brand graphics for a variety of media. What is the role of a graphic designer? The graphic designer job description includes the entire process of defining requirements, visualizing and creating graphics including illustrations, logos, layouts and photos. You’ll be the one to shape the visual aspects of websites, books, magazines, product packaging, exhibitions and more. Your graphics should capture the attention of those who see them and communicate the right message. For this, you need to have a creative flair and a strong ability to translate requirements into design. If you can communicate well and work methodically as part of a team, we’d like to meet you. The goal is to inspire and attract the target audience.
Responsibilities
Study design briefs and determine requirements
Schedule projects and define budget constraints
Conceptualize visuals based on requirements
Prepare rough drafts and present ideas
Develop illustrations, logos and other designs using software or by hand
Use the appropriate colors and layouts for each graphic
Work with copywriters and creative director to produce final design
Test graphics across various media
Amend designs after feedback
Ensure final graphics and layouts are visually appealing and on-brand
Skills
Proven graphic designing experience
A strong portfolio of illustrations or other graphics
Familiarity with design software and technologies (such as InDesign, Illustrator, Dreamweaver, Photoshop)
A keen eye for aesthetics and details
Excellent communication skills
Ability to work methodically and meet deadlines
Degree in Design, Fine Arts or related field is a plus
Job Types: Full-time, Part-time, Contract, Internship
Pay: $14.00 - $20.00 per hour
Schedule:
8 hour shift
Contract Length:
More than 1 year
Full Time Opportunity:
Yes
Work Location:
One location
Hours per week:
30-39
Job Duties:
Draft mockups of website designs, brochures, iconography, and any other marketing materials required
Collaborate with marketing teams and management to discuss which mockups are effective, and use their feedback to develop final drafts
Revise the work of previous designers to create a unified aesthetic for our brand materials
Other duties as requested
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Plastic shield at work stations
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=66e5c9d9b3de7fbd
3,Sales Designer,"Granada Hills, CA","$2,000 - $4,000 a month",Closet World,2.8,1 days ago,"Looking for enthusiastic, energetic and committed team members with a working knowledge of floral design. A minimum of 5 years experience desired. Candidatee must be proficient in high end floral arrangements and wrapped bouquets.
Job also includes processing of flowers, answering phones, taking orders, hand writing card messages, wire out orders when necessary.
Physical requirements include hand manipulation, exposure to cold (floral cooler), standing and bending, twisting, walking, squatting and kneeling.
Job Type: Part-time
Pay: $15.00 - $20.00 per hour
COVID-19 considerations:
Curbside pick up only until indoor restrictions are lifted.
Work Location:
One location
Hours per week:
20-29
Company's website:
www.bentwillowflorist.com
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=fed060dbc07e5976
4,Junior Designer,"Los Angeles, CA",Not shown,Studio Shamshiri,,1 days ago,"Become a Sales Designer for Closet World!
Are you a people person?
Do you love helping people get organized?
Does your closet look like one of our ads?
Do you like to organize your friends and family for fun?
If you answered YES! ...then this job is for you!
We offer the following:
* Work from your home office*
** No Cold Calling
* Monthly Bonus opportunity*
** Paid training
* A flexible schedule - Variable hours*
** Pre-Set appointments with new and repeat clients
* Excellent marketing materials provided*
** No previous sales experience necessary
We are looking for people who have:
* Great people skills *
** Fun and outgoing personalities
* Creative problem solving skills*
Are you wondering what it is like to be a sales designer for Closet World? Just click the link below to view a series of videos where our designers describe in their own words what it’s like to be a Sales Designer with us.
*Click here: www.salesdesigncareer.com*
Closet World has become the leading company in the home organizing industry over the past 30 years. Our Designers create the beautiful spaces you’ve seen in magazines and television. So, if you are a motivated individual who loves organization, being creative and working with people, Apply Now!
Call Sofia: 562-237-9544
Email us at Sofia@closetworld,com
Average Compensation is $2k to $4k per month
Job Type: Part-time
Pay: $2,000.00 - $4,000.00 per month",https://www.indeed.com/viewjob?jk=33adba3202f9331e
5,Prepress Operator - Graphics Designer,"Burbank, CA",Not shown,Front Signs,5.0,1 days ago,"The Junior Designer is responsible for assisting with the coordination of assigned project efforts, administrative and technical, to ensure the most “on design”, efficient and cost-effective execution of assigned projects.
Essential Job Functions
Maintain confidentiality of all proprietary information as required by Studio Shamshiri.
Follow all Company Policies, and be on time to work, as scheduled. Record and produce timely and accurate timesheets weekly.
Understanding of and contribution to Studio Shamshiri culture.
Meet with the immediate manager to review assignments, changes in projects, and other information pertinent to the job performance.
Support the team in all design areas: Concept, Design Development, Documentation & Administration, and Purchasing.
Understand the project scope; foresee work needed and possible conflicts.
Communicate potential problems to the Project Lead and alert when deadlines or milestones might not be met ahead of time.
Research and develop design and produce solutions to be presented for consideration to the team while keeping faithful to the Studio's design intent and direction.
Collaborate and coordinate seamlessly with architects, suppliers, consultants, & other third parties.
Tracking, ordering, and processing purchase orders for multiple projects. Serve as a contact with suppliers, consultants, and other third parties as needed.
Keep clear and accessible records of correspondence and meetings.
Provide guidance and training to Interns.
Prepare Peer Reviews.
Understanding of products and methods within his or her discipline.
Other duties as assigned by supervisor and management.
Job Requirements
One year of professional experience demonstrating excellence in design and implementation on several projects.
Bachelor’s Degree in a related field.
Proficient in Microsoft Office, AutoCAD, Adobe Creative Suite, DesignSmart, and related software used to create design and contract documents within the Designer’s discipline. Facility, Rhino, and/or Sketchup is preferred but not a requirement.
Interest in development and growth in responsibility.
Ability to:
Display a strong work ethic and honesty.
Adhere to the Company’s Mission and Values, policies, and procedures.
Be reliable, responsible, and dependable in fulfilling obligations.
Displaying a good-natured, cooperative, and professional attitude.
Ability to collaborate comfortably with new and existing clients.
Strong verbal and graphic presentation skills.
Understand and be sensitive to others' needs, feelings, and reactions. Be helpful on the job.
Remain positive and open to change (positive or negative), and react calmly and effectively in high stressed situations.
Work cohesively with all levels of management, all departments, and co-workers as part of a team.
Be a clear thinker, remain calm, and resolve problems using good judgment.
Physical Requirements
The physical demands described here are representative of those that must be met by an employee to perform the essential functions of this job successfully. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to walk, talk, see, and hear. Stands for extended periods of time; uses hands, fingers, arms, legs and moving the whole body, such as bending, lifting, balancing, etc.; occasional lifting (up to 20 lbs.); exposed to office environment conditions. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perceptions, and the ability to adjust focus.
Mental Effort
Ability to work independently, prioritize duties to ensure timely completion of job duties. Requires active listening, critical thinking, making decisions, and time management skills. Ability to interact courteously and professionally at all times.
This job description in no way states or implies that these are the only duties performed by the employee occupying the position. Employees will be required to perform any other job-related duties assigned by their supervisor.
Job Type: Full-time
Benefits:
401(k)
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
AutoCAD: 1 year (Preferred)
Interior Design: 1 year (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Autonomous/Independent -- enjoys working with little direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
High stress tolerance -- thrives in a high-pressure environment
Company's website:
www.studioshamshiri.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process",https://www.indeed.com/viewjob?jk=6fb4829359779e51
6,"Jr. Lighting Designer - Santa Clarita, CA","Santa Clarita, CA",Not shown,CITY ELECTRIC SUPPLY (CES),3.2,2 days ago,"Front Signs is a leading full-service sign-making company in LA. We provide a wide range of signage solutions for both commercial and residential projects. Our services range from design and manufacturing to installation. We value integrity, hard work, and we are focused on delivering excellence to our customers.
We are looking for an experienced Prepress Operator / Graphic Designer to join our team of experts.
Job Responsibilities:
Review electronic files that are received from clients and check them for thoroughness and completeness in advance of the print file making process;
Prepare comprehensive layouts, mockups, proofs and copy for print reproduction according to instructions from clients through the sales team;
Prepare cut files for routers, plotters and other equipment;
Perform logo modification and source high-quality digital files;
Prepare files, including adding bleeds, crop marks, die-lines, hole locations, and other finishing file layers as required, archiving files upon completion for future use;
Inspect all jobs for accuracy and quality before sending them to be produced;
Assist the production team on an as-needed basis;
Take artwork from the customer and prepare the file for printing;
Work directly with customer service representatives, customers, and production personnel as necessary to work out any problems with the job;
Prepare color proofs for customer review;
Work with various graphic layout tools to prepare proofs;
Perform all tasks under minimal supervision and guidance.
Qualifications:
2+ years of work experience;
Expert knowledge of Adobe Illustrator & Photoshop, Corel Draw;
Basic color management skills and the ability to work with different digital file formats are required;
Knowledge of a variety of graphics programs and output devices such as vinyl plotters, large-format printers, laser engravers and CNC routers;
Good math and proof-reading skills;
Ability to multi-task in a fast-paced environment;
Exceptionally detail-oriented to ensure every part of a project comes out correctly the first time.",https://www.indeed.com/viewjob?jk=d0a443643186abfc
7,Kitchen Designer/Sales,"Studio City, CA",Up to $44 an hour,Cabinets By ZePHYR,,2 days ago,"Visual Production Designer -Santa Clarita, CA 91350
Job Overview
The primary focus for a Visual Production Designer is to help win new business by running photometric calculations. Our goal is to provide alternate solutions by specifying new fixtures and/or new lighting layouts to save the client money, wattage, or to increase or decrease the amount of light output within their space. The Visual Productions Designer will work closely with internal sales staff, end-users, architects, interior designers, engineers & manufacturers to provide value and come up with creative solutions to existing problems. The Visual Production designer must be capable of managing small to moderate projects/accounts with some optimal support. A key aspect to the role is a through understanding on how to create the right balance between design intent and business opportunity.
Responsibilities and Duties:
· Provide point by point calculations for clients and end-users. At times, detailed 3D renderings will be required to visually show the customer the design intent.
· Pulling correct IES files from manufacturers' websites or seeking out the file from vendors.
· Client presentations are sometimes required to present our findings of how we can improve their space. In order to win new business a presentation is required, while maintaining the CES branding.
· At times a Visual Production Designers will be required to present their presentations with a Supervisor and/or Sales Rep to the client, architect, interior designer or engineer.
· When given a set of plans, analyzing how to provide design expertise, including running the photometrics calculations to prove any design changes.
· Create lighting documentation that will be presented to an architect, engineer, or client for a national roll-out or a prototype that achieves the desired design intent while remaining within budget and meeting energy code requirements.
· Specify new lighting as a viable alternate solution for new or existing clients.
· Negotiate pricing with suppliers and strategic partners to ensure competitive pricing on all National Accounts.
· Grow relationships & network with preferred partners.
· Some travel may be required to meet with clients and onsite projects.
Qualifications Requirements:
Educational Skills
° Bachelor’s Degree or higher degree in architectural design, or interior design
° 1-3 years of experience in lighting, architectural design or interior design
° AGI experience is not required but preferred
° 1-3 years of experience in CAD v.2013 or later
° Basic understanding of 3D modeling in either, CAD 3D, Sketchup, 3DS Max, Rhino, AGI, or Revit
° Revit experience is not required but preferred
° Adobe Suites experience is not required but preferred
° Microsoft Office experience required
Personal Skills
° Ability to communicate clearly and effectively to clients and internal team via email, phone or in person.
° Strong presentation skills via phone or video conferencing to present to clients, architects, interior designers or engineers.
° Strong sense of critical and creative thinking.
° Work well as an individual and within a team.
° Strong problem-solving skills; identifying and resolving problems in a timely manner.
° Strong customer service skills; and responding promptly to the internal team, external team and/or clients.
° Support and display the company’s values P.E.P.S.I every day.
° Demonstrate persistence and overcome obstacles.
° Uses time efficiently by developing a realistic action plan.
° Strong organizational skills.
° Multi-tasker
° Desire to improve self and team procedures to increase efficiency.
° Strong desire to learn.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Graphic Design: 1 year (Preferred)
Adobe Illustrator: 1 year (Preferred)
Work Location:
Multiple locations
Work Remotely:
No",https://www.indeed.com/viewjob?jk=3ba412796e3c6dd7
8,CAD/CAM Designer,"Burbank, CA",$14 - $30 an hour,Burbank Dental Laboratory,,2 days ago,"We are looking for an ambitious and self motivated candidate who are willing to put in additional work and effort to learn the high end kitchen cabinet sales business.
We require candidate who has basic computer design skills and sales potential. If you familiar 20/20 design program , AutoCAD or auto kitchen will be a plus.
Job Types: Part-time, Contract, Internship
Pay: Up to $44.00 per hour
Schedule:
Day shift
Monday to Friday
COVID-19 considerations:
All customers are required masks
Ability to Commute/Relocate:
Studio City, CA 91604 (Preferred)
Application Question(s):
Can we talk to your supervisor on your previous job?
Education:
Associate (Preferred)
Experience:
Layout design: 3 years (Preferred)
Language:
English (Preferred)
License/Certification:
Driver's License (Preferred)
Security Clearance:
Confidential (Preferred)
Willingness To Travel:
50% (Preferred)
Contract Length:
Varies
Full Time Opportunity:
Yes
Work Location:
One location
Paid Training:
Reduced Pay
Management:
Key Leader
Company's website:
The kitchen factory.com
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Personal protective equipment provided or required
Social distancing guidelines in place
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=28f67af992ee04fc
9,Graphic Designer,"Los Angeles, CA",Not shown,Voyant Beauty,2.8,5 days ago,"Job Summary
Implant restoration CAD Designer is responsible for: Scanning of client models and intaking of digital files into exocad, 3-Shape, or Zirkonzahn design softwares, Evaluation of case parameters for compatibility with clinician’s prescription, and Design of implant restorations in accordance with prescription. Designs range from single abutments to full arch designs, including but not limited to: implant bars, hybrid frameworks and monolithic prosthesis (materials including but not limited to: zirconia, pmma, composite, and metal).
Responsibilities and Duties
Create implant restoration designs based on client prescriptions, using 3-Shape, exocad, or Zirkonzahn CAD design softwares.
Ability to work from digital model files to design dental restorations in a timely manner that meet the prescription parameters and comply with material tolerances.
Scanning models into design software.
Good verbal and written communication with team members.
Meet daily design quotas as defined in job description.
Follow procedures and complete documentation as needed.
Other duties as assigned
Qualifications and Skills
Minimum of 1-5 years of experience in a dental laboratory. (Required)
Minimum 1-5 year experience in dental implant CAD design. (Required)
Knowledge of 3-Shape, exocad, and Zirkonzahn CAD/CAM design software required.
Experience Implant Waxing & Finishing desirable.
High school diploma or GED preferred
Demonstrate ability to complete assigned quotas in allotted time.
CDT certification preferred
Good reading, writing and communication skills.
Work well with others and the ability to adapt and learn on the job
Job Type: Full-time
Job Type: Full-time
Pay: $14.00 - $30.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Health savings account
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Education:
High school or equivalent (Preferred)
Experience:
CNC Programming: 1 year (Preferred)
CAM Programming: 1 year (Preferred)
Work Location:
One location
Company's website:
burbankdental.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No
COVID-19 Precaution(s):
Personal protective equipment provided or required
Plastic shield at work stations
Temperature screenings
Social distancing guidelines in place
Sanitizing, disinfecting, or cleaning procedures in place",https://www.indeed.com/viewjob?jk=2484f37bea8c8e14
