,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Hardware Engineer,上海市,Not shown,Mantu,,today,"Company Description
Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses.
With more than 1000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 6000 people spread across 5 continents and more than 60 countries.
Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering.
We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential.
Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.
Your Role
As Hardware Engineer, you are responsible for:
Design and develop electronics parts (e.g. PCBA and cable, etc.) for HD Machine products
Perform in the whole development process including design specifications, design evaluation, design reviews, test method design, inspection methods, design transfer and OEM co-ordination.
Provide/select technical solution for product design; Make electronics design based on system requirements and relevant standards (e.g. IEC-60601) independently, including schematics design, layout design, bills of materials, testing, manufacturing processes, debugging and improvement.
Leverage new components and new technology concepts in design.
Design and develop jigs and fixtures per testing and manufacturing requirements
Plan and perform relevant engineering test required for products and instrumentation, based on internal testing requirements and standards.
Create professional design document according to the Company design control process
Involving the selection of electronics supplier

WE EXPECT YOU ARE:
2+ years of experience in electronics design in R&D team - EE;
5+ years of experience in electronics design in R&D team – Sr.EE;
Be familiar with EDA tools, such as Pulsonix, OrCAD, Altium Designer, etc.
Experience in microcontroller family, such as AVR, ARM Cortex M and C167
Better to have experience in electronics system architecture design
Better to have experience in Medical Device industry (mid-sized equipment) preferred.
Experience of communication with vendor
Why us?
Be part of an international, multicultural environment of 7,750 talented people over 60 countries and 5 continents
Join a fast-growing global group with a turnover of €565M and over 1,000 clients across the world
Explore opportunities to grow quickly with a tailor-made career path: 70% of our key senior talent joined the company at entry level
Take advantage of over 500 training courses in our ACADEMY catalogue, which includes programs in interpersonal communication, team management, project management, etc.
Get the opportunity to support nonprofit organizations thanks to our Foundation initiatives and volunteering platform OneSmallStep
Depending on your performance and eligibility criteria, you can benefit from international mobility opportunities and progress your career worldwide, and/or experience other departments and sectors
Unlock your full potential, both professionally and personally.
刚刚发布
举报职位",https://cn.indeed.com/viewjob?jk=bafbd7abfe8aab68
1,"Design Manager, D3设计经理, D3",上海市,Not shown,PepsiCo 百事公司,,today,"招聘类型：社招
工作性质：全职
职位描述
This is a PepsiCo career opportunity. This position is in PepsiCo China HQ. Please log onto www.pepsicojobs.com/main/china to find more career possibilities in PepsiCo China.
Roles:
The Content Brand Designer is responsible for execution of comprehensive brand design and graphic design projects within Beverage & Food Group across social and digital platform. Successful candidates will demonstrate superior ability to drive design thinking from ideation thru concept development, refinement, and execution. Creating high quality brand design solutions by directly executing design and leveraging internal/external design resources.
The Designer must be able to sketch and articulate his/her creative thinking.The main objective of this role is to execute major brand design projects across a specific product portfolio. This means planning, organizing, and implementing consistent design principles and production processes to ensure that the design/production guardrails are met.
Accountabilities:
Takes ownership of the visual identity for specific brands in the portfolio, working in collaboration with the Design director, Brand teams, insights teams and global design team while leading design team member.
Generates creative design proposals (visions, scenarios, concepts) in order to visualize the desired output and share it with internal and external team members.
Participates in research activities and effectively translates customer needs into actionable design requirements.
Execute those requirements into design solutions for social media, digital and EC environment.
Responsible for driving to final design recommendations, decisions and design approval to enable artwork execution / production phases.
Ensure thorough consideration of all project variables and that the final solution will perform as planned.
任职条件
Requirements:
6+ years of deep brand design experience,Graphic designer Degree or similar
tangible understanding of digital ecosystem
Extraordinary design taste and skill
Extraordinary ability in using the Adobe Creative Suite software ( 3D software is a Plus)
Strong project management and design management skills
Ability to work in dynamic work environment
is comfortable with risk and uncertainty
Can effectively influence senior levels in the organization across brands and functions
Effectively communicates (verbally and written) with internal and external stakeholder
across all levels
Works well with others to deliver results
keeps others informed to avoid unnecessary surprises
Proficiency in oral and written English ( is a plus)
Capability to develop and visualize concepts through hand sketching or computer software
An incurable curiosity relating to all design things
Great passion for new and creative trends
Highly collaborative
Team oriented, brainstorming sessions or presenting in front of other team members
Ability to work smoothly with a fast-paced interdisciplinary team.
Demonstrate clear “point of view” relating to their design
Agency and project management skills
Open and optimistic with entrepreneurship
Can work under pressure
职位要求
学历要求：无
工作经验：无
外语要求：不需要
仟寻招聘
今天
举报职位",https://cn.indeed.com/viewjob?jk=a626b516edca745b
2,"Design Manager, D3;设计经理, D3",上海市,Not shown,PepsiCo,3.8,today,"Auto req ID: 218044BR
Job Description
This is a PepsiCo career opportunity. This position is in PepsiCo China HQ. Please log onto www.pepsicojobs.com/main/china to find more career possibilities in PepsiCo China.

Roles:
- The Content Brand Designer is responsible for execution of comprehensive brand design and graphic design projects within Beverage & Food Group across social and digital platform. Successful candidates will demonstrate superior ability to drive design thinking from ideation thru concept development, refinement, and execution. Creating high quality brand design solutions by directly executing design and leveraging internal/external design resources. - The Designer must be able to sketch and articulate his/her creative thinking.The main objective of this role is to execute major brand design projects across a specific product portfolio. This means planning, organizing, and implementing consistent design principles and production processes to ensure that the design/production guardrails are met.

Accountabilities:
Takes ownership of the visual identity for specific brands in the portfolio, working in collaboration with the Design director, Brand teams, insights teams and global design team while leading design team member.
Generates creative design proposals (visions, scenarios, concepts) in order to visualize the desired output and share it with internal and external team members.
Participates in research activities and effectively translates customer needs into actionable design requirements.
Execute those requirements into design solutions for social media, digital and EC environment.
Responsible for driving to final design recommendations, decisions and design approval to enable artwork execution / production phases.
Ensure thorough consideration of all project variables and that the final solution will perform as planned.
Qualifications/Requirements
Requirements:
6+ years of deep brand design experience,Graphic designer Degree or similar
tangible understanding of digital ecosystem
Extraordinary design taste and skill
Extraordinary ability in using the Adobe Creative Suite software ( 3D software is a Plus)
Strong project management and design management skills
Ability to work in dynamic work environment; is comfortable with risk and uncertainty
Can effectively influence senior levels in the organization across brands and functions
Effectively communicates (verbally and written) with internal and external stakeholder
across all levels
Works well with others to deliver results; keeps others informed to avoid unnecessary surprises
Proficiency in oral and written English ( is a plus)
Capability to develop and visualize concepts through hand sketching or computer software
An incurable curiosity relating to all design things
Great passion for new and creative trends
Highly collaborative
Team oriented, brainstorming sessions or presenting in front of other team members
Ability to work smoothly with a fast-paced interdisciplinary team.
Demonstrate clear “point of view” relating to their design
Agency and project management skills
Open and optimistic with entrepreneurship
Can work under pressure
Relocation Eligible: Not Applicable
Job Type: Regular
今天
举报职位",https://cn.indeed.com/viewjob?jk=24996d2fb01e41c8
3,General Manager - Construction Material,上海市,Not shown,米高蒲志(Michael Page),3.5,today,"申请
电邮职位信息
保存工作

Global Architectural Metal Products
P&L repsonsibility with a team of 200 people
关于我们的客户
Premium Global Architectural Metal Products Manufacturer with well-known projects in airport, railway, hospital, R&D center, underground segments.
职责描述
1 Sales management and development
1.1 Responsible for the area: china
1.2 Manage and support project follow-up of 4 sales teams. Focus on attracting and retaining top sales talent.
1.3 Guide and support dealers to follow-up projects and achieve sales targets.
1.4 Achieve annual sales and profit targets. Manage and control accounts receivable strictly.
2 Sales network development and management
2.1 Develop and manage dealer network.
2.2 Develop and manage architect and designer network.
2.3 Expand social networks, build sales channels to gain orders and maximize business growth.
2.4 Drive and manage marketing programs in conjunction with the company?s marketing strategy.
3. Production and R&D management
3.1 Supervise and support of the manufacturing management team.
3.2 Driving force to increase the production efficiency and competitiveness.
3.3 Lead team to identify market demand. Supervise R&D team to develop and prioritize new product pipeline. Optimize R&D performance through standardization in order to differentiate our new products in the market and achieve competitive advantage.
4. Team performance management
4.1 Continuously improve the teams' skillset and work performance.
4.2 Drive key performance indicators and appraisal plans to ensure all team members understand the business goals, as well as their individual targets and career development.
4.3 Train, guide, monitor and motivate team members to boost productivity. Build effective internal communication to improve effectiveness and achieve work goals.
4.4 Other ad-hoc duties assigned by the company.
理想的求职者
1、 At least 8 years relevant experience in complex architectural products, project sales team management, project direct selling, and sales agent/dealer management. Good social resources and close network with architectural design institutes.
2、 Entrepreneurial mindset. Enthusiastic in establishing a winning organization.
3、 Strong leadership skills, good judgment and decision-making ability. Able to plan, execute and work under pressure.
4、 Passionate for products. Creative and innovative to provide project solutions.
5、 Excellent interpersonal, communications and organizational skills.
6、 Degree holder or above, preferably in architecture, engineering.
7、 Working experiences in architectural products manufacturing industry.
8、 Excellent command in both spoken and written English.
薪酬待遇
Negotiable and attractive package
联系:
Olivia Lu
职位编号: 4185265
+86 21 6035 3530

职位类别:销售
子类别:销售经理/总监/副总裁
行业:工业/制造
地区:上海市
职位类型:全职
顾问名字:Olivia Lu
顾问电话号码:+86 21 6035 3530
职位编号:4185265
米高蒲志 (Michael Page)
今天
举报职位",https://cn.indeed.com/viewjob?jk=f55b57ba1790ebe9
4,Game Designer I,上海市,Not shown,Electronic Arts,,today,"职位描述
负责游戏系统的规划、设计、需求跟进;
负责游戏开发过程中,对程序、美术、测试的推进与协调;
通过数据分析及用户调研等反馈,提出对游戏内容的持续改善和优化;
制定游戏版本内容的长期规划。
以游戏整体性进行模块设计、策划方案撰写
推动各部门合作使策划方案转变为现实。包括:方案评审,配合程序的开发,联调测试,提交相关策划资源,配合QA的测试,对功能进行再次审核等。
与玩家进行互动基础上,优化提高游戏功能的可玩性
任职资格
本科及以上学历
熟悉足球游戏
至少有一款参与制作的手游上市运营经验
执行力强,有实战经验,了解游戏开发工作的各个细节
思维严密,富有创意,态度积极,有良好的团队意识和协作精神
熟悉游戏策划关于系统、数值、剧情、关卡、脚本等开发细节
酷爱游戏,熟悉玩家心理,具备优秀的市场分析能力
曾在国内大型手游制作公司任相关职位者优先
今天
举报职位",https://cn.indeed.com/viewjob?jk=92be87eb59a0bd36
5,PC Software Designer,上海市,Not shown,ABB Limited,4.0,today,"Job Description :
As a PC Software Engineer you will be responsible for software development for PC, server, cloud platform, including application, service and other software components, in Robotics & Discrete Automation Business Area in Shanghai, China.

Reporting to the Principal Designer, you will ensure software documentation for the architecture, design specification and testing according to the development process. Your responsibilities
Ensuring software development for PC, server, cloud platform, including application, service and other software components
Analyzing software requirement, designing, implementation, integration & deployment on time with good quality
Ensuring software documentation for the architecture, design specification and testing according to the development process
Ensuring technical support and troubleshooting for product/project software
Your background
Minimum 3 years of experience in industry automation or relevant
Good experiences on WinForms/WPF and ASP.net, and experience on industry automation software is preferred
Sound knowledge and experiences on database like SQL server/MySQL/Oracle and good command of C#. Ability to develop software independently
A Bachelor's degree or above, major in engineering, industry automation, electronics or computer science
Good English skills of listening, speaking & writing, reading is preferred
Team player, active to learn and study new skill
Relationship, credibility and trust builder. Display integrity, and open attitude
Good skills of communication and can work under pressure
Monster Malaysia
今天
举报职位",https://cn.indeed.com/viewjob?jk=419075eaf76df06d
6,Senior Designer,上海市,Not shown,ABB Limited,4.0,today,"Job Description :
As a Senior Designer you will be responsible for supporting on site robot commissioning, troubleshooting, in Robotics & Discrete Automation Business Area in Shanghai, China.

Reporting to the Engineering Manager I, you will support proposal team to check the robot configuration. Your responsibilities
Being responsible for the analysis of project technical specification and prepare the detail program, robot configuration and process configuration
Supporting on site robot commissioning, troubleshooting
Developing new products to meet the customer and market request. Keep maintenance and optimize the product to improve the quality and cost down
Supporting proposal team to check the robot configuration
Improving robot system and site commissioning standardization. Improving the site commissioning efficiency
Your background
5 years of working experience as automation, paint or industry robot
Sound knowledge of one mainstream program language, like C#, Python or ABB Rapid etc.
knowledge of computer vision, Known well about paint system
A bachelor's degree or above
Good verbal and written English
Frequent business travel
Monster Malaysia
今天
举报职位",https://cn.indeed.com/viewjob?jk=f6f497db1150193d
7,CNOM Developer,上海市,Not shown,Ericsson India Global Services Private Limited,4.1,today,"What you do at AMD changes everything

At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.

Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the ""extra mile"" to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team.
What you do at AMD changes everything

At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.

Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the ""extra mile"" to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team. Silicon Design Engineer- FEINT
THE ROLE:
Work with global SOC design team for large scale ASIC chip emulationimplementation.
Focus on SOC emulation model development, feature verification, FW/SW verification, performance and power analysis etc.
THE PERSON:
Familiar with emulation Environment (including Zebu and Veloce platform and tools)
Experience with design for verification (assertion based design strategies, code coverage, functional coverage, test plan, gate-level simulation, back-annotation etc.)
Should be versatile in any one of the high level verification flow such as SV,VMM,VERA,OVM etc as well as knowledge of industry standard tools for verification

KEY RESPONSIBILITIES:
Responsible for Front-End chip implementation including design, implementation and execution of the flow that starts with RTL code and ends with the delivery of a netlist package ready for physical design.
Responsible for ASIC design methodology and flow development, interfacing with EDA vendors on technology.
Responsible timing closure, lower power implementation and netlist quality check with RTL designer and PD team.

PREFERRED EXPERIENCE:
Familiar with Verilog RTL design/implementation and has experience of large digital ASIC project.
Familiar with front-end EDA tools and flows (Design compiler, PrimeTime, Conformal, VSI/VC-static, Formality, etc…)
Familiar with unix/linux and scripts (tcl, perl, etc.)
Familiar with Python scripts is a plus.
Has Synthesis or physical implement experience.
Familiar with lower power design methodology.
Good English skills on talking, presentation and writing documents.
Good communication and strong sense of responsibility, task scheduling, and time management.

ACADEMIC CREDENTIALS:
MS degree of EE, 4~8years working experience.

LOCATION:
Shanghai

AMD does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. AMD and its subsidiaries are equal opportunity employers and will consider all applicants without regard to race, marital status, sex, age, color, religion, national origin, veteran status, disability or any other characteristic protected by law. EOE/MFDV
#LI-VC1
Monster Malaysia
今天
举报职位",https://cn.indeed.com/viewjob?jk=b8da868ea8442892
8,MTS Sys/Test Validation Eng.,上海市,Not shown,AMD,3.8,today,"Job Summary:

We are now looking for a designer for developping Core Network Operation Manager for EricssonIMS solution. Your role will include development activities such as: requirement analysis, software design and refactoring, integration, verification and product documentation. Our focus is on Lean and Agile ways of working. We organize in cross functional development teams in which continuous improvement, innovation and knowledge sharing. Responsibilities:
Design, test, deploy and maintain high quality CNOM products
Develop auto test framework and test cases
Perform trouble shooting and correct faults
Optimize architecture and performance
Key Qualifications:
Master of Science / Bachelor degree or equivalent in any of the following: Computer Science, Telecommunication, Information Technology or Electrical Engineering
Expierence on Python or JavaScript
Knowledge on IMS is a plus
Experience on container technology for virtualization and cloud (e.g. Docker, Kubernetes) is a plus
Excellent knowledge in Linux environments
Have good English skills both written and orally.
Be responsible and delivering results.
Working with people and networking, a good team player

Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.
We provide equal employment opportunities without regard to race, color, gender, sexual orientation, transgender status, gender identity and/or expression, marital status, pregnancy, parental status, religion, political opinion, nationality, ethnic background, social origin, social status, indigenous status, disability, age, union membership or employee representation and any other characteristic protected by local law or

Primary country and city: China (CN) || || Shanghai || R&D
Req ID: 535824
Monster HK
今天
举报职位",https://cn.indeed.com/viewjob?jk=c8098e6b1361f1c6
9,Senior UX Designer- Dynamics 365,上海市,Not shown,Microsoft,4.2,today,"Job Description :

Senior UX Designer Dynamics 365
Microsoft's Cloud + AI Design Studios is looking for a Senior UX Designer to plan, lead, and help drive the direction for Dynamics 365 Supply chain management. Are you a product focused UX person who's designed business applications and experiences across the web and mobile? This could be the role for you!
The company and team
At Microsoft, we have a clear mission and bold ambitions: Empower every person and every organization on the planet to achieve more through our technology and innovation. To make that a reality, our Dynamics 365 team is crafting solutions that help customers transform their companies—whether they want to empower employees, engage customers, optimize their operations, or change the very nature of their product or business model.
Our vision as a Design Studio:
Design experiences customers love.
Work as a unified team.
Become even better every day.

Cloud + AI Design Studios ships business apps that meet the same usability, performance, and design standards as the very best consumer apps: The Azure cloud platform, Power BI, PowerApps, Flow, Stream, and many more. As designers our goal is to bring humanity and simplicity to every product we design. Dynamics 365 is our newest endeavor.
We're growing, and we'd love for you to be a part of our story! Come join a positive and collaborative team—where everyone is encouraged to bring their authentic, whole selves—and work at the forefront of Microsoft's product portfolio.
You're a UX leader and designer who loves to learn, solve challenges, and dream up breakthrough ideas. You're an enthusiastic advocate for the customer—ready to apply your knowledge to build and iterate on designs to discover what works best to create incredible software products. You're passionate about projects that will change the world for the better.
You'll work in a focused team collaborating with content designers, interaction designers, visual and motion designers, qualitative researchers, data scientists, and producers, bringing the team together to solve difficult product and customer problems—fixing what's not quite right and smoothing the customer's journey through the product. You to find ways to reduce the number of screens, remove the extraneous, drive users to the next screen or next step, and shorten the path to ""Wow!""
You're fluent at communicating with product managers and developers as well as influencing your team and studio to simplify, integrate, and co-create successful customer experiences that work together. As a leader, you're confident in shepherding diverse teams towards common goals and are comfortable advocating your teams' solutions to help make Dynamics 365 a suite of business apps that customers will love.
you bring these things to the role:
a unique ability to create ux strategies and solutions from the customer point of view
team collaborator who delivers highly usable and compelling customer experiences
disciplined user of research data and insights to drive decisions and measure success
self-starter who plans and executes work with minimal support
understand agile workflow
deep understanding of ux's role in the application development process
comfortable with ambiguity, know your strengths (and weaknesses), and have a point of view
possess a decisive bias toward action
proficient at influencing for impact
evangelist of ux among partner teams to raise product quality
7+ years of combined product design, enterprise ux, or relevant experience.
ability to meet microsoft, customer and/or government security screening requirements are required for this role. these requirements include, but are not limited to, the following specialized security screenings: microsoft cloud background check: this position will be required to pass the microsoft cloud background check upon hire/transfer and every two years thereafter.

skills
fluent in english, both spoken and written
passionate curiosity for ux and ui
inclusive design is embraced as a challenge, not a limitation
bias towards simplification of information architecture
understanding and applying customer feedback, research, and telemetry to the design process
research and usability testing
business acumen
collaborative partner
effective storytelling

location
the team offers flexible working options and is open to fully remote workers for this position. post covid-19, it is preferrable for this person to join us onsite, working at microsoft's shanghai campus at the far south side of the minhang district.
apply
does this sound like you? if so, we invite you to apply! please reach out to morten holm-petersen with links to your linkedin profile as well as your portfolio of relevant projects. we can't wait to hear from you, and we're eager to see the wonderful things we'll create together.
Monster Malaysia
今天
举报职位",https://cn.indeed.com/viewjob?jk=e2cdc2b02e241a51
