,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,"Principal UX Designer, Servicenow.com","Santa Clara, CA",Not shown,ServiceNow,3.6,today,"Company Description
ServiceNow is making the world of work, work better for people. Our cloud‑based platform and solutions deliver digital workflows that create great experiences and unlock productivity for employees and the enterprise. We're growing fast, innovating faster, and making an impact on our customers' and employees' lives in significant and important ways. With over 6,900 customers, we serve approximately 80% of the Fortune 500, and we're on the 2020 list of FORTUNE World's Most Admired Companies.®

We're looking for people who are ready to roll up their sleeves and help us build on our incredible momentum, our diverse, engaged workforce, and our purpose to make the world of work, work better.

Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow.
Job Description
About the role
The Digital Design team at ServiceNow is looking for a Principal UX Designer to join our team. We’re a talented group of customer-obsessed designers focused on raising the creative bar and delivering compelling digital experiences. We own design for the ServiceNow website, events, digital campaigns, design systems and growth optimization. We seek a candidate to help us solve some of our most complex problems to deliver for our customers—and most importantly serving as an unrelenting advocate for beautiful customer experiences.
We are looking for Principal UX Designer to lead the evolution of our digital experiences. In this role, you will form and drive the vision for what a world-class digital experience could—and should—be. You will help find the North Star for both aesthetic and interaction design. And you’ll partner with developer in delivering with exacting fit and finish.
As such, this role requires a seasoned design professional with a proven track record of operating at the Principal level. You will need to gracefully integrate your work with cross-functional internal stakeholders. You’ll also scale your impact through key vendors and creative agencies, so familiarity managing those resources is key. For the right candidate, this is a career-defining role that offers you leadership in shaping the future of ServiceNow’s digital experience.
Qualifications
We’d Love To Hear From You If You Have:
10+ years of experience as an interaction designer, user experience designer, or similar role, with a history of operating at a principal level
An inspiring portfolio showing us how you researched and crafted great experiences
A clear systems-thinking and empathetic approach knowing how everyone and everything fits within the system to make informed decisions
Expert in design and prototyping tools (Sketch, Figma, Principle, InVision, etc.)
Ability to understand and distill complex problems into elegant, intuitive solutions
Experience designing on a CMS, preferably Adobe Experience Manager (AEM)
Ability to promote and champion your design and strategy solutions based on reason, research, and data
Strong written and verbal English communication skills
Excellent teamwork, communication, and problem-solving skills to effectively work with multi-functional and multi-disciplined teams
Relentlessly persue UX perfection working inside an iterative and agile development environment
Self-starter who can work with minimal supervision in a fluid, fast-paced environment
Bachelor’s degree in related field or equivalent professional experience
Additional Information
ServiceNow is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status or any other category protected by law.
If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at +1 (408) 501-8550, or [email protected] for assistance.
For positions requiring access to technical data subject to export control regulations, including Export Administration Regulations (EAR), ServiceNow may have to obtain export licensing approval from the U.S. Government for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by the U.S. Government.",https://www.indeed.com/viewjob?jk=46fdf8ab19c5a2d4
1,Senior / Lead Product Designer,"Santa Clara, CA",Not shown,ServiceNow,3.6,today,"Company Description
ServiceNow is making the world of work, work better for people. Our cloud‑based platform and solutions deliver digital workflows that create great experiences and unlock productivity for employees and the enterprise. We're growing fast, innovating faster, and making an impact on our customers' and employees' lives in significant and important ways. With over 6,900 customers, we serve approximately 80% of the Fortune 500, and we're on the 2020 list of FORTUNE World's Most Admired Companies.®

We're looking for people who are ready to roll up their sleeves and help us build on our incredible momentum, our diverse, engaged workforce, and our purpose to make the world of work, work better.

Learn more on Life at Now blog and hear from our employees about their experiences working at ServiceNow.
Job Description
What you get to do in this role:

Lead UX design for a suite of products working across a team of designers
Work collaboratively inside a cross-functional team, while providing design leadership inside a truly agile environment
Work closely with product management and engineering, providing design perspective to help ensure a unified and cohesive experience across the ServiceNow ecosystem
Conduct user needs assessment, task analysis, and develop user profiles; identify key tasks for user research, competitive analysis, user testing, and develop usability plans
Develop high-level task flow content and then use storyboards and other design documents to communicate concepts and vision to others
Develop UI layouts including controls, labels and graphical elements for software on both mobile and desktop platforms with an eye towards experience unification
Create end-to-end detailed design deliverables as a series of experience maps, storyboards, wireframes, and interactive prototypes

Qualifications
To be successful in this role you have:

10+ years of experience in UX or interaction design with heavy emphasis on human-centered design methods
Experience mentoring or leading designers on complex projects
An inspiring portfolio showing us how you have researched and crafted great experiences, seeing them through to released products
Ability to understand and distill complex problems into elegant, informed solutions
Ability to articulate and champion your design solutions based on human-centered design principles and incorporating research data
Expert with design tools (e.g. Sketch, Adobe XD) to produce wireframes and high-fidelity interactive prototypes
Experience working in an iterative and agile development environment
Excellent teamwork and communication skills to effectively collaborate with multi-functional and multi-disciplined teams
High level of initiative and a “make it work” ethos to successfully bring a product design from conception to launch with minimal supervision

Bonus Points:

Experience facilitating design thinking workshops
Expertise in one or more of the following enterprise product spaces: IT Security Management, IT Operations Management, Security Operations, HR Service Delivery, Customer Service Management (CSM), or Finance & Legal
Experience in creating content and/or designing with compliance to WCAG 2.0/2.1 AA guidelines

Additional Information
ServiceNow is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, national origin or nationality, ancestry, age, disability, gender identity or expression, marital status, veteran status or any other category protected by law.
If you are an individual with a disability and require a reasonable accommodation to complete any part of the application process, or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact us at +1 (408) 501-8550, or [email protected] for assistance.
For positions requiring access to technical data subject to export control regulations, including Export Administration Regulations (EAR), ServiceNow may have to obtain export licensing approval from the U.S. Government for certain individuals. All employment is contingent upon ServiceNow obtaining any export license or other approval that may be required by the U.S. Government.",https://www.indeed.com/viewjob?jk=41db8ca77fdb0db7
2,UX/UI Designer,"Mountain View, CA",Not shown,KiwiCo,,today,"About Us
KiwiCo is an innovative eCommerce company that sparks kids’ creativity and curiosity through offline and online materials and inspiration. We offer kids seriously fun and deeply engaging ways to explore, create, and learn. Our core offering is a subscription service that delivers hands-on projects to kids of all ages. We also have an online store and additional creative content. We take great pride and ownership in the products and experiences we design and in the community of parents and kids we serve. Our offices are located in Mountain View, CA.

The UX/UI Designer role:
KiwiCo is looking for a creative and strategic designer who is passionate about designing great online user experiences. Our site plays a key role in shaping a potential customer’s view of the company, and the UX/UI Designer is responsible for designing - and improving upon - any pages, features, and flows.
Responsibilities also include staying true to our design aesthetic through the visual design of the website and marketing assets. Emails, ads, and landing pages are the first touch points we have with a potential customer, and it is important for the UX/UI Designer to be able to express the KiwiCo brand across these marketing assets.

Responsible for:
The UX, UI, and visual design of the website by balancing the needs of our users, our design aesthetic, and the objectives of the business
Collaborating with the Marketing/Tech teams to assess product requirements and translate them into compelling designs that optimize the user experience
Building rapid high fidelity prototypes, landing pages, and marketing assets
Creating iterative designs that meet project objectives and incorporate feedback, analytics, and user testing
Confidently presenting design ideas and recommendations to the team
Keeping abreast of current design tools, techniques, and technologies

Requirements:
BA/BS degree in Design (graphic, visual communications, interaction, product, etc)
7+ years of experience in UX, UI, visual, eCommerce, brand, or marketing design
A portfolio showcasing UX, UI, and visual design work for mobile and desktop
Fluent in design tools such as Adobe Creative Suite, Sketch, and InVision
Knowledge of how mocks translate to HTML, CSS, and JavaScript to deliver feasible designs
Hands-on, “get things done” mentality. You are a self-starter who thrives in a fast-paced, small company environment, under pressure and working toward aggressive timelines. You can multitask and meet changing deadlines while still paying attention to details with limited resources. You have the ability to balance and productively resolve pressing demands and timelines in order to deliver against the company vision and goals.
Resourceful and Flexible. You can see a project through from the idea stage to completion, and are willing to do whatever it takes to make it a success. You thrive in ambiguity and are comfortable with the rapid pace of change in a small, nimble team. You are an innovative thinker who can solve problems creatively but also have a strong desire to continue learning and building upon your skills.
Great communication skills. You’re highly collaborative, can work within cross-functional teams, and are able to give and receive feedback well.
Strong organizational skills. You’re great at keeping a project running smoothly and always keep your project files organized and available for other team members.
Superb aesthetic skills with an impeccable attention to detail. You have a broad operating range and are able to think critically and creatively.

Bonus:
Experience working at a startup
Experience designing mobile applications and/or for eCommerce

Diversity
KiwiCo is committed to creating a diverse environment and is proud to be an equal opportunity employer. Individuals seeking employment at KiwiCo are considered without regard to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, physical or mental disability, marital status, veteran or military status, or any other legally protected category.",https://www.indeed.com/viewjob?jk=ab4d82f6155db528
3,Graphic Artist and Web Designer (remote),"Cupertino, CA",$19 - $25 an hour,Cupertino Marketing,,today,"If your interested in gig based work in the Graphic Design Industry please continue to read.
A link to your portfolio is recommended.
We are seeking a Graphic Artist with experience in creating numerous assets for our clients. These assets include but are not limited to Logo Design, Photograph Editing, Flyers, Business Cards, Banners, Website graphics, etc.
This position requires experience in web editors like Wix, Squarespace, Webflow, and similar website design sites. Training in web design for qualified candidates
We're looking for someone highly knowledgeable in Photoshop, Illustrator, and other related software.
Skills:
Client management experience (preferred)
High Logo design Experience (Required)
Adobe Creative Suite (Photoshop and Illustrator)
Knowledge in Video editing a plus (Premiere Pr)
Knowledge in appropriate formats (PDF, JPEG, PNG, SVG, IA, Psd, TIFF etc.)
Knowledge in color types (RGB, CMYK, Hex, etc.)
Knowledge in converting file formats
Ability to document tasks in CRM (Hubspot)
Ability to understand and relay information into projects.
Ability to multitask and make revisions quickly
Eye of detail to see discrepancies in images and digital assets (uneven lines, color issues, formatting)
Ability to match colors and sample images
Experience in Cropping, Cutting, Shading, Sharpening, Duplicating, Fading, applying filters, merging and linking, layering, masking, tracing, etc.
Ability to work with a deadline and a flexible schedule
Willing to conduct virtual meeting with clients, management and co-workers to help create content.
Must have own reliable computer with ability to perform all functions on Photoshop and Illustrator.
Must have reliable High Speed internet capable of virtual meeting and ability to transfer large files to cloud drives.
This is a gig based position. Projects will have deadlines to complete with an allotted time available to complete task. Projects available is subject to your availability and projects available.
If your interested please submit your resume along with your cover letter.
We appreciate your time.
Please no phone calls at this time
Job Types: Part-time, Contract, Temporary
Pay: $19.00 - $25.00 per hour
Schedule:
On call
COVID-19 considerations:
Position fully remote
Education:
Bachelor's (Preferred)
Experience:
Graphic Design: 3 years (Preferred)
Adobe Creative Suite: 3 years (Preferred)
Contract Renewal:
Likely
Work Location:
One location
Hours per week:
Less than 10
Company's website:
www.cupertinomarketing.com
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Virtual meetings",https://www.indeed.com/viewjob?jk=d812bbbb122fb7ee
4,Principal Game Designer,"Mountain View, CA",Not shown,GSN Games,3.9,today,"GSN Games, a leading developer in mobile and social games, is seeking a Principal Game Designer to join our Mountain View Studio!

About The GSN Games Mountain View Studio:
The Mountain View Studio is a small, tight-knit and fun group of engineers, artists, designers and product people who pride ourselves on crafting very high quality experiences that appeal to a wide array of players. Our most successful game to date is Solitaire Tripeaks by GSN, the #1 revenue solitaire game on mobile that has grown into one of the top 50 grossing games on both iOS and Android.

What You’ll Do:
As part of the Game Design team you’ll be helping to guide a team of developers as we build innovative, meaningful, revenue-positive game features. Your job is to ensure our games are always fun to play!

You Will:
Actively advocate for, and lead the design on, current and future features
Help manage and guide the team during the feature build process
Have direct input into what we build and why
Apply analytics and A-B testing to your designs as we work to improve new and live features
Work to integrate your designs into a broader game vision - using new game, level and meta-game mechanics to deliver a cohesive experience
Keep up on the latest industry-wide mechanics and trends in an effort to continually evolve and improve the studio’s level design expertise.

About You:
You have a passion for creating games, an understanding of the casual mobile market and the ability to know what makes a game fun for all types of players.

You Have:
3+ years of game design experience (casual games a bonus!)
At least one shipped mobile title
A good understanding of game balancing, free to play mechanics, monetization and player motivations
Clear communication skills. You work collaboratively with artists, engineers, and other designers to get the best designs possible – you can lead people
Experience in documenting and communicating gameplay mechanics and features
Ability to unify analytics and player feedback into great, iterative design solutions
Worked in the Unity engine (or something similar)",https://www.indeed.com/viewjob?jk=ecce537734adcbe1
5,"Senior Designer Manager II, Creative, eComm - Walmart Connect","San Bruno, CA",Not shown,Walmart,3.5,today,"Position Summary...
What you'll do...
Key Responsibilities:
Collaborate with Creative/Art Directors, Designers, and Copywriters to create and produce compelling digital solutions that align with all requirements and business objectives outlined in project briefs.
Execute multiple creative concepts and design solutions under the guidance of Art Directors to translate business needs into creative solutions.
Ensure projects are delivered with both Walmart and partner brands in mind.
Explore trends and competitive landscape and incorporate appropriate use of color, type, tone and style in digital design standards.
Assist Art Directors in developing and communicating brand/visual style guidelines and standards.
Familiarity with designing for web, mweb, and app, keeping the user journey in mind.
Position Requirements:
4-6+ years of creative experience, especially in omni channel, multi-brand retail industry.
College degree; BA or BFA preferred in Graphic Design or advertising.Passion for design and advertising.
Expert knowledge of design, typography, photography, layout principles, and production process.
Fluent understanding of current digital trends and social landscape.
Proficient knowledge of Adobe CC: Photoshop, Illustrator, InDesign are must, knowledge of Invision platform, Sketch or other software is a plus.
Solid organizational skills, detail-oriented. Capable of working on multiple projects concurrently in a very fast paced environment, ensuring that quality deliverables are achieved on time.
Strong relationship-building skills. Ability to work with a variety of people in various disciplines.
Enjoys working with others and collaborating with positive attitude.
Exceptional communication & presentation skills, both written and verbal. The drive to excel and succeed; self-motivated, managing projects effectively.
Passion for Walmart, our partners, products, and marketing.
About Walmart Connect

At Walmart, we enable the connection between supplier brands and retail shoppers at unprecedented scale. As primary stewards of our brand promise, “Save Money. Live Better,” we work alongside some of the most talented people in the world to engage with the more than 150M households who shop with us. This is a unique opportunity to join a small, high-visibility team within the largest company in the world. We believe all digital advertising can be targeted and accountable – and we have Walmart’s sales data to prove it. Walmart Connect wins when suppliers invest in digital media to drive growth; Walmart and our supplier partners win when your digital expertise helps sell more goods online and offline. Growth in our digital advertising business is key to Walmart’s overall growth strategy.
Minimum Qualifications...
Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.
Minimum Qualifications: Bachelor's degree in Design, Marketing, Creative Writing, Advertising, Fine Arts, or related field and 2 years' experience in interactive design, editorial content management, or related field OR 4 years' experience in interactive design, editorial content management, or related field.
Preferred Qualifications...
Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.
Content Management Systems, Digital Content Management, Editorial, Retail Management, Supervising Associates, Vendor Management
Primary Location...
850 Cherry Avenue, San Bruno, CA 94066-3031, United States of America",https://www.indeed.com/viewjob?jk=9d9c36dcee480194
6,"Sr. UX Product Designer, Web Tools","San Jose, CA",Not shown,Roku,3.1,today,"Great UX comes from seeing the micro and macro at the same time
Roku is changing how the world watches TV
Roku is the #1 TV streaming platform in the U.S., and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.

From your first day at Roku, you'll make a valuable — and valued — contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world, while gaining meaningful experience across a variety of disciplines.

About the role
Roku is looking for an experienced Interaction Designer who can craft easy-to-use experiences for the web-based operational tools that power our content business. You'll be working with Product Management, Engineering, UX Research, and other team members to define and design new features that make content on the Roku platform simple to access, easy to understand, and a joy to watch. You will also work with other UX designers to help define design systems for all of Roku's operational tools so that they look and work consistently while providing a consumer-grade user experience.

Roku has become famous for making sure each feature and product is as perfect as it can be – just look at our remote control or user interface – while still pushing the boundaries of what it means to watch TV. Outstanding user experiences come from people who have the vision to see the big picture while maintaining an incredible attention to detail - partnering with Product Management and internalizing short-term and long-term business goals; understanding Engineering capabilities and constraints; and applying your own user-centered design skills and expertise to bring the best possible experience to the users of these critical operational tools.

Great candidates are comfortable with ambiguity, though that isn't code for ""sloppy."" Even when you aren't sure, you should move forward precisely and quickly knowing that action creates its own certainty. And because everyone here is empowered, your performance at Roku tends to come from getting others to embrace your idea. It's the most collaborative people who can drop their ego to create the win-win of success for our customers.

What you'll be doing
Partner with product managers, engineers, and cross-functional stakeholders to understand requirements and provide creative, thoughtful solutions
Explore a variety of design directions, analyzing the pros and cons of each
Communicate the user experience at various stages of the design process with wireframes, flow diagrams, storyboards, mockups, specs, and/or lightweight prototypes
Iterate designs based on user feedback and business needs
We're excited if you have
10+ years of relevant industry experience as an interaction designer
Experience collaborating with teams of designers, researchers, product managers, and engineers throughout the design process and creating artifacts to document the design and user experience
Experience designing across multiple platforms
Excellent communication, facilitation, presentation, interpersonal, and analytical skills
Excellent problem-solving skills and relentless attention to detail
Strong project management skills with the ability to define, plan, and lead projects forward
Proficiency in UX Design tools such as Sketch (or similar) to create user interfaces
Portfolio highlighting multiple projects demonstrating user-centered design solutions with measurable outcomes (include online portfolio link with resume)
Master's degree in Design, Computer Science, Human-Computer Interaction, or a related field
Preferred Qualifications
Skills in communicating and influencing product strategy
Familiarity with technical constraints and limitations as they apply to designing for TV

Our unique culture
Roku is a great place for people who want to work in a fast-paced environment where everyone is focused on the company's success rather than their own. We try to surround ourselves with people who are great at their jobs, who are easy to work with, and who keep their egos in check. We appreciate a sense of humor. We believe a fewer number of very talented folks can do more for less cost than a larger number of less talented teams. We're independent thinkers with big ideas who act boldly, move fast and accomplish extraordinary things through collaboration and trust. In short, at Roku you'll be part of a company that's changing how the world watches TV.

We have a unique culture that we are proud of. We think of ourselves primarily as problem-solvers, which itself is a two-part idea. We come up with the solution, but the solution isn't real until it is built and delivered to the customer. That penchant for action gives us a pragmatic approach to innovation, one that has served us well since 2002.
Hear from our UX leadership
Making the complex easy to use is what we work on every day. If that sounds like where you'd like to spend your time, we have a few other similar UX/UI roles at Roku at the moment.

#LI-PP1",https://www.indeed.com/viewjob?jk=1405aef7dcb66e1f
7,Product Designer,"Mountain View, CA",Not shown,Intuit,4.2,today,"Overview
Intuit’s Next-Gen Platform Experiences Team is searching for a Product Designer to help envision the near-future of our customer experiences using our latest platform capabilities. With advances in AI and data, our team’s charter is to partner with our product offering teams to create meaningful experiences that builds their confidence and helps them prosper.
At Intuit, our designers are involved at every step of a project – from gathering insights, brainstorming, prototyping and experimenting to launching final designs. Our intense focus on user research and our design-first mindset will enable you to create bold and elegant solutions that represent the voice of the customer. You will grow in an open and transparent culture that embraces diverse perspectives and welcomes all ideas. Our mission is to power prosperity around the world, and the Next-Gen Platform Experiences Team is at the core of making this a reality.
What you'll bring
2+ years of experience in interaction design, product design, service design, or related field
Mastery of design tools such as Figma, Sketch, Invision and Adobe CS
Solid understanding of designing intuitive functionality, interaction, site architecture, user interfaces, and navigation
Organized, self-directed, efficient and able to manage multiple and complex projects in a timely manner
Strong conceptual and systems thinking
Experience with popular prototyping tools
Knowledge of modern technology possibilities and limitations
Bachelor’s degree in Product Design, Human-Computer Interaction Design, or other relevant field or equivalent work experience
You must love
Designing in a customer-centered process
Emotionally connecting with customers
Experiment-driven development
Inspiring others to aim for bigger, bolder, and smarter ideas
Learning and collaborating with humble confidence
Negotiating, communicating, and presenting
Organizing and maintaining complex design systems
Solving big problems
Thinking of new ways to create product
How you will lead
Apply strategic thinking to design and deliver innovative end-to-end user experiences that optimize among user needs, business goals, and technological realities across web & mobile platforms
Turn visions into concepts and translate those concepts into designs that illustrate simplicity, despite complexity of the system
Collaborate with Design Strategist to create compelling UX visions, UI specifications, and high fidelity visual designs and prototypes
Partner effectively with designers, researchers, engineering, product management, marketing, and other team members
Prioritize work & multi-task well; Wear multiple hats in a true start-up spirit to support adjacent areas like interaction design or user research",https://www.indeed.com/viewjob?jk=ea563944c433e1ff
8,Security Designer,"Santa Clara Valley, CA",Not shown,Apple,4.2,today,"Summary
Posted: Mar 30, 2021
Weekly Hours: 40
Role Number:200234506
Do you thrive in high impact, high expectation positions? You are experienced in developing solutions to complex situations with critical importance. As part of the New Product Security team, you’ll help craft the security and secrecy of our most significant innovations and creative initiatives around the world. This role is based in Cupertino, California and will require up to 50% travel (international and domestic).
Key Qualifications
Professional experience in evaluating and crafting secrecy/security around sensitive programs
Established experience conducting secrecy and security assessments
3-8 years of experience in a challenging environment where you consistently demonstrated the ability to produce results autonomously, solve complex problems with creativity, and work cross-functionally with different business units and third parties
Shown ability to communicate openly and effectively
Excellent at cultivating and maintaining relationships
Strong analytical skills
Validated experience in effectively leading multiple projects at a time
Established track record of exercising good judgment and taking responsibility for decisions
The highest levels of integrity and attention to detail
Professional experience in evaluating and crafting secrecy/security around sensitive programs
Established experience conducting secrecy and security assessments
Experience developing and implementing secrecy and security policy and awareness programs
Expertise with physical and logical security technologies and industry recommended methodologies
Experience operating in globalized, multi-lingual business environments
Description
Your work will help build solutions to a variety of unparalleled secrecy/security challenges, ranging from the protection of sensitive Apple facilities and supply chains to the secrecy of Apple’s marketing productions. Join us and you’ll play a purposeful role in preserving the highest standards of secrecy and security for one of the most-watched companies in the world.
Education & Experience
Bachelors degree preferred",https://www.indeed.com/viewjob?jk=0dbec4baab9e8592
9,Senior Brand Designer,"Redwood City, CA",Not shown,CrowdRise,,today,"Senior Brand Designer
Do you believe that people should compassionately support one another to create a better world? We do!

Serving as the world’s most trusted fundraising platform, GoFundMe is committed to inspire hope and change lives through giving. We envision a world in which need everywhere is met by a rising movement of people ready to help. Our customers have raised over $9 billion for their causes, making GoFundMe a top 200 website in the US based on traffic, with a monthly audience of over 100 million people.

We are seeking a Senior Brand Designer to join our design team. GoFundMe is a storytelling platform at heart. We are looking for someone wildly creative to create exceptionally polished designs to better tell our story and the hugely important stories of our users.

About the role

Partner closely with writers, a design director, and marketing stakeholders to create some of the most creative and innovative work out right now.
Develop conceptually sound design work for marketing landing pages, social media, email, print, and out-of-home ads.
Use your extensive knowledge of brand identity, illustration, icon design, typography, and web design to help evolve the GoFundMe Brand.
Work with other brand designers to contribute to, and evolve the GoFundMe brand book and visual language system.
Partner with various media agencies on the placement of your creative assets within marketing campaigns.
Collaborate with product designers to ensure that GoFundMe users have a cohesive, seamless experience through marketing pages and the products.

About you

6+ years of experience at a brand studio, agency or in-house team.
BA or BFA in graphic design, visual communications, or equivalent experience.
Comprehensive portfolio that showcases your skill in conceptual thinking, typography, layout, icon design, and motion design.
Experience crafting campaigns and brand experiences for web, email, social, out-of-home, and other brand-related projects.
You are an excellent communicator that can clearly articulate your design decisions, ideas, and vision.
You obsess over the details and refinement of your craft.
Self-motivated and love a challenge.

Why you’ll love it here

We offer competitive pay and excellent benefits. Employees can choose from a wide range of health insurance options, including medical, dental, and vision. We cover 100% of employee premiums and 80% of premiums for spouses and dependents.
We provide generous parental leave, as well as a 401(k) retirement plan with company matching.
Employees can enjoy perks such as complimentary lunches, commuter benefits, a $600 wellness stipend, paid volunteer time, and generous sick time and paid time off (Due to COVID-19 employees now get a work from home stipend)
We encourage our employees to support fundraisers by offering our Gives Back program. Employees can select a fundraiser every week to nominate to receive a donation from the company.
Our Diversity, Equity, and Inclusion team is always finding new ways for our company to uphold and represent the experiences of all of the people in our organization.
We offer employee resource groups for women, parents, and the LGBTQIA+ community.
Your work has real purpose and will help change lives on a global scale.
You’ll be a part of a fun, supportive team that works hard and celebrates accomplishments together.
We live by our core values: consider everything, do the right thing, spread empathy, delight the customer, and give back.
We are a certified Great Place to Work and we’re growing fast and have incredible opportunities ahead!

GoFundMe is proud to be an equal opportunity employer that actively pursues candidates of diverse backgrounds and experiences. We are committed to providing diversity, equity, and inclusion training to all employees, and we do not discriminate on the basis of race, color, religion, ethnicity, nationality or national origin, sex, sexual orientation, gender, gender identity or expression, pregnancy status, marital status, age, medical condition, mental or physical disability, or military or veteran status.",https://www.indeed.com/viewjob?jk=3a6ab4fa7f510860
