,Job Title,Location,Salary,Company,Job Rating,Post time,Description,Apply url
0,Managers/Senior Managers - Business Design - Financial Services,Sydney NSW,Not shown,Ernst & Young,4.0,today,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.
The opportunity
We are looking for varying levels of experience within the Financial Services Business Design team which sits within the broader Business Consulting team. The roles are based in Sydney and Melbourne. These opportunities are available at Manager and Senior Manager level, and the roles are offered on a flexible full-time basis.
EY are the only professional services organisation offering a separate team dedicated exclusively to the financial services market. Join the Financial Services Organisation (FSO) and you will work with multi-disciplinary teams from around the world to deliver a global perspective to a range of high-profile clients. We provide a highly integrated team, combining the knowledge from across our service lines to provide advice and guidance to key industry groups including Wealth and Asset Management, Banking & Capital Markets and Insurance.
We consult with clients across Asia-Pacific, advising on a broad range of opportunities to ensure our clients anticipate and respond to rapidly changing consumer needs, undertake transformation efficiently and effectively to enable a sustainable competitive advantage, respond to regulatory changes in a strategic manner and enhance their people capability and culture.
The team focuses on clients in the Banking & Capital Markets, Insurance and Wealth & Asset Management sectors, and is known for its capability in delivering operational transformation enabled through operating model change, productivity improvement, cost reduction and simplification, automation (including robotics), process improvement, channel optimisation, and targeted marketing that combines with the latest developments in technology and data analytics.
Your key responsibilities
Help develop full scale operational and organisational transformations
Lead, prepare and deliver client proposals and other sales support materials
Exceptional project delivery
Lead small teams of consultants for client projects
Build and manage client stakeholder relationships
Package overall project findings into clear, concise, high-quality work products
Act as a subject matter resource on one or more services, leveraging your knowledge and experience to meet client problems
Skills and attributes for success
To qualify for the role, you must have
Ambition to develop a career in business transformation consulting within the Financial Services sector
Relevant consulting experience (4 - 7 years) within a professional services firm or a leading financial services organisation (Banking & Capital Markets, Wealth and Asset Management or Insurance)
Business transformation experience, including an understanding of how change can be enabled through some or all of the following areas: operating model design, Lean & Six Sigma, process improvement, business requirements definition, business case design and financial baselining, project management, intelligent automation, human centred design, agile project working experience, sales and service channel optimisation, product design and pricing strategies, personalised marketing initiatives and advanced data analytics
Comfortable to work independently and collaboratively, with excellent attention to detail
Ability to nurture and build client relationships with new and existing client organisations and with a diverse range of stakeholders
Ideally, you’ll also have
A tertiary qualification relevant to the role
Exceptional communication, documentation, project management and presentation skills
Demonstrable success within a high-performance professional services or corporate environment
What we offer
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, your way.
Continuous learning: personalised career development including coaching, experiences and formal learning so you’ll develop the mindset and skills you’ll need to thrive in the future.
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs.
At EY, you’ll be rewarded and recognised based on your performance and our comprehensive benefits package can be tailored to your individual needs.
We hold a collective commitment to foster an environment where all differences are valued and respected, practices are equitable, and everyone experiences a sense of belonging. If you require any adjustments to the recruitment process in order to equitably participate, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com or phone +61 3 8650 7788 (option 4).
We understand the importance of social distancing at this time so our recruitment and onboarding process may be managed virtually so we can continue to prioritise the safety and wellbeing of EY people, clients, guests and the broader public.
The exceptional EY experience. It’s yours to build.
EY | Building a better working world
The preferred applicant will be subject to employment screening by EY or by their external third party provider. Regarding this role, the minimum salary is AUD125,000 including 9.5% superannuation.
© 2021 Ernst & Young Australia. All Rights Reserved. Liability limited by a scheme approved under Professional Standards Legislation.
#LI-EYS
Just posted
Report job",https://au.indeed.com/viewjob?jk=394c616827964276
1,Graphic Design Intern,Marrickville NSW,Not shown,Spark Interact Pty Ltd,,today,"About us
We are a digital marketing agency based in Sydney’s Inner West. We provide personalized and comprehensive marketing, design and technology solutions for small to mid-sized businesses. We’re a tight-knit and friendly team that collaborates well and works within a systematic process.
We are looking for a passionate, creative and detail-oriented designer to work across a variety of projects, predominantly digital, for a small but growing agency. Most of your work will be supporting both digital & print campaigns.
What you need to succeed:
Must have either completed or currently studying design at a tertiary level.
Very fluent in Photoshop, Illustrator and Indesign with HTML and CSS an advantage.

Ideally, you would have the following under your belt:
Strong technical knowledge with the ability to design for digital
Understanding requirements of HTML/XHTML and CSS
Experience in content styling within CMS platforms such as WordPress and Elementor
Creative flair and imagination
ability to turn a brief into something awesome!
Intelligent approach-ability to research a concept from scratch
Discipline to work within brand guidelines and with style guides
Independent thinking, a self-starter
A critical eye and huge attention to detail
Ability to work quickly and to deadlines
Ability to juggle priorities and manage time efficiently
Excellent command of the English language

About the Internship:
This three-month Internship will provide invaluable experience. You will have the opportunity to work with a tight-knit team of dedicated designers and developers. Collaborate and learn with professionals and expand your skill set while contributing your ideas and talents to give our clients that winning edge.

Please send your CV and portfolio (max 5MB).
Must include a cover letter.
Just posted
Report job",https://au.indeed.com/viewjob?jk=57d167b2eefd9283
2,Visual Designer,North Sydney NSW,Not shown,Vodafone,3.9,today,"Two of Australia’s leading telecommunication companies, Vodafone Hutchison Australia and TPG, have come together to form TPG Telecom Limited. TPG Telecom Limited has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and Felix. TPG Telecom is the second largest telecommunications company listed on the ASX. Combining a mobile network and a fixed line network delivering exceptional performance, TPG Telecom Limited is connecting Australia for the better.
Vodafone is a telecommunications brand offering mobile and fixed broadband services. Our 4G mobile network covers more than 23 million Australians and our 5G mobile network rollout is underway. Vodafone nbn™ fixed broadband services are available in capital cities and selected regional centres.
As a Visual Designer, you will design visual assets for Vodafone digital environments. Under the guidance of the Senior Visual Designer, you will work within an Agile delivery team to design and deliver Merchandising, Marketing Campaigns, Product Propositions, Devices Launches and Support Services. You will design experiences that are consistent with Vodafone’s brand and are useful, valuable, desirable and visually pleasing.
Key Responsibilities and Tasks:
Design high quality visuals for Vodafone digital environments.
Work with the wider digital experience design team to create deliverables that align to the Vodafone brand and digital style guide, ensuring consistent application across digital channels.
Collaborate with stakeholders across the business to understand customer needs and business objectives in order to translate them into effective and engaging visual assets.
Utilise data & performance to input into visual design solutions.
Ensure best online practices are applied to all tasks and deliverables.
Apply a customer centric mind set, advocating for the best customer online experience while planning and creating visual design deliverables.
Work within agile delivery teams, using continuous design practices to test, measure and learn.
Accountable for delivering high quality visual assets on time, proactively aligning with project team members and stakeholders on timelines, approvals and any blockers.
Contribute to the alignment of team practices and quality outcomes.
Manage multiple projects simultaneously.
Adhere to Vodafone policies and procedures as introduced and varied from time to time.
Knowledge & Experience Requirements:
1-3 years of hands-on experience in digital design, particularly in visual design, UI design and prototyping.
Strong technical ability in Adobe Creative Suite plus all relevant digital design applications
Strong visual design skills with a passion for simple, elegant and innovative design.
Experience in designing for mobile and desktop including responsive and adaptive web design
Strong communication and negotiation skills with the ability to build strong relationships with a diverse range of stakeholders.
Creative, flexible and energetic.
Experience in a fast paced, dynamic organisation.
Ability to be pragmatic, design around constraints and adapt to changing requirements.
Previous experience working in an Agile environment is desirable, but not essential.
We are committed to attracting, developing and retaining the best people by offering a flexible, diverse and inclusive workplace where hard work is truly rewarded. You will have access to fantastic benefits, including generous leave policies, leadership development programs and opportunities to grow your career. You’ll be faced with loads of variety where no two days are ever the same in a collaborative workspace that helps drive innovation.
Ready?
Today
Report job",https://au.indeed.com/viewjob?jk=b7c464ae8d9a395b
3,Senior Product Designer,Sydney NSW,"$111,806 - $134,667 a year",Service NSW,3.8,today,"Senior Product Designer

Salary: SNSW Grade 9/10 - The package includes a base salary range of $111,806.00 to $134,667, plus employer’s contribution to superannuation and annual leave leading.
Location: Head Office – Haymarket
Employment:?Temporary fixed-term up to 24 months and permanent opportunities available

Join Service NSW - One of the top 10 best places to work in Australia 2019

Who We’re Looking For

Customer value focused product designer who can drive a project from initial discovery all the way through to design and delivery.
Ability to drive the design process of projects from opportunity to implementation, making use of customer insight and product data.
Possession of strong Design Thinking and User Research skills. Be able to combine these with Lean User Experience and Agile methodologies to enable and support product teams deliver best of breed digital services. Experience in Service Design is a plus.
Work closely with product and engineering teams with the ability to identify and frame customer problems and opportunities. Be able to provide a pragmatic point of view on how this contributes to strategic product planning.
Think high level and approach opportunities or problems with a strategic perspective.
Thrive in collaborative environments, drive co-creation and bring stakeholders along the journey.
Strong negotiation skills to maintain a focus on our customers and effective communication of complex concepts to stakeholders and team members.
People who are eager to challenge the status quo, learn, improve their skills and the way our teams work.

How we can support you

We can empower you to lead the use of research tactics, user experience processes throughout projects and team initiatives.
Provide opportunities for you to be mentored as well as mentor others in order to grow your product design skills.
Provide training opportunities around digital products in relation to your role or career interests.
Offer a flexible work-life balance and environment to work in a way that is comfortable for you.

Who you’ll be working with

Various squads of product designers, product managers, software engineers and subject matter experts who have a shared goal of creating a positive impact to citizens of NSW.
Numerous team members throughout the Service NSW organisation who contribute towards improving citizen’s interactions with the NSW government.

Role responsibilities

Focusing on the needs of our customers.
Leading and framing User Experience research tasks as part of Product Discovery
User experience research (both qualitative and quantitative; generative and evaluative)
Provide recommendations to Product Managers on design approaches and planning
Lead the creation of research planning, execution and documentation.
Utilisation of user experience processes and workshop techniques.
Lead the creation of wireframes, prototypes and user interface designs.
Actively collaborate across squads and contribute to team activities.
Build relationships with other team members across Service NSW to improve and unify customer experiences across Service NSW.

Role requirements

Tertiary qualifications in Design, Interaction Design, Human centered design or similar
Min 4 years in driving and applying user centered design processes while working collaboratively with customers and cross functional teams including engineering and product management
Knowledge and Experience with Design Thinking and agile ways of working (Scrum, Kanban, HCD, Lean)
Experience developing and building major online consumer and/or enterprise products
Strong communication and presentation skills
Ability to effectively communicate the value of experience design and measures of success via data and metrics
Prior service design experience is a plus.

How To Apply

Provide a portfolio of project work and resume that details your experience. Please note that your employment at Service NSW is subject to a satisfactory national criminal record check.

PLEASE NOTE - Applications will be reviewed on a rolling basis, applications may close early or extend.

Working at Department of Customer Service

The Department of Customer Service is a great place to work! Our values of accountability, trust, service and integrity drive our initiatives and culture. We support innovative programs in areas as broad as digital government, consumer protection and major public works. We are an inclusive organisation that celebrates diversity and flexible work practices and believe our people are our greatest asset.

The Department of Customer Service is proud to be an EEO Employer who are fully focused on equality and believe deeply in diversity of all identities making us different and a true reflection of our NSW customers. As an inclusive workplace, we support various employee resource groups, practice flexible work and workplace adjustment.

A talent pool may be created for future ongoing and temporary roles and is valid for a period of up to 18 months. Employment to Service NSW is subject to a satisfactory national criminal record check.

If you do require an adjustment during the recruitment process, please notify us on your application form.
NSW Public Service Commission
Today
Report job",https://au.indeed.com/viewjob?jk=6af3dab68684d10d
4,Creative Assistant - Graphic Designer,Sydney NSW,"$65,920 - $68,682 a year",GetUp!,,today,"GetUp is looking for a talented graphic designer that can work alongside our passionate staff to fight for social change, connect with communities, and push politicians to make Australia a more just, fair place for all.

This is an entry level role that will work closely with our senior designer to support the production of high quality content across the organisation. On any given day you might produce social media graphics, newspaper ads, billboards, hard hitting reports, and much more.

This is a fantastic opportunity to use your design skills as a tool for real world change, develop your career as a designer, and work with Australia’s most innovative change makers.
SCHADS Classification Level 3. Salary range $65,919.88 - $68,681.93 + superannuation – as determined by relevant experience and qualifications.
This is a permanent position based in Sydney.

At GetUp, we know our capacity to drive progressive change is increased when our team has a diversity of backgrounds and experience. We are always actively looking for applicants from a diverse range of genders, cultures, language groups, abilities, and experiences to apply.

WHO IS GETUP
The GetUp movement is powered by the values and hopes of everyday people. We combine the power of over one million members, movement partners and a central team of expert strategists to make an extraordinary impact.
We focus our campaigns on the areas our members care about most in the fields of Environmental Justice, Human Rights, Economic Fairness, First Nations Justice and Democratic Integrity. From making sure hundreds of thousands of people are able to vote in elections, to successfully stopping major projects threatening the Great Barrier Reef, or securing billions of dollars in new funding for mental health – we have a decade-long history of taking on powerful interests, and winning.

WHO IS THE CREATIVE TEAM
GetUp’s Creative Team is a small, high performance team of designers, video producers, editors and digital experts. Creative staff support our campaigns by developing and producing innovative creative content including producing TV and digital video projects, crafting cut-through design products, and sharing stories that rally our progressive base. Through eye-catching and engaging content, the Creative Team gives people important outlets to get the word out and make a difference on our campaigns

WHAT WORKING AT GETUP MEANS:
Being able to connect your best work to positive impact;
Access to learning and development opportunities so you can hone your skills as a designer;
Other entitlements to keep you happy and healthy, including six weeks holidays per year and study leave; and
Flexible working arrangements.

THE CREATIVE ASSISTANT IS RESPONSIBLE FOR:
Producing and supporting the production of creative campaign and brand content for both social and traditional media;
Producing and supporting creative design needs such as print products including; flyers, reports, posters and billboards, stationary, and other brand collateral.
Assisting campaigners in generating creative content ideas and innovating new ways to incorporate them into campaigns;
Assisting with the execution and moderation of social media content;
Participating in a strong team culture of experimentation, innovation, evaluation and learning;
Assisting the creative team to execute its strategy and meet its goals;
Supervising a limited number of volunteers as required.
YOU WILL BE SOMEONE WHO IS OR HAS:
Passionate about growing and strengthening a movement of everyday people to take action for change on a wide range of issues;
Experience using the Adobe suite including InDesign, Illustrator, Photoshop.
Bubbling with ideas to create engaging, audience focused content across our social channels, traditional media advertisements, and printed products.
Can deliver a brief to tight deadlines working with a variety of staff and stakeholders.
Experience working with style guides and palettes to meet organisational needs.
Thrives in a collaborative team environment
Demonstrated relevant professional experience

BONUS POINTS FOR:
Photography skills;
Experience creating content for social media platforms;
Experience with After Effects and Premier Pro;
Being a politics nerd; and
Experience in GetUp-style online campaigning;

Application will close on 9am Tuesday 20 April 2021
Please apply via: https://www.getup.org.au/campaigns/hiring/hiring-2/work-at-getup
Today
Report job",https://au.indeed.com/viewjob?jk=a9af58f82f96bb82
5,Graphic Designer,Sydney NSW,Not shown,Honey Birdette,1.9,today,"In this role you will be responsible for:
Design and execution of global in-Boutique marketing material, including printed and digital signage
Conceptualise and design content for digital streams: including website, EDM, social media and paid media campaigns
Design internal team learning content, including Instagram tiles, team manuals and merchandising guides
Photograph/retouching/cropping imagery for web/social channels
Assist with organisation for campaign and product photoshoots
Assisting with other design work as required to help support the Marketing team
Skills Requirements:
Bachelor’s degree in Graphic Design or a related field
Minimum 1-2 years experience as a Graphic Designer, preferably in a Retail/Fashion business
Demonstrable graphic design skills with a strong portfolio of work
Proficiency in Adobe Suite programs, including Photoshop, InDesign, and Illustrator
A strong eye for visual composition
Effective time management skills and the ability to meet deadlines
Able to give and receive constructive criticism
Team player
Understanding of marketing, production, website design, corporate identity, product packaging, advertisements, and multimedia design
The benefits of being part of Honey Birdette:
Pride in being part of an Australian owned and operated international brand
Gym membership
Discount on Honey Birdette product
A fantastic team
Above all else, this role requires a genuine and positive can-do attitude along with an appreciation of demonstrating strong commitment to Customer experience (whether that be internal or external Customer).
We're a dedicated and passionate team who are looking for someone as excited about the future of Honey Birdette as we are!

This position is available at:
Customer Support
127 York St
Sydney
2000 NSW
Today
Report job",https://au.indeed.com/viewjob?jk=287b70f7022bb874
6,FABRIC - Designer/Art Director,Sydney NSW,Not shown,TBWA,,today,"We are looking for highly skilled conceptual Designer/Art Directors to join our growing team at FABRIC.
FABRIC is a strategic creative agency (backed by TBWA Sydney) specialising in the fashion, retail and lifestyle space. We create impactful experiences for ambitious brands. Working across a number of exciting projects, you will be responsible for championing brilliant ideas and implementing effective design and campaign outcomes.
We are looking for candidates who possess a refined eye, strategic smarts and a collaborative spirit. Above all, a lust and knowldege for the fashion, retail and lifestyle sector.
The successful candidate will meet the following expectations:
EXPERIENCE:
At least 4 years experience in a premium design studio or agency
A solid understanding of brand, print and digital design
Strong skills in art direction with a refined eye and aesthetic
Extraordinary typographic skills
Relevant experience in working with premium fashion, retail and/or lifestyle brands
Strong interpersonal and communication skills

RESPONSIBILITIES:
Lead the conceptual development of creative projects with the ability to manage projects from inception through to finalisation
Working collaboratively among a small team of specialists across creative, strategy and production
Work across multiple products in a dynamic and fast paces environment

If the above sounds like you, we would love to hear from you. Please contact claire.hopkins@tbwa.com
Today
Report job",https://au.indeed.com/viewjob?jk=4cad5f30294852ab
7,Digital & Graphic Designer (Part-time),Rockdale NSW,$25 - $29 an hour,C-3 Apparel,,today,"Digital & Graphic Designer (Part-time)
We require a creative digital & graphic designer to join our team.
Who we are?
We are an exclusive Australian & New Zealand distributor for a fast-growing number of USA & European based apparel, headwear & bag suppliers.
The Role
This is a part time flexible role. Working within a passionate and close-knit team, this role will play a critical part in both developing and executing effective digital marketing campaigns, social media, and all aspects of graphic design. This is an exciting new role that will require you to really hit the ground running and support the team. Having your own ABN is desirable.
Duties & Responsibilities
Manage eDM campaigns
Maintain the company website and content
Maintain an image library and assets
Catalogue creations and marketing collateral
Social Media - instagram
A creative eye for detail and working abilities
A strategic thinker and approach briefs with that mindset
Collaborative creative environment
Ability to clearly articulate ideas and thoughts, (we are a small team but growing quickly so your ability to communicate effectively is paramount)
Skills and Qualifications
Qualification in digital marketing/graphic design or relevant field
Experience in online apparel, fashion, accessories will be highly regarded
Advanced skills in Photoshop, Illustrator, InDesign and Bridge
Familiarity with email marketing systems (Mailchimp)
Proficiency in the full Microsoft Office suite
Knowledge of traditional and digital marketing, content marketing, and social media marketing
Excellent communication, writing, and presentation skills
Benefit:
This is a fantastic opportunity for a Digital & Graphic Designer to work across various exciting and growing apparel and accessories brands. An opportunity to learn and build your skillset and grow within the company. A relaxed atmosphere and team with autonomy to work at home from time to time. Flexibility to work preferred hours and days.
Like the sound of this role? Please include your cover letter and resume and if possible, include links to any of your work portfolio as part of your application.
Part-time hours: 20-24 per week
Application Deadline: 09/04/2021
Expected Start Date: 19/04/2021
Job Types: Part-time, Contract, Casual
Salary: $25.00 – $29.00 per hour
Benefits:
Work from home
Schedule:
Flexible hours
Experience:
Graphic Design: 2 years (Preferred)
Fashion and Apparel: 1 year (Preferred)
Digital Marketing: 2 years (Preferred)
COVID-19 Precaution(s):
Remote interview process
Virtual meetings
Today
Report job",https://au.indeed.com/viewjob?jk=775fea8485e311e7
8,Junior Graphic Designer,Smeaton Grange NSW,"$45,000 - $55,000 a year",Home Sweet Home Sofas and Living,,today,"Junior Graphic Designer
Home Sweet Home Sofas & Living are seeking a new Junior Graphic Designer & Content Creator. To join their growing team. This is a varied role which will involve creating graphic content for our in store, social and digital platforms.
You will be working closely with the Brand Director to refine and implement fresh design aesthetics and perspectives for our in store, social and digital channels. You will be an ideas person, with a proven ability to strategies and plan engaging brand content.
This role will be based in Smeaton Grange, Sydney.
Role would suit a uni graduate.
Key duties include:
A strong Adobe Creative Suite skills
Involved on the content creation strategy of the brand
Evolving the current graphic assets and content, refreshing brand guidelines and approaches
Working closely with the Brand Director to make decisions on all content and creative channels, from graphic and motion design, video content, styling, art direction and photography
Creating content for e-commerce campaigns
Designing premium EDMs
Edit photos and create images for social, digital and e-comm use
Undertake graphic design work for marketing requirements
Manage the delivery of the creative and content campaigns
The ideal candidate will have…
Proven experience in creating content and images for Instagram, Facebook etc
Experience working with e-comm platforms, such as Shopify
A strong knowledge of EDM
Incredible attention to detail
A proactive and positive attitude
If this sounds like you, please send over your CV and portfolio today. Uni graduates are encouraged to apply.
Job Types: Full-time, Permanent
Salary: $45,000.00 – $55,000.00 per year
Schedule:
8 hour shift
Education:
Bachelor Degree (Preferred)
Work Eligibility:
Permitted to work permanently with no restriction on hours (e.g. citizen, permanent resident) (Preferred)
COVID-19 Precaution(s):
Social distancing guidelines in place
Sanitising, disinfecting or cleaning procedures in place
Today
Report job",https://au.indeed.com/viewjob?jk=d9ba02257963c63a
9,Part-Time Buyer: Trend and Designer,Sydney NSW,Not shown,THE ICONIC,3.5,today,"Part-Time Permanent Opportunity
At THE ICONIC our mission is to deliver seamless and inspiring experiences for our customers and our people. We DREAM BIG through collaboration and innovation, and are supported to bring incredible ideas to life. We are a group of people believing in making a positive difference in this world and liberating our customers through the power of fashion and sports.
Our Buying team works collaboratively to liberate and inspire our customers, selecting the best and latest products from the most desirable brands. THE ICONIC Buyers travel to fashion capitals around the globe to source the best brands and research and predict the up-and-coming trends for our customers. This team is creative, analytical and absolutely customer-focused. With a growth-mindset, they are offered regular Buying Academy workshops, mentoring and up-skilling opportunities to enable all team members to be their best. Our Buying team lives and breathes fashion.
What's involved:
Build strong and professionally reciprocal relationships with suppliers
Share performance updates (monthly & seasonally) with our brand partners
Identify priorities & action points with each brand (product, volume, missed opp. new terms...)
Perform seasonal deep dive with brands on historic and forecast performance
Negotiate contracts and follow internal processes for new brand onboarding
Maintain strong, commercial supplier relationships with regular communication
Conduct deep dive / analysis for each brand
Manage and support junior team members to ensure the smooth operation of the department
Manage department OTB and maintain an accurate brand plan
Full visibility on committed and forecast OTB
Manage department intake to hit weekly, monthly & seasonal forecast closing stock targets
Pre-alignment on brand performance with planning prior to showroom appointment/ order writing
About you…
Proven experience in a fast-paced environment with a large SKU count
Well established contacts in the Womenswear category, Australian experience highly desirable
Experience in building commercially successful ranges with a customer focused approach
An acute eye for current and future trends with the ability to back your judgement
Strong communication and negotiating skills
Commercial analytical/reporting and numeracy skills
Strong team management and mentoring experience
Health and Wellbeing is extremely important to THE ICONIC, so interviewing for this role will be conducted virtually due to COVID-19. Where possible and in line with government Covid-19 restrictions, we are transitioning to in-office onboarding for all new starters on day one. Similarly, our team members are operating in a hybrid working model with days spent between their home and our hubs each week.
Today
Report job",https://au.indeed.com/viewjob?jk=6dfc9b339a5aad62
