Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2478545311,2021-03-26,CM Access Graphic,Junior Designer,"Pawtucket, RI","Junior DesignerOur fun, fast-paced client in Rhode Island is looking for a Junior Designer to join their team for a long-term contract. In this role, you will work with cross-functional teams to help lead and manage projects for both print and digital including packaging design, PowerPoint presentations, logos, ads, banners, social media graphics, internal communications branding, asset requests and other collateral needs.Responsibilities Design a variety of print and digital projects including presentations, packaging, logos, banners, social media graphics, etc. Work with other designers, build strong work relationships Conceptualize and present multiple concepts when necessary Attend team meetings, project kick-offs and status meetings Requirements Associate's degree, Bachelor's degree in Graphic Design or Fine Arts preferred 2+ years of graphic-design experience; experience managing projects and schedules Strong production skills with ability to maintain branding consistency Expert knowledge of Adobe CC InDesign, Photoshop and Illustrator; knowledge of MS Office applications (Word, Excel, Outlook, and PowerPoint) Motivated self-starter, with team-first attitude and ability to work well under pressure; strong communication skills Creative problem solver with ability to think through design challenges Strong organization skills If you are a fit for this role, please send your resume and portfolio today!",Not Applicable,Full-time,DesignArt/CreativeInformation Technology,Graphic DesignMarket ResearchMarketing and Advertising
2464732825,2021-03-17,TB12 Graphic,Graphic Designer,"Foxborough, MA","Job Title: Graphic DesignerPosition Location: Foxboro, MACompany: TB12About The JobTB12 is transforming global health & wellness by empowering people to live pain-free and perform their best. Through a focus on performance and recovery, TB12 empowers active individuals to do what they love, better and for longer. Inspired by the training method of 5-time NFL MVP and 7-time Super Bowl-winning quarterback Tom Brady and developed with his business partner and co-founder Alex Guerrero, TB12 delivers personalized, comprehensive programming to a worldwide audience. TB12 integrates revolutionary concepts in deep-force muscle pliability work, hydration, nutrition, functional strength & conditioning, and cognitive fitness. TB12 supports active individuals through an omni-channel approach that incorporates physical locations, immersive digital and virtual experiences, and innovative functional products.Job Description & ResponsibilitiesTB12 is seeking a highly motivated Graphic Designer to lead and execute the creation of engaging content across multiple digital and psychical touch-points. The role requires creativity, excellent project management skills and a strong understanding of brand identity and brand communications. A commitment to craft and a sharp attention to detail – especially regarding typography, color, and brand design – are essential to success in this role. Proven track record of digital-first design with an emphasis on email, social creative and animation.Specific responsibilities will include:Deliver a wide range of digital design work from ideation through production including but not limited to email design, social media graphics, mobile application graphics, presentation slideshows, and website graphics.Print collateral design for one-pagers and brochures, environmental signage, packaging, and more applications as needed.Lifestyle and product photography in alignment with key product and seasonal stories.Coordinate with Creative and Brand Marketing teams, and other project stakeholders to deliver work on-time, driving an exceptionally high-quality standard.Work alongside creative team to ideate, contribute to and execute robust design concepts for all internal creative briefs.Ability to think outside the brief by using past experience and industry knowledge to shape and fine tune our visual aesthetic.Desired Skills & Experience:TB12 is a rapidly evolving organization. We seek someone who will thrive in a highly autonomous and entrepreneurial environment, and who has the passion to help build an organization that has the potential to transform global health & wellness from the ground up.We are seeking individuals with the following skills & experience:Bachelor’s Degree in Art: Graphic Design or related field.5+ years of experience in graphic design or production, in-house or agency.Experience behind the camera, with an emphasis on product photography and lifestyle / health & wellness / sport performance photography. Videography experience a plus.Excellent written and oral communication skills.Online portfolio that demonstrates broad experience on brand identity and brand communication, along with traditional design and art work. Understanding and affinity for the sport performance, health and wellness, and lifestyle apparel marketplace.Present ideas and project work for review with creative team, and address feedback from business partners.Collaboration, attention to detail and a deadline-driven mindset are a must. Extensive experience with email design/email marketing, web design, and overall communications plans.Demonstrated ability to work in a rapidly changing, high-growth, team centric environment.TB12 is committed to developing a diverse and talented staff team. All candidates are encouraged to apply. If you are excited about this role but are unsure whether you meet 100% of the requirements, we encourage you to inquire and/or apply.TB12 is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected classPowered by JazzHRmO3NmxFc2j",Mid-Senior level,Full-time,DesignArt/CreativeInformation Technology,"Marketing and AdvertisingRetailHealth, Wellness and Fitness"
2476817107,2021-03-25,Hasbro Graphic,Associate Graphic Designer- Creative Development Studios,"Providence, RI","At Hasbro we’re changing the face of play and entertainment. We’re looking for people who want to explore, experiment and innovate to come up with the best ideas. Our culture of community, passion, integrity, creativity and inclusion has inspired our diverse team of highly skilled, highly creative and highly committed individuals for 90+ years and we believe the best if yet to come.Hasbro's Creative Development Studios is seeking a Graphic Designer to join their team! A Day in the Life of a Associate Graphic Designer:   Apply graphic design principles for the creation of printed product instructions and brand communications.   Use branded packaging and illustration to build compelling instructional guides and communications that visually drive story and brand.   Maintain consistent design line look and branded messaging across seasonal rollouts.   Execute brand team vision of design, execution and production for successful design solutions.   Utilize sophisticated design software to concept and develop ideas and prepare final files for offset printing and digital usage needs.   Art direct product and lifestyle photography, technical illustration and infographics to aid in successful completion of projects as needed.   Participate and contribute to brainstorming sessions and consistently display creative thinking, foresight and good design judgment in developing and applying marketplace insights and trends (competitive graphics, branded styles, fashion, lifestyles, etc.).   Utilize internal resources and time management skills to independently manage projects through to completion.   Provide support for presentation materials and other organization design needs.   Display effective communication when interacting with internal clients to present design recommendations or when problem-solving creative solutions.   Collaborate with global partners to facilitate projects when appropriate.   Work independently and manage projects through external vendors as needed.   Expert ability to see projects through all phases of design, production and approvals to final release for printing.  What You’ll Bring  BFA in Graphic Design, Fine Arts; or equivalent experience.   Minimum of 3+ years graphic design experience in a toy, juvenile product or other related; or equivalent.   Expert working knowledge of Adobe Creative Cloud software (InDesign, Illustrator, Photoshop, Acrobat).Proficient knowledge of MS Office Applications (Word, Excel, Outlook; PowerPoint knowledge a plus).   Proven success working with complex technical layouts, typography, color theory, logo design, photographic, illustration, post-production direction, and offset printing processes.   Ability to self-motivate and independently drive projects.   Successfully deliver on-time and well-designed creative communications.   Detail-oriented with ability to handle multiple brands and projects in a fast-paced and cross-collaborative environment.   Excellent communication skills!  Hasbro’s world-class brands and talented people are our greatest assets. One of the ways we invest in you is through a competitive and contemporary benefits package. Your particular benefits package will depend on your position, location, local legal requirements and years with the company. Here’s a look at what your benefits package may include: Medical, Dental & Vision Insurance, Half-day Fridays year round, Paid Vacation Time & Holidays, Generous 401(k) match, Paid Parental Leave, Team Hasbro Volunteer Program, Employee Giving & Matching Gifts Programs, Tuition Reimbursement, Toy Discounts and more!Hasbro is committed to equality of opportunity in all aspects of employment. We are committed to making all employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, or any other legally protected status.",Entry level,Temporary,DesignArt/CreativeInformation Technology,Marketing and AdvertisingInternetConsumer Goods
2481546766,2021-03-30,Toptal Graphic,Designer,"Providence, RI","About ToptalToptal is a global network of top freelance talent in business, design, and technology that enables companies to scale their teams, on-demand. With $100+ million in annual revenue and over 40% year-over-year growth, Toptal is the world’s largest fully remote company.We take the best elements of virtual teams and combine them with a support structure that encourages innovation, social interaction, and fun. We see no borders, move at a fast pace, and are never afraid to break the mold.Position DescriptionAs a Designer (Brand and Marketing) at Toptal, you will have the opportunity to make an immediate impact among a group of highly collaborative and smart colleagues who deeply value innovation and quality. You will elevate the overall brand expression of Toptal by providing graphic design support on key initiatives and by owning specific design projects. You will take direction from senior-level designers who will mentor you and guide your process. As you learn to design efficiently and collaborate remotely with colleagues, you will bridge the divide between business strategy and design strategy. You will have access to in-house developers and illustrators, providing opportunities to further expand your collaboration skills. You will design and produce a range of branded experiences, from landing pages to event graphics.This is a remote position that can be done from anywhere. Due to the remote nature of this role, we are unable to provide visa sponsorship. Resumes and communication must be submitted in English.ResponsibilitiesYou will join a group of seasoned designers as a junior member of the team. You will have proficiency in Figma, Sketch, Adobe Illustrator, Indesign, and Photoshop, among other design-related software. You will contribute to Toptal’s success by taking full ownership of assigned design projects and by supporting design colleagues in the production of larger initiatives. You will take your craft seriously, delivering error-free files to developers, vendors or printers. Among the projects you’ll contribute to are: banner ads, social media assets, landing pages, event graphics (and experiences) and branded swag. In addition to contributing to the overall brand expression of Toptal, you will also have the opportunity to work with amazing designers and illustrators and expand your capabilities.In The First Week, Expect To Onboard and integrate into Toptal. Study the brand guidelines. Set up your personal computer for efficient collaboration. Meet the design team and marketing partners. In The First Month, Expect To Design a suite of high-impact banner ads. Assist a senior designer in creating a range of social media campaign assets. Design an e-book. In The First Three Months, Expect To Ensure you are fully integrated with the design team. Build a high-visibility presentation for senior executives. Brainstorm with colleagues outside of the design team to generate new marketing ideas. Assist a senior designer in creating a full suite of campaign materials. In The First Six Months, Expect To Be fully integrated into the design team. Feel comfortable soliciting feedback from design colleagues. Have established yourself as an organized, creative and helpful design partner to non-design colleagues. Have designed several branded TopGear items. Be an authority on the Toptal visual language. In The First Year, Expect To Have consistently provided strong design support to your design peers and non-design colleagues. See your work out in the world on toptal.com, on social media platforms and at Toptal-sponsored events. Requirements 3 years of professional design experience beyond university. BA (or equivalent) in graphic design. Stunning portfolio of design work (may include student work if necessary). Strong communication skills, i.e. clear, assertive, helpful, good listener. Possess a desire to learn about digital marketing. Ability to collaborate, brainstorm and problem solve within a group. Ability to graciously take direction and accept feedback. You must be a self-starter with initiative, creativity, and drive. Ownership. You take responsibility for your deliverables. Quality. You take pride in everything you deliver as a reflection of yourself. You must be highly detail-oriented. Ability to communicate clearly and constantly with teams via Slack and other collaboration tools. You must have outstanding written and verbal communication skills, as well as perfect grammar and command of the English language. You must be open to receiving feedback and constructive criticism. You must be a world-class individual contributor to thrive at Toptal. You will not be here just to tell other people what to do. For Toptal Use Only: #west #midwest #ussouth #northeast #southamerica #canada",Entry level,Full-time,DesignArt/CreativeInformation Technology,Internet
2458031974,2021-03-29,"TalentBurst, an Inc 5000 company Graphic",Graphic Designer,"Pawtucket, RI","Shift: Mon-Thurs 8am - 5:15pmFriday 8am - 1pmCandidate must be local. May be required to commute to the office if/when office reopensA day in the life of a Graphic Designer within Family and Party games…• Utilize strong technical design knowledge and organizational talents to own the design and development of multiple assigned global brands/products.• Collaborate to create high standards for the vision and execution of Family and Party Games brands and products.• Develop innovative ideas and designs based on global consumer and market insights, whilst applying design principles to the creation of packaging graphic design.• Ensure overall quality, cost, schedule, approvals, deadlines, and brand consistency for assigned projects.• Demonstrate tact and diplomacy while interacting as a key liaison with multi-disciplinary teams as you work through any line issues.• Participate in product review meetings and vital presentations.• Prepare design files for both electronic and print use.• Work independently with external creative resources including brand agencies, illustrators and design firms.• Understand brand strategy objectives and apply graphic design principles to the creation of appropriate branding assets using sophisticated design software (Adobe Illustrator, Photoshop, InDesign and Acrobat).• Participate and contribute in brainstorm sessions and consistently apply on-trend design insight for graphic styling, fashion, lifestyle and competitive graphics.• Utilize internal resources and time management skills to independently run projects to meet goals.• Establish and uphold collaborative and mutually respectful relationships with key business partners across Hasbro.• Portray confidence and knowledge when interacting with both internal and external partners while presenting design solutions.• Seek out new tools and technologies to improve efficiencies, cost, speed and quality.• Be ready for the unexpected, have fun, and play lots of games!Expert working knowledge of Adobe Creative Suite.Proficient knowledge of Microsoft Office Applications (Word, Excel, Outlook).Excellent oral, written and visual communication skills.Strong organizational and collaboration skills.Proven success at coordinating multiple projects, costs, schedules and resources.Shown success working with typography, logo design, photo direction and color printing processes.Validated design success in the packaging industry and/or in collateral material, web technology, and structural development.Must have an eye for details and, the ability to prioritize multiple projects in a fast-paced environment.Demonstrated design skills with respect to design trends and product packaging.B.F.A. in Graphic Design or Fine Arts or, equivalent experience.5+ years graphic design experience in a toy, juvenile product or related consumer industry.Minimum of 3 years experience managing projects and schedules.",Entry level,Contract,DesignArt/CreativeInformation Technology,Staffing and RecruitingHuman ResourcesTransportation/Trucking/Railroad
2453035562,2021-03-24,igus Inc. Graphic,Graphic Designer,"Rumford, RI","At igus, we are a family of leaders, designers, developers, and communicators working towards one simple goal—providing high-performance “motion plastic” components to customers. Our bearings, cable, and cable management systems deliver substantial technical and economic advantages to over 200,000 customer companies worldwide. Our rapidly growing organization has become a household name in engineering but has maintained an agile start-up culture.If you’re interested in…· Working in a fast-paced, rapidly growing and changing department.· Being a part of a content-forward team that believes in the supreme importance of the customer/visitor experience and trust.· A transparent, receptive, supportive, and merit-based team atmosphere.· Opportunities for advancement and ability to affect measurable change.· Being continuously challenged.· Product and process training with an opportunity to travel to our German headquarters.· Company parties, casual Fridays, seasonal volleyball tournaments and working in a state-of-the-art facility.…then start a career with the igus marketing team! We are seeking a skilled Graphic Designer who is excited to create visual experiences for an audience that is hungry to learn about engineered plastics. You will help enhance the igus customer experience by helping create imagery that clearly explains the benefits of motion plastic solutions in engaging ways.Who we’re looking for:· At least 3+ years of experience.· Bachelor's degree in Graphic Design or equivalent experience required.· Portfolio of at least 5 previous templates/layouts – examples of infographics, banners, and web and print advertisements.· Applicable working experience in a B2B focused marketing department creating imagery that support marketing campaigns.· Experience creating graphics focused on technical/mechanical subject matter strongly preferred.· Experience working in a fast-paced, collaborative, deadline focused environment – SCRUM experience preferred but not required.· Proven master of the Adobe graphics suite programs including Photoshop, Illustrator and In-Design or Sketch.· Ability to juggle numerous projects with competing deadlines· Able to work with constructive feedback on designs to create a final product that satisfies both product management stakeholders and the content creators.· Proven ability to work autonomously.· Experience working with marketing platforms including HubSpot and Uberflip preferred but not required.· Experience working with engineering software like AutoDesk, AutoCAD etc. preferred but not required.What your day will look like:You’ll work within a fast-paced and supportive environment where your specific tasks will be based on a team-determined backlog of projects. The graphic imagery created in this role will support various initiatives across web, advertising, and printed media. This Graphic Designer will work closely with other marketing team members in a SCRUM format to complete project in a productive and orchestrated fashion. Team members agree upon how to best prioritize tasks to accomplish overall campaign goals.This role will work closely with product managers to understand and translate technical topics to graphical representation. Often several projects are in pipeline at once and are managed through an advanced project management software/system.We’re offering:· Varying, project-based challenges in a growing and future-oriented company.· Close working relationships with colleagues from different departments and countries.· Access to a leadership team that takes team-member needs seriously.· An environment focused on employee happiness and wellbeing.· An attractive compensation package with annual performance reviews and an annual holiday bonus.· Complete benefits package: medical, life, dental, long term disability insurance, 3% company contribution 401(k).· Two weeks paid time off plus holidays in the first year. Three weeks paid time off plus holidays in the second year.",Associate,Full-time,DesignArt/CreativeInformation Technology,Plastics
2465757889,2021-03-25,Onward Search Graphic,Junior Designer [61355],"Pawtucket, RI","Our client in Rhode Island is looking to hire a Junior Designer. This personmust be comfortable commuting into the office in Pawtucket as this position will lead back on site when safe to do so!The ideal candidate will have strong creative skills and a portfolio of workwhich demonstrates their passion for illustrative design, packaging andtypography. This candidate will have experiences in working with numerous different design platforms such as digital and print forms.ResponsibilitiesCollaborate with the team to ensure consistency of designs across various media outletsCreate compelling and effective logos, designs, print, package and digital mediaMaintain awareness of current industry and technology standards, social media, competitive landscape and market trendsExpert knowledge of Adobe CC InDesign, Photoshop and IllustratorKnowledge of MS Office applications (Word, Excel, Outlook, and PowerPoint)QualificationsBachelor's degree in Graphic Design or related field1-3 years of experience in graphic designProficient in Adobe Creative SuiteStrong communication, conceptual thinking, typography skills, package design and design skillsPortfolio of recent work﻿If this lines up with your experience then apply today!",Associate,Contract,Art/CreativeDesign,Consumer Goods
2479587466,2021-03-27,Pukka Herbs Graphic,Creative Designers and Artworker - Packaging and Campaigns,"Somerset, MA","Creative Designers and Artworker - Packaging and CampaignsAre you a talented designer who aspires to work for an artistic and creatively brave brand? Would you love to work across the world of Pukka using our beautiful design assets and help build our global presence and elevate our creative capabilities? We're growing our team and are looking for two Creative Designers and a Creative Artworker to join our fast-paced world in our Creative and Marketing team. Ideally based in our award-winning Bristol head office (Covid circumstances permitting), we're looking for two Creative Designers and a Creative Artworker to join our fast-paced world. With a competitive salary of £30,000 to £35,000 per annum (pro rata for 2x fixed term roles), the roles come with a benefits package designed to nurture your wellbeing and personal development.About The OpportunitiesThis is an exciting time for our in-house Creative team at Pukka as our packaging design and artwork is moving in-house. As guardians of our brand guidelines, the creative team set and manage guidelines to elevate and achieve creative excellence for Pukka. With a passion for all things creative and a knowledge of up-to-date industry trends, we're looking for three talented individuals to join us and continue to elevate and advance Pukka's creative identity using new channels and formats. As part of Pukka's wider in-house creative team, and reporting into our Creative Strategy and Production Lead, you'll lead and manage the creation and delivery of all new design briefs from across Pukka, delivering creative solutions to meet creative objectives, on brand, on time and on budget. Working as part of a small design team you'll take approved concepts to the next level, stretching your thinking creatively, and bringing your ideas to life in a variety of required solutions. You'll create and deliver communications across various channels to bring to life the colourful world of Pukka Herbs. Each new role in the team is looking for a specialism of design focus;Our Creative Designer (permanent contract) will focus on the creative execution of campaign materials, working across digital (including social media platforms), light touch animation, point of sale collateral and print. Our Creative Designer (12 month fixed term contract) will focus mainly on the creative execution of packaging designs, taking approved pack concepts to the next level, including illustration of assets and proof checking packaging designs prior to delivery. Our Creative Artworker (12 month fixed term contract) will focus mainly on the creative execution of packaging designs, taking approved pack concepts to the next level as well as preparing designs for print, including proof checking and checking printers proofs.About YouTo join our creative team you'll have strong design experience, ideally having worked in an agency or client side in a design capacity on FMCG consumer brands. You'll be able to showcase your breadth of creative skills in an impressive portfolio that demonstrates experience of working across a variety of channels and an insight into your creativity. A proven track record of working in packaging design, preferably in FMCG markets, is needed alongside an excellent knowledge of print production processes for our packaging specific roles. Experience of designing for digital/social media environments is needed. In addition to your experience you'll ideally be qualified to degree level or equivalent, in graphic design or similar. Experience of owning and evolving brands from a creative perspective, you'll have experience of creating brand guidelines and maintaining consistency. You'll have the ability to understand wider marketing strategies in relation to interpreting creative briefs and have a confident and assertive approach with the ability to guide our teams with your creative and design knowledge. You'll know Adobe Creative Suite inside out and be able to demonstrate skills covering InDesign, Illustrator, Photoshop. You'll be able to work calmly in a fast-paced environment, possess impeccable attention to detail, and demonstrate strong organisational skills with the ability to prioritise effectively and balance priorities.About Pukka HerbsPukka Herbs harnesses the incredible power of nature through its award-winning organic and ethically sourced herbal teas and food supplements.Founded in 2001 by Tim Westwell and herbalist, Sebastian Pole, Pukka's mission is to create a world where plants play a central role in human health and wellbeing.Pukka is a beacon for sustainable and ethical business. All Pukka's teas are certified Fair for Life, one of the highest independent fair trade standards in the world and many of its teas use FairWild herbs. Pukka is a B-Corporation, signifying its ongoing commitment to put people and planet ahead of profits. And over one percent of its sales are given to environmental causes around the world every year through 1% for the Planet.How to applyIf you're intrigued and excited by what you've read so far, let's see if you have what it takes to thrive at Pukka. To apply please use the link below and attach your CV, with your portfolio included in the document (or a clear link included to your online portfolio), and your answers to the questions below. Who are you?How do you relate to others?Heart or head?Describe your energyWhat inspires you about working at Pukka?What excites you about this job role? We will also ask you to confirm which job role or job roles you would like to be considered for.Pukka supports, facilitates and promotes equality of opportunity and a culture which celebrates diversity and inclusion. The diversity of our people is important for Pukka and we value and celebrate individual differences. Closing date - 31st March 2021",Entry level,Contract,DesignArt/CreativeInformation Technology,Marketing and AdvertisingDesignConsumer Goods
2438565156,2021-02-04,Kraft Sports + Entertainment Graphic,Graphic Designer,"Foxborough, MA","DescriptionSUMMARYThe Graphic Designer will conceptualize and design marketing materials in support of the business operations of Kraft Sports + Entertainment (KSE) whose member companies include the New England Patriots, Gillette Stadium, the New England Revolution and Boston Uprising. The candidate will function as a member of the Creative Services team and is charged with pitching, designing, producing, and delivering graphic designs which support KSE’s sales and marketing initiatives, fan engagement activities, and social-digital content efforts. A heavy emphasis of this role will be on social-digital content design.Duties And Responsibilities  Create design solutions across all channels that are grounded in solid conceptual thinking.   Serve as primary graphic designer for the social-digital space including, but not limited to, web, email, Instagram, Facebook, Twitter and other social media platforms.   Collaborate with producers and peers to present, create and execute ideas that meet business objectives.   Produce content in a variety of styles and techniques, while working within the appropriate brand/style guide.   Produce elements such as, but not limited to, infographics, logos, stylized photo treatments, social platform templates and commercial tags.   Assist with graphic design for digital advertising, videoboard/LED displays, and broadcast applications as assigned.   Review, proof and edit content with a critical eye. Take part in multiple rounds of editing on any given project.   Stay up to date on design trends and innovations. Provide proactive recommendations that will improve marketing and content performance.   Play an integral role in developing, creating and implementing future brand styles, looks and design elements as a member of the Creative Services team, consistently partnering with other creative areas of the organization and working with external agencies when applicable   Special projects and assignments as business dictates.  Supervisory Responsibilities  This position has no supervisory responsibilities QualificationsSKILLS AND QUALIFICATIONS   Bachelor’s degree in Graphic Design or equivalent education and/or experience.  Minimum 2 years professional experience  Strong foundational knowledge of layout, color, grids, icons, typography, proportion, photography, web graphics, motion graphics, and package design.  Awareness of the latest design and photography trends and ability to adapt these trends into strategic designs within the organization’s family of brands.  Excellent knowledge of Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects) and Microsoft Office (Word, PowerPoint, Excel).  Motion graphics and video production knowledge a plus.  Ability to take constructive criticism and change direction to suit operational needs.  Ability to manage multiple priorities efficiently and effectively, making timely decisions in order to meet project deadlines and business needs.  Ability to handle high pressure situations in a professional manner.   Excellent communication, organizational skills, and attention to detail.  Strong self-starter and capable of working independently.  Sports production background preferred.  Ability to work within a team environment.  Ability to work a flexible schedule, including travel, nights, weekends and holidays. PHYSICAL DEMANDS   Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. WORK ENVIRONMENT   Normal office environment CERTIFICATES, LICENSES, REGISTRATIONS   None required Other DutiesPlease note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.This company is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.",Entry level,Full-time,DesignArt/CreativeInformation Technology,ConstructionMarketing and AdvertisingEntertainment
2481056866,2021-03-29,"HireTalent Executive Search, Temporary Staffing, Recruiting &amp;amp;amp; SOW Graphic","Junior Designer, Hasbro Design #: 21-01917","Pawtucket, RI","Job DescriptionJob Title- Junior DesignerLocation- Pawtucket, RIDuration- 12 MonthsJob Description Graphic designer who is detail-oriented, efficient, flexible, and capable of building strong work relationships. Enjoys challenging work, brainstorming and creative problem-solving; works well with a multi-disciplinary team; responds well to feedback. Required Skills  Expert knowledge of Adobe CC InDesign, Photoshop and Illustrator. Knowledge of MS Office applications (Word, Excel, Outlook, and PowerPoint) Motivated self-starter, with team-first attitude and ability to work well under pressure. Strong communication skills. Strong production skills, with ability to maintain branding consistency. Creative problem solver, with ability to think through design challenges. Curious nature, with ability to seek information and answers from cross-functional partners. Strong organization skills, with ability to oversee multiple projects and schedules. Required Education Associates Degree with a minimum of five years administrative project management experience. Required Years of Experience Has a proficient understanding of principles in one or more functions of a position. Typically possesses 0-3 years of relevant work experience Desired Skills  Lead and manage projects for both print and digital, including packaging design, PowerPoint presentations, logos, ads, banners, social media graphics, internal communications branding, asset requests and other collateral needs. Support designers on the team. Conceptualize and present multiple concepts when necessary. Attend team meetings, project kick-offs, and status meetings. Desired Education Bachelor of Fine Arts degree (or equivalent experience) Desired Years of Experience 3 years graphic-design experience; experience managing projects and schedules.",Entry level,Contract,DesignArt/CreativeInformation Technology,Information Technology and ServicesAccountingFinancial Services
