Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2478894140,2021-03-27,ICF Next Graphic,Designer - Remote Opportunity,"Chicago, IL","@ ICF Next, we are fearless in finding new ways to solve problems, relentless in making sure it pays off for our clients and committed to making a positive change in the world. Join our community of mission-driven creatives, communicators, strategists, and technologists to challenge the status quo.We are in search of a visual independent thinker who goes beyond trends and who is capable of disrupting and challenging the norm. We want a designer with art direction tendencies, someone fueled by a mix of objective thinking and imagination. The ideal fit is a creator, not a decorator, someone with a high sense of curiosity, a person who interprets design as a mindset, as a discipline that solves problems and tells stories.Depending on candidate qualifications and skills, this position can be on call or full time. This position can also be done from anywhere in the US, as it is a remote opportunity.What You Must HaveSuperb design skills supported by strategic thinkingAbility to verbally illustrate, rationalize and present designInnate ability to think conceptuallyStamina to push the work towards excellence3+ years of experience, ideally in a design studio or agency settingWhat You Will Be DoingDevelop and execute brand identity and design systemsDevelop creative concepts for brand initiatives and campaigns across a variety of mediaProvide design support and thinking in presentations, strategic documents, corporate communicationPresent creative work to account leads and creative team, as well as directly to clients#ICFN_CMWorking at ICFWorking at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity). For more information, please read ourReasonable Accommodations are available for disabled veterans and applicants with disabilities in all phases of the application and employment process. To request an accommodation please email  and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. Read more about non-discrimination:  and .Chicago, IL (IL14)",Mid-Senior level,Full-time,DesignArt/CreativeInformation Technology,Management Consulting
2469206971,2021-03-20,Havenly Graphic,Brand Designer - Chicago,"Chicago, IL","Brand DesignerHavenly is looking for a Brand Designer to join our creative team and help bring our brand to life through our engaging, performance-driven email program. This role will primarily support visual design efforts in email but contribute across other marketing channels as well including social media, print collateral, digital ads, other special projects.Key Job Responsibilities Execution of engaging and successful email designs that reflect the Havenly brand  Incorporate learnings from past campaigns into weekly sends  Ability to test and rapidly iterate creative in a fast paced environment  Collaborate across Creative and Growth team on email campaigns  Utilize our visual systems to support brand consistency across all communication channels  Source imagery relevant to brand campaigns, retouching and editing as needed  Support multi-faceted digital and social media campaigns with custom designs  Execution of printed material, paid media ads, and other graphics as needed  Participate in brainstorming and other idea-generating team sessions, bringing fresh ideas to the tableWhat You’ll Bring 2+ years experience at an agency or in-house department  Knowledge of HTML/CSS  Proven ability to design and code emails, optimizing for mobile and desktop engagement  Expert Adobe skills  Experience working in ESPs and/or CRM tools like SendGrid, Simon, Iterable, etc.  Online portfolio that features a strong mix of branding, typographic, & self-initiated work  Experience designing for the web (ecommerce, emails, online branding)  Good understanding of the constraints and capabilities of web technologies  The ability to clearly articulate design decisions  Pixel-perfect attention to detail  Serious appreciation for whitespace  You thrive in a fast-paced agile environment while working across many medias  You excel with typography, color, layout, and imagery and know how to bring these elements together into one cohesive form that is emotive of a brand’s personality, voice, and values  A positive “can-do” attitude. You always start with “yes”  A pulse on graphic design trends and what other brands are doingTotal Bonus If You Have Experience With UI/UX  Copy editing  Motion graphics/Video  Styling or studio shootsKey Job Qualifications You’re excited about the opportunity to work very hard in a fast-paced, dynamic environment with high energy to build something incredible  Highly value the bigger picture of our business and brand goals. As a result, you can go beyond the surface to create sustainable and scalable solutions based on that mindset  Ability to generate bold, provocative, fun and surprising imagery on top of fulfilling project requirements and adhering to brand standards  Ability to shape content into easily digested visualizationsAdditional Details This is a full-time exempt position headquartered in Denver, CO.  Our total rewards package includes competitive compensation of 45-60K annually based on experience, generous PTO, volunteer days off, health benefits (Medical, Dental, Vision, Disability), company equity, 401K, and Fertility benefits. In addition, we offer free design services, furniture discounts, and merchandise credits.  Havenly is an Equal Opportunity Employer. Havenly's employment decisions are made without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, sexual orientation, or any other legally protected status.   As a company, our goal is to make everyone feel good at home and that starts right here, at Havenly HQ. We celebrate our differences and encourage everyone to bring their true selves to work each and every day. Throughout the journey of each of our team members, as a company, we take pride in and commit to ensuring that everyone feels valued, heard, welcome, and have equal opportunity to thrive.   Applicants must be currently authorized to work in the United States on a full-time basis.At Havenly, we hire people who exhibit gumption, act like owners, outperform, and are always playful. If this sounds like a great fit for you, and a challenge you're ready to run with, we want to hear from you.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
2465760644,2021-03-25,"Impact Networking, LLC Graphic",Junior Designer,"Chicago, IL","ES99: AN AGENCY WITHIN IMPACT. Although officially established in 2018, ES99 was in the making for several years prior. As Impact’s rapid expansion brought more opportunities for optimizing businesses from the inside, it also uncovered a need for these businesses to improve their external presence for their customers’ branding & marketing needs. The internal design division at Impact was re-imagined to meet these needs and ES99 was born. As a full-service boutique agency located in downtown Chicago, our core offerings fall into four main categories: research & strategy, branding, web design & marketing. Our client roster includes everything from B2B manufacturers to B2C CPG brands and everything in between. We’re always on the lookout for engaged, collaborative, creative people to bring into the team. INTERNAL STRUCTURE Our internal team is split within these core competencies:-Creative (strategy, design, ux/ui, copywriting)-Client management (research, account, digital media)-Production (web development & print)-Sales (business development) DESCRIPTION Making magic out of intricate brand identities and visually bringing brands to life in every way is at the core of what the design team does at ES99. We craft everything from brands to “big-brand” style campaign for small and medium sized businesses, but you’ll also communicate the benefits of these brands through pretty much every type of media. (Think websites, campaign ads, brochures, emails, videos, social) As a Design Support or Junior Design, your biggest objective it to learn everything it takes to become a Design Lead. Our Design Leads are the go-to for design decisions for our clients as part of a 5 person core-team. Design Support team members are being mentored and trained across multiple mentors and clients in order to be ready to take on that responsibility. Since our clients look to us as the experts on all things branding/marketing, you’ll be mentored in areas of your craft, executional excellence and communication. You’ll be working collaboratively in support of a mentor to create in digital, print and any other medium needed by our clients. Our team works collaboratively with high design and attention to detail being paramount. Our team is very entrepreneurial and each team member must be comfortable going from working independently to being engaged and contributing to a group, depending on project needs. You must be able to fluently articulate your “why” behind design concepts and be able to bring them to life through execution in die lines. Graphic design of elements in marketing & branding space, depending on needs set by client/team/mentorBring design to life in die lines, web design programs, create production-ready filesWork within wireframes for desktop, tablet and mobile responsive designsWork with design mentor to bring concepts to lifeProactively contribute to the creative output of the teamCreate presentations to communicate ideas to the clientsManage work on multiple clients at the same time Communicate clearly and consistently with your mentor to meet deadlinesConstantly looking to improve self and others around you  1-3 years relevant experienceFluent in full Adobe SuiteSome experience in Sketch/ InvisionBachelors Degree in related fieldMust provide design portfolioAn attitude/love of learning and growing your design skillsLove of helping small to mid-sized businesses to grow",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingInformation Technology and ServicesComputer Software
2466785591,2021-03-18,Tock Graphic,Visual Designer,"Chicago, IL","About TockTock is the only all-in-one system for reservations, takeout, delivery, and events. We are changing the way restaurants, wineries, and culinary event organizers run their business and how guests explore, discover, and book at these places all around the globe.Tock's Explosive Growth Awarded Fast Company's ""Most Innovative Companies"" for 2021 Awarded Built In's ""2021 Best Places to Work"" Awarded America's Hottest Brands of 2020 by AdAge Announced an exclusive partnership and integration with Chase Pay & Ultimate Rewards and WineDirect Won Chicago Tribune's ""Game Changer"" Award for industry innovation Reached a global customer base of 30 countries operating in 200+ cities Processed over $1 billion in prepaid reservations Featured in: New York Times, Bloomberg, GQ, Vice, Wired, Food & Wine, Eater, Skift Table, Chicago Tribune, Crain's Chicago Business, New York Post, and more Named one of 2019's 50 Startups to WatchAbout The Marketing TeamThe Marketing team is a small but mighty crew of seven. We are tasked with the exciting responsibility of growing Tock's brand and building awareness for our company and product. We are creative, nimble, and passionate about helping our customers, supporting our sales team, and attracting guests to discover and book great dining experiences.You would join as the third designer on the Marketing team, but would also be part of our larger, collaborative, cross-functional Product Design team. Although we may hold different responsibilities, we support each other and explore ideas and projects together, because our mission, brand, and visual identity touch and impact everything we do.About The PositionWe are looking for a brand-obsessed visual designer with a strong background in graphic design and a love for all things food and dining. You'll design a wide range of projects-from ads, email newsletters, sales collateral, and social posts, to collaborating on websites, landing pages, and larger campaigns. But you'd also ask, what more can we do? How might we build a brand that showcases our quality, knowledge, and passion? You'd bring ideas that would level-up our visual brand while maintaining a high standard across all projects. You'd support our sales team with communication assets so they can more powerfully pitch Tock and onboard new restaurants. You'd contribute to our guest outreach efforts and explore creative ways we can increase awareness and engagement-think editorial content, travel guides, dining newsletters, restaurant spotlights, interviews with chefs, behind the scenes interviews.What were looking for 3-5 years of experience as a design generalist with a digital focus. Stellar portfolio that demonstrates great typographic and layout skills and showcases creative problem solving. Curious about the problems Tock is solving. Eager to work in a small, scrappy, fast-paced startup environment that allows you to take on many responsibilities and own many projects. Strong verbal and written communication skills. Strong organizational skills, can manage multiple projects, and are comfortable working towards deadlines. Excited to learn new mediums, software, and techniques-we value a do-it-yourself mindset. Proficiency in Adobe Creative Cloud (Photoshop, Illustrator, Indesign) and Figma/Sketch. Prefer Chicago-based but open to a remote position.What you'll do Work independently and collaboratively on projects and tasks to support the marketing team. Collaborate internally with sales, account management, and design teams. Keep up with and set trends in the reservation/experiences space. Source, prepare, and maintain photo assets for marketing/design projects.What we offer Competitive salary Full benefits (medical, dental, vision), 401k Paid time off Paid parental leaveHow to applyComplete the short application below and submit a resume and cover letter to marketingjobs@tockhq.com.",Entry level,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareInternet
2481470015,2021-03-30,Living Habitats LLC Graphic,Junior Designer and Project Manager,"Chicago, IL","Living Habitats is hiring for two positions: a Project Manager with 7 to 10 years of professional experience and a Junior Designer with 3 to 5 years of professional experience. Ideal candidates will demonstrate an outstanding design ability, graphic skills – both digital and hand drawn, have strong organizational and communication skills, and the ability to work independently and cooperatively in a fast-paced environment. Candidates are expected to have strong technical skills including a high level of proficiency with AutoCAD, Adobe Software, strong communication skills both verbal and written as well as critical thinking skills, and a working understanding of project management. Experience in Revit, SketchUp, and other 3D modeling skills are preferred. Fluency in English is required. Knowledge of Spanish is a plus. Bachelors of Landscape Architecture required, MLA preferred. Candidates must reside within the Chicagoland area and be within commuting distance of our office in Chicago with the ability to work remotely during the Covid pandemic.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Architecture & Planning
2477839284,2021-03-26,Northwestern University Graphic,Graphic Designer,"Evanston, IL","Department: Norris University Center AdminSalary/Grade: EXS/6Job SummaryThe graphic designer works collaboratively with other staff to plan, design, create, and distribute effective integrated marketing communications that promote the Division of Student Affairs and its departments to the Northwestern University community. The graphic designer oversees large-scale marketing campaigns while adhering to established design standards and project procedure. This position provides input to the marketing strategy for Student Affairs. The graphic designer oversees the work of 4 – 8 graphic design student workers, providing creative mentoring and project supervision.Specific Responsibilities Graphic Design   With a balance of efficiency and creativity, use effective graphic design principles to design and implement effective integrated marketing and communication campaigns that promote the Division of Student Affairs and its departments across print, digital, and social mediums. Design large-scale projects such as booklets, newsletters, signage, and presentations as necessary for high priority clients. Analyze user experience (UX) design for digital platforms.  Student Staff Mentoring and Supervision   Oversee student workers as needed to augment completion of Division marketing requests requiring graphic design.   Lead the recruitment, hiring, and onboarding of student workers.   Ensure a process is in place to assign work to students and ensure ongoing progress and communication with project requestors.   Provide mentoring to ensure students are trained as graphic designers.   Review student work and provide feedback to improve performance.  Ensure effective design and brand identity   Oversee the graphic identity for the Division of Student Affairs, ensuring the marketing office and division colleagues adhere to university and division branding guidelines to create brand continuity across multiple platforms. Oversee design maintenance of Student Affairs website, with emphasis on responsive and accessible design.  Project Management   Lead project management efforts for campaigns and other large-scale print and digital projects. Manage the process from initial request to strategy to design to implementation to assessment through use of project management software and in-person updates.  Design Collaboration   Meet and collaborate with partners and clients to create and implement marketing solutions.  Division and University Partner   Attend and contribute to department and division meetings and participate on division and university committees to contribute design and marketing skills. Establish and utilize relationships with external vendors as necessary for production and distribution of outsourced materials. Minimum Qualifications  Bachelor’s degree in Graphic Design, Marketing, Communications, or related field.   1-3 years of experience working in Marketing, Communications, or another creative field.   1-3 years of experience with graphic design across digital and print mediums.  Minimum Competencies: (Skills, knowledge, and abilities.)   Proficient experience planning, creating, and implementing integrated marketing communication campaigns,   Proficient experience using Adobe Creative Suite – Illustrator, InDesign, and Photoshop (CC preferred) or related graphic design software.   Familiarity and experience implementing principles of effective design.   Familiarity with basic marketing and communication concepts.   Knowledge of HTML and website design.   Proficient in photo editing.   Excellent written and oral communication skills.   The ability to work with a variety of people and situations.   Fine attention to detail, professionalism, and dependability.   Exceptional decision-making skills. Preferred Qualifications  Prior experience in a marketing or public relations department for a college, university, or public service institution, advertising agency, or communications firm.   Prior experience marketing to college students.   Experience with Adobe Flash, AfterEffects, or related software.   Experience shooting and editing video.   Experience with Premiere or related software video editing and effects software. Northwestern University is an Equal Opportunity, Affirmative Action Employer of all protected classes, including veterans and individuals with disabilities. Women, racial and ethnic minorities, individuals with disabilities, and veterans are encouraged to apply. Hiring is contingent upon eligibility to work in the United States.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Nonprofit Organization ManagementHigher EducationHospital & Health Care
2467371840,2021-03-18,rEvolution Graphic,Graphic Designer,"Chicago, IL","DesignerReports to: Creative DirectorLocation: Must be based out of Chicago*Agency experience preferred*  The Designer is responsible for consistently delivering exceptional design on a full range of collateral spanning print, digital and experiential design. Reporting to a Creative Director, this individual translates broad creative concepts effectively across all marketing assets, keeping the bigger picture and overarching strategy at play. Comfortable in a fast-paced environment, this role can capture and integrate feedback from creative and account members as well as articulate the “why” behind design solutions to the broader team. We’re looking for a detail-oriented, self-motivated team player who strives for design excellence, developing and presenting multiple paths to arrive at the strongest creative output. You will be joining a team of specialized creative personalities who proactively jump in and collaborate to deliver the best work, polishing PPT deliverables and supporting a breadth of agency initiatives. Responsibilities-         Graphic design of brand and marketing elements across digital, print and client-specified platforms-         Work within client-provided specs and templates along with wireframes for desktop, tablet and mobile responsive designs-         Create production-ready files-         Proactively contribute to the creative output of the team-         Build presentations to communicate ideas to internal teams as well as clients-         Communicates to Producer workflow across clients, tracking timelines and deliverables-         Assist with PPT polishing and template design RequirementsFluent in full Adobe SuiteSome experience in HTML, CSS,Knowledge in animation not required, but a plus3+ years agency experienceBachelor’s degree in Graphic Design or related fieldPractical knowledge in graphic design, printing procedures and photography techniquesA portfolio displaying proven design ability",Associate,Full-time,DesignArt/CreativeMarketing,Marketing and Advertising
2478156248,2021-03-26,Publicis Media Graphic,Designer,"Chicago, IL","Team BackgroundThe Global Marketing Design Studio is an elite and diverse creative team at Publicis Groupe, comprising of over 25 creatives in 5 major cities across the Globe: London, New York, Chicago, Seattle, and Singapore. We are responsible for assisting in key revenue opportunities, enhancing Groupe’s visual identity, and influencing creative environments by delivering best-in-class design solutions throughout the organization. We are a passionate-fun bunch of creatives who embrace our key to success, collaboration. DescriptionOur team is looking for a full-time Designer who will support Publicis Groupe’s Global Marketing practice in all aspects of their visual output. This role works with various teams in shaping and delivering design across digital, product, pitch presentations, branding as well as internal and external communications.This Designer is a highly motivated creative with a solution-based mindset, and a strong understanding of basic principles of design proven through application: Balance, Rhythm, Scale, Typography, Proportion, Color, Consistency et al. This individual plans concept by studying information and materials to quickly turn them into action. Hungry to refine and enhance their skillsets and design quality.ResponsibilitiesDesign various needs to enhance our brand’s visual identityDesign incredible PowerPoint templates for pitch presentations; rich in detail, animation, and other high-level design elementsDesign print and digital collateral for global, regional and local pitches and programsDesign experiential elements for global, regional and local pitches and programsMaintain Publicis’ graphic aesthetic and qualityExecute multiple projects at once, efficiently meeting deadlines·      Demonstrate a good understanding of the client’s needs to purpose creative solutions·      Follow creative direction, work in a group dynamic, and actively participate on any given project or team to which assignedQualifications2+ years of design experience (agency experience is preferred)Solutions-oriented; always has solutions in mind when managing upTeam player who understands time management and quick turnaround timelinesPortfolio that shows off great presentation work and/or layout designGreat skills in PowerPointGreat skills in Adobe Creative CloudImpeccable attention to detailStrong conceptual abilitySelf-starter and well-organizedPositive Attitude; receptive to creative direction and design feedbackBranding and logo design experienceKeynote design is a plusA passion for creativity - any additional creative outlet, hobby or passion is a plus.XD/Sketch design experience is a plusExperience with WordPress is a plusProficiency in HTML/CSS is a plus",Associate,Full-time,DesignArt/Creative,Marketing and Advertising
2464352132,2021-03-16,PepsiCo Graphic,Senior Designer,"Chicago, IL","Auto req ID: 231702BRJob DescriptionOur mission is to drive the innovation agendas for PepsiCo’s Global brands and businesses to help it grow and transform beyond its core. We drive innovation by defining, prototyping, learning and launching strategically aligned and commercially viable new products, services, retail experiences, brands and systems. We challenge and seek to change how PepsiCo works to drive true business innovation.We are a creatively driven team that leverages the power of Design Thinking to solve business problems that drive meaningful growth. We innovate with intent; to solve real problems, for real people, in the real world. We innovate to incite positive change – for people, brands, business and the world around us. We know what it takes to make ideas a reality and bring that into everything we do.You are…A self-starter with entrepreneurial spiritAdept at managing ambiguityResilient with lots of hustleEnergized by challengesAlways wanting to frame a better brief through the lens of trends, consumer & businessEmpathetic to consumers, customers and internal stakeholdersFluent in design and conversant on emerging food & nutrition trendsA storyteller, visually & verballyComfortable multitaskingPassionate about enacting change to improve the world and how we nourish ourselvesYou Will Get ToIn this role, you will report to the Sr. Brand Design Manager of Juice+ and collaborate with other Design & Innovation team members (both in Marketing and in Design organizations) to effectively develop and iterate new brand designs and design strategies and product/service/experience ideas.Gain more experience with Design Thinking & Research: You’ll participate in design research identifying trends, insights, tribes. You will prototype products, services & experiences and learn from people. You’ll analyze data to identify key insights. You will create insightful and compelling experiences based on those insights and prototypes.Continue to learn from experienced design thinking and innovation professionals and help evolve the thinking behind the tools and methodologies.In addition to the below, you should have multifaceted interests, but a deep skill in graphic design & communications.A keen interest in people, design & businessDraw on diverse perspectives to solve design problems and drive effective solutionsTranslate ideas into compelling visuals & graphics that communicate clearlyCollaborate closely with others to get feedback to improve and evolve workWork collaboratively to build relationships and get things done through formal and informal channelsQualifications/Requirements5+ years of experience, with a minimum of 4 years (recent) in a hands-on graphic design or strategy roleBS/MS Degree(s) in Communication Design, Experience Design, Brand Design, Graphic Design Expert at Adobe Creative Suite programsOffers of employment are contingent upon passing required prescreens, including, but not limited to, drug and alcohol screening and motor vehicle reportsMust be willing and able to travel 20% of the timePreferred QualificationsProven experience in developing strategic brands, Brand platforms/packaging and experiences.Keen eye for consumer behavior trends in addition to extraordinary design savvyCompelling presentation and proposal skills with experience presenting to management, key stakeholders, and/or cross-functional teammatesProven ability to multi-task, work in the ambiguous and dynamic work environment; is comfortable with risk and uncertaintyWorks well with others to deliver results; keeps others informed to avoid unnecessary surprisesRelocation Eligible: Eligible for Standard RelocationJob Type: RegularAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender IdentityOur Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO PolicyPlease view our Pay Transparency Statement",Mid-Senior level,Full-time,Design,Consumer GoodsFood & Beverages
2473248442,2021-03-23,Aisle Rocket Graphic,Senior Designer,"Chicago, IL","At Aisle Rocket, you’ll be part of a team that builds, tunes, and targets highly persuasive experiences—online, in-store, and beyond. Our Rocketeers have diverse talents, backgrounds, and expertise and are always looking for fearless individuals who can marry data-driven insights with creative ingenuity to put the right idea in front of the right customer at just the right time. If you approach every project with drive and wonder and refuse to settle until the work is at its absolute best—then you may be the next stellar addition to our Aisle Rocket team.We are seeking a full-time Senior Designer to be an integral part of our creative team, helping to strategically shape the way our client’s launch brands and products into the marketplace. Through an omnichannel approach that combines innovative creative, asset development, video, photo, storytelling, and more, you’ll bring products and brands to life in a way that drives conversion while deepening brand affinity. In this role you will be responsible for developing print and digital collateral that elevates our clients’ products over their competition. Our Senior Designers don’t just design, they provide thought leadership to ensure launch campaigns are successful in breaking through the marketing clutter.What We ValueCurious minds and an appetite for learningA strong point-of-view paired with a healthy dose of modestyFearless approach to brainstorming and innovationPassion for the craft and the ability to showcase ideas with the latest design / prototyping toolsA user-centric and strategic approachStrong interest in following and leveraging the latest design trends, technology and social contentJob ResponsibilitiesProvide innovative and beautiful visual design solutionsFlex multiple design muscles to achieve a cohesive launchStrategically game plan successful go-to-market strategiesSee projects through from concept to delivery, keeping key stakeholders in-tune to a project’s progressCollaborate with team members across disciplinesPresent and rationalize creative concepts Be a stickler for detail, creating to a high standard of output in a fast-paced environmentQualifications:Experience designing for print and digital mediaAbility to provide art direction for photo and video contentExperience in an agency-like environment with multiple disciplinesDemonstrated passion for digital craftsmanship and innovative thinkingRequirements:Online portfolio required5+ years of relevant experienceProficient in print software (Photoshop, Illustrator, InDesign, etc)Experience with digital software (XD, Sketch or Figma–preferred) Bachelor of Arts or Bachelor of Science degree in a related discipline or equivalent experience Aisle Rocket is proud to be an Equal Opportunity Employer. Aisle Rocket recruits qualified applicants without regard to race, color, religion, gender, age, ethnicity, national origin, protected veteran status, physical or mental disability, sexual orientation, genetic information, gender identity, marital status, pregnancy, citizenship status, or any other protected groups covered by federal, state or local laws.",Mid-Senior level,Full-time,DesignArt/CreativeInformation Technology,Marketing and Advertising
