Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2482041128,2021-03-30,Artcoustic Loudspeakers Graphic,Freelance Graphic Designer,Copenhagen Metropolitan Area,Graphic Designer & Content Producerhttps://bit.ly/3m3tXyK,Entry level,Part-time,DesignArt/CreativeInformation Technology,Consumer Electronics
2468535801,2021-03-19,NORNORM Graphic,Visual Designer,"Copenhagen, Capital Region, Denmark","Our vision for the workplace of the future is simple: integrate circularity into its foundation and demonstrate how it can benefit individuals, design, business practices and the environment. Our fully integrated service covers everything from initial workspace design, installation, continuously adapting layouts, to the repair and replacement of all our ""better-than-new"" pieces. All this to ensure a workspace continuously maximises impact without compromising on it's benefits for people, your business or the planet.   The role  As a visual designer with NORNORM you will become a vital part of the marketing and communications team, supporting them with visual design and layout in a number of channels ranging for web, PR and social media to print and events.  You will among other things have the following responsibilities:  Create and produce a wide range of graphics and layouts for various usage in e.g. social channels, web and press. Be the brand advocate, making sure brand guidelines are complied Support the marketing and communications team in the creative process    Qualifications  We imagine that you have + 3 years of experience within Visual Design. You are used to working in a fast paced environment and thrive with changing challenges. In addition, we value the following qualifications and competencies:  A strong portfolio of illustrations or other graphics Familiarity with design software and technologies (such as Adobe Suite, Figma, InDesign, Illustrator, Dreamweaver, Photoshop) A keen eye for aesthetics and details Excellent communication skills Ability to work methodically and meet deadlines Video editing skills (a plus) Degree in Design, Fine Arts or related field is a plus Experience working with social channels such as Instagram, Pinterest, Linkedin and Facebook is highly valued, as well as prior experience from any website CMS/editor.   If you are driven, determined and want to grow within an exciting startup, this Visual Designer role is for you. Come and join us!",Associate,Full-time,MarketingArt/CreativeDesign,Architecture & PlanningFurnitureDesign
2479829123,2021-03-27,BRØL Graphic,Digital Designer,"København, Capital Region, Denmark","Our circular beer labels need redesign.We have a concept and idea in mind, but really lack one who is creative and digitally design savvy to put everything together in a coherent, powerful and impactful label design.Sounds like a great gig for a month? Perhaps in need of an extra (sustainable) points for your design portfolio?",Entry level,Full-time,Information Technology,InternetConsumer GoodsReal Estate
2472870506,2021-03-23,IMPACT Commerce Graphic,Junior Visual Designer,"Copenhagen, Capital Region, Denmark","Er du kreativ? Og brænder du for at formidle budskaber visuelt? Så er det måske dig vi søger, som vores nye Junoir Visual Designer til vores kontor i København!OM JOBBETIMPACT skal i de kommende år udvide sin thought leader position til også at gælde Skandinavien og Europa. Til den mission har vi derfor brug for en Junior Visual Designer, som kan være med til at udvikle og drive vores visuelle profil og udtryk på tværs af vores website og SOME kanaler.Du vil blive en del af vores interne Marketingteam på fem personer. Derudover får du mulighed for sparring og vidensdeling med vores dygtige UX og Designteam, bestående af erfarne UX-, UI- og Digitale Designere.Som en del af vores team vil du få mulighed for at prøve kræfter med følgende:Tovholder og udvikling af IMPACT´s CVI og brand-designVideoproduktion Motion GraphicsDesign og produktion af vores visuelle udtryk på vores website og SOME kanalerDesign og opsætning af whitepapers, infographics, Omnichannel rapporter m.m.UX design, og opsætning af content på vores websiteDIN PROFILDu brænder for digital design og produktion, og elsker at sætte strøm til den gode fortælling ved hjælp af Design og Motion Graphics. Du skriver flydende på dansk. Du er kreativ og fyldt med gode ideer til hvordan vi kan formidle vores budskaber stærkt visuelt. Du synes det kunne være sjovt at gøre teknisk formidling, tal og casehistorier nemme at forstå, via din gode evner til at forvandle komplekst materiale til noget legende let. Måske du endda også synes at storytelling er spændende?Du er hjemmevant i Adobe After Effects, Photoshop og Sketch. Derudover forestiller vi os, at du er nyuddannet eller måske har 1-2 års erfaring. Du er sulten på at lære nyt, men du har det også godt med at nogle hverdage er ens, mens andre til gengæld er fuld af overraskelser og har rigtig meget fart på. Du får et job med kreativ frihed, og mulighed for at sætte dit eget præg på vores visuelle udtryk. Jobbet er en fultidsstilling.OM IMPACTIMPACT er et af de førende konsulenthuse indenfor digital transformation og commerce. Vi er over 200 dedikerede medarbejdere og samarbejder med nogle af Danmarks største brands og retailere såsom nemlig.com, Hummel, Bestseller, Montana og Samsøe Samsøe, samt B2B-Virksomheder som Chr. Hansen, Würth, Palsgaard og Lemvigh-Müller. Du bliver en del af et fagligt stærkt team, hvor vi spiller hinanden gode, udfordrer vanerne, har hinandens rygge, og hvor ingen er for fine til at hente kaffe til møder og tage del i både store og små opgaver.VI TILBYDERBranchens mest ambitiøse og dedikerede kollegaer, der udfordrer hinanden til at levere på højt niveauEn uformel, udfordrende og sjov hverdag med masser af god humorFede personalearrangementer, fællestræning, internationale oplægsholdere m.v.Fokus på både personlig og faglig udvikling: Certificeringer, seminarer, konferencer, coaching mv.Appetitvækkende frokostordningSundhedsforsikringFleksibilitetspolitikOg meget andet!KONTAKTSend din ansøgning og portfolio hurtigst muligt via linket, da vi vurderer ansøgningerne løbende.Har du spørgsmål, er du velkommen til at kontakte Talent Acquisition Specialist, Naja Couriol, 50905928Vi glæder os til at høre fra dig!",Associate,Full-time,DesignMarketingArt/Creative,Internet
2437939569,2021-03-11,WarnerMedia Graphic,Designer - Digital Creative Services,"Copenhagen, Capital Region, Denmark","Business Unit Overview HBO Max® is WarnerMedia’s direct-to-consumer platform, offering best in class quality entertainment. HBO Max features the greatest array of storytelling for all audiences from the iconic brands of HBO, Warner Bros., DC, Cartoon Network, Adult Swim, Turner Classic Movies and much more. The streaming platform initially launched in the United States in May 2020. This year, it will expand into Latin America and the HBO-branded streaming services in Europe (the Nordics, Spain, Central Europe, the Baltics and Portugal) will be upgraded to HBO Max. Please note this role can be based in Madrid OR Copenhagen OR BudapestThis is a great opportunity for a junior designer to join the Digital Creative Services Team The Team The Digital Creative Services team is a mix of professionals with expertise in branding and performance focused on the full-funnel customer experience and story telling. We’re looking for talented team members who understand the power of brand, visual identity and design as well as KPI’s, call-to-action and promotion within digital advertising channels.As Designer of Digital Creative Services for HBO Max EMEA, you will assist in driving the operational success for the creative and visual execution of WarnerMedia’s new streaming service, as well as the production and execution of growth marketing campaigns assets to promote it. The Designer will be focused on visual creative design and typography. This position works hands-on and collaboratively with innovative Sr. Graphic Designers, Motion graphic experts, Copywriters and Creative Project Managers to conceptualize and execute visual creative concepts for HBO Max EMEA. You will work on a customer-focused team designing high performance digital communications created to support Growth Marketing. The Daily Work on digital campaigns to craft high quality and compelling marketing materials for a variety of digital channels including CRM/e-mail, social media, display and programmatic, web and mobile landing pages, using various communication formats including static, rich media and videos.Responsible for end-to-end delivery of creative projects with an emphasis on pixel-perfect visual design, following appropriate typesets, creative alignment with concept idea and storyline.Actively participate in creative briefings, assist in the development and execution of creative concepts (both independently and with the team), ability to craft a story through your design work, determine solutions/alternatives when necessary and present to key business stakeholders.Ability to collaborate with all consumer facing touchpoints for growth marketing including but not limited to display, programmatic, social media, email, mobile, hbomax.com, experiential and in-app.Integrate robust design skills, including layout, typography, motion and design patterns, motion graphics and video into all marketing campaigns.Assist in developing resources, guidelines and templates that allow the growth marketing team to create and communicate effective creative executions.Produce and execute compelling brand stories that will be deployed across multiple channels including display, social media and CRM to support marketing efforts with the objective to raise brand awareness, drive engagement and increase subscriptions.Share knowledge of industry best practices with the team. The Essentials Solid experience of advanced-level design a content, CRM, performance or digital agency or in-house creative team with a strong focus on digital marketing.Highly skilled in visual digital creative design and typography. Visually stunning, cutting-edge portfolio not only showcasing a strong eye, but also strong storytelling and problem-solving abilities.Expertise in creating impactful digital marketing solutions using design language, creative executions, innovative formats and best design practices. Experience with CRM/e-mail, display banners, social media and mobile design.Understanding of HTML5, JavaScript & CSS.Ability to follow up on Q&A and implementation stages of creative campaigns.Robust experience with the Adobe creative suite and content management systems.Strong aptitude for building effective relationships in a fast-paced, constantly changing and deadline driven environment.Ability to effectively influence and communicate cross-functionally with all levels.A love of television and social media, as well as a passion for staying on top of industry trends.An energetic, positive and roll up your sleeve’s collaborator is a must.Expert knowledge working in motion graphic/video design with Adobe Creative CloudExcellent communication skills in English. The Nice To Haves Bachelor’s degree in Fine Arts and designer experience required.Knowledge of Google Campaign Manager and DoubleClick Studio Platforms is a plus.Any further European languages a plus.Experience working in video streaming, video production, community products or digital media When applying, please attach your up-to-date CV, PDF portfolio and/or link to your completed design and creative projects. Applications without PDF portfolio and/or link to your completed design projects will not be considered.Our people make WM the inspiring organisation it is today. At WarnerMedia, our commitment starts with you! As a company of storytellers and journalists we have a responsibility to make sure we have a collection of voices and people whose stories reflect and connect with the global audiences and communities we serve.WarnerMedia, and its suite of brands like Warner Bros., CNN, HBO Max, HBO, TNT, TBS, Cartoon Network, Adult Swim, Boomerang and many more, have long been committed to equity and inclusion as moral and business imperatives. It is essential that our content and creative partners reflect the diversity of our society and the world around us. Together with other production companies, networks, guilds, unions, talent agencies and others in the industry, WarnerMedia is committed to greater inclusion of people of color, women, the LGBTQ community, those with disabilities and other underrepresented groups in greater numbers both in front of and behind the cameraThere really has never been a better and more exciting time to join WarnerMedia. For more information on how to join our company and our commitment to diversity and inclusion, please click here .",Mid-Senior level,Full-time,Art/CreativeDistributionDesign,Consumer GoodsEntertainmentOnline Media
2445756914,2021-03-19,Dept Agency Graphic,Digital Designer,"Copenhagen, Capital Region, Denmark","For our office in Copenhagen, we are looking for a passionate Digital Designer, who will be part of an agency (Sorthvid) that recently became part of one of the fastest moving agencies in the world (Dept).As Digital Designer at Sorthvid/Dept you’ll lift the digital touch-points of our clients to the next level. You inspire clients and colleagues with your style and vision. You understand how fantastic digital design fits within the commercial boundaries of brands and you challenge them when necessary. Your qualities add value in a wide range of client briefs, from app to webshop and from museum to corporate site.Our agency still feels small and intimate and you will be part of a vibrant environment with clever minds that work for a variety of large global and Danish clients like Louisiana, Muuto, Magasin, Pandora, Ganni, Royal Copenhagen, Simple Feast and Gant. We are eager to hire the most talented experts in the game but we are also looking for a perfect fit. Someone who is eager to learn, inspires, takes the stage and someone who will toast to a successful week with us.YOU:Your work will make our jaws drop.You have some working experience ( if it's from a similar agency or as a freelancer it's a plus) You are a strong communicator, visually and verbally.You can demonstrate your passion for design through a rich and diverse portfolio with a focus on digital design (for websites & apps).Have experience with pitching and motion (that’s a big plus)You speak and write English fluently.WE OFFER: A job in a well-established, but still very entrepreneurial company with fast-growing teamsTo work with major international clients An open, dynamic and informal company culturePossibilities to do what you do best and to develop your skills and career even further with extensive internal knowledge sharing and upskillingA healthy, varied and delicious lunchA lot of fun social events such as Friday bars, company parties etc.A workplace in our new awesome office at Christianshavn.WE’D LOVE TO HEAR FROM YOU.If you want to join Dept, please send us your portfolio and your resume as soon as possible. We process applications on an ongoing basis, and we close the vacancy once we have found the right candidates. So the sooner you apply, the better your options are.If you want to know more about the position, please don't hesitate to contact our design lead Rasmus Keller Jansen at [email protected] WHO ARE WE?Hi, we are Dept – a digital agency for creativity, technology and data. We help our clients build and accelerate their digital business by creating leading digital products, services and marketing. Our team of over 1,500 experienced thinkers & makers spans 13 countries across Europe and the Americas. We proudly work for global brands like JYSK, Samsung, Google, Bose, Nivea, Bugaboo, Zalando, Netflix and more. https://www.deptagency.com/en-dk/Share the love",Entry level,Full-time,Information Technology,Internet
2459070940,2021-03-12,Barberklingen Graphic,Digital / Visual Designer,"Copenhagen, Capital Region, Denmark","Vi søger en stjerne Visual Designer, som kan blive en del af vores team og være med til at turbo-charge vores vækst Vi er på en rejse hvor vi skal gå fra 100.000 medlemmer til 500.000 i HELE Europa de næste 4 år.Ok, så hvem er i?Vi er to prisvindende abonnementsvirksomheder under ét tag –  Kaffedrengen.dk  og  Barberklingen.dk med kontorer i Hvidovre (DK) og Rotterdam (NL). Kåret som Danmarks bedste E-handelsvirksomhed samt Danmarks Bedste Abonnement af Dansk Erhverv (tidl. FDIH).Vi gør en dyd i at være de bedste til, hvad vi gør og driver selv alt in-house som lager, udvikling, video, grafik, growth, kundeservice og paid social. Og helt ærligt - hvor fedt er det ikke også at kunne skyde content når vi vil og af de produkter vi rent faktisk pakker og leverer til vores kunder?! Det er passion og kærlighed.Lige nu vil du få knap 20 kollegaer men ambitionen er at fordoble dette antal gennem de næste 2 år. Så dont miss out, hvis du er the one....Fedt, det lyder som noget for mig – men hvad er mit job?Vi elsker hvad vi laver! Faktisk så meget, at vi vil fortælle hele VERDENEN om vores historie og dele ud af vores rejse. Du vil være med til at fortælle historien, hjælpe os med at styrke vores brand med flot visuelt design, men også være med til at øge antallet af medlemmer - samt pleje de eksisterende medlemmer med knivskarpe designs til vores tryk og digitale kommunikation. Du skal være klar på konstant fornyelse og learning.Og hey - du vil blive involveret i vores split tests af landingssider, annoncering mv. og du vil se outputtet og tal bag dit artwork efter release - meget hands on, what's not to like? ✌️Hvem er du så?4+ års erfaring med tilsvarende stilling indenfor web/grafisk design.  Knivskarp indenfor Photoshop, Illustrator og InDesign (Sketch / Figma er et plus!) Stærke skills indenfor visual design inkl. layout, typografi og erfaring med at designe strategisk for at følge vores brand.  Opsat på den mindste detalje og elske at alt er aligned perfekt.  Erfaring med at arbejde direkte med udviklere og levere assets samt mockups.  Stærke kommunikations og organiserings kompetencer, med hensigt på at succesfuldt arbejde på forskellige projekter, samtidigt at sikre et velorganiseret asset bibliotek.  Trives i et travlt og produktivt miljø med kort fra idé til release  Opdateret med nuværende design trends, værktøjer og teknologier.  Bottom line - vi søger en Visiual Designer med kæmpe passion for at skabe verdensklasse grafik, som får shit done og har et drive for at bidrage til vores spændende iværksættereventyr! Du ELSKER mandage!Hvad kan jeg forvente af jer? Muligvis en af Danmarks (måske) hotteste e-commerce scale ups.  Høj energi, frihed under ansvar og løbende læring.  Kollegaer og teams der er de bedste indenfor hvert deres felt.  En fuldtidsstilling med fedt kontor i Hvidovre.  Betalt frokost, office snacks samt den bedste kaffe & te.  Hardware of choice.  Reference til vores CEO, Michael Tobiassen Hansen. Opstart hurtigst muligt. Jobsamtaler holdes løbende. Løn efter kvalifikationer.",Entry level,Full-time,Information Technology,Retail
2475641054,2021-03-21,TwentyThree Graphic,Digital Graphic Designer,"København, Capital Region, Denmark","HI! WE'RE TWENTYTHREE. WE LOVE VIDEO, AND BEND OVER BACKWARDS TO BUILD SOME MARVELLOUS DIGITAL BITS AND BOBS THAT ALLOW ALL OF US TO SHARE THE THINGS WE DO BEST.At our new design studio, we strive to create a great and diverse work environment where we think and play, before we design and build.When you join the Design team at TwentyThree, you’ll do your best work when collaborating with fellow designers, strategists, writers, UX’ers and various internal teams. You’ll be the force behind our brand, and bring everything from web design, marketing collateral, print designs and all the way to projects like our mobile video-editing-lab and San Francisco pop-up store, to life.You should totally come work with us!What you’ll doAs Digital Graphic Designer, you will be part of all activities connected to:Finalisation of digital campaigns for Social media and assets for our digital platform, paid media, and email.Ensuring that all technical requirements for projects are met.Ensuring that design and communication are aligned with our Brand Visual Identity and communication strategy.Translate our internal data and insights into effective design solutions.Be a constructive member of the design team, and help bring cool and weird ideas to life.About YouPreferably you have a degree in digital design or the equivalent proven experience, e.g. Multimedia Designer, Danish School of Media and Journalism, Interactive Design or similar.Minimum 3 years’ experience as a graphic designer with an online focusExperience from an advertising agency, a digital agency, a fashion/lifestyle brand or another creative online businessKnow your ins-and-outs of the current top design software.Familiarity with social media platforms.It’s a plus if you’re acquainted with responsive design (HTML5 and CSS3) and motion design.What we bringDefine a new studio. You get to be part of shaping our brand new design team.Central Copenhagen office. Our nice office is located right by the lakes, 3 minutes away from the train and Metro.It’s just a job. The majority of people work 9:30 - 16:30, but it's normal to flex time or shift it to, for example, fit your kids schedule.Hands-on or remote. Get close to where it’s happening, or create magic from your local coffee shop.Food too! Lunch included (also vegetarian/vegan options), and all the drinks you can manage.Paid parental leave. It’s encouraged and kids are, after all, what makes the world go round.Competitive salary. A fair salary structure, where everyone should feel treated OK.WhereWe prefer to collaborate at the Copenhagen studio, but it all comes down to the work you do, and not where you do it.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
2442213236,2021-02-28,MOEBE Graphic,Graphic Designer,"København, Capital Region, Denmark","We are on the hunt for a talented graphic designer to join our team.At MOEBE we care about good design, we care about what we make and how we make it. And we care about who you are and how we work together. We need the best team possible, to be the best brand possible. Come join us.What You Will Be DoingYou will be coming in as a core member of our small design team as the one and only graphic designer. This would mean that you will be responsible for not only maintaining but also developing our entire graphical visual identity in all areas where we have a visual presence. This would include our website, ads, catalogs, packaging and graphics for social media.We would expect you to be able to create much of the content yourself and direct and outsource work when the project requires it. You should be confident, self motivated and have a wish to help push us not to just be good, but great.Skills And ExperienceExceptional working knowledge of Adobe Photoshop, Illustrator and InDesign.Strong attention to detail and great communication skills.Ability to handle multiple projects and prioritise different tasks depending on what resources are available to meet a range of potentially conflicting deadlines.Self motivated and able to take responsibility.Knowledge of shopify or web development via similar platforms would be a significant plus.What We Can OfferA central role in an ambitious design studio with great international growth.Great colleagues ( if we do say so ourselves )and an international working environment.Central location in Copenhagen.A good work life balance.Competitive salary.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingDesignGraphic Design
2473544922,2021-03-23,Egmont Graphic,Art Director,"Copenhagen, Capital Region, Denmark","Art DirectorEr du en ørn til design og visuel kommunikation? Så er du måske vores nye Art Director!Lindhardt & Ringhof Uddannelse søger ny Art Director. Du er kreativ. Selvfølgelig! Du brænder for design og konceptudvikling. Selvfølgelig! Men du formår også at drive og udvikle vores visuelle arbejde med et solidt overblik, en god portion lydhørhed og et fantastisk engagement.Konceptudvikling, branding, magasiner, kampagner og meget mereDu kommer til at arbejde med en bred palette af projekter og opgaver. Lige fra kampagneudvikling, cvi og brandudvikling til design af magasiner, kampagnewebsite og - ja, også småleverancer som banner til nyhedsbreve, annoncer, plakater og meget mere. Det giver sig selv, at du mestrer mange forskellige designdiscipliner – både online og offline. Du elsker at tænke store tanker, men er ikke for fin til at få beskidte hænder. Og så er du kongen eller dronningen af Adobe-pakken samt Sketch – og er ikke bange for Word og PowerPoint. En ting er sikkert - du kommer definitivt ikke til at designe bøger. Bare så du ikke bliver skuffet.En struktureret æstetiker med et kreativt hoved Vi arbejder med kommunikation og marketing, så du har et naturligt blik for kommunikation. Du er æstetiker til fingerspidserne, og kvalitetsbevidst, men vigtigst er, at du laver design, der virker. Kreativitet kommer naturligt til dig, og du ser det som en udfordring at tænke ud af boksen. Du kommer til at tegne de store linjer i vores visuelle arbejde med Lindhardt & Ringhof Uddannelses forskellige brands. Derfor skal du selvstændigt kunne drive udviklingsarbejdet med overblik, lydhørhed og gode samarbejdsevner. Det er helt essentielt, at du er god til at skabe relationer på kryds og tværs i organisation – og få folk med på dine ideer. Som naturligvis er forankret i din stærke faglighed. Du har sandsynligvis fem-ti års erfaring – også fra bureau.Lidt om osDu bliver en del af marketingteamet hos Lindhardt & Ringhof Uddannelse. Vi er pt. 15 fastansatte og en god blanding af kommunikationskonsulenter, SoMe-eksperter, projektledere, dataeksperter, designere og meget mere. Det går stærkt, ideerne er mange og ambitionsniveauet højt. Vi udvikler og producerer bl.a. content marketing, datadrevet marketing, kampagner, positionering af undervisningsforlagene og meget mere. Vi arbejder sammen på kryds og tværs i afdelingen og er i tæt dialog med de enkelte forretningsområder og redaktioner, udviklingsafdelingen og alle de andre gode kollegaer i huset.Kan du kende dig selv? Så skynd dig at søge jobbet! Send os din ansøgning, dit CV og et par eksempler på dit arbejde og søg jobbet via link her på siden. Gerne allerede i dag og senest den 13. april. Vi kalder løbende ansøgere til samtale og kan lukke for tilgangen af ansøgere før ansøgningsfristen.Har du spørgsmål, så ring til Marketingchef Cirkeline Buron på 24672397. Vi glæder os til lære dig at kende.Om Lindhardt og Ringhof UddannelseLindhardt og Ringhof Uddannelse (LRU) er en del af Lindhardt og Ringhof Forlag A/S, der er ejet af Egmont.LRU er: Alinea, der er Danmarks største forlag inden for læremidler til den danske grundskole herunder Danmarks mest udbredte digitale matematikportal, MatematikFessor. Akademisk Forlag, der udgiver dansk og oversat faglitteratur, hovedsageligt henvendt til professionelle og til studerende på de mellemlange uddannelser, Alfabeta, der udgiver læremidler til dansk som andetsprog. Dertil også delejerskab af Praxis Forlag A/S, som udgiver læremidler til ungdomsuddannelserne og GoTutor, som tilbyder lektiehjælp til børn og unge.Vi bor i Egmonthuset midt i København og har et attraktivt og fleksibelt arbejdsmiljø med gode udviklingsmuligheder. Vi tilbyder en løn- og pensionspakke, som svarer til dine kvalifikationer, samt sundhedsforsikring, frokostordning m.m.Hvis du har spørgsmål til stillingen, er du velkommen til at kontakte: Marketingchef Cirkeline Buron, 24672397.ArbejdsadresseVognmagergade 11Copenhagen K, DK, 1148DenmarkAnsøgningsfristen er 4/13/2021, og vi afholder samtaler løbende. Du bedes venligst benytte ""Apply Now"" knappen her på siden for at komme i betragtning til jobbet. Vi modtager ikke ansøgninger på e-mail.Om AlineaAlinea udgiver læremidler til folkeskolen. Alinea er en del af forlagshuset Lindhardt & Ringhof. Læs mere om os påForlagshuset Lindhardt og Ringhof består af forlagene Lindhardt og Ringhof og Carlsen, undervisningsforlagene Alinea, Akademisk Forlag og Alfabeta samt det internationale, digitale forlag Saga, der siden 2014 har skabt Danmarks største katalog af e- og lydbøger.Forlagshuset er ejet af Egmont, der også står bag virksomheder som Nordisk Film, Story House Egmont og TV 2 i Norge. Hele Egmont er en fond. Det betyder, at overskuddet går til udvikling af vores medier samt til at hjælpe udsatte børn og unge og støtte filmtalenter.We bring stories to life.",Director,Full-time,DesignArt/CreativeInformation Technology,Online MediaPublishingEntertainment
