Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2436739086,2021-03-26,Kallan &amp;amp;amp; Co Graphic,Senior Brand Designer,"Helsinki, Southern Finland, Finland","Kallan & Co Helsinki studio is looking for an experienced Senior Brand Designer to conceptualise and design brand identities for a broad range of clients. As a Senior Brand Designer you will be doing hands-on design work and leading your project team of designers to create new brands and renew existing ones. You have ambitions to create something that is always raising the bar and you are never satisfied with mediocre results. It’s important for you to constantly get better at your craft, and to help others succeed.You will be working as part of the Helsinki studio team and collaborate closely with other Kallan & Co design studios in Australia and New Zealand.This is a full-time role that will be based in Helsinki, Finland or a remote-location.What we offer for you:Kallan & Co is a design studio working with visionary companies and people to create the brands, products and user experiences of the future. With Kallan & Co, you will work on international projects as part of an international team of brand and UX designers, strategists and a wide network of freelancers. We are one team, spread over multiple time-zones. Our broad reach gives us wider cultural perspectives and a unique approach to each and every project. Our working methods are unique, based on high-fidelity prototyping and collaboration.  Kallan & Co is a digital-first company, with a global track record of creating digital brands and products. Our client base ranges from small boutique start-ups to global stock-listed companies around the globe. Our people tend to enjoy working at Kallan & Co and our staff come here to stay. Our culture is easy-going and we have a low level of hierarchy. We all share a love for nature, and you will find most of the Kallan team running, biking, skiing or surfing in their freetime. Our longing for freedom also makes us value work-life balance.When the pandemic ends, we have a beautiful new office space in the design district of Helsinki.What we expect from you:A solid, compelling portfolio showing your brand and identity design work and/or related work references5+ years of related professional experienceStrong brand/identity design and typographic skills, craftsmanship level of attention to the details, and understanding of design trendsAbility to effectively communicate and present conceptual ideas and design rationaleUnderstanding of digital design, including web design and UI designA highly collaborative, humble nature Curiosity and drive to create new things with new methodsHighly motivated and proactive attitude and work ethicIf you will be working fully remote, you should be able to work at least some hours during the normal working hours in Finland (UTC+2)Bonus skills we appreciate:Figma knowledgeUI and UX design capabilitiesMotion graphics capabilitiesExperience from design systemsIllustration or 3D skillsFor further information please contact Hannu Koho, hannu@kallan.co.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Design
2476620598,2021-03-28,Oivan Graphic,UI Designer,"Helsinki, Southern Finland, Finland","Oivan is looking for a mid-level UX/UI Designer with Arabic language skills to join our Helsinki team. You'll develop usable and appealing solutions to our customers’ and end users’ problems. You understand how to turn customer insights, business requirements, and technical capabilities into customer journeys, user flows, wireframes, interactive prototypes, UI mockups, and detailed UI assets. You are familiar with quantitative and qualitative user research and with agile software development. You have tools in your UX/UI design toolbox ranging from card sorting to Figma, Jira, and Miro.What you will do:Translate customers’ business requirements and user insights into user stories, user flows, wireframes, prototypes, and UI assets.Work with your fellow designers, developers, project managers, product owners, and users.Identify design problems and develop usable and appealing design solutions.Design for mobile and web, for international and Finnish users, for left-to-right and right-to-left readers.Present your work-in-progress to your fellow designers for design critique and support them in their design work.Test and validate your designs with end users.Contribute to developing our ways of working whenever you see room for improvement.Learn and have fun while working with an international team, for a multinational and multicultural company.The home base for the position is in Helsinki, Finland.What you should have3+ years of product/mobile/web UX/UI design experience, either in a consultancy or in-house teamTeamwork skills, ranging from fellow designers to developers, businesspeople, and clients.Good understanding of user-centered design, user research, prototyping, rapid user testing, accessibility, and working together with developers.Arabic language skills — this is necessary in this position!Our official language is English, and fluency is necessary.Ability to understand the big picture and focus on the design details.Experience with Figma, Sketch, Jira, and responsive design, with HTML5, CSS, and JavaScript a plus.A curious mindA UX/UI design work portfolioKnowledge of cryptocurrencies or information security is a plus.",Entry level,Full-time,Information Technology,Computer Software
2469936430,2021-03-20,Happysignals Graphic,Junior Marketing Designer,"Helsinki, Southern Finland, Finland","At HappySignals, you'll have the opportunity to grow a strong and exciting career, helping you become the best version of yourself. Our world leading IT Experience SaaS product focuses on improving the lives of employees in large organisations - and we like to practice what we preach. Your diversity is highly appreciated and we warmly welcome interesting and unique individuals to question the status quo and push the boundaries of what can be achieved in an organisation. As we are a growing company, we have plenty of space for new ideas, ways of working and success. PLUS, we just moved to an amazing new office on Aleksanterinkatu, Helsinki (Remote work is also possible).We are looking for a Junior Marketing Designer to join our bubbly marketing team, and help us continue to deliver some great content across various channels. In this role, you will be working particularly close with our Design Lead and Content Marketing Manager, creating new marketing material in the form of graphics, videos and podcasts.Does this sound like you? What are you waiting for get applying!What are you responsible for at HappySignals?Designing and producing marketing assets for different channels; banners, social ads, reports, and email campaigns Assisting in creating new designs for our website, presentations and sales collateral Following design guidelines for creating materials, in order to keep brand continuity Editing podcasts and webinars, in both audio and visual format, as well as uploading final versions to Anchor.fm and YouTube Other marketing related tasksHow to succeed in this role?Good visual eye, attention for details and the ability to create scalable design across platforms Background in brand, digital or graphic design An interest in design, video and audio production, as well as marketing Ability to be creative whilst following graphic guidelines Comfortable in using Adobe Creative Cloud (Photoshop, Illustrator, Indesign, Premiere Pro, Audition) Proficiency in using social media and well rounded understanding of the different platforms, particularly LinkedIn, Facebook, Twitter and Youtube Must be fluent in English (Finnish is not necessary for this role)You should also have/beA portfolio/evidence of work that you're proud of that demonstrates your skills Skills in Video / Audio editing seen as an advantage Camera and lighting skills seen as an advantage Experience in using Figma is seen as an advantage Ability to work well in a team as well as independently on certain projects Organised ways of working Quick learnerWhat We OfferWe offer great opportunities for you to grow and develop your personal skills and experience with an innovative IT product. For our growth journey to be a success, we need willing and determined people to commit and put their heart into to the growth story of HappySignals. In return, you get a competitive package of benefits, bunch of great colleagues, open and equal environment. We have a supportive team who encourage each other, respects you on your bad hair day and enjoy the occasional Friday social.At HappySignals we want everybody to feel part of the team, no matter how big mountains we are climbing. We are still a start-up company - we try, we fail, we learn and succeed together. We want to succeed all together, without forgetting having fun the same time. For our employees, we want HappySignals to be the greatest place to work.We are ready to hire as soon as we find the right person matching the position and our company. This is a full-time role based in Helsinki, Finland.If you are from outside of EU, a valid work permit is needed.Any questions regarding this role, please contact HR Specialist Suvi Jalkanen, who will be happy to answer your questions. You can reach Suvi by e-mail suvi.jalkanen(at)happysignals.com or by phone +******** .HappySignals is an equal opportunity employer. We celebrate diversity in our workplace, and all qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or other legally protected characteristics.About HappySignalsHappySignals is an Employee Experience Management platform for IT that makes experience data visible, understandable, and connected to operational data in IT, enabling enterprises to change their culture to be more open, outcome-focused, and data-driven.Established in 2014 and based in Helsinki, Finland, HappySignals discovers the experiences of over 2 million employees in 130 countries. Our customers have been able to make employees happier and increase productivity by 26% on average. For more information, visit www.happysignals.com.Job originally posted on GrabJobs. If you need to report this job please contact GrabJobs",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and Advertising
2471654686,2021-02-25,Nitor Graphic,Digital Designer,"Helsinki, Uusimaa, Finland","DescriptionWe are looking for designers in Helsinki with a passion for user centered design to join us in our quest to create better digital services for everyone.As a designer, you will work in collaboration with a team of developers, our clients and their customers. It is a demanding role because on top of hands-on design skills you need to be a good listener and a great communicator. But you also get a unique opportunity to design valuable services used by customers all over the Nordics.You understand the importance of a functioning team and agile ways of working. You seek to find answers and like to get things done, and you are also brave enough to defend the best solution. As consultants, we work with a wide spectrum of clients and a curiosity to learn will definitely help you find your footing around different industries. Finally, we look for empathy in our designers. We believe that’s the key ingredient in designing better services.How Is It To Work At NitorNitor is the home for more than 200 professionals in Helsinki and Stockholm, who are leading experts in their field of software development, design, lean-agile transformation, business strategy and data science.Our Design team consists of digital designers with different backgrounds and experience in a variety of domains from service and interaction design to visual design and design systems. As a team we get together to share our work and get feedback from each other. We also attend various conferences and trainings to broaden our design skills.Annika Madejska has worked as a Digital Designer at Nitor since 2017.”I really enjoy the challenges I get in my daily job and I constantly get to push my boundaries. I get to frame the problem, and see the solution grow and ship to the customers. I also really appreciate working with all the creative and talented people of Nitor.”Jesse Enqvist joined the team to strengthen our service design chops in 2018.“As a designer in an agile development team, I’m bringing the service design knowledge and methods that help us to openly discuss the challenges we are solving. Taking ownership of fine tuning the processes and improving the ways of working is what I excel in, and where I also see myself making a real impact.”If you’re interested in strengthening our design team and become part of a company where a designer's work is making a difference, send us your CV and show off your creative skills in your portfolio.Nitor wants to offer the best place to work for its employees and enable them to develop their expertise further. At Nitor, it’s you and your unique skills and personal interest that defines the direction of your career. Challenging projects, inherent curiosity and peer-support motivate you on the path of continuous learning. You can attend exciting trainings, events, and conferences at Nitor’s expense. You may also use a part of your working hours on studying new things, developing Nitor as an organization, and pro-bono projects that inspire you, for example.We don’t have a pre-destined career path for you. On the contrary, we invite you to explore your interests free from unnecessary hierarchy and bureaucracy. Nitor, who has been selected among the greatest places to work in Finland and Europe several years in a row, is dedicated to constantly developing its company culture together. At Nitor, your voice will be heard.",Entry level,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareManagement Consulting
2469874732,2021-03-20,Dream Broker Graphic,Visual Designer (Art & Design),"Helsinki, Southern Finland, Finland","Dream Broker is the leading online video software company in the Nordics. Our vision is to revolutionise communication in a fun, natural and productive way with videos. Our online video software, Dream Broker Studio, is used already by over 1000 business customers in their communication, leadership and learning. Today, we are a team of over 150 professionals with a focus on rapid global expansion via Central and Western Europe.We are looking for a  Visual Designer  to join our Art & Design team in Helsinki office.You will be working in a horizontal position in the Art & Design team. Your role will be involved in creating high-quality final visual work that represents the brand of Dream Broker as well as supporting the product development team in building a scalable design system.At Dream Broker we aim high. We strive towards big impact and long-term effect on the market, and we hope that ambitious goals drive your motivation as well. We believe that combining exceptional, elegant and simple design with solid engineering provides the foundation for world-changing innovation.Your Role And Responsibilities Work closely with Marketing team to build consistent Dream Broker Brand, includes the brand book, website updates, and product updates.  Support product development team to build a scalable design system, includes product branding, product UI component library  Demonstrate research finding with a solid visual presentation We Expect You To Have Strong visual skills and knowledge of user interface design  Experience in brand and UI design across multiple platforms (web, desktop, mobile) A portfolio showcasing relevant work  Ability to manage and work on multiple projects and stakeholders  Eagerness to seek opportunities to increase knowledge, skills, and abilities  Good verbal and written communication skills in English We Also Value HTML/CSS skills  Animation and/or video skills  Motion design skills  Copywriting skills We offer you a chance to actively shape the future of enterprise communication with online video. Our online video platforms are being intensively developed and through your passion towards product craft, you have the possibility to inspire and motivate the whole team with exciting product development challenges as well as celebrate milestones and on-schedule shipments.We are ready to hire as soon as we find the right person matching the position and our company. This is a full-time role based in Salmisaari, Helsinki.Please apply  by submitting your application letter and CV (in English) to ******** with the title “ Visual Designer (Art & Design)”.For further information, please contact Jue Feng, Head of Art and Design (jue.feng(a)dreambroker.fi, +******** ).Dream Broker is a Finnish online video software company and is one of the fastest growing technology companies in Europe. The vision is to revolutionize communication in a fun, natural and productive way, with videos. Dream Broker has over 1000 loyal business customers and over 150 employees in the Nordics, The Netherlands and Germany. Dream Broker has been awarded multiple times for its innovativeness and growth. Dream Broker won Deloitte Fast 50 Finland competition in 2012. In 2013, Dream Broker held the 3rd position, and was selected and recognized as a Red Herring Top 100 Europe company. In 2013, Dream Broker was selected “Growth Company of the Year” by Tietoviikko, an authoritative IT newspaper in Finland. And in 2016 in its video distribution services review, Tietoviikko ranked Dream Broker’s online video software as best in its own class, nominating it with a highest score. During the years 2016, 2017 and 2018, Dream Broker has been included among the Top 250 IT companies in Finland. Dream Broker has offices in Helsinki, Turku, Stockholm, Copenhagen, Oslo, Amsterdam, The Hague, Berlin and Frankfurt. Dream Broker is one of the rarest providers that can offer truly cyber secure video communication software. Furthermore, Dream Broker is independent and under private ownership since its establishment in 2007. Dream Broker highlights sustainability, social responsibility and business ethics in all its operations.",Entry level,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareInternet
2457141781,2021-03-19,OnePlus Graphic,Senior Graphic Designer,"Helsinki, Southern Finland, Finland","With our extensive experience in product and design and obsessive attention to detail, we felt it was necessary to make a phone much better than what’s currently available. OnePlus builds beautifully designed devices with the highest quality, because our users would never settle for anything else. Internal role:·      Brand guardian for reviewing creative from the design team·      Manage the hiring of freelance designers and resourcing the team for launch. Managing the requests and design workloads·      Key contact for HQ Design team and representative of EU in the global groups Responsibilities:·      Create offline and online marketing materials, including all digital, press releases, emails, banners, presentations and social media. ·      Designing and developing creative visual content to support marketing and advertising activities of the Company. ·      Assist the company’s international design team to localize artwork for packaging, corporate brochures/leaflets, posters, banners, logos etc. ·      Ensuring all local creative content and design is consistent across all marketing, presentation and web assets. ·      Assist the marketing and design team in assets managing and resourcing the team.  Qualification:·      Bachelor’s degree or higher qualification in design-based subject ·      Demonstrated ability taking campaigns from conception to creation of assets ·      Proficient in Adobe Photoshop, Adobe Illustrator and In-Design ·      Clear and effective communication skills in articulating design concepts and rationales ·      Excellent sense of aesthetic design and a keen eye for typography, visual hierarchy and composition ·      An eye for detail, drive to take initiative, desire to help people and make them smile in an environment of change, complexity and fun. ·      Able to work in a fast-paced environment Every candidate must provide an online portfolio of relevant work samples.",Mid-Senior level,Full-time,DesignArt/Creative,Consumer ElectronicsTelecommunications
2468342488,2021-03-19,Bitfactor Oy Graphic,User Experience Designer,"Helsinki, Southern Finland, Finland","Me Bitfactorilla etsimme ammattitaitoisia ihmisiä, jotka ajattelevat suurella sydämellä, mutta toimivat jalat maassa. Haluamme, että jokainen saa tehdä työtä, jossa voi nähdä oman työpanoksensa merkityksen. Meillä kaikilla on paitsi vapaus, myös vastuu tehdä omaan työhömme liittyviä päätöksiä. Emme silti jätä ketään yksin, vaan työskentelemme yhdessä, osana tiimiä.Bitfactor on olemassa siksi, ettämeillä on työpaikka, jossa kohtelemme toisiamme yhdenvertaisesti ja kunnioittavasti.meillä on tilaa kehittyä ja meillä on mielekkäitä ja merkityksellisiä työtehtäviä.voimme tehdä työmme hyvin. Selvitämme yhdessä asiakkaan kanssa, mitä he pohjimmiltaan tarvitsevat ja keskitymme tekemään niitä asioita.Etsimme joukkoomme Senior UX Designeria sekä Helsinkiin, että Ouluun.Meillä suunnittelet soljuvia ja helppokäyttöisiä digitaalisia palveluita ja niihin erinomaisia käyttökokemuksia. Teet tiivistä yhteistyötä niin asiakkaiden kuin kehittäjien kanssa. Koska projektit ja asiakkaiden toimialat vaihtelevat, pääset todella haastamaan itseäsi ja suunnitteluosaamistasi. Tulet ottamaan vastuuta projektien sujumisesta sekä ratkaisemaan asiakkaiden palveluihin tai liiketoimintaan liittyviä haasteita muotoilun keinoin. Odotamme sinultaVahvaa käyttäjäymmärrystä sekä käyttökokemussuunnittelun osaamistaymmärrät visuaalisen kommunikoinnin tärkeyden ja pystyt tarvittaessa tuottamaan graafisesti laadukasta materiaaliamodernien designtyökalujen tuntemusta (Figma, Sketch, Invision, Adobe CC yms.)kykyä omaksua tietoa nopeasti ja vastata projektin haasteisiin luomalla käyttäjäystävällisiä palvelukokemuksiahyviä yhteistyö- ja tiimityöskentelytaitojaKatsomme eduksimodernien projektinhallintatyökalujen ja -metodien tuntemuspalvelumuotoilun menetelmien tuntemusTarjoamme:Mielenkiintoiset projektit, joissa pääset valitsemaan sinulle sopivat työskentelytavat. Saat rohkeasti kokeilla uusia menetelmiä ja tekniikoita. Työssä pääset haastamaan itseäsi ja kehittymään ammatillisesti. Meiltä löytyy laaja kirjo designin eri osa-alueen osaajia, joten saat tiimiltä aina tarvitsemaasi apua ja tukea.",Mid-Senior level,Full-time,Information TechnologyConsultingEngineering,Computer SoftwareInformation ServicesInformation Technology and Services
2454889370,2021-03-26,Hepacon Oy Graphic,LVI-suunnittelija,"Helsinki, Southern Finland, Finland","Toimintamme kasvaessa haemme nyt LVI-SUUNNITTELIJAA Helsinkiin.  Meillä pääset työskentelemään monipuolisten hankkeiden parissa. Tehtäväsi pitävät sisällään vaativienkin kohteiden LVI-suunnittelua ja muita asiantuntijatehtäviä sekä mahdollisesti myös LVI-valvontaa. Voit halutessasi tutustua LVI-suunnittelun esimerkkireferenssikohteisiimme http://www.hepacon.fi/palvelut/lvi-suunnittelu/.  Mitä toivomme sinulta?  Suunnittelutehtävissä odotamme sinulta LVI-insinöörin tai diplomi-insinöörin tutkintoa sekä yli kahden vuoden kokemusta LVI-suunnittelusta. Menestyäksesi tehtävässä, osaat työskennellä osana suunnittelutiimiä, jossa jatkuvasti opitaan toisilta. Olet työskentelyotteeltasi huolellinen, joustava ja tunnollinen. Käytät työssäsi sujuvasti AutoCAD- ja MagiCAD-ohjelmia sekä sinulta löytyy myös mallinnusosaamista. Tehtävänkuvaasi voidaan tarkentaa oman kokemuksesi ja osaamisesi perusteella.  Mitä me Hepaconilla tarjoamme sinulle?  Hepacon on työntekijöidensä näköinen ja meillä työntekijät viihtyvät pitkään. Erilaiset ihmiset muodostavat meillä toimivan ja rennon kokonaisuuden. Autamme toisiamme, jotta voimme auttaa asiakkaitamme parhaalla mahdollisella tavalla. Meillä työtehtävät ovat hyvin monipuolisia ja pääset kartuttamaan kokemustasi monella eri osa-alueella. Panostamme henkilöstömme kehittämiseen ja viihtyvyyteen, sillä osaava ja motivoitunut työntekijä on meille ensiarvoisen tärkeä. Tämä pitää sisällään mm. osaamisesi jatkuvaa päivittämistä sekä tarvittaessa virallisten pätevyyksien hankintaa. Tarjoamme sinulle kilpailukykyisen palkan työtehtävien mukaan sekä erinomaiset työsuhde-edut aina viikoittaisesta hierojasta laajaan vapaa-ajan tapaturmavakuutukseen.  Hakeminen meille on helppoa!  Hakeminen meille on helppoa myös mobiilisti. Täytä hakulomake viimeistään 11.4.2021 mennessä, niin olet mukana hakuprosessissamme. Työt alkavat sopimuksen mukaan mahdollisimman pian. Rekrytointi toteutetaan yhteistyössä WeCon Oy:n kanssa.  Lisätietoja tehtävästä voit kysyä WeCon Oy:n Laura Willbergiltä p. 050 586 2769 tai Esa Riikoselta p. 040 076 2227. Puhelintiedustelut arkisin klo 9-11.",Associate,Full-time,DesignEngineering,Civil Engineering
2459441515,2021-03-13,Telia Graphic,Design Lead,"Helsinki, Southern Finland, Finland","Are you passionate about leading customer experience based on data and analytics? Are you experienced in creating and developing customer journeys? Are you interested in taking on a challenge of improving business and experience of TV and entertainment customers’?If your answer is ‘yes’, you might be the creative person we are looking for!We are looking for a Design Lead to join our TV Business and Customer Experience team in the Entertainment Business area.Creating outstanding customer experience is at the core of Telia Finland’s strategy. Our team has been the forerunner on how to increase customer satisfaction by utilizing, for example, advanced analytics and AI. As a Design Lead, you have an enormous amount of data at your fingertips and data scientists to work with.We offer you an inspiring team and challenging business targets to strive for, your own area of responsibility in developing excellent customer experience and lucrative commercial concepts to co-create for our Telia TV, C More and entertainment customers.If you are a team player with an easy-going attitude, proactive and willing to take on project and business management, you might be the perfect addition to our team – don’t hesitate to apply!Your next challenge?We are looking for a Design Lead, who will keep excellent customer experience as the primary target without forgetting commercial goals.In your day-to-day work, you will be working closely with commercial stakeholders, technical and process developers and UX designers, and be their source for service design guidance, customer insight and business requirements. We hope you have experience in leading projects with different stakeholders, be it internal or external.You might have a nice combination of commercial, design and technical education, and several years of relevant work experience in service and business design and UX development. We are eager to learn about your background and experience, and how you might be able to bring us to the next level in customer experience and business management.As a Design Lead, your responsibility is to:Manage your specific area of responsibility and CX KPIs, related to activating existing customers, increasing the value of, and retaining a customerIdentify customer pain points, and lead corrective actions with the help of customers and customer insightGather, analyze, and report customer insights with the help of qualitative and quantitative research methods and customer studiesManage service design and customer journey development projects in the entertainment business area, related to TV, content and eSports services, in fluent Finnish and EnglishBe the voice of the customers and report on your KPIs and projects on the team’s weekly and daily sessions, and monthly business and CX reviewsWork in pairs/teams with CRM, commercial concept, and sales managers in our team with business KPI responsibility, mainly as a service designer, but occasionally also in a business designer roleYou will also:Be essential part of the team managing TV business, and responsible for developing excellent customer experience in the entertainment business areaCommit to entertainment, and mobile and broadband access, business goals and customer experience targetsWork closely with customer data and analytics teamGive your input and customer insight on our offering, service and product developmentWork closely with both commercial and technical stakeholders, in fluent Finnish and EnglishBe part of Telia’s design and customer centric culture and join our virtual company-wide service design communityFind your way of working both remotely from home, and eventually also at our innovative, flexible, and brand-new premises in Mall of TriplaWe appreciate:Creative, fresh, and solution-oriented mindsetGood understanding of user-centric design methods and user research, in addition to skills in one or several of the following: facilitation, visualization, ideation, concept creation, iterative prototypingAbility to inspire and teach others about service design approachKnowledge, experience, and interest of different kind of TV services and eSportsInterested?Up for the exciting challenge and next career move? Go ahead and send us an application!In case you need more information, call me at +358 40 5604462 or contact by email: tuija.kinnunen@teliacompany.com.Selection is ongoing now, so do not hesitate to get in touch. Last application date is 31.3.2021.Welcome to Telia – Home to your next big opportunity!We are Telia, the New Generation Telco. Everything we do is about connecting the world. We provide people with innovative, easy-to-access and effective ways to keep in touch and communicate with each other anywhere in the world. Networks remain in the core of our business, but as we are also the pioneers in the digital world, we provide services such as Internet of Things, Data Center, Digital Identity and Connected Cars. Be inspired by our New Generation Telco journey and create the digital future with us!",Not Applicable,Full-time,DesignArt/CreativeInformation Technology,TelecommunicationsInformation Technology and Services
2456964661,2021-03-11,Qvik Graphic,Product Designer,"Helsinki, Southern Finland, Finland","Haemme suunnittelijaa, jonka kädessä pysyy niin hiiri kuin taulutussi. Voit olla palvelumuotoilija tai product designer, design lead tai UX-suunnittelija, AD, visual designer tai sen sellainen.Tuntuuko sinustakin, että suunnittelualan tittelit ovat vähän sekavia? Olemme samaa mieltä, mutta ei anneta sen häiritä. Meillä on tarvetta erilaisille suunnittelijoille erilaisilla painotuksilla. Alla oleva kuvaus kertoo yleisesti design-toiminnastamme ja etsimistämme tekijöistä.Roolissasi keskityt erityisesti tukemaan tuotteen rakentamista devaajien ja bisnesväen rinnalla. Tähän sopiaksesi sinulla pitäisi olla osaamista joko UX-suunnittelusta tai visuaalisesta suunnittelusta ja sen verran kokemusta molemmista, että pystyt tarvittaessa toimimaan projektissa myös ainoana digitaalisten palvelujen suunnittelijana. Tässä roolissa ei ole pakko olla megaseniori, mutta portfoliossasi pitäisi olla esittelykelpoisia, oikeita digitaalisten palveluiden suunnitteluprojekteja. Toimisit tyypillisesti yhdessä projektissa kerrallaan.MILLAISIA TEHTÄVIÄ SINULLA OLISI?Toimisit osana tiimiä, joka luo digipalveluita asiakkaillemme. Palvelu saattaa olla vasta idullaan, jolloin tehtävänäsi on määrittää yhdessä asiakkaan kanssa minkä asiakasryhmän ongelmaa ollaan ratkaisemassa, millaisella ratkaisulla sekä yleensä myös miten palvelulla tehdään rahaa. Alkuvaiheessa saatat olla mukana luotsaamassa työpajoja, joissa tavoitteena on tuoda eri osapuolet yhteen ja muodostaa yhteisymmärrys tuotteen tavoitteista. Tehtäviisi voi kuulua myös konseptiprototyyppien luomista ja validoimista loppukäyttäjien kanssa.Jos konsepti on jo pidemmällä, suunnittelet lopullisen käyttöliittymän ja pidät huolen yhdessä devaajien kanssa, että se myös toteutetaan vähintään yhtä hienosti kuin olit alunperin ajatellut. Tässäkin vaiheessa käyttäjien tapaaminen ja heidän kanssaan testailu kuuluu työhön.Voi myös olla, että palvelu on jo julkaistu ja sinun pitäisi auttaa saamaan kasvua aikaan. Seuraat asiakkaan kanssa määritettyjä KPI-mittareita sekä käyttäjiltä keräämääsi laadullista dataa. Teet fiksuja hypoteeseja ja nopeita kokeiluja. Lopulta numerot todistavat onnistumistasi.MITÄ SINUN PITÄISI OSATA?Odotamme sinulta analyyttista ajattelua ja empatiaa. Sinun pitäisi pystyä toimimaan niin korkealla tasolla, että voit keskustella suoraan liiketoimintaihmisten kanssa. Samaan aikaan sinua toivottavasti kiinnostaa pitää kädet näppäimistöllä ja jalostaa ajatuksesi konkreettisiksi spekseiksi.Jos sinulla on vahva UX-tausta, sinun ei tarvitse olla graafikko, kunhan kaikkea tuottamaasi sisältöä ei tarvitse kierrättää visuttajan kautta eteenpäin. Vastaavasti jos olet visuaalinen osaaja, et tarvitse syvällistä UX-osaamista – taipumus loogiseen ajatteluun ja halu oppia riittävät pitkälle. Me autamme sinua kehittymään, sillä tavoitteemme on, että suunnittelijamme pystyvät toimimaan tarvittaessa projektissa myös ainoana suunnittelijana.Emme oleta, että olet copywriter, mutta sinun tulisi osata kirjoittaa suhteellisen hyvin suomeksi ja englanniksi. Stand-up -koomikkoakaan emme tarvitse, kunhan saat tuotua asiasi esiin palavereissa ja olet mieluusti myös halukas oppimaan työpajojen vetämistä. Eikä sinun tarvitse olla koodaaja, mutta odotamme sinun tietävän kuinka softa toimii, mikä on teknisesti mahdollista ja kuinka nykyaikaiset ketterät devausprosessit pyörivät.MIKSI ON FIKSUA HAKEA JUURI MEILLE?Qvik on perinteisesti tunnettu monista hienoista mobiilisovelluksistaan. Meillä kehittäjät ja suunnittelijat työskentelevät tiiviisti yhdessä, jolloin lopputuloksesta tulee mahdollisimman hieno. Palvelutarjontamme on viime vuosina laajentunut pelkästä mobiilitekemisestä monipuolisemmaksi monikanavaisten ratkaisujen rakentamiseksi. Tässä muutoksessa suunnittelun merkitys kasvaa entisestään, ja sinulla on mahdollisuus olla määrittämässä yrityksen suuntaa.Vahvuusalueitamme ovat digitaalisen kaupankäynnin osaaminen sekä monikanavaisten palveluiden ja koneoppimisteknologioiden mahdollistamat uuden tyyppiset palvelut. Näissä riittää sarkaa meille suunnittelijoillekin.Olemme tehneet töitä monien tunnettujen ja palkittujen yritysten kanssa, kuten Yle, Säästöpankki, Tallink Silja, Aurinkomatkat, VR, Posti ja Suunto. Tämän ohella pidämme mielen virkeänä touhuamalla monenlaisten startuppien kanssa. Meillä on tarjolla vaihtelua ja pysyvyyttä hyvässä suhteessa.Työsuhde-edut ovat meillä kunnossa: ammatilliseen kehittymiseen tarjoamme kiltoja, on harrasteklubeja ja urheilumahdollisuuksia, on lounarit, liikunta- ja kulttuurisetelit, hierontaa, yhdessä matkustamista, aamiaista ja bussilippua.Järjestämme jatkuvasti meetupeja sekä muita tapahtumia, joiden kautta avautuu myös hyviä tilaisuuksia päästä harjoittelemaan esiintymistä. Meillä on vuosittainen työntekijäbonus. Toimistomme sijaitsee kätevästi Kampin keskuksessa, ja alkuvuonna 2019 meillä oli etätoimisto Mauritiuksella, viime vuonna vastaavanlainen Sri Lankalla ja Teneriffalla.MITÄ SEURAAVAKSI?﻿Etenemme nopeasti, kun sopiva tekijä sattuu kohdalle. Lähetä CV:si portfolioineen meille niin homma lähtee liikkeelle! Jos haluat kysyä tehtävästä lisää, voit soittaa Talent Acquisition Leadille, Katriina Mannerille, p. +358 40 1447 762. Hakemukset otamme vastaan vain rekrytointijärjestelmämme kautta.",Mid-Senior level,Full-time,DesignArt/CreativeInformation Technology,Information Technology and Services
