Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2454801946,2021-03-25,Peter Vardy Ltd Graphic,Graphic Designer,"Glasgow, Scotland, United Kingdom","Graphic Designer   Eurocentral   Full Time 40 Hours   Monday to Friday 8.30am to 5.30pm    We are looking for a talented and dynamic Graphic Designer to join our busy creative team based at our head office in Eurocentral.     Working within our in-house creative team, you will work closely with other designers and account managers to produce campaign ideas and deliver them across our online and offline channels. You will ensure that design quality and consistency is met across all channels.   This role will suit someone who has worked within a fast-paced environment before and has the ability to simultaneously manage multiple projects.    What will you do?     Creative      thinking for campaigns and events in tune with brand guidelines and event      types   Clearly      understand each manufacturers brand guidelines   Present/Pitch      response to briefs to Senior Management and colleagues   Use      Tumult Hype to create animated online banners for Google Display Ads   Create      mock ups and final emails using Dotmailer   Create      web page mock ups for petervardy.com and carmoney.co.uk   Create      presentations for new Peter Vardy venture   Create      assets for online advertising and social media campaigns   Create      print based media   Work      with with internal and external suppliers to ensure assets are delivered      on time   Create      internal assets   Be      able to manage multiple projects and react quickly to market changes   Be open      to learn new skills as necessary        Requirements     2+      years of work experience as a graphic or digital designer   Excellent      ability within adobe creative suite   Demonstrable      graphic design skills with a strong portfolio   Excellent      visual design skills   Experience      in creating mock ups, wireframes and storyboards   Experience      with animation packages such as Adobe AfterEffects, Tumult Hype, Animate      CC or similar   Ability      to work at speed and can solve problems creatively and effectively   Good      communication skills on progress and time scales for updates   Up-to-date      with the latest Web trends, techniques and technologies   HND or      Degree in Graphic Design or a related field   Working      ability in HTML and CSS or previous experience designing and coding emails      from scratch        Key benefits- The Peter Vardy difference     Discounts on new and used cars   Contributory pension scheme   31 days holiday   Great career development opportunities        If you would love to be part of our Peter Vardy family, please APPLY now with an up to date copy of your CV. We look forward to hearing from you soon.    Peter Vardy is an equal opportunities employer. Everyone is welcome here, as long as you have the drive and passion to succeed, then we would love to hear from you.",Associate,Full-time,Art/CreativeDesignMarketing,AutomotiveGraphic Design
2455071656,2021-03-12,HOME-X Graphic,Graphic Designer,"Glasgow, Scotland, United Kingdom","Graphic Designer - Digital or Product ExperienceHOME-X creates an umbrella of branded experiences that gives a customer never-ending & frictionless access to a magnitude of products under one unique platform.We have created an incubator for creative & product development. Our mission is to create the most memorable home experiences & products possible, steered with creativity at heart - launching a series of monthly menus, products & experiences that’s driven by personalities and brand champions.We are looking to recruit a Graphic Designer who can help coordinate the design, ordering and delivery of all marketing materials required for the execution of the physical products we sell and the digital assets required. This role is fluid in that we are open to ensuring you work on the area that interests you most: product graphic design (packaging, marketing materials), or digital graphic design (email, website & social media assets).Who is this role for?As a company we want to give those who share the same visions and aspirations as us - to create the worlds biggest customer centric business - the opportunity to fast track their way to leadership & management roles by giving them the support in growing and developing their skills in a demanding yet creative company.If you also enjoy fast-paced high energy environments, thrive in collaborative and passionate teams, love food, this role is for you.Roles and Responsibilities:Digital:Work autonomously on key tasksCoordinate content ideas with the wider digital teamDesign eye catching email campaignsBe able to adapt to monthly campaign cycles and changes where requiredWork proactively with the digital team to forecast required content based on campaign cycleMap out key areas for improvement in our current campaignsPioneer change and proactively look for design ideas to be ahead of the curveWork closely with social media manager in creating social graphics across stories and grid postsCollaborate with the brand director and brand team to develop brand identity and brand specsOpportunity to develop new brands with the brand team across logo creation, illustration, type specimen etc. The brand bible for everyone!Product:Liaise with suppliers to ensure all marketing materials used for our products arrive in time with no delaysDesign and creatively pioneer product design for all brands; be vocal in areas of weakness & where can be improved.Design marketing materials within spec - liaise with brand team to ensure campaigns are always executed from briefWork with key stakeholders to ensure all requirements are met for the monthly menu changesConfidence In suppler negotiation ensuring best outcome for all partiesBe able to adapt & learn to the product requirements for monthly changing menusSoftware/Experience bonus:KlaviyoPhotoshopInDesignPhoto retouching (where required)Illustrator",Entry level,Full-time,DesignArt/CreativeInformation Technology,Food & Beverages
2468812966,2021-03-19,Tony Beal Ltd Graphic,Graphic Designer,"North Lanarkshire, Scotland, United Kingdom","Graphic DesignerThe Beal Group of companies is a family run business, focused on supplying commercial textiles into the agriculture, modular building, transport, logistic and oil & gas sectors as well as several other sectors including construction, air-motive, automotive, graphic advertising, defence, and leisure.We are passionate and committed to providing Superior Craftmanship and quality to all our clients both in the UK and Internationally in the manufacture of our products, coupled with outstanding customer service at all times throughout our Group of Companies.What We Are Looking ForDue to our expansion, we are recruiting for a Graphic Designer to work alongside our print team in our new premises in Cumbernauld and to coordinate with our outsourced marketing company. This role will be responsible for planning and editing a range of designs as per customer requirements and creating our own marketing materials.Responsibilities Include Creation of artwork to meet customer’s needs. Designing marketing materials. Develop and produce high quality marketing collateral across all marketing channels including website, social media, email & print. Challenge current creative approaches and introducing new processes. Transform digital briefs into creative outputs that are high quality and competitive. Work closely with the production department.Required Skills & Competencies A minimum 2 years proven experience within graphic design or relevant qualifications. Knowledge of Microsoft office programmes. A positive attitude.Additional InformationOn offer are competitive rates of pay, 30 days holiday and an opportunity to succeed in a growing business.Please provide examples of your portfolio and detail on your CV your experiences and software knowledge in detail.If you have any other skills, such as marketing, product design, etc then please include these in your CV.Dependent on the successful applicant, this role may involve a sales aspect towards selling print to trade.We look forward to receiving your application",Entry level,Full-time,DesignArt/CreativeInformation Technology,ConstructionAutomotiveStaffing and Recruiting
2476604928,2021-03-25,Mountain Graphic,Graphic Designer,"Glasgow, Scotland, United Kingdom","WE ARE HIRING!Role: Graphic Designer /ArtworkerApplications Close: 7th March 2021Start date: ASAPLocation: Glasgow preferred. Accepting remote applicants from Scotland ONLY.The StudioMountain is a Glasgow based, multi award-winning creative studio. We have delivered transformative work for the likes of Highland Park, The Macallan, The Glenlivet, The Famous Grouse, Tamdhu, Glengoyne, Edinburgh Gin, Bacardi, Brugal, Cutty Sark and Stoli.RoleThe successful candidate will work closely with our team to produce exceptional design for our clients. Tasks include: Concept development and execution  Branding and identity design  Packaging design  Photographic Retouching  Typography  Creating 3D Builds and renders  Illustration  Preparation of print ready artwork Requirements Have a minimum of 2-3 years agency experience  Excellent knowledge of Adobe CC applications (essentially Indesign/Illustrator/Photoshop) Experience of working within the drinks sector is desirable  Experience designing for print and setting finished artwork to high standards is a must  Experience working on projects from concept to delivery  Preferably have an artistic background 3D builds and experiential design experience desirable  Photography for design would be a good addition Personality Creative  Problem Solver  Friendly & Outgoing  Enthusiastic  Ability to work independently  Good communications skills  Can do attitude  Able to work under pressure and meet deadlines  Ability in estimating and managing time/workload  Enthusiasm to learn and take on new challenges What we offer Salary based on experience  Your birthday off  Creative training and development  Chance to work on a diverse range of work for some of the biggest names in the drinks industry  Pension scheme  Opportunity to grow and develop role within the team  A friendly and passionate team How To ApplySend us your CV, a cover letter and small portfolio of your best design work to: click apply",Entry level,Full-time,DesignArt/CreativeInformation Technology,PublishingStaffing and RecruitingGovernment Administration
2473754435,2021-03-23,OCCA Graphic,Senior Creative Designer,"Glasgow City, Scotland, United Kingdom","OCCA is currently recruiting an exceptional Senior Creative Designer | Environmental Graphic Designer to deliver outstanding creativity and beautiful collateral for our hospitality, branding & marketing projects. You’ll work in our growing Branding Team with global hotel groups and our client base across select service and 5-star hotel properties, luxury residential and innovative workplace projects - and you'll lead the creative for our in-house marketing campaigns. We are looking for an outstanding candidate with exceptional style & skills and a proven track record of 5+ years’ experience in conceiving beautiful designs, typography and graphics.You are full of initiative, passionate about what you do, have excellent client-facing, communication, design, and management skills, and know how to hit deadlines.Main Studio Tasks & ResponsibilitiesLeading the creative – consistently coming up with original, innovative concepts and seeing them develop from initial ideas through to concept development and final designs.Concepting and executing to exceptionally high standards, on large and small creative briefs that might include environmental graphics, wayfinding, advertising campaigns, branding, animations, packaging and digital. Working across digital and web design, portfolio, brochure and handbook design, digital banners, branding and packaging – animation capability would be helpful too.Project managing the entire creative process from concept to delivery.Working with multi-disciplinary design & marketing teams to ensure solutions meet or exceed clients’ expectations. Working on multiple projects/tasks with varying complexities, meeting deadlines and supporting the wider design team. Mentoring and providing art direction and guidance to the design team and delegating work when required.Collaborating with the extended project teams including copywriters, marketing, designers, photographers, videographers and front-end developers to help guide projects to completion. Scoping projects, with timings and external resources where required. About You:You have a degree level qualification in graphic design, advertising or another creative industry qualification with 5+ years post-grad experience. You have an excellent portfolio or body of work that showcases your skills, creativity and knowledge.You are an Adobe Creative Cloud superstar and are proficient in MS Office software You know how to deliver exceptional creative for exceptional campaigns including ads, brochures, handbooks, documents, reports, brochures, flyers, poster, digital assets… and so much more!  You also know how to deliver projects/tasks of varying complexity, meet deadlines and deliver under pressure – with the ability to communicate effectively and collaborate with all stakeholders.  You have strong visual & verbal design communication skills, with excellent visualisation ability – the ability to express yourself using creativity is critical to this role. You are comfortable in senior-level client presentations and able to support the presentation of our creative work when required. You have a passion for commercial brand design, an awareness of how cultural and demographic differences influence creative solutions and an ability to analyse customer/consumer research to understand key insights. You know how to react quickly, are willing to learn and respond brilliantly to peer & client feedback.",Associate,Full-time,DesignArt/CreativeInformation Technology,Design
2440202847,2021-03-15,Quiz Clothing Graphic,Lead Graphic Designer,"Glasgow City, Scotland, United Kingdom","QUIZ JOB DESCRIPTION   JOB TITLE Lead Graphic Designer LOCATION Head Office / Remote   REPORTS TO Head of Creative & Marketing DATE April 2021   JOB PURPOSE   As the Lead Graphic Designer, you will be responsible for delivering the visual creative direction and execution of the QUIZ brand across all channels.  You will ensure that the brands DNA is present and correct in all visual communications and you will act as guardian to ensure a premium visual product at all times. You will work collaboratively across all business units, including international, to assist in the visual aspect of all monthly and seasonal campaigns and visual strategies to ensure that targets are consistently met or exceeded. You will actively promote the role that creative design plays within the multi-channel sales environment, always contributing to improving and creating engaging and innovating customer experiences. With a team of three designers, you will be responsible and accountable for all customer facing visual artwork and will demonstrate at all times an ability to elevate and deliver our values and through graphic communications. As a senior member of the team, you should have a wide range of design, ecommerce and marketing experience in fashion and/or retail and you should be comfortable, and experienced in, taking full responsibility of design projects from start to finish. This is a newly appointed role so you will need to hit the ground running and act as guardian of the QUIZ brand maintaining our fun, vibrant youthful personality whilst collaborating closely with the wider team    KEY RESPONSIBILITES INCLUDE   ·        Work seamlessly alongside the UK Marketing Team to develop visual design strategies and solutions for monthly and seasonal campaigns during key trading periods·        Develop and manage the completion of visual guidelines and toolkits for the UK and International partners·        Work closely with the Creative Brand Manager and Creative Executive on all creative projects, supporting them to deliver best in class campaigns for the UK and Internationally·        Work seamlessly with the Head of Ecommerce and their teams to compliment the website experience and amplify content and product stories·        Alongside the Marketing Manager and International Brand Manager manage campaign critical paths so digital and store artwork is created and delivered on time·        Be responsible for all graphic channels, including but not limited to Email, The Website, Social, Advertising, Print and large-scale OOH projects·        Constantly scans new technologies, approaches, innovations and opportunities and present these ideas to the team·        Work closely with the Digital Marketing teams on email and paid advertising so the best artwork is created by your team·        Ensures that relevant projects are delivered efficiently and provide tangible ROI·        Identify ways of improving profitability through improved processes, and effective investment·        Think customer centric at all times·        Perform International and regional market research and analyse design trends and opportunities for business growth·        Develop best practices for operational efficiency within your team and the wider business·        Manage all brand assets and maintain brand quality standards as well as resolve any branding issues promptly·        Supervise and train team members in their assigned job responsibilities Manage a team of digital and print designers supporting their personal development goals and offering them support when required·        Owns all visual/graphic communications, including but not limited to; print, digital and film/video.·        Takes a lead role to communicate the brand and has a deep understanding of what is right and wrong.    KEY SKILLS & EXPERIENCE REQUIRED   ·        Experience in a fashion or retail brand is a must·        Experience working for a global brand would be highly regarded·        Minimum 5 - 7 years’ experience in as a designer (Print, digital and video/animation)·        Education to degree level in a related discipline·        Expert knowledge in digital and print best practice·        Expert knowledge in the Adobe Suite·        Knowledge of Email Marketing, UX best practice, HTML and CSS would be highly regarded·        Animation and Video Editing skills would be highly regarded·        Must have a deep understanding of how to produce campaigns from conception through to media delivery. Art Direction and styling skills would be highly regarded·        Must have experience in digital and ecommerce/online and cross channel digital marketing·        Must be highly creative and adept at relationship building with internal and external clients·        Proven experience managing a team and an excellent track record in building strong working relationships with key stakeholders·        Excellent verbal and written communication and presentation skills·        Excellent listening, influencing and negotiating skills·        Must be able to work to tight deadlines and be an excellent end to end project manager with a high degree of initiative·        Must be comfortable working in a fast paced, reactive environment·        Must self-motivated, comfortable solving problems and a creative thinker·        Comfortable working autonomously and able to manage time and processes without assistance is also key·        The successful candidate can be based in Scotland however remote working is also an option·        If working remotely occasional travel to the Head Office in Glasgow will be expected·        Passion for fashion and retail and all things design are imperative·        Must be able to inspire others but also take on board their ideas and critique·        A positive can-do attitude·        A true team player who enjoys what they do ",Associate,Full-time,DesignArt/CreativeInformation Technology,Apparel & Fashion
2462665772,2021-03-12,Retina Graphic,Designer,"Glasgow, Scotland, United Kingdom","Retina, the 2020 ANA Agency of the Year and The Drum’s 2020 Martech Agency of the Year, is a global advertising, marketing, communications and technology services company providing expertise to global Fortune 500 clients in the areas of strategy, creative and content, and go-to-market/media.We’re seeking a gifted graphic/digital designer in our rapidly growing Glasgow or Bucharest offices to be responsible for digital and print communications.Responsibilities Demonstrates ability to design all kinds of materials – from PowerPoint presentations to posters, from digital ads to landing pages, infographics, animated banners, emails or even t-shirt designs  Consistently delivers viable breakthrough designs  Produces high-quality, to spec, production-ready files for digital and traditional applications Tasks Maintaining the agility and flexibility to design everything from environmental signage to print ads and online banners to landing pages and emails to brochures and collateral to websites, social, mobile and video  Working collaboratively in a fast-paced environment and successfully managing multiple projects simultaneously  Demonstrating a strong attention to detail and process  Taking ownership of projects assigned and ensure they meet agreed deadlines to agreed standards  Photographer searching/image sourcing  UX design and/or video editing/animating skills a huge plus Requirements Minimum 1-3 years of design experience in agency, in-house or journalistic setting, online and traditional  Proficiency of working withing the Adobe Creative Suite (Photoshop, Illustrator, XD, InDesign); fluency in Microsoft Office/Apple software (Word, PowerPoint, Keynote); 3D, video animation and HTML experience a huge plus  University degree (undergraduate level) in Communications, design or another creatively or culturally interesting field and/or completion of an ad/design school program  Extreme attention to detail  Real-world experience in a creative or marketing related field  Consistently meets deadlines and has the ability to prioritize multiple projects  A fun, easy-going personality and sense of humor  Ability to work independently, as well as collaborate with a team  Key Info Employment type: Full Time Seniority Level: Senior Tech Location: Glasgow Key Info Employment type: Full Time Seniority Level: Senior Tech Location: BucharestPerks And BenefitsThis is a full-time position with a competitive salary, negotiable and dependent upon prior experience.This position also includes paid vacation, and a flexible schedule, including working from home. More importantly, you’ll have the chance to develop creative strategy for industry leading companies, while helping an innovative global organization reach its full potential.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingOnline MediaInternet
2454890391,2021-03-26,Hays Graphic,Junior Graphic Designer,"Glasgow, Scotland, United Kingdom","Your New CompanyThe Junior Graphic Designer provides graphic design support for the origination of artwork for social media, eshots, brochures, flyers, pattern books, packaging, price catalogues plus any other Marketing materials both on and offline. They also bring support to the Graphic Designer, Marketing Manager, Marketing Department and the other departments with the creation of any visual communications and marketing materials for both internal and external distribution.Your new role Create print ready artwork for: social media, eshots, brochures, flyers, fabric pattern books, packaging, price catalogues plus other POS items as required. Proof check all items for print and troubleshoot any pre-press artwork issues. Maintain library of all imagery for print and web use. Develop and deliver innovative and effective visual media solutions both on and offline. Have a keen interest in current and upcoming trends both with design and technology to keep designs and their presentation style relevant. Liaise with other departments to effectively communicate new product lines to both the trade and consumer markets. Product and in-house photography for using throughout marketing materials. Assist the Graphic Designer and Marketing Manager as required. The ability to adapt and learn new skills as and when the role requires. What You'll Need To Succeed A minimum of 1 years’ design experience ideally Knowledge of effective commercial design Excellent Adobe skills, Illustrator, Photoshop & InDesign A portfolio of work that demonstrates your design skills Working in a fast-paced environment to a variety of briefs Excellent communication skills, both verbally and in writing with team members, other departments and external contacts. Attention to detail and the ability to produce work to a consistently high standardWhat You'll Get In ReturnThe company has a Duty of Care to all employees. Everyone has a responsibility to achieve a healthy, safe and tidy working environment and to take care of themselves, other colleagues and visitors to the business.What You Need To Do NowIf you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. #3955228",Entry level,Full-time,DesignArt/CreativeInformation Technology,ConstructionStaffing and RecruitingFinancial Services
2462617304,2021-03-15,Transiris Corporation Graphic,Designer,"Glasgow, Scotland, United Kingdom","For the position based in Glasgow, we are considering applicants from nearby areas (Glasgow, Edinburgh, Paisley, Falkirk, etc.).SummaryRetina, the 2020 ANA Agency of the Year, and The Drum’s 2020 Martech Agency of the Year, is a global advertising, marketing, communications and technology services company providing expertise to global Fortune 500 clients in the areas of strategy, creative and content, and go-to-market/media. We’re seeking a gifted graphic/digital designer in our rapidly growing Glasgow office to be responsible for digital and print communications. Responsibilities Demonstrates ability to design all kinds of materials – from PowerPoint presentations to posters, from digital ads to landing pages, infographics, animated banners, emails or even t-shirt designs  Consistently delivers viable breakthrough designs  Produces high-quality, to spec, production-ready files for digital and traditional applications  Tasks  Maintaining the agility and flexibility to design everything from environmental signage to print ads and online banners to landing pages and emails to brochures and collateral to websites, social, mobile and video  Working collaboratively in a fast-paced environment and successfully managing multiple projects simultaneously  Demonstrating strong attention to detail and process  Taking ownership of projects assigned and ensure they meet agreed deadlines to agreed standards  Photographer searching/image sourcing  UX design and/or video editing/animating skills a huge plus Requirements Minimum 1-3 years of design experience in agency, in-house or journalistic setting, online and traditional  Proficiency of working within the Adobe Creative Suite (Photoshop, Illustrator, XD, InDesign); fluency in Microsoft Office/Apple software (Word, PowerPoint, Keynote); 3D, video animation and HTML experience a huge plus  University degree (undergraduate level) in Communications, design or another creatively or culturally interesting field and/or completion of an ad/design school program  Extreme attention to detail  Real-world experience in a creative or marketing-related field  Consistently meets deadlines and has the ability to prioritize multiple projects  A fun, easy-going personality and sense of humor  Ability to work independently, as well as collaborate with a team Perks And BenefitsThis is a full-time position with a competitive salary, negotiable, and dependent upon prior experience.This position also includes paid vacation, and a flexible schedule, including working from home. More importantly, you’ll have the chance to develop creative strategy for industry-leading companies, while helping an innovative global organization reach its full potential.If this sounds like the perfect fit for you, apply today!",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingInformation Technology and ServicesComputer Software
2480290563,2021-03-15,Cloud9i Graphic,Graphics Designer,"Glasgow, Scotland, United Kingdom","Dear Candidates Send Your  CV  to click apply Job Summary Job Description for Graphics Designer We are looking for a candidate who is experienced & well verse with Photo Shop, Coral Draw and other relevant software, the added advantage would be if he can create his own design by using sketches and create the graphics by using relevant software.Responsibilities And DutiesCreating Images, Videos, Infographics for Online Promotion.Developing concepts, graphics and layouts for social media postings, company logos, banners, website banners.Work out creative design concepts, Animation, graphics and layouts for various media such as Banners, Logos, and so on.Required Experience, Skills And QualificationsPhotoshop Corel Draw Graphic Designing Video Editing GraphicsExperience Required: 0-2YrsJob Type: Full-time",Entry level,Full-time,DesignArt/CreativeInformation Technology,Computer Software
