Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2438848838,2021-03-28,SGK Graphic,Design Planner,"London, England, United Kingdom","Position SummaryWe are recruiting for a Design Planner on a 6 months fixed term contract basis. Previous experience of project planning and retail experience is key.You will work within the client’s busy Design studio and working alongside M&S Food categories, SGK Account Management team and M&S Project managers. It would be preferable if the applicant has either retail or Brand Design planning experience.This exciting and demanding role requires an individual with impeccable organisation, presentation and communication skills who can illustrate their experience in multitasking and ‘cradle to grave project management’. A consistently professional approach of the highest standards is absolutely key. This role will be to support the M&S Head of Packaging Design, SGK Design Manager and Account Management teams in all aspects of project planning, batching and data management providing visibility of workload across all stakeholders in the M&S Design studio. Strong excel skills are required.As Design Planner, your absolute focus must be on ensuring project timelines are communicated and adhered to, while building an exceptional relationship with the client. This is a fantastic opportunity for someone with a sharp eye for detail who can show a real enthusiasm and determination to succeed.Job Responsibilities Work to critical paths timelines for each packaging project and ensure project milestones fall within the agreed time-line/deadlines which have been set Ensure design work is planned and briefed in to the M&S design studio. Organise and attend weekly packaging meetings to review creative, the status of projects and to discuss new packaging briefs. Keep all work in progress trackers and project folders accurate and up to date. Responsible for providing a Design cost estimate once a new piece of packaging is briefed for the relevant M&S department to review / approve. Ensuring POs are raised, NDA’s and contracts completed Ensure cost and time efficient delivery of Design routes. Attend line by line briefings from category and ensure that this work is briefed to AM and planned in to manage through artwork process. Organise and attend weekly packaging meetings with Head of Design & Lead Designer, to review creative, status of projects and discuss new packaging briefs. Ensuring all design work, that meets the design principles, is planned in to the Studio schedule and presented at the appropriate design forums for feedback/approval. Work with the Art Buying team when photography is required to confirm shoot dates, photography briefs. Work with Product Developers’s to organise Products & clear briefs for Shoots Ensure that photography meets the brief and that photography is issued to the Design teams with the brief for any retouching. Work with outside suppliers when required, such as design agencies or freelance illustrators, to ensure they are fully briefed and manage costs / invoicing. Ensure the clear and on time communication of Design routes to relevant parties. Work collaboratively with the other Planning roles to align priorities and volumes Work with other project management / planning roles within the business to ensure all launches are met, including chasing for upcoming briefs and missing elements essential for design work. Liaise with studio Planner / design / product development team when a packaging design project is going through the studio to all timings. Challenge batch/work volumes and timings in order to maintain consistent service level from the Design studio Identify/resolve/escalate any issues which may impact the delivery of any job in respect to budget or time-lines with Head of Design Consolidate all relevant Post Implementation Review information from within the Design area and supply to the relevant M&S department for inclusion in any Post Implementation Review, if required. Cross charge costs associated with design work to category cost centres and clearly communicate any over spend and why. Provide reports for monthly KPI Presentations Support Head of Design in gathering data to assess the effectiveness of the design studio and each categories design brief effectiveness, tracking trends and identifying improvements. Qualifications / Requirements Strong organisational skills along with ability to multi task. Data Management and administration. An eye for Design and attention to detail. Strong excel skills. Project Planning and tracking Excellent communication skills both verbal and written. Excellent attention to detail. Flexible and hardworking. A team player, with an efficient and proactive approach. Smart appearance and professional attitude. Approachable and trustworthy. PC literate – Microsoft Office, Adobe Acrobat, Database management. SGK is a global packaging and brand experience company. From idea to implementation, we deliver packaging solutions and brand experiences that give brands the freedom to speak louder, scale faster and grow stronger. We simplify marketing and amplify brands to deliver value. SGK is a Matthews International company.Matthews International endeavors to make our employment website and application process accessible to all users and applicants. In doing so, Matthews International provides reasonable accommodations to applicants with disabilities. If you have a disability and require a reasonable accommodation or assistance completing the application process, please contact a member of our Human Resource Team.",Associate,Contract,Other,Marketing and AdvertisingInformation Technology and ServicesConsumer Goods
2480323742,2021-03-28,IDC (International Data Corporation) Graphic,"Marketing Specialist, IDC UK","London, England, United Kingdom","Job DescriptionOverview IDC is the premier global provider of market intelligence, advisory services, and events for the information technology, telecommunications, and consumer technology markets. IDC helps IT professionals, business executives, and the investment community make fact-based decisions on technology purchases and business strategy. More than 1000 IDC analysts provide global, regional, and local expertise on technology and industry opportunities and trends in over 110 countries worldwide. For more than 50 years, IDC has provided strategic insights to help our clients achieve their key business objectives. IDC is a subsidiary of IDG, the world's leading technology media, research, and Event Company. About the position IDC UK is looking to fill the position for Marketing Specialist, Lead Generation. The role will be split between supporting our vertical enablement business development director and emerging vendor sales team in the UK and Europe as well as some of the Future of X technology practices across Europe. Responsibilities * Design, run and report on lead generation around Vertical Enablement for Vendor clients * Design, run, report on lead generation around Emerging Vendor and Start up / Scale up initiatives * IDC Analyst Practices lead responsible for marketing around Future of Digital Innovation and Future of Digital Infrastructure * Work closely with Sales, Verticals and Practice Analyst Leads - create, execute and report marketing campaigns aligned with business goals and research agenda * Deliver MQL and SQL into the business, increase database size, develop pipeline, track business/ROI * Planning and execution of Digital Marketing campaigns to drive lead generation as well as brand awareness * Manage and support content creation (webcasts, podcasts, infographics, blogs and eBooks) * Promote engagement in absence of being able to do F2F Business Development events * Help finalise and promote European Website to drive further engagement * Manage and optimise SEO for new landing pages; and Social Media Advertising for LinkedIn * Explore ABM possibilities * Social media management * Working alongside the in-house graphic/web designer/videographer to create compelling digital campaigns * Internal communication (IDC asset newsletter, sales meetings etc) * External communications - newsletters Desirable additions to the role: * To implement ABM * Marketo or automation knowledge * To build Customer Success Stories - to be used as use cases * Experience of managing a modest budget * To develop role by staying abreast of new marketing practices through attending marketing expos/training etc. * To evaluate and advise on new tools and marketing practices Qualifications The ideal candidate must possess experience of working within a Market Research or Professional Services organization, preferably in a commercial role. * Preferably 3 - 4 years of experience with B2B Marketing * Proven track record of generating leads through digital channels * Experience of working with senior stakeholders, industry experts, sales team * Innovative and result oriented * Strong communication and collaboration skills * Campaign management and demand generation We offer In addition to a competitive compensation package, the position in a highly professional and respected firm, where initiative leading to results are rewarded. IDC is a global knowledge company with a broad range of career challenges and opportunities, and you will become part of a dynamic, international trained network with a driven and collaborative culture. IDC is an Equal Opportunity Employer. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, colour, religion, gender, gender identity and expression, ancestry, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or other categories protected by law",Entry level,Full-time,MarketingSales,Marketing and AdvertisingComputer SoftwareManagement Consulting
2480325436,2021-03-28,Mvf Careers Graphic,Product Designer - 6 Month FTC,"London, England, United Kingdom","Job DescriptionOur Team We're assembling a team of world-class UX practitioners who are a bridge between business objectives and user goals. At MVF, we set high standards and creating impactful user experiences is business as usual. We are constantly pushing the boundaries to understand our users better by improving our research techniques, our technical capabilities and design leadership. We are now looking to add another Product Designer to the mix to help us improve our portfolio of internal products. Design is a centralised resource for the business and we partner with stakeholders and product teams to solve business problems and provide tools to empower our marketing and sales teams. The Role Over the past 10 years, MVF has built a suite of internal platforms that our marketing and sales teams incorporate in their everyday workflow. As a Product designer, you will support our internal product teams in identifying customer personas, framing and solving problems and consulting on design best practices. Working closely with other designers, engineers and stakeholders, you will also be responsible for improving the overall experience, usability and accessibility of our internal products through discovery, research, data, strong processes while demonstrating a good understanding of design principles and patterns. The solutions you design will directly impact key metrics across different functions of the business. You will be responsible for driving the quality of multiple products throughout the business Responsibilities: * Collaborate with other designers, product managers, engineering and key stakeholders to define and solve problems * Translate insights from your research into actions that bring clarity to user journeys * Sketch, prototype, test and present your ideas to assess their viability and iterate on your solutions over time * Design the components, interactions and transitions * Reduce adoption time to user competency of new features with elegant and recognisable design patterns What Success Looks Like: * Demonstrable experience designing digital products and systems, not just websites, and able to execute complex design solutions through application of UX methods and a strong repeatable process * Experience in UX research and user-testing and the tools that go along with it * You have helped ship products that solve real problems with a strong portfolio to back it up * In-depth knowledge of best practices with regard to web standards, usability and accessibility * Able to articulate a strong understanding of design fundamentals - i.e principles, user-centricity, the importance of feedback and grasps that design is not done in isolation * Strong communication skills with the ability to explain the rationale behind your proposed solutions. * Experience in facilitating workshops to frame/solve problems and getting stakeholder buy-in Our Ideal MVFer: * At least 2 years of relevant experience * Comfortable with ambiguity and having your work critiqued * Experience with analytics packages such as Google Analytics and Hotjar * Work effectively within an Agile environment This role can possibly lead to a permanent position. About MVF MVF is an award-winning customer generation business supplying some of the world's leading brands with high volumes of new customers in over 40 countries. In 2020 we were ranked 1st in the UK in the Sunday Times Best Companies to Work For List, and even won a special award for our commitment to our people's learning and development. We are on a mission to accelerate our clients' growth by building the world's most effective marketing platform through a passion for data, relentless innovation and the development of world-class teams. We want you to help us get there!",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
2480318795,2021-03-28,ISL Graphic,Lead UX/UI Designer,"London, England, United Kingdom",Job DescriptionUp to £80k (depending on experience) *Healthy snac...,Associate,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareStaffing and Recruiting
2480315677,2021-03-28,Dragados SA UK &amp;amp;amp; Ireland Graphic,LU Stations Lead and Enabling Works Lead,"London, England, United Kingdom","Job DescriptionLU Stations Lead The LU Stations Lead is overall Accountable person for the design, including engineering input during design, procurement, consents, stakeholder management, HSEQ, construction and handover for all elements of the LU Stations works. The LU Stations works comprise of the construction of a LU Interchange box with associated tunnels, and an underground link with the Euston Square Station. The LU Stations Lead will be experienced in managing large value and complex packages that include heavy civils, SCL tunnelling, Mechanical, Electrical, Public Health, Fire and Comms (MEPFC) related works, both permanent and temporary works. The LU Stations Lead will be the first point of contact between all the Construction Partner teams, the Mace Dragados Design Management Organisation (DMO) and the Lead Designer MEPFC Designer. The LU Stations Lead will ensure the design is coordinated and integrated with the rest of the design disciplines. The LU Stations Lead will be responsible for ensuring the Design, Construction and the Procurement teams develop and implement a procurement strategy, coordinated delivery programme and logistics strategy that meets the contract requirements. As Accountable person, the LU Stations Lead is the Accountable Person empowered to fulfil the self-certification of the Works as per the Main Contract. The LU Stations Lead is responsible for implementing the Contractor Partner's assurance processes. Enabling Works (South Section) Lead The Enabling Works Lead is Accountable for the overall planning, co-ordination, control and monitoring of all works packages in the southern section of the HS2 project required to provide a clear site that is free of any obstructions to facilitate the construction of the LU Stations. These enabling works include, but may not be limited to, complex utility diversions, demolition, site clearance, migration of an operational Network Rail Taxi Rank serving Euston Station, pile extraction and highway interventions/junction modifications on the TfL TLRN routes. The Enabling Works Lead is responsible for the effective leadership of multi-disciplinary teams and subcontractors maintaining an uncompromising commitment to safety and a collaborative approach to meet the design and construction programme; the incentive target; achieve exemplary quality and sustainability standards; ensuring the correct resourcing and incentivisation. Qualifications, Certifications & Experience * Educated to degree or higher level or equivalent in a numerate discipline, typically Engineering discipline (or related). A lower educational level, typically HNC or HND, may be acceptable where a very significant level of experience in a senior operational role can be demonstrated. * Membership of an appropriate Professional body * Previous experience on rail projects across London Underground, Network Rail, Crossrail (preferably London Underground) * Demonstrate significant experience of complex station/transport interchange infrastructure build and in senior management roles on projects of similar scope and scale, within the construction industry. * Proven track record of delivering projects to time and budget, together with an exemplary safety, quality and sustainability record. * Have demonstrable experience of leadership, building and motivating teams. * Demonstrate excellent presentation, negotiation skills organisational skills, ability to plan and manage own time.",Associate,Temporary,Other,ConstructionCivil EngineeringOil & Energy
2480294362,2021-03-28,PH Real Estate Graphic,Real Estate Sales/Leasing Consultants - Re-locate to Dubai with the leading British Brokerage,"London, England, United Kingdom","Join an established, leading British Real Estate business built upon universally recognised traits such as trust, integrity and transparency in Dubai and change your life today!£50,000 - £100,000 OTE + uncapped commissions, plus benefits!Are you interested in earning tax free, uncapped commission and the opportunity for an amazing lifestyle in Dubai? We have an exciting opportunity for you to do just that...PH Real Estate is currently recruiting sales professionals from the UK to join our amazing family team. Established in 2007, we have teams specializing in sales, leasing, commercial, property management and conveyancing providing unmatched property services throughout the UAE.What We Offer Employment Visa and Emirates ID Real Estate ombudsman qualification Company medical insurance Mobile phone & Laptop Highly competitive commission structure within the market In-house/external training Designated area to manage Lead generation through advertising Featured listings Marketing support - in-house graphic designer/social media specialist Administration and IT Support Amazing team and social events including yacht parties, brunches etc Sales Incentives Birthday / anniversary celebrations Two week Christmas break + 22 days annual leave + UAE national holidays Amazing modern office environment in the heart of Dubai’s Marina 24/7 HR supportWhat We Are Looking For Solid sales experience - Real Estate experience preferred but not essential Be financially independent to relocate to Dubai Valid UK Driving license Presentable and excellent communication skills Competitive attitude Team player Drive/motivation and desire to succeed What is the role? Prospect for property listings Manage portfolio of listings, ensuring competitive pricing Register buyer/tenant interest Manage portfolio of buyers/tenants, identifying motivation and requirements Source, compile and recommend shortlist of properties to suit requirement and budget Conduct viewings, secure offer and negotiate terms of sale/lease Advise clients on market conditions, prices, mortgages, legal requirements and related mattersPH Real Estate prides itself on support and development for our brokers. British owned and operated, all of the management team are ex-UK estate agents who collectively possess 60yrs real estate experience and their job is to make you a success!Contact our Head of Recruitment, Nathan Kearney for any direct queries  or apply today if you are ready to change your life and make the move to Dubai!Don’t become a number, become a name!",Entry level,Full-time,SalesManagement,Commercial Real EstateStaffing and RecruitingReal Estate
2480291217,2021-03-28,MyOptique Group Ltd Graphic,Junior Digital Designer,"London, England, United Kingdom","Junior Digital Designer  Shoreditch, near Liverpool Street, London / WFH for the foreseeable future MyOptique Group is looking for a creative and enthusiastic Digital Designer for our eCommerce retail brands Glasses Direct and Sunglasses Shop. Our ideal candidate will be a self-motivated individual who is passionate about digital design and creative work.This role is part of the Creative Team with a Digital Designer and a Copywriter. You will work closely with the CRM Team to work on graphic design for marketing campaigns and onsite assets, taking briefs from the marketers and delivering pixel-perfect designs.Our Creative Team is an integral part of our Marketing Team and works closely with our other marketing specialists on brand positioning and campaign activity. This role reports directly to our Creative Team Manager and sits in the wider Customer Experience team.By joining the MyOptique team you will also be supporting our mission to improve lives by improving sight - through making eyewear more accessible online.What You Will Be Doing Creating banners, emails, and landing pages for marketing campaigns as well as producing content to support social media channels - on time and to pixel-perfect standard.  Generating creative concepts and executing to different deliverables (e.g. banners, email, and landing pages) for seasonal promotions (e.g. Halloween, Black Friday, etc) Act as a brand guardian by maintaining brand tone, standards, and style on all designs.  Continue improvement and development of creative design for both the brand and the website.  Presenting and explaining design ideas and concepts to the Creative Team Manager and other key stakeholders.  Supporting and assisting the Creative Team Manager and other designers when necessary.  Work with the key stakeholders to revise designs as needed.  Maintaining an up-to-date understanding of the competitor landscape and eCommerce trends. Requirements A diploma or degree in Digital Design or Graphic Communication with knowledge of design best practices regarding web standards.  Minimum of 1 year experience working in digital design with a visual identity and brand guidelines, preferably within an eCommerce environment.  A portfolio that showcases an ability to produce creative work within a brand identity across a range of platforms, from website to email to social media, with adaptation on different devices.  Must be an expert user of Photoshop and Illustrator.  Must have a basic knowledge of HTML/CSS.  An emphasis on accuracy and quality of work, high attention to detail.  Proactive, self-driven, enthusiastic.  Takes ownership of own tasks, with a problem-solving mindset.  Creative and passionate about design.  Practical knowledge of After Effects and Indesign preferred. What We’re Offering An opportunity to take real ownership of the brand content  The chance to develop your creative and design skills  A friendly, professional, relaxed working environment  An exciting opportunity to work for a forward-thinking high growth eCommerce company The Benefits33 days annual leave inclusive of Bank Holidays  Pension Scheme  Company bonus [up to 5% of salary] Share Investment plan  Life Assurance policy 5 x your annual salary  Cash Health Plan Scheme with Health Shield & Perks discount scheme  Staff discount policy for eyewear purchases (incl. 1 free prescription pair per year & 50% discount on all other purchases) Season Ticket loan  Cycle to Work scheme",Entry level,Temporary,Information Technology,Computer SoftwareInternetRetail
2480284579,2021-03-28,Careers at Depop Graphic,Product Designer,"London, England, United Kingdom","Depop is the fashion marketplace where the next generation buy, sell and get inspired. We are headquartered in London, UK with locations in Manchester, New York and Australia. We have more than 25 million registered users in 180+ countries. In the UK, 1 in 3 Gen Z/Millennials are registered and in the US we have grown 300% over two years. We are also the only European player to have recently entered the top 25 shopping apps by daily active users. Depop exists to build the world's most diverse progressive home of fashion  . We are a community-powered fashion ecosystem that's kinder to the planet and kinder to people. We give our audience something they can't get anywhere else - unique fashion, with amazing people and the chance to create a better future by showing up as their full selves, at full volume.We Operate On Three Pillars Community:  Our buyers, sellers and employees are inclusive, diverse and accessible. We are committed to empowering diversity within the fashion community.  Entrepreneurship:  We support our community and help them build their business with Depop. We thrive on supporting innovation by shaping an environment where creators, makers or hustlers can thrive.  Sustainability:  Depop helps extend the life of garments and reduce waste, we care about the world and want to make a positive change within the fashion industry. Product & Design at DepopDepop product teams are a fast-paced, constantly evolving environment. Our Design team is equally focused on the functional and delightful. Our work inspires and is inspired by a creative and expressive fashion community.RoleAs a Product Designer in Depop, your ultimate role is to create the fashion experience our users desire. As a key member of one of Depop's cross-functional product teams, you will work closely with product managers, engineers, data scientists, and UX researchers to iterate and build useful, usable, and delightful experiences that your team can launch. You'll be proactively involved in all stages of product development from determining what features and experiences we should build to delivering built solutions. On the way, you'll use your wide spectrum of strategy, research and design skills to translate insight into experience strategy, ideate solutions, explore concepts, identify and articulate design principles, create functional flows, wireframes, screen mockups and prototypes. You will intensively collaborate with your team members, lead workshops, present designs and voice user experience considerations. The role demands expert know-how in UX & UI design, obsession with quality and passion for good design.Responsibilities Drive the design process within your product area end-to-end  Form UX/UI directives off research insight, design principles and best practices  Explore solutions and sketch initial design ideas  Develop detailed designs, through user flows, wireframes and UI mockups  Produce final UI mocks and specifications  Create high and low fidelity prototypes  Devise and run design workshops with team members  Collaborate with product and engineering team members to support implementation  Liaise with team members and stakeholders to agree design project timelines  Plan and conduct user research and user testing within your user area  Effectively pitch design proposals and win support Requirements Experience designing user experiences for the Web, iOS and Android  Demonstrated experience with end-to-end product design (UX & UI) Proficiency in UX / UI tools (Sketch, Figma, Zeplin, Abstract, etc.) Effective prototyping skills (InVision, Figma , Protopie, Principle or equivalent) A portfolio showing high quality, thoughtful UX and UI work Desirable A good understanding of mobile and desktop UX and UI patterns  Ability to identify IA and UX issues  Ability of form experience themes, UI models and IAs  Ability to translate user research, user testing and data insight to design directives  Ability to communicate compelling arguments about design proposals About You Naturally collaborative and supportive  Able to give and take design critique constructively  Inquisitive and eager to continuously improve and learn  Obsessive about good design  An effective, articulate communicator Benefits Learn and Grow:  We want to give our people the opportunity to learn. We sponsor and run a myriad of programs, conferences and meet-ups to upskill our employees and enhance their journey with us, just ask! Wellbeing:  We care about our employees wellbeing. We offer a cycle to work scheme, healthy fruit and snacks in the office, breakfast every Tuesday, eyecare vouchers and a discounted gym membership at Nuffield Health.  Mental Health:  Our employees mental health is a top priority. We offer subsidised counseling appointments with a qualified therapist through SelfSpace, we have trained mental health first aiders and we also run yoga, meditation and more.  Work/life balance:  We have 25 days of holiday with the opportunity to buy or sell 5 more, a day off for activism to allow you the opportunity to make a difference and we offer sabbaticals for our long serving employees  Family life:  We offer flexible working (based on the team you will be joining), generous maternity/paternity and parental leave policies which includes adoption and paid time off for fertility treatments. Also, all of our offices are dog-friendly! Do your best work with your best friend.  Fun:  We love to hang out with each other at Depop. On Friday we finish an hour early to socialise with free food, and have amazing Winter and Summer Parties to celebrate our successes. We also host internal employee socials such as quiz night, games night, movie night and more...we've taken this virtual for now! Equality and Diversity Monitoring Depop is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.Depop recognises the benefits of a diverse workforce which reflects the wider population and welcomes applications from all sections of the community. Under the Equality Act (2010), Depop must demonstrate that their recruitment processes are fair and that we are not discriminating against or disadvantaging anyone because of their age, disability, gender reassignment status, marriage or civil partnership status, pregnancy or maternity, race, religion or belief, sex or sexual orientation. We need to ask applicants some questions to make sure that no one is being unfairly discriminated against or disadvantaged.We collect this information only for anonymised monitoring purposes to help the organisation look at the profile of individuals who apply, are shortlisted for and appointed to each vacancy. In this way, we can check that we are complying with the Equality Act (2010).Further Information Regarding The Definition Of Disability Can Be Found AtUnder the Equality Act 2010 the definition of disability is if you have a physical or mental impairment that has a 'substantial' and 'long-term' adverse effect on your ability to carry out normal day to day activities.Reasonable adjustments will be made available should you be invited to interview. GDPR Statement When you apply to a job on this site, the personal data contained in your application will be collected by Depop Ltd, 08316342 (""Controller""), 9th Floor 107 Cheapside, London, United Kingdom, EC2V 6DN (""We"", ""Us"") and can be contacted by emailing click apply.Your personal data will be processed for the purposes of managing Controller's recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.Your personal data will be shared with Greenhouse Software, Inc., a cloud services provider located in the United States of America and engaged by Controller to help manage its recruitment and hiring process on Controller's behalf. Accordingly, if you are located outside of the United States, your personal data will be transferred to the United States once you submit it through this site. Because the European Union Commission has determined that United States data privacy laws do not ensure an adequate level of protection for personal data collected from EU data subjects, the transfer will be subject to appropriate additional safeguards under [either the standard contractual clauses or the Privacy Shield]. You can obtain a copy of the standard contractual clauses by contacting us at click apply.Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have to right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Computer SoftwareInternetFinancial Services
2480287161,2021-03-28,Rollinson And Hunter Associates Limited Graphic,Senior Technical Manager,"London, England, United Kingdom","Our client, a growing Contractor, have a successful track record of working on residential, regeneration, public buildings, leisure and healthcare projects throughout London and across the South-East. Due to expanding workload, they seek to recruit a Senior Technical Manager who has worked directly for a Contractor, on a diverse mix of schemes. You’ll be based at the Bromley H/O, attending sites when required. Applicants will be driven and result oriented, have a clear focus on high quality and business profit and be credible and confident in dealing with a wide variety of stakeholders.Typical Duties But Not Limited To  Responsible for provision of all Technical infrastructures and delivering technical design and approvals required for specific projects within the region.  Be commercially aware working with established budgets to provide cost effective solutions.  Organises Land/Technical handover meetings.  Monitor and oversee S106 obligations.  Lead and chair Design Team meetings.  Monitor and control the professional fee budget and update fee report on a monthly basis, to incorporate into the Cost Report.  Ensure the provision of all plans, specifications and Technical information to the Project Team and provide adequate Technical support to ensure queries are quickly resolved.  Programme and manage project work to ensure targets are achieved.  Effectively use resources, programme and prioritise work to ensure that delays do not occur through the life of the project from feasibility to site completion.  Provide Technical support for scheme appraisals as appropriate.  Discharge all Health & Safety issues including CDM Client, Designer and CDM Co-ordinator responsibilities.  Control, understand and manage external consultants to achieve valued engineer solutions.  Programme and manage all work to ensure working drawings are delivered within programmed timescales and to current Building Regulations and associated legislation.  Ensure the provision of all plans, specifications and Technical information to the Project Team and provide adequate Technical support to ensure queries are quickly resolved.  Commercially aware working with established budgets to provide cost effective solutions.  Highways & Drainage - obtain pre-application advice and approvals in principle to both on and off-site highway works and to compliance to planning layouts.  Liaise with Local Authorities & Utilities Services at all levels, Highways, Street Care, Environmental Services and Planners to discharge Planning Conditions. Having worked directly for a Contractor, successful applicants will have solid experience of managing Technical processes and procedures for a mix range of schemes. This is a great opportunity to join a progressive and dynamic contractor and be part of a high functioning team.A competitive package is on offer for the right applicant.Due to the volume of response, if you do not hear from us within 7 days unfortunately your application will have been unsuccessful on this occasion.",Mid-Senior level,Full-time,EngineeringInformation Technology,ConstructionCivil EngineeringReal Estate
2480280599,2021-03-28,MoonPay Graphic,Web Designer / Developer,"London, England, United Kingdom","MoonPay builds payments infrastructure for cryptocurrencies. Our on- and off-ramp suite of products provides a seamless experience for converting between fiat and crypto using all major payment methods in over 160 countries. Our mission is to make cryptocurrencies accessible to over a billion people by 2030!We are bootstrapped and already highly profitable, enjoying a revenue growth of 1000% + in the last 12 months We have more than 2 million customers and our payment solutions power more than 250 of the world's largest crypto wallets, websites, and applications.We are a fully remote, global team across 25+ countries, and we pride ourselves on having a connected and inclusive culture that empowers people to do their best work. We give our team autonomy to move fast, innovate and take responsibility. In the same way the internet became a means to democratize information, cryptocurrency is becoming a means to democratize financial participation at scale. Join us in our mission to build a better financial world!What You'll Do (Web Design) Own the visual identity and design stages of all MoonPay web assets - from our marketing website pages, to Product Hunt launches to social media banners.  Design and clean up external facing decks - from webinars to pitches.  Ensure all marketing collateral is on brand with out-of-the-box layouts, from web to pdf format (note: guides, case studies etc).  Establish and promote design guidelines, best practices and standards.  Learn from our Product Designers and Engineers to develop your skills. What You'll Do (Web Development) Use markup languages like HTML and CSS, scripting languages like JavaScript and ReactJS to create user-friendly web pages and templates.  Maintain and improve the marketing website.  Design, create and implement responsive design (Mobile and Tablet).  You should apply if ✅ Demonstrable graphic design skills with a strong portfolio.  Proficiency in Photoshop, Illustrator or other visual design and wire-framing tools  Proficiency in HTML, CSS and JavaScript.  Experience working in an Agile/Scrum development process.  Excellent visual design skills with sensitivity to user-system interaction.  Up-to-date with the latest Web trends, techniques and technologies.  In-depth understanding of the entire web development process (design, development and deployment). These are ideal but not all required as we know some people (e.g womxn) are less likely to apply for the role unless they are 100% qualified. We promote a diverse, equitable and inclusive culture at MoonPay. Logistics  Unfortunately, we are unable to offer visas of any kind at this time!Our interview process takes place on Google Hangouts and tends to consist of the following stages: Recruiter call (20-30 minutes) Initial screen (30-45 minutes) Remote take-home task (role dependent) Final interview (2 hours)Please let us know if you require any accommodations for the interview process, and we'll do our best to provide assistanceBenefits Competitive salary, based on experience, market data and location  Share options  Unlimited holidays  Working in a disruptive and fast-growing industry where the possibilities are endless  Fully remote: your life, your way of working  Freedom, autonomy and responsibility  Annual company retreat ‍️",Entry level,Full-time,Information Technology,Computer SoftwareInternetFinancial Services
