Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2441534309,2021-02-27,Popgear Graphic,Junior Designer,"Loughborough, England, United Kingdom","Are you seriously creative, always in search of the WOW factor and a genuine fan of pop culture?Great... so are we!Are you driven by inclusivity, always striving to be your best self and passionate about the work you do?Amazing... keep reading!To a pop culture fan, wearing something featuring their favourite band or character is more than just a t-shirt... it's a way to show of their identity to the world, a way to show off their passion to their friends and family.At Popgear, our mission is to empower pop culture fans of all ages to show off their identity to the world and our vision is to become the ‘go-to’ retail brand that provides anyone and everyone with the tools to become a champion of their own identity and stand out in the crowd.Are you determined to help people express their identity?If so, then we should probably have a chatWe are looking for a creative junior designer to join our retail team as we build the most creative and accessible clothing brand for pop culture fans everywhere.RequirementsThe RoleThe designer will support the visual merchandising and marketing teams by providing a wide array of creative services including web banner design, email design, digital display ad creation, conceptualising marketing materials and ideally advanced photoshop work with graphic effects on product photography, illustrations, motion graphics & video work.Responsibilities Designing & optimising display ads for Google, Amazon, Facebook & Instagram including instant mobile experiences, sign up forms etc Amazon Brand Store designs and producing A+ Content eBay Brand Store designs & listing templates UX & UI design with A/B testing Email design and optimisation Video creation & editing inc graphic effects & overlays Photoshop based photo manipulation, retouching, editing etc Illustrator based graphic design & illustrations Social media content creation Mandatory Skills & Experience 1+ years commercial design experience ideally for an e-commerce business 1+ years commercial experience with studio & lifestyle product photography experience Very creative person who can come up with good ideas but can follow instructions and pays attention to detail Experience at producing good, engaging content from scratch for social media beyond advertising – massive plus if you've done work on TikTok & YouTube but mainly focused on Facebook and Instagram Someone who is data driven with their design work and understands how to test and iterate Print media design would be an advantage but not overly important as we do minimal print Genuine passion for pop culture with in-depth knowledge about the characters we sell is really important Advanced Adobe Photoshop skills A love of pop culture Excellent knowledge of the licensed fashion industry Nice To Have Video editing & motion graphics experience Past experience with high budget marketing campaigns Working LocationOur business is based in Loughborough with a COVID-19 secure working environment but we will consider remote or partially-remote working for the right candidate.BenefitsWhat You GetYou will have the opportunity to work within a talented and friendly team who are all deeply passionate about their jobs and celebrate and support diversity within the team and our community and believe it is essential to making the world a better place.On top of that you'd get; Annual salary of up to £25k 20 days annual holiday plus bank holidays Ability to work remotely subject to passing an IT health check Support towards career progression and personal development At Popgear, we believe that the best work comes from a diverse team. We do not discriminate based upon race, religion, colour, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expressions, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, genetic information, or other applicable legally protected characteristics.",Associate,Full-time,Design,Marketing and AdvertisingApparel & FashionRetail
2432085377,2021-03-02,Capital One Graphic,Creative Studio - Designer,"Nottingham, England, United Kingdom","Nottingham Trent House (95002), United Kingdom, Nottingham, NottinghamshireCreative Studio - DesignerWe’re proud to be one of the UK's top 10 credit card providers. We’ve always been a company built on bold, new ideas and an entrepreneurial spirit. In an ever-changing financial landscape, we’re transforming into a technology company that specialises in credit and is striving for the breakthroughs that will change the world of finance. By bringing innovation, simplicity, and humanity to the financial services industry - we put the customer right at the centre of all we do.We’re an international business (UK, US, Canada) and are always on the lookout for the best new talent to join us. We’re looking for an experienced designer to join our in-house Studio Design team.As a trained designer with experience working in an agency or similar setting, you’re passionate about solving creative challenges. You possess strong creative skills and know how to apply them to a range of products and experiences, from email and social media through to web design. You love colour, typography, and understand the vital role visual identity plays in how our brand is perceived and experienced.We’re particularly interested in candidates with strong conceptual skills. So a proven ability to visually express what you (and others) are thinking is key. You’ll use your creative skills to translate business intent into creative solutions - helping us to develop marketing communications and experiences that engage, drive user action and elevate our brand.The work you’ll do with us directly impacts the lives of millions of people, so it's important you’re a relentless advocate for quality. You’ll also be willing to push creative boundaries, be used to working at pace and thrive in a collaborative environment.Candidates should note that as a result of the Coronavirus pandemic our offices are currently closed and this role will be fully remote until it's safe to reopen.What You’ll DoWork across a constantly evolving range of consumer journeys and experiences, incl. customer comms, social media, website content, mobile app and moreDeliver work that spans all project phases, from concept and design through to production (e.g. sketches, mock-ups, low and hi-fidelity comps, specs, guidelines and production-ready assets)Ideate, refine, and ideate some more. The beginning of every project involves understanding its particular challenge, scope and purpose. You’ll play a pivotal role in these early stages by brainstorming with the team to solve the projects goalExplore a variety of creative design options in a rapid, iterative fashion, incorporating feedback from stakeholders at all levelsConfidently articulate your design rationale to balance business goals and user needs, ensuring stakeholder satisfaction, deadlines and business needsLearn about our customers and be open to testing and feedback on your design concepts. We’re a data driven company, and are always looking for new ways to improve everything we doWhat You’ll BringStrong skills in creative design, with an eye for typography, colour, layout, brand identity systems and a pixel-level attention to detailAn eagerness to learn and share new approaches and methods to deliver effective designProven ability to create and communicate conceptual ideas and design rationale, all within a user centred design processExperience of delivering projects within an agile environmentExperience working with interactive content (e.g. responsive layouts, mobile app, Facebook formats etc) and proficiency in creating production-ready artwork and assetsExcellent communication skills, with the ability to present work and interact with colleagues at all levels of the business. Your stakeholders will be numerous and you’ll need to build great working relationships with lots of different types of peopleAn awareness of industry trends in creative and visual designWhat You’ll HaveDegree in graphic, visual or related design, digital media design or other design specialty, fine arts or other related field, or equivalent experienceA portfolio that exhibits your creative potential across a variety of communications, platforms and disciplines. We’d love to see an example of how you’ve creatively responded to a complex brief, or challenging contentExperience with the Adobe CC suite, Sketch and prototyping toolsCreative storytelling, illustration and data visualisation skills would be an advantageHTML experience and motion graphic skills, with knowledge of After Effects is a plusCapital One is committed to diversity in the workplace.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.comCapital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).Job Category - Design, Product Innovators",Entry level,Full-time,DesignArt/CreativeInformation Technology,Information Technology and ServicesComputer SoftwareFinancial Services
2428210383,2021-03-29,Asda Graphic,Junior Boyswear Designer,"Lutterworth, England, United Kingdom","Job AdvertAre you an experienced Boyswear Designer?As the Junior Designer for Boyswear you will be responsible for researching and developing exciting and credible multi category ranges that will appeal to George customers. You will play an important role in delivering stylishly designed products, ensuring quality, style and value is consistently delivered across our range.Your RoleWe want to know what you think. As a Junior Designer you will contribute to the research of new trends and market information, informing our decision making and driving product development, whilst keeping the George customer at the heart of what we do. The George boyswear design team look after multi product clothing categories ages 18 months- 16 years.You'll have the opportunity be a role model and provide coaching to our Design Assistants, supporting them in their own development and empowering them to design clothes that make people feel good.About You Strong experience within either a retail or supply base fashion design environment and will have a strong track record of researching and producing innovative designs in line with customer needs  A diverse handwriting and experience in designing in both toddler and older boys would be beneficial.  Experience in working with UK and overseas suppliers/ factories to develop multi category product  A broad knowledge of CAD software (including Adobe Photoshop and Illustrator) as well as a strong critical path understanding will be key   An innovative approach and desire to drive a more digital way of working  The ability to combine a number of research avenues – Social Media, Blogs & trend sites/books, etc to deliver innovative and commercial designs  This role will be offered on a fixed term basis.If flexible working is important to you, then look no further! At George we are proud of our culture and our commitment to flexible working. This role is based at George House, Lutterworth with the opportunity to work from home 2-3 days per weekYou will also get an excellent benefits package including;- Discretionary company bonus   Company pension up to 7% matched  10% colleague discount, free parking and many additional rewards.  We want all colleagues to be able to bring their best and true selves to work, every day. Simply put, we want our colleagues to be Proud to be George and proud to be themselves.If you would like the opportunity to find out more then make an application today. Please include examples of your work or a link to your online portfolio as part of your application.",Entry level,Full-time,DesignArt/CreativeInformation Technology,RetailFinancial ServicesHospital & Health Care
2425201258,2021-03-26,Equator Design Graphic,Sr Designer,"Nottingham, England, United Kingdom","Position SummaryWe are an award winning agency specialising in packaging and branding design. With extensive experience in all areas of brand and retail communication we offer a global service.Are you Senior Designer looking to work on some fantastic retail/FMCG clients?Do you have a portfolio that will impress?We are looking for someone, ideally, with strong food and retail experience in particular food art direction, an ability to present well to the client, communicate well with teams across the globe and execute the creative brief, creative strategy and creative solution for numerous projects.This role can be based at either our Nottingham or Manchester studios.Job ResponsibilitiesFully understands, without guidance, the Equator processLeads and Champions the Equator process and best practice – supporting junior team membersUnderstanding Equator clients and their requirementsConfidently presenting internally and to clients as part of a teamSupports Creative Account Handlers in presenting conceptsLeads a project from concept phase through completionHits deadlines consistentlyLeading a team of designers working on various sitesLiaising with production department to ensure best printing results Art directs own photoshoots Strong strategic & conceptual thinkingApproach projects with a strategic focus with the upmost creativityAbility to promote Equator and it’s goalsDrive consensus between peers with a positive can due attitudeMentor junior team membersKnowledge in print production and photographyTakes accountability of timelines and working within budget In charge of awards submissions and case study project executionConfident presenting across multiple sitesConfidently communicating with colleagues across multiple departments and locationsQualifications / Requirements Degree in Graphic Arts, Graphic Design, Packaging Design, Advertising, Marketing, Publishing or related field Experience of Graphic Arts, Graphic Design, Packaging Design, Advertising, Marketing, Publishing experience Or equivalent combination of education and experience Periodic travel either locally, nationally, and/or internationally may be required. High degree of proficiency in MS Office Suite, Outlook & Internet applications. Strong analytical, prioritising, interpersonal, problem-solving, presentation, budgeting, project management (from conception to completion), & planning skills. Strong verbal and written communication skills (including analysis, interpretation, & reasoning). Ability to develop and maintain collaborative relationships with peers and colleagues across the organisation, as well as, internal and external clients. Ability to work well autonomously and within a team in a fast-paced and deadline-oriented environment. Ability to work with and influence peers and management. Self-motivated with critical attention to detail, deadlines and reporting. Equator is a retail brand design agency that is part of SGK. SGK is a global leader in the design of high performance marketing ecosystems, the creation of content that scales consumer experiences with brands, and the integration of technologies to enable collaborative digital networks. SGK is a Matthews International company.",Associate,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingDesignConsumer Goods
2469658432,2021-03-05,Capital One - UK Graphic,Creative Studio - Designer,"Nottingham, England, United Kingdom","Nottingham Trent House (95002), United Kingdom, Nottingham, NottinghamshireCreative Studio - DesignerWe’re proud to be one of the UK's top 10 credit card providers. We’ve always been a company built on bold, new ideas and an entrepreneurial spirit. In an ever-changing financial landscape, we’re transforming into a technology company that specialises in credit and is striving for the breakthroughs that will change the world of finance. By bringing innovation, simplicity, and humanity to the financial services industry - we put the customer right at the centre of all we do.We’re an international business (UK, US, Canada) and are always on the lookout for the best new talent to join us. We’re looking for an experienced designer to join our in-house Studio Design team.As a trained designer with experience working in an agency or similar setting, you’re passionate about solving creative challenges. You possess strong creative skills and know how to apply them to a range of products and experiences, from email and social media through to web design. You love colour, typography, and understand the vital role visual identity plays in how our brand is perceived and experienced.We’re particularly interested in candidates with strong conceptual skills. So a proven ability to visually express what you (and others) are thinking is key. You’ll use your creative skills to translate business intent into creative solutions - helping us to develop marketing communications and experiences that engage, drive user action and elevate our brand.The work you’ll do with us directly impacts the lives of millions of people, so it's important you’re a relentless advocate for quality. You’ll also be willing to push creative boundaries, be used to working at pace and thrive in a collaborative environment.Candidates should note that as a result of the Coronavirus pandemic our offices are currently closed and this role will be fully remote until it's safe to reopen.What you’ll doWork across a constantly evolving range of consumer journeys and experiences, incl. customer comms, social media, website content, mobile app and moreDeliver work that spans all project phases, from concept and design through to production (e.g. sketches, mock-ups, low and hi-fidelity comps, specs, guidelines and production-ready assets)Ideate, refine, and ideate some more. The beginning of every project involves understanding its particular challenge, scope and purpose. You’ll play a pivotal role in these early stages by brainstorming with the team to solve the projects goalExplore a variety of creative design options in a rapid, iterative fashion, incorporating feedback from stakeholders at all levelsConfidently articulate your design rationale to balance business goals and user needs, ensuring stakeholder satisfaction, deadlines and business needsLearn about our customers and be open to testing and feedback on your design concepts. We’re a data driven company, and are always looking for new ways to improve everything we doWhat you’ll bringStrong skills in creative design, with an eye for typography, colour, layout, brand identity systems and a pixel-level attention to detailAn eagerness to learn and share new approaches and methods to deliver effective designProven ability to create and communicate conceptual ideas and design rationale, all within a user centred design processExperience of delivering projects within an agile environmentExperience working with interactive content (e.g. responsive layouts, mobile app, Facebook formats etc) and proficiency in creating production-ready artwork and assetsExcellent communication skills, with the ability to present work and interact with colleagues at all levels of the business. Your stakeholders will be numerous and you’ll need to build great working relationships with lots of different types of peopleAn awareness of industry trends in creative and visual designWhat you’ll haveDegree in graphic, visual or related design, digital media design or other design specialty, fine arts or other related field, or equivalent experienceA portfolio that exhibits your creative potential across a variety of communications, platforms and disciplines. We’d love to see an example of how you’ve creatively responded to a complex brief, or challenging contentExperience with the Adobe CC suite, Sketch and prototyping toolsCreative storytelling, illustration and data visualisation skills would be an advantageHTML experience and motion graphic skills, with knowledge of After Effects is a plusCapital One is committed to diversity in the workplace.If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation, please contact Capital One Recruiting at 1-800-304-9102 or via email at RecruitingAccommodation@capitalone.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations.For technical support or questions about Capital One's recruiting process, please send an email to Careers@capitalone.comCapital One does not provide, endorse nor guarantee and is not liable for third-party products, services, educational tools or other information available through this site.Capital One Financial is made up of several different entities. Please note that any position posted in Canada is for Capital One Canada, any position posted in the United Kingdom is for Capital One Europe and any position posted in the Philippines is for Capital One Philippines Service Corp. (COPSSC).",Entry level,Full-time,DesignArt/CreativeInformation Technology,Architecture & Planning
2476197709,2021-03-25,Shoe Zone Retail Limited Graphic,Graphic Designer,"Leicester, England, United Kingdom","UsShoe Zone is a Town Centre, Retail Park and Digital footwear retailer, offering low price and high quality footwear for the whole family.Shoe Zone operates from a portfolio of around 430 stores and has approximately 3,000 employees across the UK.The store portfolio consists of over 380 high street stores containing the core Shoe Zone product range and over 50 larger Retail Park units which also feature brands such as Skechers, Hush Puppies and Kickers.The website shoezone.com, combined with the store network, ensures a full multi-channel offering for great customer service.During an average year Shoe Zone sells 16 million pairs of shoes per annum at an average retail price of £10.YouYou will be bursting with positive creative energy and keen to progress your career in design, specialising in graphics for print. You will love to churn out new ideas and enjoy the fast pace of a busy marketing department. Ideally with a degree in graphic design and at least two years’ experience in a similar role, you must have a love for all things creative as well as being highly organised, efficient and communicative. You must have a clear understanding of brand and a great eye for detail, with the ability to produce varied styles of work to engage with our customers. You will also need design for print and pre-press knowledge and be up to date with industry leading software and technologies. And of course, you must have a fabulous portfolio to show us.The JobAs a Graphic Designer, you will be providing all graphics for our network of 430 stores in the form of posters, tickets, labels, shoe boxes, header cards and all other in-store POS. You will work closely with our Photographers to ensure the images captured will enhance your designs. You may also be involved in some digital design work where required. You will be involved in the full creative process from brain storming sessions to delivery, working with our photography team and the wider marketing team to deliver outstanding, engaging artwork for in-store and digital use.Responsibilities To design and deliver all printed graphics for the business Translating creative briefs into graphics that are fit for purpose Managing projects and deliverables Developing new design concepts and layouts Working to deadline without question Working collaboratively with the creative teamBenefits Profit Share Scheme Pension 25% Staff Discount 28 days holiday (including statutory) Birthday Holiday Wellbeing Support Free on-site parking at city centre Head Office Free on-site gym Opportunities for progression",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingStaffing and RecruitingRetail
2477695142,2021-03-26,TruFrame Graphic,Graphic Designer,"Melton Mowbray, England, United Kingdom","Role: Graphic DesignerSalary: CompetitiveLocation: The role will predominantly be based remotely (home-based) with the need to visit our offices in Melton Mowbray from time to time.*Hours: 37.5 per week, 09:00 - 17:00. Must be flexible to work additional hours to meet the nature of the role and the needs of the business.TruFrame Ltd are the largest independent fabricator of the Liniar window profile in the UK. We operate out of a 50,000 square foot state-of-the-art factory on the outskirts of Melton Mowbray, Leicestershire. We are a fast-growing and ever-evolving business, who are looking for someone to come into the business to join our Marketing Department.As Graphic Designer you will be a designing/ developing creative concepts and working in collaboration with the senior leadership team. Evaluating the credibility of our designs you will provide solutions for possible issues relating to the production of final creative.You will effectively provide design support for all businesses (TruFrame Ltd, TruFrame Trade Centre Ltd and other sub brands), creating professional designs and layouts (internal and external) across both print and online.You will possess solid previous experience in a similar role, with a recognised degree in Graphic Design (or equivalent) desirable. You will also possess an outstanding portfolio, showcasing finished work with proven commercial results or application.In addition, you will be able to demonstrate an advanced proficiency in the Adobe CC suite (InDesign, Photoshop and Illustrator). Expertise in Dreamweaver and knowledge of basic HTML/CSS coding is required.A natural passion for being creative, with a flair for design and presentation and a keen eye for detail is essential.It is highly advantageous if you have previous experience of working within manufacturing, particularly door and window factories.Homeworking is a key part of this role but there will be a requirement to visit our Head Office in Melton Mowbray on average one to two times a month",Entry level,Full-time,DesignArt/CreativeInformation Technology,Graphic Design
2481999932,2021-03-30,Wallace Hind Selection LLP Graphic,Development Designer,"Market Harborough, England, United Kingdom","Fortune favours the brave! As the retail industry evolves into the new age of experiential shopping, we are looking for a Development Designer who is an expert in all things SolidWorks to support our wider creative & development teams. Salary:  £35,000 to £40,000Benefits 20 Days Holiday, rising to 25 - after time served Company Bonus Scheme 3.30 pm finish on a Friday Free Office Parking This role is based in Loughborough,  Leicester, but you could commute from Ashby-de-la- Zouch, Burton-upon-Trent, Coalville, Derby, Grantham, Leicester, Melton Mowbray, Nuneaton, Nottingham, Rugby. Job Description:  Development Designer : Retail DesignThroughout 202,0 we thrived because we continued to evolve and understand our customer needs to adapt and find those solutions. As a result, we have continued to grow our head count despite the pandemic and are now stronger than ever!As we move into 2021 (where did that come from!?), we need a Development Designer to take our designs from concept and help implement those designs into reality by using SolidWorks.We manage all manufacturing on site so work will be wide-ranging and varied. One day you'll be designing shop units to another where you'll be doing a full shop refit! You'll get feedback in real time and your technical designs will mean our concepts come to life, ensuring our customer's shoppers experience the very best experiential designs. To be successful in our Development Design role you'll need the following:  Substantial experience using CAD software, in particular SolidWorks. Extensive Development Design experience in Retail Design / Experiential Design. Excellent communication skills in order to collaborate with our wider creative and manufacturing teams.Overall, we're a decent bunch of hard-working people who are incredibly proud of how our business has adapted over the past 12 months. We're more confident than ever that 2021 will be a year of real growth and success. Therefore now is a great time to join as our brand new Development Designer. Want to find out more? Click apply or contact Joel Barnett at Wallace Hind Selection for a confidential conversation and more information. All applications to this will receive a response. It is highly likely you will have worked in any of the following roles and/or markets, and worked with the following products and/or services: Development Engineer / Technical Designer / 3D Designer / 3D Development Designer / SolidWorks / CAD Software REF:  JKB16243, Wallace Hind Selection - Talent Solutions",Entry level,Full-time,DesignArt/CreativeInformation Technology,ConstructionMarketing and AdvertisingStaffing and Recruiting
1938344339,2021-03-15,instinct laboratory Graphic,2D Designer – Graduate or Junior,"West Bridgford, England, United Kingdom","Nottingham, NG2 7RL | instinct laboratorySalary: £18,000 - 24,000 paAbout us​instinct laboratory is an unusual business. We fuse together three normally disconnected services into one comprehensive offering, tackling some of the world’s most complex challenges. Our qualitative research department explores what human beings do, our behavioural sciences team explains how human beings ‘work’ and finally, our creative department generates ideas that change how people behave. Everything we do is objective and designed to help human beings lead better lives.Whilst we are based in the UK, the majority of our clients are overseas. We have worked in nearly 50 countries on the broadest range of projects, from healthcare sciences through to transport systems, global consumer brands through to elite sport. The one thing that unifies what we do is the study of human beings.We are at the forefront of what we do, and no two challenges are ever the same. To join us you will need tremendous drive, curiosity, and an ability to navigate uncertainty. We specialise in exploring new avenues and searching for the unknown. This means at times you may feel slightly uncomfortable, however with passion and care, instinct laboratory will provide you with a career opportunity like no other.The roleThis role will put you right at the forefront of where consumer psychology, brand strategy and creative design meet, and as well as supporting internal projects, you will quickly start to be exposed to live client projects across our whole client base.Your work will include developing campaign concepts and design solutions for some of the world’s biggest consumer and pharma brands. You will bring insights and data to life using infographics and visualisations, develop print-ready artwork and support our UI and UX design projects.This really is a fantastic opportunity for an energetic, quick-thinking, and flexible candidate to quickly gain unparalleled exposure across an incredible range of industries!About youWe are open to receiving applications from candidates with a range of experience as we want to find the best person to fit into our team. However, you will:Either have one or more years commercial experience or a degree in a relevant subject.Have the ability to understand and interpret client briefs and visually present your ideas.Be confident using Adobe Creative Cloud packages, including Illustrator, Photoshop, and XD.Be able to create infographics to bring data to life through compelling visualisations.Enjoy articulating your ideas through sketches, gathering visual inspiration, creating mood boards and generating compelling creative stories.Have experience in UI, UX, and prototyping for web and app design.An interest in web development would be a real plus.Be confident communicating face to face and by email.What we offerChance to work for a unique business at the forefront of understanding human behaviour.A visionary, one of a kind office space – instinct house.A culture based on sharing knowledge, learning and development.Exposure to the world’s largest companies and organisations at the executive level.To applyIf you think that you're the right candidate for this role, we would love to hear from you. Applications should include:A short covering letterYour CVA copy of your portfolioPlease include the reference #2124 in your correspondence.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Design
2458092745,2021-03-30,Joules Graphic,Senior Designer (Girlswear),"Market Harborough, England, United Kingdom","The grass is greener… at Joules! We have an eye for detail. We care and we challenge. We are creative and commercial, passionate and practical. We are flexible and generous. We inspire hard work and lead with kindness. We have big ambitions and are never afraid to give it some welly.Step into a role within our Design team as Senior Designer for Girlswear where the successful candidate will be responsible for pulling together the total seasonal strategy along with their Senior Designer counterparts. Designing ranges ensuring every product we sell strengthens our Brand identity​.What we are looking for:The ability to fully understand and implement the strategy set out by the CEO, Creative Director and the Head of Design to drive the strategic objectives daily through the design team A highly experienced designer with a broad understanding of the design, print, merchandising, buying and technical functions ensuring we work together to deliver products 95% on time– good awareness of broader commercial KPI’s to ensure supportive and considerate WOW A highly skilled trend researcher – abreast of macro and micro influences that may affect our business – ability to quickly translate these trends into commercial opportunities and influence at a high level the importance of these opportunities to the commercial functions  Advanced knowledge of product construction, manufacturing, fabric, and critical path management Exemplary leadership skills – balancing high level support with challenge to get the best from the design team A strong influencer with the ability to find pragmatic solutions to challenge without compromising design integrity and qualityStrong ability to analyse and interpret sales data and make recommendations to influence ranges A strong profile in the business with the ability to deputise for the Head of Design in key meetings with Director as required Expert CAD skills  - Awareness of new programs that will sustain our future growth and ensure our core processes are sleek and industry leading Still not sure if the grass is greener?  As a company that values its people as its biggest asset, we want to look after ours so that they feel at home. So we put together a package of financial rewards and wellbeing benefits to help you achieve your perfect balance of work and play. To find out more visit: https://careers.joules.com/rewards-benefitsIf you like our style, you’ll love it here – so if you do not want to miss out on being part of something special - click ‘Apply Now’.",Mid-Senior level,Full-time,Art/CreativeDesign,Apparel & FashionDesignRetail
