Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2482035619,2021-03-30,Light Years Graphic,Junior — Mid Weight Designer,"Melbourne, Victoria, Australia","Light YearsWe’re part consultancy, part agency. We apply design thinking to business strategy to solve challenges. We deliver a high level of service, which is recognised by our long term partnerships with clients.We’re a small creative team that works in a relaxed and professional environment. We follow a simple approach of work hard & be nice to people. Based in the inner north of Melbourne (although working remotely right now) we’re looking for a great new designer to join our team.We’re looking for:A junior to mid weight designer with a few years experience and the ability to take a project and run with it. You’ll need to be able to demonstrate initiative and present more than one idea to solving a creative problem. You’ll be comfortable to work within different design styles, from corporate to retail clients and be comfortable working across print, digital and social. You’ll also need to be a strong communicator and be able to work independently.What skills you’ll need to bring:A designer with 2-3 years experienceThe ability to think conceptually and approach a project from multiple anglesA solid understanding of user experience and digital design principlesA keen eye for detail as you will be preparing and executing artwork for print and digitalYou’ll need strong skills across the Adobe Suite and ideally Figma as wellAbility to keep track of project timelines and manage your own time effectively to meet deadlinesExperience with social media campaigns is an advantage What you’ll getExperience working across a range of projects from strategy, UX, branding, websites, EDMs, social campaigns. You will have the opportunity to grow and take on greater responsibility or explore your own interests. Salary is commensurate with experience. Sound good to you?Email your folio (pdf or website), CV and a brief email letting us know why you'd be a good fit with our team.We look forward to hearing from you.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingDesignInternet
2468038736,2021-03-29,SANS BEAST Graphic,Designer,"Melbourne, Victoria, Australia","Sans Beast is a vegan fashion brand, launched in Melbourne, Australia in 2018. This role is new to the business + will join our small Brunswick based team in growing the collection through timely + thoughtful design + development.  The purpose of this role is to build on + grow further, our handbag, wallet + strap collections, with a view to adding categories to our range as time goes on.  The tools that will be used to deliver the goals, are excellent range building skills, hand sketching, Illustrator + Photoshop skills, handbag construction + hardware development knowledge, along with excellent communication + organisational skills both internally with the team, and externally with manufacturers + buyers alike.  We invite those with 5+ years of experience in handbag design, construction, specification building + range development.  Small business experience a benefit as is a resourceful spirit + value alignment with the Sans Beast ethos.The ideal candidate is a creative team player who will be able to think strategically + efficiently and own the creation process from inception to production. You must be able to work both independently and collaboratively.  ResponsibilitiesSketch + brief the collection in line with option plan + critical path. Follow up on sampling + costs with manufacturers.Quality oversight + material sourcing. Supplier liaison on ordering of materials, along with management of wear testing programme.Presentation material + ability to present ideas + products effectively.Brand research + industry connectivity.Environmental + earthling impact awareness. QualificationsBachelor's degree in design or related field or relevant work experienceProficiency in Adobe Photoshop, InDesign, and Illustrator Familiarity with using a PLM system and/or willingness to learn on the job.Experience in bringing a handbag collection to life. AttributesResourceful + efficient team player.Passionate about joining an ethical + responsible business.Design led + creative thinker.Melbourne, Australia based.",Entry level,Part-time,DesignArt/CreativeInformation Technology,Apparel & Fashion
2468059317,2021-03-29,Aquent Graphic,Digital Designer,"Melbourne, Victoria, Australia","We are recruiting for this role on behalf of a Creative Digital Agency that is looking for a Freelance Digital Designer to join their team for a contract. Key ResponsibilitiesCreate compelling visual identities that meet a defined briefCreative and have an understanding of marketing strategyDesign a distinct visual language through strong concept development and art directionIntegrated design skills online across websitesIdea generation across digital and social channelsKey drive for all creative innovative design deliverable based on the brand value proposition,Manage agency to ensure good quality of deliverablesKey Requirements4 years of related experience +Experience of interpreting brief and designing campaign materials to successfully drive acquisition or retention.Strong knowledge and experience using Adobes suite of visual design products: Indesign, Photoshop, Illustrator etcExperience creating HTML templates for email marketing and web content management skillsGood working knowledge of HTML and CSS browser standardsKnowledge of optimising imagery for digital use.Strong verbal and written communication, stakeholder management and interpersonal skillsIf you have any enquiries don’t hesitate to reach out!Rosie McAlister Email: rmcalister@aquent.com",Mid-Senior level,Contract,Design,Design
2464844753,2021-03-25,Equality Media Graphic,Graphic Designer,"Melbourne, Victoria, Australia"," Who are Equality Media? We are a Melbourne based independent marketing agency that has a diverse group of clients, with a diverse range of requirements! The work we do with our clients ranges from marketing strategy, media buying and planning, branding, ad creation, marketing, web development, CRM and Analytics.Role OverviewAbout the RoleWe are seeking an experienced Graphic Designer to join our team. Your role will incorporate working across multiple brands to produce both digital, print and OOH assets for marketing collateral, campaigns, websites and social media. Experience in the property space will be very well regarded.The successful applicant will have up-to-date knowledge of industry software, design trends and innovations, with a proven ability to consistently produce quality graphic design work. You will possess creative flair and the ability to work autonomously with a professional approach to time and deadlines. You will drive the evolution of our style guidelines for our multiple brands and maintain visual consistency across our assets and channels.Key responsibilities will include but not limited to: ·        Building and designing EDM’s·        Development of social media content·        Laying out brochures and flyers and other marketing collateral·        Developing and editing film and photography, as required·        Website maintenance and development·        Creating and maintaining our style guidelines across all our brands To be successful for this role, the following skills are desirable:·        Tertiary qualifications in Graphic Design or similar, or at least 2 years’ experience in this industry·        Experienced in Adobe Photoshop, Indesign & Illustrator·        Knowledge in WordPress programming and maintenance skills·        Knowledge of MailChimp (desirable)·        Adobe Premiere Pro skills (preferred but not essential)·        Ability to think creatively and show initiative regarding design work·        Have a flexible approach to work duties·        Strong attention to detail·        Exceptional communication and interpersonal skills·        The ability to work autonomously·        A can do attitude and able to meet tight deadlines·        Ability to multi task and think independently ",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and Advertising
2468048253,2021-03-29,Transpire Graphic,Junior UX Designer,"Melbourne, Victoria, Australia","A dream role for a passionate and curious Junior UX Designer to help bring our clients’ visions to life.Come and join us at Transpire. Work on projects you’ll be proud of.Get your hands on the latest technology and figure out what it’s capable of.Work with an awesome team of extremely talented experts. Do things your way, focus on making a difference. Push the boundaries, continuous learning and discovering new ways of doing things.﻿About the roleWork within  a team (supported by a Lead Designer) on end-to-end projects; from concept to implementation, being involved in user research, design sprints, prototyping, visual design and working with engineering teams to build and test our solutions. Deliver simple and elegant designs and intuitive user experiences, from lo-fi wireframes to hi-fi interactive prototypes using tools like Sketch, Figma, and InvisionAbout youA strong communicator who loves building and maintaining strong relationships.You’ll be passionate about user experiences and creating exceptional experiences for our clients. You will bring an understanding of user-centred design (or design thinking, or human centred design - we’re about the outcomes, not the label!) including user research, usability testing methodologies and accessibility. We look forward to you presenting a portfolio of work that illustrates your passion. Here at Transpire we exist to transform ideas into digital experiences that have a strong purpose. We solve business problems, lay the foundation for innovation, create competitive advantage, delight users and improve people’s lives through technology. We’re excited about the future, massive opportunities await, apply now. ",Associate,Full-time,Art/CreativeInformation TechnologyDesign,Information Technology and ServicesDesign
2457121199,2021-03-21,The Refinery Graphic,Graphic Designer / Digital Creative,"Melbourne, Victoria, Australia","We're a busy creative agency in Melbourne. An exciting opportunity exists for a designer to join our team. Experience working with a creative agency on brand campaigns using both traditional and digital media is an absolute requirement for this role with a minimum of 4 years experience.Working on top tier corporate accounts you will work closely with our creative team. Your ability to manage new and existing accounts, creative briefs, concept development and identify the methods required to execute creative concepts in a timely effective manner will be among your major strengths.Working within an established team, being able to manage projects alongside the senior creative team and being able to work autonomously is essential. You will be acting as the centre point of contact for specified projects and have the ability to interpret and manage the requirements for these projects from initial brief through to communicating with your senior design team, account managers and third party supplier liaison. Your ability to identify and be suggestive through creative solutions is an essential skill you will be keen to further develop. Your conceptual skills to develop new ideas will be strong and in line with your technical ability and skills you have developed to see a concept through to final completion for a brand or digital campaign and / or digital project.Your understanding of production processes will aid in your communication with clients and suppliers in print and new media and digital.Key ResponsibilitiesAssess design brief / client requirementsIdentify key areas to assist with design / digital projectsSocial Media ManagementDigital Media ManagementDigital Media BuyingBlog Articles / CopywritingWebsite content creationWebsite conceptual designWebsite content managementUnderstand and take a creative briefUnderstand and write a reverse creative briefExecute design and digital projectsProvide design and creative solutions to a wide range of projectsOversee production and project requirementsSkills and KnowledgeDesign, digital and creative directionDigital media preparation, set-up and submissionProven track record with telephone and face-to-face contactAbility to manage a busy consultant deskSuperior computer knowledge of OSX and Windows platformsAdvanced knowledge of Adobe Creative SuiteBasic knowledge of production requirements for online projects Incl: DNS configuration, web hosting, mail server options, scripting, various CMS, CSS3 and basic HTMLSuperior knowledge of print production and digital production processesA desire to develop your knowledge of HTML, .php, CSS3, HTML5, Javascript, Grunt, Git and front end UI/UX and responsive designProficient typing speedIf this sounds like you, and you want to work in with an awesome team of design professionals, we offer the successful applicant a stable supportive environment to develop your career. We've been operating in Australia for more than 20 years in the creative industry. Our client list spans a broad spectrum of industries from FMCG, Building, Insurance, Product Manufacturers, Education and the list goes on. Interested applicants are invited to apply via submission of a detailed CV supplied online with links to your detailed portfolio. Please include an introductory covering letter with your application.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Design
2444425339,2021-03-18,Unispace Graphic,"Designer, Melbourne","Melbourne, Victoria, Australia","Who We AreWe’re Unispace and we believe that everyone should work in an environment that inspires productivity, peak performance and delivers well-being . We see that positive work environments foster open, collaborative and supportive cultures populated by highly independent, motivated people. While our core business is strategizing, designing and building workplaces for some of the biggest brands in the world, we know our people are our #1 asset. We look after our people ensuring we provide rewards and recognition, career development and a focus on well-being . If that sounds like an environment that would bring out the best in you, then keep reading!Unispace is currently looking for a Designer based in our Melbourne studio.Do you have a desire for driving interior design workplace solutions for clients? Do you love the hustle and pitching for work? Are you truly passionate about design, using Revit, and ready to take your creativity to the next level?The opportunity will work closely with our Associate, Design and broader team, in continuing to further develop strong business relationships with clients and developing high quality concept designs for pitches, projects and tenders.What You’re Responsible ForParticipating in design bids for local studioWorking across small/ medium/ large projects in the local studio including pre-project brief sessions whilst operating across multiple projects concurrently Collaborating with Delivery teams to deliver an agreed financial outcomeEnsuring alignment to culture, values and behaviours of UnispaceBuilding relationships and collaborating effectively with all disciplines Helping drive studio initiatives to improve design and business operationsSupporting wider team to conduct design reviews at key project milestonesContinually enhancing depth and breadth of design skills, staying current with external marketWork ExperienceCommercial/ Workplace design experience backed with an impressive portfolio High proficiency with Revit Knowledge of local codes Understanding of best method procurementProficient in using design toolsAccuracy & attention to detailExposure across all project phasesSchematic designContract documentsYou are comfortable with change and ambiguity – seeing them as opportunities to innovate rather than barriers to achievementWhat We Will OfferYou’ll gain exposure to the design and construction industry in an agile and collaborative global firm. This is a great opportunity to work within a friendly, design-oriented, and creative culture while growing your career.Sound like you? Don’t wait, send us your resume and portfolio !",Entry level,Full-time,Design,Marketing and AdvertisingInformation Technology and ServicesDesign
2438741970,2021-03-30,Yellowfin BI Graphic,Junior Digital Designer,"Melbourne, Victoria, Australia","Yellowfin, one of the worlds most innovative analytics software firms, is looking for a Junior Digital/UI Designer to join its Melbourne team. Yep, this is the chance you have been waiting for. The foot in the door. The start to your amazing design career!Working in collaboration with our Creative Director, Marketing, Design and Product Team, you will be working on wide range of design outputs from the creation of digital marketing assets, brand assets and elements of our product.A bit about the role.The role suits a ‘slashie’ (multi-skilled) jumping from product to marketing to brand and any other random design challenge that pops up. With development and marketing coming out of our Melbourne HQ, you will be working directly with some extremely talented developers and marketing people to create a wide array of amazing work. We have a roadmap of new features that need designing. There is a marketing plan that needs activating with design assets and a brand that needs consistency and ongoing love.The work itself is diverse and at the cutting edge of digital technology. Rarely is there a day you won’t learn something new. Known for its innovation and globally recognised as Visionary, Yellowfin is constantly pushing the boundaries of the category with disruptive thinking. And we want you to do the same.Quite a bit about you.You have hopefully had at least a year of relevant experience working for a digital, design or brand agency, or on a digital product. If not, then you will have a self made folio that shows how you design and just as importantly, how you think. You have hopefully studied design (preferred) or you may be self-taught but you will definitely have an impressive folio to share, a process for problem solving and an interesting story to tell.At the top of the list, you are passionate about design. You have a burning desire to create amazing digital experiences that are a joy to use and stunning to look at. You are constantly inspired by the world around you and have already created a wide range of engaging digital products from websites to apps and things you haven’t quite worked out how to build.You care about your audience and put their needs at the heart of your thinking. You are a problem solver and are known for making the complex simple. Importantly, you are not afraid to learn or be out of your comfort zone.We are looking for someone that is solution focussed, cares about the detail and becomes a champion of our digital output. Someone that wants to create design and digital experiences that are at a global standard and may even win a few awards. And importantly, you ‘lean in’, ask questions, participate and contribute.As for skills, you are very experienced in Sketch or Figma, the Adobe Create Suite and software like Invision. You might have experience in prototyping tools like Axure. You have probably played around in Wordpress, maybe even done a bit of coding but you at least understand digital design best practice and the fundamentals around HTML and CSS.A bit about YellowfinYou will be joining over 150 talented people in an established global network with offices in UK, Japan, USA and Australia. Our diverse team are respectful, helpful and supportive and work in a dynamic start-up environment.Yellowfin is the only enterprise analytics suite that combines industry-leading automated analysis, storytelling, and collaboration. Our passion is helping our customers grow and optimise their business by making it easier and faster to discover, understand, and act on business opportunities. Recognised by Gartner as Visionary for the last two years, we’re also an industry recognised leader in Embedded by G2 Crowd and No 1 in Embedded BI by BARC. More than 27,000 organizations and more than three million end-users across 75 countries use Yellowfin every day.Please include an application letter and ensure you include a link to your folio on your application.No recruiters please.",Not Applicable,Full-time,Information Technology and Services,N/A
2455981403,2021-03-19,Maatsuyker Graphic,Junior Graphic Designer,"Melbourne, Victoria, Australia","The ideal candidate will be responsible for conceptualising creative designs for a wide array of media. There will be a strong emphasis on typography and brand and logo development with a key role in the development of the brand identity and rollout across brand assets e.g in-store, on apparel, and in marketing communications.   Responsibilities Oversee logo and icon development Conceptualise and execute brand strategy Creative execution Rollout in online media Rollout on merchandise Pack design and development Qualifications Bachelor's degree or equivalent experience in Graphic Design Some workplace experience Proficiency in design software such as InDesign, Photoshop, and Illustrator Strong typography skills Strong experience and skills in online Great communication skills (Experience in fashion a bonus, but not essential)",Entry level,Full-time,DesignArt/CreativeInformation Technology,Apparel & Fashion
2468098299,2021-03-29,Who Gives A Crap Graphic,Product Designer,"Melbourne, Victoria, Australia","Want to challenge yourself at a high-growth startup AND make a difference in the world?A bit about us:Hi, we’re Who Gives a Crap! We make eco-friendly toilet paper (as well as tissues and paper towels) and donate 50% of our profits to help build toilets for the 2 billion people in need.We absolutely love doing good, but we’re also exceptionally good at it. To date, we’ve donated over AUD$8.3 million (roughly USD$5.9 million) to fund sanitation projects around the globe. We’ve grown quickly – selling directly to customers across three continents and establishing a strong B2B business that’s expanding to the US market this year. Our team is made up of over 100 amazing humans working out of Melbourne, Los Angeles, China, and Manila. We’re working hard to reach our ambitious goals and diversify our product range to ensure we can have the greatest impact possible – both for the planet and its people. With your help, we’re hoping to increase our annual donation 10-fold in the next couple of years and continue to make the most beautiful, eco-friendly goods around.A bit about the role:We’re rapidly growing our Digital Product in-house team and on the hunt for more Product Designers (UX/UI) to join our merry band! As our Product Designer, you’ll ensure we deliver a seamless and best-in-class digital experience that works beautifully for our customers and our business. Reporting to our Product Design Lead (who we’re also actively recruiting for!) you’ll support the product roadmap from ideation to delivering new design solutions that help build the future of our online experience including building out a subscribers portal, help us launch a new brand (including new products and categories in new markets and geos), and help us rethink how we engage the user experience in a way that speaks to our impact and mission. You’ll develop ownership across our customer or internal experience (take your pick from new customer, returning, or B2B/Ops/CX to create your own adventure!) and lend your design chops to elevating our onsite experience and keeping our unique playfulness without ever feeling derivative. You’ll help maintain and establish a design system alongside our in-house Product Design and Creative teams that supports collaboration and inclusivity. You'll also get to dig into insights and uncover opportunities we didn’t see before, turning those opportunities into delightful design solutions.While we’re hiring this role for our Los Angeles and Melbourne hubs, we still want to hear from you if you’re up for dedicating yourself to the PST timezone from afar.If you worked here this past month here are some things you might have been involved in:Supported the redesign of our subscriber dashboard by working with our Design and Engineering counterparts, the Creative team, our external agency partners, and our broader customer experience team to roll it outContributed to our quarterly planning process to nut out the work we have ahead of us, aligning on our cross-functional priorities against our annual strategyCollaborated with our Growth Marketing team to revise our digital product dashboards, ensuring everyone has visibility into how the site is performing and validating your design thinking workLent your creative brain to helping rethink how we manage Gift Cards, getting your hands dirty and experimenting with new Shopify Apps and deciding how to best move forwardJoined our DE&I committee and championed inclusive initiatives to bake into what we’re doing at all levels for culture, talent, and growthWireframed, prototyped, and shipped a portfolio of products and features elbow-to-elbow with our Product Design Lead, Sr. Product Designer, and your PM and Engineering counterparts that ladders up to a world-class user experienceDesigned a new layout or template so well that Shopify integrates it into their theme engineCollaborated with engineering to prototype a new in-home device that helps us learn from our customers and help them seamlessly reorderKept your finger on the pulse for best-in-class Design and industry trends and continually analyzed our competitive landscape to stay ahead of the curve and proactively find opportunities to improve our user experienceWere a key player in our virtual sprints, standups, retrospectives, and other ceremonies to keep the team aligned and focusedTook a picture of your toilet for a hilarious matching game of thrones aptly called Whose Loo Is It Anyways for our co-founder and Chief of Product & Purpose’s birthdays Created easter eggs and moments of delight into the site that are so enjoyable, they go viral and are featured on design blogsPut your slideshow and presentation chops to good use by helping our Head of Product design and co-host our very first Digital Product 101 session for new hires Who you are:You design the crap out of pixels for a livingAnd you have the digital portfolio to prove it. Sounds obvious, right? It’s super important that you’re experienced in digital design and, ideally, you’ve applied these skills to the user experience. You’re comfortable with industry design and agile practices, you’re able to navigate your way around the usual tools (you dream in Sketch, Figma, InVision, and Creative Suite) and you still love to map out a solution using good old conversation and pencil and paper. You’ve got experience creating interfaces, large-scale digital experience or maybe even applications and you can take them from planning to prototyping right through to implementation. You <3 user experience You’ve got a sixth and seventh sense when it comes to design, and what sets you apart is your ability to innately apply your design thinking to understanding and solving user problems. You’re easily able to walk in your users’ shoes to identify issues and your toolkit is full of methodologies and approaches to thoughtful and considered research to provide you more insights. In fact, you’re so damn good at this you’re always finding yourself rolled into helping other departments solve their problems (and you secretly love it). You are an expert collaboratorYour work touches every part of the business and you are highly collaborative across all teams, hubs, and levels of Who Gives A Crap. You encourage open communication and advocate for shared positive outcomes. People trust you and you’re able to build a reputation as an expert as well as a teammate. You’re able to clearly define a value proposition and seamlessly articulate it, generating support and buy-in from both key stakeholders team members. You give a crapYep. We’re all here because we genuinely want to make the world a better place with our work, and we want you to want that too! Awwww.Why you should work with us:Every minute you spend working with us, you’re making a difference. The more we grow, the bigger an impact we’ll have. Sell your soul no longer! We think that’s a pretty great perk, but we don’t stop there…  If you have a great idea, we’ll do everything we can to make it happen. This is the kind of role that will be hard to find anywhere else: you’ll work with an incredible bunch of passionate people to grow a fast-paced startup at a crucial point in its trajectory.The job is also super flexible, something we’re working hard to hold onto even as we grow really quickly. We started the business remotely, and now have hubs in 4 cities around the world. Until the WFH ""new normal"" took effect, the LA creative team spent three days in our Downtown office, and two days working from home. We plan to pick this schedule back up once it’s safe to do so! And while we don’t have a Friday drinks cart (yet), you will get free toilet paper. A lot of it. And nothing beats that.Lastly, you get to say the word ‘crap’ more than in any other job. Guaranteed.SalaryThis depends on your experience but just because we’re a social enterprise doesn’t mean you’ll get paid peanuts. Think chocolate-covered macadamia nuts with some extra perks thrown in. In other words, we pay competitively and are determined to make this the best job you'll ever have!Who Gives A Crap also provides 4 weeks paid annual vacation (yay!), flexibility to take extra unpaid leave, private health insurance coverage, generous maternity/paternity leave, and a whole lot of other stuff.",Mid-Senior level,Full-time,Art/CreativeDesign,Consumer GoodsPhilanthropy
