Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2435747055,2021-03-26,Hays Graphic,User Experience Designer Expert | Entertainment International Group,"Milan, Lombardy, Italy","Il nostro cliente è uno dei principali Gruppi operanti nei settori del Betting, con un particolare focus al mondo digitale e all’entertainment digitale.Caratterizzato da una top line da diverse centinaia di milioni di euro e alcune migliaia di dipendenti, il Gruppo si contraddistingue dalla concorrenza per un business model particolarmente innovativo, un piano di hiring ambizioso e un focus strutturato nell’impostazione di flussi e processi.Nell’ottica del potenziamento del Dipartimento Experience Design, stiamo ricercando un Senior UX Designer a diretto riporto del Responsabile della funzione.La risorsa collaborerà a progettualità, volte a tradurre le necessità di business in soluzioni di Design di valore aggiunto per i clienti.Nello specifico, il candidato parteciperà alla definizione della design experience, traducendo le linee guida in interfacce ed interazioni significative per l’utente finale. Si occuperà inoltre di elaborare user flow, wireframe, oltre che realizzare prototipi interattivi e specifiche di progettazione da condividere con analisti funzionali e sviluppatori, al fine di anticipare eventuali criticità.Oltre a ciò, collaborerà all’attività di ricerca (crowdtest, user test, ricerche sul campo, ecc.), al fine di individuare le best practice experience del settore (Gambing e affini), volte a produrre significative insight. Inoltre, sarà responsabile di convalidare e testare soluzioni di design con gli utenti.Richiediamo dunque un’esperienza di almeno due anni in un ruolo analogo, nonché l’esperienza pregressa in analisi dati lato user experience, e nel supporto di attività di CRO ed A/B test. Inoltre è richiesta un’ottima dimestichezza nell’uso di tool volti alla realizzazione di prototipi (Sketch e/o Tigma, Invision, Design System Manager) ed esperienza in metodologie di lavoro Agile e/o Design Sprint.La ricerca è rivolta verso profili in possesso di una laurea triennale o magistrale in Design, Design dell’interazione (IXD), Interazione uomo macchina (HCI) o titoli equivalenti e con una buona conoscenza della lingua inglese (B2).Data l’interazione con i vari stakeholder, costituiscono aspetti fondamentali caratteristiche quali proattività, precisione, attenzione ai dettagli, oltre che ottime competenze collaborative, organizzative e una forte passione per il design.Salary package e inquadramento contrattuale saranno funzione dei valori di partenza e della performance del candidato durante l’iter.Sede: Milano CentroI candidati di ambo i sessi, dopo aver visionato l’informativa obbligatoria sulla privacy sul sito www.hays.it, sono pregati di inviare il CV in formato Word, indicando il riferimento di interesse (Rif. 923778). Hays S.r.l. Agenzia per il Lavoro Accreditata: Aut. Min. N. 13/I/0007145/03.04 del 1 Aprile 2008.Candidati ora",Associate,Full-time,Information Technology,Gambling & Casinos
2436426729,2021-03-26,The Walt Disney Company Graphic,Graphic Designer & Product Manager - 6 Month FTC,"Milan, Lombardy, Italy","The Opportunity & Responsibilities:Accountable for the product development strategy and execution for all sub-categories within the Italian market. This role is crucial to ensure compelling products and ideal ranges are developed through our licensing partners and brought to market.Working with the Senior Manager Creative, formulate strategy and be responsible for the delivery and execution of product development for all sub-categories. Act as pivotal pinpoint person - provide product directions, working directly with Category Managers, Licensees and Retailers. Ensure alignment with business priorities, franchise strategies and European direction supplied by the Regional Creative Team.Take overall responsibility for inspired range development including shapes and key items, fabrication and product features as well as application of creative assets, including designs, colours and print techniques. Create inspirational pitches in order to meet licensee’s creative needs and catch new business opportunities. Work closely with the Category Managers to push manufacturing boundaries and ensure innovative integrated and compelling product design. Ensure benefits of product are reflective of value.Define necessary forums and processes to ensure appropriate involvement in product. Be responsible of the whole approval process ensuring feedback is given in a constructive and timely manner.Act as the brand ambassador – ensure brand guidelines are met including character integrity and legal restrictions through all forms of communication. As well as product, this includes packaging architecture, advertising, catalogues and in-store POP.Maintain and share knowledge of licensee manufacturing capabilities and utilise this information to educate and gain the most from licensees and key partners.Liaise with key account contacts and attend meetings. Define and develop needs for key account pitches and deliver presentations with market lead when required.Brief and manage third parties and external design resources when required.The Experience we require from you:5-8 years in a product development related role.Relevant design degree or equivalent.Some 3rd party/licensee or supplier management preferred.European work experience advantageous.Experience and understanding in Fashion Industry and/or related experience required.Knowledge of manufacturing processes and techniques relevant to category.Strong product development knowledge combined with commercial understanding.Experienced in Microsoft Office and working knowledge of design and specialised product programmes (Adobe Photoshop and Adobe Illustrator)Fluent English.Strong strategic, leadership and relationship building skills.Must be able to collaborate, influence and persuade at all levels.High level of organisation and able to manage multiple projects simultaneously in various stages.Clear, concise written and verbal communication essential.Strong sense of teamwork.Some European travel required.Other European languages desirable.The Walt Disney Company is an Equal Opportunity Employer. We strive to be a diverse workforce that is representative of our audiences, and where all can thrive and belong. We are committed to building a team that includes and respects a variety of voices, identities, backgrounds, experiences and perspectives.",Mid-Senior level,Temporary,Art/CreativeDesignProduct Management,Apparel & FashionConsumer GoodsTextiles
2479361381,2021-03-26,Logotel Spa Graphic,VISUAL DESIGNER JUNIOR - STAGE,"Milan, Lombardy, Italy","Sei un/una giovane Visual Designer, originale e creativo/a e ti interessa formarti nel nostro team, in un ambiente collaborativo e informale?Stiamo cercando un/una neolaureato/a per un percorso di stage in cui collaborare all'ideazione e sviluppo di soluzioni creative e originali applicabili ai settori del Visual Design, Brand Design, Concept Design, Corporate Identity.REQUISITINeolaureati in discipline del design o della comunicazione visivaFlessibilità, rapidità, capacità organizzativa e orientamento al dettaglioPersonalità propositiva e proattivaOttima conoscenza dei principi e dei processi applicabili alle seguenti discipline: Visual Design, Packaging Design, Brand Design, Concept Design, Corporate IdentityCompetenza consolidata nell'uso di Adobe Creative SuiteConoscenze di Web Design, Interaction Design e Digital Design saranno fortemente apprezzateOttima conoscenza della lingua ingleseAllega il tuo portfolio o inserisci un link funzionante, con tuoi progetti di studio, lavorativi o personali.COSA OFFRIAMOInserimento in Stage con rimborso speseLa posizione è aperta ad ambosessi",Entry level,Full-time,Information Technology,N/A
2454837590,2021-03-25,PwC Italy Graphic,Experience Consulting - User Experience Designer - Milano/Roma,"Milan, Lombardy, Italy","Vuoi essere al centro di prospettive di crescita uniche?Entra nella practice Management Consulting di PwC e diventa:User Experience Designer Your Perspectives Gestirai sfidanti progetti di trasformazione del business dei principali players in ambito Consumer Markets, Financial Services, Energy&Utilities, Automotive&Industrial Manufacturing, Government & Healthcare, Telco&Media attraverso l’efficientamento e la reingegnerizzazione dei processi interni.Grazie all’accesso alle vaste competenze del nostro network internazionale, potrai dare spazio alle tue idee e fornire il contributo innovativo che hai sempre desiderato.All’interno degli Experience Centre di Roma e Milano, ti occuperai di ridefinire e disegnare modelli di business e operativi, organizzazioni, processi, prodotti, format fisici e touchpoint digitali, partendo dall’esperienza del cliente/utente finale e facendo leva sulle tecnologie innovative.Con l’Experience Consulting, aiuterai i nostri clienti ad esplorare nuove opportunità di business principalmente nei seguenti ambiti.Brand DevelopmentProduct InnovationService InnovationDigital PlatformsSarai coinvolto con crescenti responsabilità nelle seguenti attività:Definire ​nuovi concept, flussi e architetture informative, impostare attività di ​User Research ​adeguate fino alla realizzazione dei ​wireframe;Analizzare gli insight quanti-qualitativi ​al fine di riprogettare la Customer Journey su diversi touchpoint digitali e fisici;Progettare per applicazioni web/mobile attraverso la realizzazione di ​wireframe, mockup e prototipi interattivi;Accompagnare il cliente nell’acquisire insight attraverso ​analisi di contesto ​orientate al miglioramento della ​customer experience;Organizzare ​test utente​ per raccogliere feedback sulle soluzioni individuate;Eseguire le ​attività di design research​ in maniera collaborativa con il team;Analizzare i risultati della ricerca​ identificando e generando insights significativi e modelli comportamentali;Collaborare efficacemente con gli stakeholders ​e le altre funzioni dell’organizzazione coinvolte durante l’intero ciclo di sviluppo del prodotto;Facilitare ​workshops con gruppi eterogenei ​di utenti e stakeholders;Definire e strutturare deliverables​ consistenti con gli obiettivi di progetto;Creare ​presentazioni e documenti di design strategy;Collaborare con gli stakeholders di progetto per guidare la ​service strategy e la roadmap di sviluppo. Your unique strengthsPossiedi da 2 a 4 anni di esperienza professionale in società di consulting e/o web agency su progetti di design, relativamente ad uno o più canali digitali (web, mobile…) e capacità di portare avanti un processo di design iterativo, collaborativo e orientato ai risultati.;Hai maturato la capacità di​elaborare concept design, flussi e architetture informative ​per nuovi servizi digitali (web, mobile);Sai disegnare in dettaglio i comportamenti di interazione attraverso​specifiche funzionali (wireframe);Possiedi ottima capacità di​prototipazione rapida ​e definizione di ​Design System​ (applicazione di Brand Guidelines: coerenza e scalabilità sui touchpoint digitali);Hai una buona conoscenza dei​principi di Atomic Design, Responsive e Adaptive Design;Sai eseguire ​attività di design research​ (research strategy, ethnographic based user research, secondary research, UX research…) e in particolare capacità di conduzione di ​analisi euristica (valutazione euristica di usabilità);Sai realizzare ​analisi di benchmarking;Possiedi ottima conoscenza dei principali​software​ di progettazione e prototipazione ​(Sketch, Figma, Adobe XD, Invision, Axure);Conosci le ​metodologie User Centred Design ​e dei ​principi di Design Thinking e Service Design​ Tools.Parli e scrivi in inglese fluentemente;Sei in grado di trovare soluzioni funzionali, creative ed innovative a progetti complessi;Sai lavorare per obiettivi e metterti in gioco con passione e senza limiti;Sai guidare un team e creare un ambiente di lavoro stimolante e positivo;Le tue ottime capacità relazionali e comunicative ti permetteranno di instaurarerapporti di fiducia con i clienti e il team;Sei fortemente motivato a consolidare la tua carriera professionale in consulenza. Additional RequirementsConosci i principi del Design Universale e ​Accessibilità dei prodotti digitali ​(Linee Guida WCAG 2.1, teoria e strumenti di validazione);Hai una buona conoscenza e/o esperienza nella definizione e ​conduzione di test di usabilità con gli utenti;Possiedi buona capacità nell’​elaborazione di documentazione di design strategy​ necessaria per la condivisione, il controllo e la gestione dei progetti: specifiche progettuali di dettaglio, meeting reports, analisi funzionali, presentazioni etc.Conosci il contesto dei servizi digitali​ (web, mobile, social) e dei principi di progettazione legati alle tecnologie in uso (app native o ibride, progressive web app, web application…) E’ richiesto un Portfolio di progetti​ differenti che mostri le competenze nei vari ambiti di un processo di User Centered /Service Design. Sedi: Milano/RomaSe hai queste caratteristiche, PwC Consulting composta da oltre 2.000 professionisti è il posto giusto per te. Unisciti alla nostra squadra!Ti sentirai subito a casa ed avrai l’opportunità di fare la differenza contribuendo alla crescita delle aree Strategy, Management, Technology e Risk Consulting.",Associate,Full-time,Consulting,Management ConsultingDesign
2454829191,2021-03-25,Vedrai SPA Graphic,Graphic Designer,"Milan, Lombardy, Italy","Siamo un'azienda che si occupa dello sviluppo e della produzione di brani su Intelligenza Artificiale per il processo decisionale.  Siamo nati a maggio 2020 per opera di Michele Grazioli, Forbes Under 30 considerato tra i massimi esperti in Italia e in Europa di Intelligenza Artificiale, e abbiamo l'obiettivo di portare questa tecnologia alle piccole e medie imprese. Siamo una realtà giovane (età media 26 anni) e in rapidissima crescita; abbiamo a disposizione una riconosciuta e consolidata tecnologia, i giusti partner, e soprattutto un team determinato e motivato.  Siamo alla ricerca di profili ambiziosi, che hanno voglia di mettersi in gioco per supportare la nostra realtà in questo rapido processo di sviluppo. Offerte uno stipendio competitivo, diversi bonus e benefit, uffici moderni e tecnologici, orari di lavoro flessibili con possibilità di smart working più giorni alla settimana, formazione continua, forti opportunità di crescita, e tanti (forse troppi) eventi aziendali. Lavorare in Vedrai può essere dannoso per la linea, ma fortunatamente l'abbonamento in palestra è tra i benefit inclusi.  Nello specifico, siamo alla ricerca di un/una Graphic Designer, per la nostra sede di Milano,  che si occupi della progettazione e sviluppo di campagne di comunicazione e presentazioni aziendali, della pianificazione ed elaborazione di disegni grafici per attività di comunicazione digitale, dell'effettuazione di attività di video editing.   Vantaggi della posizione Possibilità di lavorare all'interno di un team giovane e motivato Una nuova idea verrà sempre presa in considerazione Forte possibilità di crescita personale Ampia autonomia nella gestione delle attività, con orientamento al risultato. Requisiti richiesti Conoscenza dell'utilizzo della suite Adobe, in particolare Photoshop, Premiere, InDesign e Illustrator Conoscenza dell'utilizzo di Wordpress Creatività Buona conoscenza della lingua inglese.  L'inquadramento e la retribuzione saranno commisurati in base all'effettiva esperienza maturata. Nel caso il tuo profilo sia valutato in linea con la posizione, organizzeremo un primo step per approfondire la reciproca conoscenza. Diversamente il tuo Cv verrà conservato e sarà nostra premura ricontattarti in futuro qualora si aprissero opportunità coerenti con il tuo percorso.",Entry level,Full-time,Design,Information Technology and Services
2445157877,2021-03-24,xFarm Graphic,Junior Web & Graphic Designer,"Milan, Lombardy, Italy","xFarm è una società che propone una piattaforma SaaS nel settore della Smart Agriculture, completa e funzionale, pensata per soddisfare a 360 gradi tutti i bisogni delle aziende agricole, in campo e fuori. La nostra giovane realtà sta rapidamente crescendo nel mercato italiano e internazionale (Europa, Sud America, Africa), grazie allo stretto contatto instaurato con i nostri agricoltori e alla profonda esperienza nel settore agricolo del team.Ora è arrivato il momento di accelerare e abbiamo bisogno di te!  La Tua Missione: · Coordinare ed aggiornare l’identità visiva del brand xFarm.· Ideare e produrre contenuti multimediali e stampabili utilizzati dalle diverse aree dell’azienda.· Aggiornare e ridisegnare il sito web aziendale.· Concorrere all'internazionalizzazione dell'azienda dal punto di vista comunicativo.· Interagire con i team marketing e comunicazione di brand clienti al fine di co-progettare e realizzare attività di comunicazione congiunta.  Le Tue Opportunità: · Sviluppare la tua esperienza in un mercato in rapida crescita, come quello dell’AgTech, in Italia e nel Mondo, collaborando con il nostro Head of Marketing e l’intera famiglia xFarm.· Scegliere la strada verso il successo: avrai la libertà di definire la visione, l’autonomia di organizzarla e la responsabilità di realizzarla. · Conoscere il metodo di lavoro e la dinamicità tipiche di una Startup in rapida crescita.  Le capacità di cui abbiamo bisogno: · Ottima conoscenza dell’utilizzo della suite Adobe Creative Cloud, in particolare Photoshop, Premiere, InDesign e Illustrator.· Creatività e cura per i dettagli.· Buona conoscenza nell’utilizzo di Wordpress.· Basi di Digital Marketing al fine di ottimizzare forma e scopo dei design verso gli obbiettivi del team.· Buona conoscenza della lingua inglese al fine di poter gestire contenuti e progetti multilingua. Qualche abilità in più, che non guasta: · Esperienza nel settore Agriculture, AgTech o IT· Capacità fotografiche e/o di videomaking· Conoscenza dei principi SEO per l’ottimizzazione del sito web aziendale· Qualsiasi specializzazione in ambito Digital Marketing· Buone capacità di copywriting",Entry level,Full-time,DesignArt/CreativeInformation Technology,Farming
2461504877,2021-03-23,Elastic Graphic,Cloud - Principal Product Designer,"Milan, Lombardy, Italy","Elastic is a free and open search company that powers enterprise search, observability, and security solutions built on one technology stack that can be deployed anywhere. From finding documents to monitoring infrastructure to hunting for threats, Elastic makes data usable in real-time and at scale. Thousands of organizations worldwide, including Barclays, Cisco, eBay, Fairfax, ING, Goldman Sachs, Microsoft, The Mayo Clinic, NASA, The New York Times, Wikipedia, and Verizon, use Elastic to power mission-critical systems. Founded in 2012, Elastic is a distributed company with Elasticians around the globe. Learn more at elastic.co.We’re looking for an experienced and passionate product designer to help shape the direction of our Elastic Cloud platform. We’re a highly collaborative team that works closely with our product managers, engineers, and other stakeholders to craft intuitive solutions to diverse challenges.What You Will Be Doing:Contributing to the product design of the Elastic Cloud platform. You’ll have a major impact on visual product direction across web, mobile, and much more.Applying ownership through wireframes, prototypes, user stories, and functional code. You’ll be hands-on!Collaborating with international teammates in a mostly text-based, asynchronous, remote-first team environment with occasional video calls and yearly in-person conferences. You’ll be supported by a great group of people.Helping coordinate and conduct user research sessions.Adding your unique character and energy to a welcoming, creative, and enjoyable work environment. You can be yourself.Our Team Style:We appreciate articulate and “low ego” people who want to grow as part of a team.We welcome diversity of all forms, thought above all. We embrace strange and risky ideas and appreciate characters of all sorts.We hold each other accountable and work to a high standard. We take pride in the frequent, safe, and graceful delivery of innovative, delightful, and valuable features.We embrace open communication and challenge. We appreciate positivity and vigilance and strive for autonomy, trust, and personal and professional growth.What You Will Bring:Extensive experience owning product design for a well-designed, at-scale software product. You have accomplished good things!Measured and articulate written and spoken communication skills. You work well with others and can craft concise and expressive thoughts into correspondence: issues, investigations, project briefs, and similar.Fluidity. You are cool with learning new tools, languages, workflows, and philosophies. You can function well in an environment that drives towards change.Well developed product design skills. You can articulate your talents into words, wireframes, prototypes, and functional code. We use Figma, React, and JavaScript/TypeScript.If this sounds interesting, we would love to hear from you! Please include whatever info you believe is relevant: resume, portfolio, GitHub profile, code samples, blog posts and writing samples, links to personal projects, etc.Additional Information - We Take Care of Our PeopleAs a distributed company, diversity drives our identity. Whether you’re looking to launch a new career or grow an existing one, Elastic is the type of company where you can balance great work with great life. Your age is only a number. It doesn’t matter if you’re just out of college or your children are; we need you for what you can do.We strive to have parity of benefits across regions and while regulations differ from place to place, we believe taking care of our people is the right thing to do.Competitive pay based on the work you do here and not your previous salary Health coverage for you and your family in many locationsAbility to craft your calendar with flexible locations and schedules for many rolesGenerous number of vacation days each yearDouble your charitable giving - We match up to $1500 (or local currency equivalent)Up to 40 hours each year to use toward volunteer projects you loveEmbracing parenthood with minimum of 16 weeks of parental leaveDifferent people approach problems differently. We need that. Elastic is committed to diversity as well as inclusion. We are an equal opportunity employer and committed to the principles of affirmative action. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status or any other basis protected by federal, state or local law, ordinance or regulation. If you require any reasonable accessibility support, please email candidate_accessibility@elastic.co.",Not Applicable,Full-time,DesignArt/CreativeInformation Technology,Information Technology and ServicesComputer SoftwareInternet
2448413948,2021-03-22,La DoubleJ Graphic,Graphic Designer,"Milan, Lombardy, Italy","GRAPHIC DESIGNER  We are looking for a strong, super talented Graphic Designer to join La DoubleJ team in Milano. This team member must bring a passion for graphic design, typography, color, and paIern to the role. Strong typographic skills are particularly important.This mid-level designer will be responsible for graphic design projects—small, medium, and large—ranging from digital catalogs and lookbooks to digital and content initiatives, and from retail and collaboration collateral to digital and video training tools. She/He must have experience working in a fast-paced design-driven fashion or lifestyle business.The Graphic Designer will report to the Artistic Director and will work collaboratively with the product, production, and digital/social teams to deliver the freshest creative solutions and highest quality work.  What you’ll do: Address creative briefs and present concepts and design solutions.Design both digital and print assets.Handle multiple, small, quick turn-around collateral projects while also thinking about larger scale projects, ranging from catalogs to pop-up concepts to retail store, sales, and training collateral.Manage production processes and the ability to communicate with vendors and suppliers to complete production.Responsible for the final creative delivery and proofing of all projects.What we’re looking for: +5 years of successful experience as a Graphic Designer in a highly creative, fashion/lifestyle digital first ecomm business.Ability to work quickly and nimbly with a small team on a project-by-project basis.Proven excellent presentaJon and communicaJon skills, and ability to work and interact with internal and external stakeholders.Up-to-date on the latest trends in fashion and lifestyle spaces, as well as plugged into culture and the design worldExcellent organizational skills; able to prioritize and multi-task various and challenging demands.Have strong Adobe Suite skills (inDesign, Illustrator, Photoshop, Bridge, etc.).Strong interest in animation, motion graphics, and film editing a plus.Excellent English skills (mother tongue or bilingual); fluent in Italian.About La DoubleJ Our WorldLa DoubleJ is a multi-tasking Milanese brand that edits the very best of Italy. Founded by J.J. Martin in 2015, the company has expanded from a shoppable magazine selling just vintage clothing and jewelry, to a full lifestyle label offering new fashion made with archival prints, cool home design and rare vintage. All of La DoubleJ’s creations—from its content, editorial projects and pop up shops, to its product design and wildly patterned showroom in Milan—are distilled through a lens of pure joy, eye-popping print and love of all things maximal and dedicated to all the Great Gorgeous Girls who rock it with style.Our LeaderLos Angeles-born, Milan-based journalist and vintage collector J.J. Martin has spent the past 16 years scoping out the very best of Italian fashion and design as a contributing editor at Harper’s Bazaar USA, WSJ, and Wallpaper magazines. Her writing has also appeared in T: The NY Times Style Magazine, Japanese Vogue, AD and Elle Décor. Now Martin translates her experience as an editor into discovering hidden archives, curating under-the-radar talent, and shining the light on Italy’s unsung historic producers as creative director for La DoubleJ.",Mid-Senior level,Full-time,DesignArt/CreativeInformation Technology,Apparel & FashionInternet
2434557534,2021-03-22,NTT DATA Italia Graphic,Full stack Developer (5949),"Milan, Lombardy, Italy","NTT DATA è alla ricerca di candidati con passione per la tecnologia, spirito innovativo e determinazione per costruire assieme i canali digitali (Web, Mobile, Intranet, canali innovativi) dei nostri clienti: le principali aziende italiane ed internazionali in ambito Telco, Finance, Media, Energy, Industria, Pubblica Amministrazione. Responsibilities:Il profilo di riferimento è Full stack Developer, il cui ruolo è di: definire, disegnare ed implementare l'architettura dei canali digitali, considerando i vincoli imposti dall'ecosistema complessivosviluppare componenti e soluzioni di frontend e backendprogettare e implementare la struttura dati di riferimento per la soluzioneProgettare e implementare le API consumate dal frontendSoddisfare i requisiti tecnologici e di business, con visibilità E2E della soluzioneTenersi aggiornato sulle evoluzioni tecnologiche in ambito web application e linguaggi di programmazione, agendo da punto di riferimento per il team Required Skills: HTML, CSS, Javascript e Typescriptframwork javascript (ad es. Angular, React)linguaggo java e framework Spring, Springboot e JPADatabase MongoDB ed OracleOttime capacità di problem solving Nice to have:Conoscenza di architetture a microfrontendFamiliarità con l'approccio DevOps e conoscenza dei relativi tool I team di lavoro prevedono interazioni continue tra Frontend e Backend developer, Graphic Designer e User Experience Designer, e frequenti momenti di confronto con il cliente. Per questo sono richieste eccellenti capacità relazionali e una modalità di comunicazione efficace. E' preferibile, anche se non mandatoria, una Laurea in discipline scientifiche. Sede di lavoro: Milano.",Entry level,Full-time,Business DevelopmentConsultingInformation Technology,Information Technology and Services
2418229121,2021-03-21,LivaNova Graphic,Senior Product Designer,"Milan, Lombardy, Italy","Join us today and make a difference in people's lives!Epsy is a leading digital health platform, on a mission to accelerate the path to optimal treatment for everyone living with epilepsy. Winner of Google Material Design Awards 2020 and CES Innovation Awards 2021, Epsy is focused on incorporating the latest technologies and state-of-the-art data analysis into user-centric experiences, ultimately making life with epilepsy brighter for patients, their caregivers and healthcare professionals.We’re searching for a  Senior Product Designer  to help us reach our ambitious goals. Reporting directly to the Head of Design and working as part of the PED (Product, Engineering, Design) team, you will be responsible for identifying user insights and translating solutions into the best experiences in our product.We are looking to hire in London but if you have an  exceptional portafolio, live in an European location and for any reason are not able to relocate, we would like to hear from you anyway. We are willing to evaluate a remote position.Your Roledefine hypothesis, construct and run user research activities to uncover key user needs and behaviorsunite teams across the business to share learnings, ensuring user insights are translated into the productinnovate in solutions and approach, to scope and deliver to the product roadmap and strategic business goalsexecute and deliver self-led projects, from concepts and user journeys, to wireframes and high fidelity prototypeswork closely with the engineering team to ensure quality and timely execution of design work into live productregularly demo new features and flows to senior stakeholders, providing a clear rationale for design decisionsRequired Skills And Experienceseveral years in product design, delivering end-to-end projects in UX and UI disciplines within start-up and agile environmentsan outstanding portfolio of work that demonstrates strong user-centered design capabilities across a range of projectsdeep subject matter expertise in research and testing techniques, able to discern which practice to use for which activitydriven by data and customer insights, having worked with product managers to track and analyse live productsexcellent communication skills, motivated to learn and work autonomously, but value team collaboration and keen to mentor advanced prototyping abilities with Figma, Sketch, Adobe XD, Marvel and InVision  animation experience in programmes like After Effects a plus  experience in healthcare, as a strong plus  Why work for Epsy? We operate as an independent startup within a large corporate, the LivaNova group. This gives us unique advantages: we move fast and drive growth, while benefiting from the corporate umbrella for excellent funding and resources. Epsy Health is headquartered in London (UK) and Houston (Texas, USA), and our team has fully embraced remote work for the long-term.We’re a team of designers, app developers, product managers, marketeers, customer success managers and data analysts. We pride ourselves on our all-team collaborative approach and actively encourage learning, whether it be in your specialty or simply an area you might like to know more about (examples include talks about hedge fund management and wine!). If you are looking to develop in a supportive team who actively strives to better the lives of millions of people, then Epsy is the place for you.Here is an illustrative list of what you can expect at Epsy: Flexible work from home arrangements  Pension contribution  Cycle to work scheme  Private medical insurance/eye care  Employee Assistance Program (EAP): core resources available with additional access to discounted merchandise and a Wellbeing Assessment  Company sick p ay  Life assurance  Gym membership  Company shares purchase program Long Service – extra day off for each year of service MacBook Pro and software you need to work effectively  Supportive senior leadership and enthusiastic atmosphere throughout the company  Opportunities to shine with our various collaborative team meetings Lots of fun virtual events like pizza-making and wine tastingOur Commitment To Diversity & InclusionLivaNova values equality and celebrates diversity. We are committed to ensuring that our recruitment process is fair, transparent and free from unlawful discrimination.Our selection process is driven by the key demands/requirements for the role rather than bias or discrimination on the basis of a candidate’s sex, gender identity, age, marital status, veteran status, non-job-related disability/handicap or medical condition, family status, sexual orientation, religion, color, ethnicity, race or any other legally protected classification. Background Checks At LivaNovaUpon successful completion of the hiring process an offer may be extended. Please note, LivaNova reserves the right to conduct background investigations and/or reference checks on all its potential employees, where permitted by local legislation. This offer therefore, is contingent upon a clearance of such a background investigation and/or reference check, and can be rescinded, where permitted by local legislation, based upon data received in the background check and/or refusal to cooperate with or any attempt to affect the results of this check. This process is not currently valid in Germany.Notice To Third Party AgenciesPlease note that we do not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Services Agreement, we will not consider, or agree to, payment of any referral compensation or recruiter fee. In the event that a recruiter or agency submits a resume or candidate without a previously signed agreement, we explicitly reserve the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency.",Associate,Full-time,EngineeringInformation Technology,Information Technology and ServicesMedical DevicesHospital & Health Care
