Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2394582077,2021-02-08,Cervello Graphic,UI/UX Designer,"New York, NY","PositionWe are currently seeking an energetic and highly motivated Designer who thrives in a team environment, has outstanding interpersonal skills, a strong design portfolio, and who wants to be part of an agile and progressive team. Designers are expected to build a strong foundation shaped by user expectation, industry trends, and the competitive landscape, and then find ways to differentiate their designs to solve problems and deliver value to clients.Job ResponsibilitiesSynthesize information to create wireframes and high-fidelity prototypesThink creatively about how to solve real business and end-user problemsWork closely with other team members to ensure all requirements are met with designsBuild a solid foundation in business-centric designTake client feedback on designs and incorporate them to drive valueQualificationsDesired Skills & ExperienceRequiredExperience using Sketch, InVision, Figma, or other design and prototyping toolsSolid understanding of design principles and design systemsDemonstrated experience in responsive or mobile-first designGood problem-solving skills and a curiosity of how experiences effectively come togetherAbility to elegantly solve complex problemsGood time management skillsShould possess strong communication and presentation skillsHighly collaborative and can work well in a fast-paced team environmentAbility to produce effective design documentationAbility to interact with other team members for status updates and design review meetingsAbility to quickly learn new conceptsPreferredFront-end development experience (HTML, CSS, Javascript)Experience working with a diverse team of designers, developers, product owners, and client stakeholdersAbility to lead and grow a design teamABOUT US: OUR WORKPLACE IS FUN AND FAST-PACED:We are Cervello. We believe in the power of connected data. We are laser focused on helping organizations harness the interconnectedness of digital, data and decision-making. We are problem solvers and builders focused on helping our clients win with data. Our culture is cool and innovative. Our environment is casual and conducive to collaboration and problem solving. We take our work seriously but not ourselves. It’s the perfect balance of freedom and accountability. If you want to be part of something great – join us!Equal Employment Opportunity and NondiscriminationCervello prides itself on providing a culture that allows employees to bring their best selves to work every day. Our people can feel comfortable, confident, and joyful to do great things for our firm, our teams, and our clients. Cervello aims to build diverse capabilities to help our clients solve their most mission critical problems. Cervello is committed to building a diverse, unbiased and inclusive workforce. Cervello is an equal opportunity employer; we recruit, hire, train, promote, develop, and provide other conditions of employment without regard to a person’s gender identity or expression, sexual orientation, race, religion, age, national origin, disability, marital status, pregnancy status, veteran status, genetic information or any other differences consistent with applicable laws. This includes providing reasonable accommodation for disabilities, or religious beliefs and practices. Members of communities historically underrepresented in analytics and consulting are encouraged to apply.",Entry level,Full-time,EngineeringInformation Technology,Information Technology and ServicesComputer SoftwareManagement Consulting
2435430450,2021-02-23,All Turtles Graphic,Principal Brand Designer,"New York, NY","All Turtles is a mission-driven product studio. We solve clear, meaningful problems felt by people and companies alike, and make products with simple, direct business models. We're a fully distributed team, with team members across the United States, and in many countries internationally.As an experienced designer working on projects or partnering with studio companies, you'll establish brand identity and positioning for products in alpha and beta, and beyond. You'll push pixels but also participate in strategic conversations to shape how new products communicate who they are and what they do.If you enjoy thinking holistically about brand and working across every facet of identity and marketing—from logos and naming conventions to style guides and design systems to websites and campaigns—this role could be a fit. We're looking for someone who loves hands-on design work but who also can contribute strategically to early-stage projects and companies.YOU'LL BE RESPONSIBLE FOR: Defining, developing, and delivering the visual design systems of our products and working with engineers to ensure design integrity. Refining and refreshing existing visual designs. Contributing to and improving our design culture (best practices, tools, deliverables, communications, relationships, etc.) Handling a continually changing workload. Leading dedicated project teams in design thinking. IDEALLY, YOU'LL HAVE: 5-10 years experience in brand design. An outstanding eye for detail and consistency, combined with a deep understanding of branding, typography, color, usability, grid systems and responsive frameworks. Strong sense of concept development, in addition to communication, collaboration, research, problem-solving, and presentation skills. Solid visual design foundation (typography, layout, etc.). Proficiency with leading design software including Figma, Illustrator, Photoshop, InDesign, etc. Ability to see an assignment from inception through to completion in a fast-paced environment. Ability to juggle multiple, varying projects. Experience building out a wide range of brand identity systems from scratch. Worked with early-stage companies. The Principal Brand Designer role is a full-time, permanent position reporting to the Director of Brand Design. This role is a remote position, and can be based in any location. Since our distributed team works primarily across US time zones, US-based applicants are preferred. We offer comprehensive insurance benefits to our employees and their qualifying dependents, in addition to flexible vacation, a 401(k), parental leave, and a suite of optional benefits and perks programs.All Turtles and is committed to creating and fostering a diverse team. We encourage people from underrepresented backgrounds and all walks of life to apply. We're committed to providing reasonable accommodations to all applicants throughout the application process.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
2468018697,2021-03-28,Beauty Design Graphic,Designer,"New York, United States",Full time work is needed.,Entry level,Full-time,DesignArt/CreativeInformation Technology,Individual & Family Services
2444629375,2021-03-02,Pierce Professional Resources Graphic,Instructional Design/Trainer,"New York, United States","The Instructional designer will be building training materials; design them, write them, and publish them in Articulate 360 and WordPressFinancial Advisor Education and Development Development, maintenance, and presentation of training materials including the following training slides, interactive tutorials and recorded demonstrations, user tests, quick reference guides, surveys, etc. to over 1000+ financial advisors. Develop training plans for multiple projects throughout the year. This includes both corporate staff and financial advisors. Train advisors and staff on advisory platforms, trading and portfolio management platforms, document imaging solutions, service request system and practice management and many more systems. Understanding of WebEx, Adobe Connect, Adobe Presenter 8.0 and Adobe Captivate 7.0Designed and developed eLearning content and teach online webinarsRequirementsThe Instructional designer will be building training materials; design them, write them, and publish them in Articulate 360 and WordPressFinancial Advisor Education and Development Development, maintenance, and presentation of training materials including the following training slides, interactive tutorials and recorded demonstrations, user tests, quick reference guides, surveys, etc. to over 1000+ financial advisors. Develop training plans for multiple projects throughout the year. This includes both corporate staff and financial advisors. Train advisors and staff on advisory platforms, trading and portfolio management platforms, document imaging solutions, service request system and practice management and many more systems. Understanding of WebEx, Adobe Connect, Adobe Presenter 8.0 and Adobe Captivate 7.0Designed and developed eLearning content and teach online webinars",Mid-Senior level,Contract,DesignArt/CreativeInformation Technology,Information Technology and ServicesComputer SoftwareFinancial Services
2469023816,2021-03-20,Creative Business Resources (CBR) Graphic,Landing Page Designer,"New York, NY","WITHIN is currently seeking a talented landing page designer for our Creative Team. Day to day responsibilities include but are not limited to Work closely with creative team to execute succinct user-journey maps Gather, create and translate file assets for optimized web delivery Design, build and enhance UI/UX and interactive page elements Write and implement code which emphasizes usability and cross-browser operability Ensure work is in alignment with client/brand guidelines and content standards RequirementsMust be fluent in HTML5, Javascript and CSS. Experience with Figma and Unbounce not required, but preferred.BenefitsAbout Us We are Performance Branding experts, working with scalable and enterprise brands including Nike, Spanx, and Shake Shack. We leverage digital channels and creative to grow our clients. Data drives our decision making and enables us to operate like trusted business partners. WITHIN works with brands to collapse the funnel between performance and brand marketing unifying objectives, targets, strategy, and implementation. Partnered with a brand’s value proposition, our integrated media and personalized content solutions prioritize profits and growth over channel optimization, taking a holistic approach to marketing programs, and training our people across every channel. We use the best technology available along with proprietary tools delivering the best performance for our clients.Everyone at WITHIN wants to grow and be challenged. It’s a collaborative place made up of small, closely knit and versatile teams that are fast and adaptive to solve problems and build systems. We support remote work, and provide a physically distanced office space for those who need it.We offer a competitive salary and benefits based on ability level including  Base salary DOE Unlimited vacation policy Bonus opportunities Monthly Phone Stipend Comprehensive Medical, Dental, and Vision insurance options Dog friendly office Full Time Remote Work options",Associate,Full-time,MarketingPublic RelationsWriting/Editing,Marketing and AdvertisingComputer SoftwareInternet
2464752851,2021-03-17,SimpleHealth Graphic,Content Designer,"New York, NY","About UsEveryone deserves access to birth control. We make it simple — with online prescriptions, automatic refills and free home delivery, SimpleHealth makes that mission a reality. Our brand is focused on providing Access and Expert Care to allow people to realize their potential through a healthy reproductive system.About The RoleAcross all our marketing and product touch points, our content is the core of our message. We’re always looking for opportunities to educate and inform our audience through honest, transparent, and simple language. Whether it’s a blog post, an email campaign, or an FAQ page, writing consistently and well is a key to our success.As a content designer, you’ll work with our design team to craft our brand and marketing messaging, value propositions, promotional campaigns, and in-product education. The work ranges from fast-paced writing and iteration to big-picture thinking and creative exploration.Responsibilities include:Writing and editing content for marketing channels such as our blog, social media, and emailDeveloping the SimpleHealth tone of voice in partnership with the brand marketing teamProviding guidance to the organization on how to communicate around the complex topics of birth control and reproductive wellnessAuditing, analyzing, and improving the performance of direct response content like email subject lines, CTAs, headlines, and other promotional copy.About YouThe right person for this role has:Experience working with high growth, direct to consumer brandsUndergraduate degree in English, journalism, communications, marketing, creative writing or the equivalent experience and practiceA portfolio that showcases your ability to create high-quality content across a diverse set of channelsAn understanding of how to use performance data to iterate on and improve contentA curious nature: wanting to learn and grow with our patients using A/B and multivariate testingStrong communication and collaboration skills, especially with stakeholders and other non-designersAn entrepreneurial spirit; the ability to be autonomous and self-motivated in a remote work environment Bonus skills & experience:Familiarity with design tools such as Figma, Photoshop, Illustrator, and InDesignUnderstanding of customer insights and market researchExperience in creating voice & tone guidelines for brandsFluency in SpanishYou’ll also need to reside in one of the following states: CA, CO, CT, GA, IL, IN, KY, MA, MI, NC, NJ, NM, NY, OR, SC, TX, VA, WA. If you do not reside in one of these states, unfortunately we won’t be able to consider your applicationWe think you should join us. Here’s whyWe see things differently. That’s why we’re building a diverse culture - with people who bring unique perspectives & backgrounds to the table. We need a diverse team to build products that serve our diverse patients.We’re humans first, employees second. Work-life balance matters to us - that’s why we require minimum vacation time, are flexible with when and where you work, offer paid parental leave & more.We’re building for longevity. Growth is not confined to job descriptions or teams, and we encourage continuous learning, both within your specialty and in other interests.Health matters to us, including yours. We pay 100% of employee healthcare and dental premiums, and a membership with One Medical.Powered by JazzHRuwRi6eBFiS",Mid-Senior level,Full-time,MarketingPublic RelationsWriting/Editing,Computer SoftwareInternetHospital & Health Care
2378566532,2021-01-12,"Monro, Inc. Graphic",Instructional Designer,"Rochester, NY","Company DescriptionMonro, Inc.Monro, Inc. is one of the nation’s largest auto service companies and major tire retailer. We own and operate more than 1,200 stores in 32 states and our stock trades on the Nasdaq (MNRO). The Monro family of brands includes some the most recognizable names in the industry—Monro Auto Service and Tire Centers, Mr. Tire, Tire Choice, amongst many more regional chains. Our dominance is driven by teammates who strive to provide a five-star experience and deliver consistent value to our guests and shareholders. At Monro, we understand that a 5-star guest experience begins with a 5-star teammate experience. In fact, we’re currently investing more than $100 million in store improvements, new technology, and career development through our own Monro University training platform.Destination Monro – Your Career is Here!Do you have what it takes to shape a better future for yourself and the automotive service industry? Our vision is to be America’s leading auto and tire centers, trusted by consumers as the best place in our neighborhoods for quality automotive maintenance and repairs. We’re looking for motivated individuals at every stage in their career who share our vision. Positions are available in our retail locations across our many brands, in field management, and in store operations at our Store Support Center in Rochester, New York. If you like helping others, as much as you like working on cars; if you enjoy being part of a team, solving problems, and building guest relationships; if you value honesty and integrity - we have a Destination for you at Monro. Contact us to learn more. Destination Monro! – Your career is here.Job DescriptionThe Instructional Designer is responsible for analyzing, designing and developing high quality training content for technical, sales and operations learning programs for Monro’s retail stores. This position focuses on instructional design and curriculum development and the delivery of training. The Instructional Designer plays a significant role in the training and development of a successful and effective retail network support team.Essential Functions Collaborate effectively with Monro Service teams, subject matter experts (SMEs) and others on the field Support team to develop training content as well as non-technical curriculum Conducts stakeholder and SME interviews to determine, recommend and document training needs and projects Perform needs analyses using available data and evaluate program results to continuously improve learning effectiveness Assist with development of learner engagement strategies and evaluation plans Designs and develops course content applying adult learning principles including but not limited to measurable learning objectives, scenarios, simulations, audio scripts, progress checks, performance evaluations and knowledge assessments Utilizes ADDIE, SAM, Kirkpatrick and other recognized models to design, develop and publish engaging course content, learning activities and knowledge assessments for ILT, online, virtual and blended modalities Adapt instructional materials created for one format to another format (usually from face-to-face to eLearning and virtual) Revise, rewrite and review course content for accuracy Upload, test and maintain content to an LMS Provide train the trainer sessions (classroom or virtual/remote) to support implementation of training programs across the Monro Inc. brands Perform other duties as assignedManagement ResponsibilityThe Instructional Designer is an individual contributor to the team and operates under the direction of the Manager, Operations Support.QualificationsEducation and Experience: Bachelor’s Degree in Communication, Education, Instructional Design or related field (or a technical field) with a minimum 2 years experience in an instructional design or curriculum development role (in a technical, retail or automotive service environment a plus), or the equivalent combination of education and experience.Certifications in instructional design, curriculum development, performance improvement, project management, and content-specific certifications as appropriate (CPLP, CPT, PMP, etc.) is a plus.Knowledge & Skills Demonstrated experience designing and developing training materials and content to include creating instructor-led materials, online/e-learning modules, job aids, online tutorials, knowledge assessments and other training materials Ability to design, develop and evaluate assessments and use the assessment output data for performance and training improvements Ability to apply adult learning principles and incorporate this into curriculum design and development Demonstrated working knowledge of eLearning development tools such as Articulate Studio/Storyline, Captivate, Camtasia, Adobe Photoshop/Illustrator, VYOND or Flash, LMS (or similar), virtual instructor-led training tools, and social learning tools Demonstrated ability to assess training effectiveness and ROI for reporting to stakeholders and leaders Proven experience collaborating with global stakeholders, SMEs, store managers and technicians Excellent verbal and written communication skills with the ability to edit content for knowledge transfer and skill development; Excellent interpersonal skills to collaborate with subject matter experts and managers to help write and develop technical content Excellent project/program management and organization skills with the ability to manage multiple priorities and change focus quickly to meet business needs Ability to integrate the use of knowledge bases and online reference for learning and performance support Familiarity with SCORM, online learning, learning technology and/or web design or development skillsWork Environment & Physical RequirementsThis job operates in a professional office environment with exposure to a warehouse environment.This role routinely uses standard office equipment such as computers, phones, photocopiers, scanners and fax machines. This position requires sitting/standing for prolonged periods of time and the ability to see, read, hear and speak.Additional InformationBenefits Health Insurance Dental Insurance 401K Retirement Plan with Company Match Paid vacation Paid Holidays Employee Discounts Career DevelopmentYour next Destination!Growth Opportunity: At Monro we’re committed to helping our teammates grow their career through the combination of coursework, demonstrating skills and open opportunities. You will receive on-the-job training, company sponsored certifications, as well as course curriculum in Monro University that empowers you to advance to the next level of Automotive Professional.Monro, Inc. is an equal opportunity employer and affords equal opportunity to all applicants for all positions without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",Entry level,Full-time,EducationTraining,Automotive
2480306375,2021-03-28,Swipe4Free Graphic,Junior Graphic Designer,"Long Island City, NY","Valor PayTech is seeking a Junior Marketing Graphic Designer to join our team! You will be working alongside our Senior Graphic Designer creating designs and marketing materials including print ads, animations, social media posts, trade show displays, and more to meet commercial and promotional needs.This is an exciting in office position for designers looking to showcase their talents in the tech world and see their work printed and used Nationwide by our sales team.ResponsibilitiesGraphic Design - Must be able to clearly convey Valor PayTech’s vision and branding with your own creative flair.Web Design - Must be able to create and edit webpages / lading pages as well as customizing templates (ex: Wordpress, Shopify, Squarespace, Unbounce)Print Design - Must be able to create graphics and vector files that are sized, color corrected, and ready for print (ex: brochures, flyers, mailers)Email Blasts - Must be able to create email blasts using HTML / CSS as well as using third party services (ex: Mailchimp)Must be able to multitask and prioritize various projects ranging from design, marketing, copywriting, and trade show preparationMust be detail oriented. Precision is key.Must be comfortable working and communicating directly with executives in a one-on-one environmentAbility to work in our office location. This is not a remote position.Required SkillsPhotoshopIllustratorSocial Media Management (Facebook, Instagram, Twitter, LinkedIn)Dreamweaver / HTML / Web ExperienceEmail Blast ExperiencePremiere / Final Cut ExperienceOptionalInDesignPremiere / Final CutAcrobat / PDF editingPhotographyVideographyApplication RequirementsOnline Portfolio with related workAdobe LicenseAbility to work in office. This is not a remote position.When applying please include your resume along with a link to your online portfolio as well as your top 3 favorite fonts and 1 design based social media account you enjoy.We offer financial services to business owners locally and nationwide. The unique culture at Swipe4Free is hard to beat, where innovation and a hard-working environment go hand-in-hand with a professional yet fun atmosphere. We promote an energetic and team-oriented workplace where collaboration and a results-driven attitude is key to our success.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareFinancial Services
2480030769,2021-03-28,UNTUCKit Graphic,Technical Design Intern,"New York, United States","UNTUCKit is seeking an individual with a focused interest in apparel product development and production in the targeted discipline of technical design. The ideal candidate is eager to learn practical professional skills a new career gained through firsthand experience.This individual is curious, organized, detailed oriented; agile in a fast-paced varied working environment, Self-starter Task-to-Goal driven. The Intern will report directly to a Senior Technical Designer. Candidates will be introduced to assist in a full scope of tasks and duties across all categories specific to the role of Technical Design. Seasonal development prototype approval tracking Log-in all incoming submissions of development garment prototypes  Assist in preparation of garment samples for fittings  Data entry Input garment specifications into PLM (Product Life Management) system. Prepare and organize all samples for fittings on live model. Will be Introduced to SOP (Standard-Operating-Procedures) Best Practices. Assist with measuring garments as needed.   Assist with tracking of all incoming fit samples, approval status updates and aid in email correspondence with vendors.This applies to Production orders and new developments.  Assist in detailed note taking during the fitting. Assist in photos documentation of fit samples. Attend cross-functional meetings with Senior Technical Designer Requirements Bachelor’s degree in Fashion Design or equivalent experience, preferably in Technical Design Willingness to grow in the role over time and take on new tasks. Ability to collaborate and work with different teams, including Production and Design Strong attention to detail, organization, and time-management skills Ability to solve problems creatively or improve existing systems/ processes. Strong awareness and understanding of how to measure garments Proficiency with knowledge of Mac OS and Microsoft Office Suite. Adobe Creative Suite experience is a plus. BenefitsPaid Internship $15.00/hr",Internship,Internship,DesignArt/CreativeInformation Technology,Apparel & FashionConsumer GoodsRetail
2416262140,2021-02-09,Pollo Regio Graphic,Designer,"New York, United States","Brown Harris Stevens is looking for a full-time Designer! Brown Harris Stevens is one of the largest and most respected real estate brokerages in the country, with a global partnership network. This year Brown Harris Stevens is looking to redefine its marketing with a modern approach and brand-focused content team. We believe that finding a home is far more than a transaction - it can be a defining moment of your life. With our new marketing leadership we are looking to completely revamp the messaging and content that we produce and create a brand that makes the world as excited as we are about our industry.What's the Job?You’d work within BHS’ marketing team and help with Creative concepting to identify a look and feel for various content Designing materials in InDesign Editing photos in Photoshop Coordinating with vendors for assets (including, photo, video, floorplans) Working hands-on with agents to advise them on design elements Collaborating with a creative director and team to identify new ideas RequirementsWhat kind of person are we looking for?We’d like you to be the kind of person who has at least 2+ years experience designing in Adobe loves pixel perfect modern design and capable of producing it is passionate for keeping things simple meticulous about organization, clean layer structuring, and naming conventions has strong typography skills and understands nuances of margin space geeks out on design trends subscribes to blogs and channels about design might describe themself as creative, artistic, organized, strategic, detail-oriented, collaborative, etc. has an entrepreneurial drive that will thrive with minimal structure (we don’t micromanage) brings a positive attitude to the workplace Interest and/or knowledge of real estate market is a big plus BenefitsCompensation commensurate with experience.Brown Harris Stevens is an equal opportunity employer.",Associate,Full-time,Marketing,Marketing and AdvertisingFinancial ServicesReal Estate
