Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2469543748,2021-03-29,FIGS Graphic,Graphic Designer,"Santa Monica, CA","FIGS is looking for a Social Media Graphic Designer to help bring the FIGS brand to life! The ideal candidate has outstanding typography skills, a great eye, and a passion for keeping up with the latest trends.What You'll Do Design and ensure all social media graphics and ads are high-quality, beautiful, consistent, and on-brand. Drive multiple projects to completion —from social media campaigns to guest-facing experiences to print collateral Offer input on creative meetings and help to build FIGS’ creative concepts Provide art direction and work collaboratively with social media team as necessary Qualifications 2-5 years’ experience in a Graphic Designer role Strong working knowledge of the following programs is a must: InDesign Illustrator Photoshop After Effects   Proven experience seeing projects through from inception to production Demonstrated ability to meet deadlines in a fast-paced environment  Excellent written and verbal communication skills Strong organizational skills that support the rest of the team High motivation for maintaining and improving design standards Illustration and experience design preferred Motion graphics experience preferred Must have strong portfolio/work samples included in application Other Must Haves Positive attitude  Proven work ethic and integrity  Entrepreneurial mindset Desire to excel and grow with FIGS  Please apply with your portfolio or samples of work and resume to be considered.A Little Bit About Us…The medical apparel industry is antiquated, highly fragmented and, until FIGS, was driven solely by low-cost providers offering a limited selection of poor quality products sold through third party distributors. FIGS is revolutionizing the medical apparel industry by creating the highest quality medical apparel in the world and by selling directly to medical professionals through our branded ecommerce site.FIGS’ foundation is built on product quality, and we have a relentless focus on three key areas: fabric, fit and function. We developed our proprietary, performance-oriented fabric technology to meet the demands of the medical profession. FIGS’ Technical Collection fabric is wrinkle resistant, moisture-wicking, lightweight, breathable and offers four-way stretch. Our designs are tailored, sophisticated and innovative, incorporating features such as yoga waistbands, smart storage (pockets, zippers, hidden pockets) and inspirational sayings inside each garment that appeal to modern healthcare professionals.By offering a branded and customer-centric online shopping experience, we are changing how medical professionals buy their workwear. Through our website, social media, and participation in medical conferences and events, we have built a strong following within the medical community and a meaningful connection with our customers, which allows us to understand their needs and to ensure that FIGS is continuously improving and innovating.FIGS’ Threads for Threads initiative is central to our mission. FIGS has donated hundreds of thousands of scrubs to healthcare providers in need around the world.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Apparel & FashionConsumer GoodsRetail
2460819471,2021-03-22,Nike Graphic,Brand Designer (Contract),Los Angeles Metropolitan Area,"Nike does more than outfit the world’s best athletes. We are a place to explore potential, obliterate boundaries, and push out the edges of what can be. We’re looking for people who can grow, think, dream and create. We thrive in a culture that embraces diversity and rewards imagination. We seek achievers, leaders and visionaries. At Nike, it’s about bringing what you have to a challenging and constantly evolving game.This is a unique opportunity to join Valiant Labs, Nike’s new business incubator. We’re a fast-moving entrepreneurial team currently exploring the edges of possibility! We move with speed and purpose, taking calculated risks and failing fast – all with one goal in mind: serving consumers in new and unimagined ways.The TeamWe are a small and passionate team tasked with creating the future of gen-z shopping for girls. We are developing a native mobile app that takes social commerce in-house to deliver the only shopping destination that celebrates girls who are “just doing it” their own way with a true mix of sport, style, activism and mindfulness. The place consumers come to score a pair of AF1s and see how the community styled them and all the things they do in them!The RoleWe are looking for a Brand Designer to establish, evolve and extend the NOTHING BUT GOLD visual identity across our digital product and in-app content that gets girls coming back to explore, shop and share their feedback.You’re fluent in the Nike design language and are well-versed in the software and tools of the job. You love getting your hands dirty, excel at the craft of design and are developing your strategic side through collaboration. In addition to an understanding of digital design standard methodologies, you have experience integrating film and motion graphics into your work. Creating design systems excites you. You have informed opinions about design, are obsessed with social media trends and understand the aesthetic sensibilities of Gen Z brands and creators.Collaborating with the Site and Content Merchandiser and Director of Brand Marketing you will explore themes, develop a cohesive storyline, and create content that meaningfully engages our community. You’ll drive creative production and briefing with external partners and will be constantly experimenting to find new creative ideas to keep evolving our new brand and keep our Gen Z audience engaged.ResponsibilitiesHelp shape and extend our visual identity, brand guidelines, and creative production capabilitiesTest and experiment new in-app creative to drive user engagementSupport the team in the creation of project materials, presentations and creative briefs.Educate the project team on digital trends and Gen Z design systemsQualifications4+ years of hands-on design experience for an agency, in-house creative team or start-upObsession for creating digital experiences, in social and other platformsA fascination and curiosity towards digital culture, social media and technologyBachelor’s degree in design, advertising, art direction or a related fieldPassion for the Nike brand, sports and for creating world-class workOutstanding visual design skills in typography, composition, motion and systems designDeep understanding of Figma, Sketch, Adobe CC and KeynoteExperience with After Effects, Premiere and other motion editing softwareNIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process and to perform essential job functions. Please contact us to request accommodationRole TypeW2 Contract (12-month assignment)LocationRemote. Team is primarily PST working hours.",Mid-Senior level,Contract,Design,"Apparel & FashionHealth, Wellness and Fitness"
2469549425,2021-03-30,Hello Design Graphic,Graphic Designer,"Los Angeles, CA","Hello Design is looking for a skilled Graphic Designer to make the future with us. You will conceptualize and design visual identity systems for a range of clients and applications. Collaborate with multifunctional teams to produce stunning and effective creative work. We are looking for designers who are passionate about quality design and have a drive for innovation—with the portfolio to back it up.Requirements:- Collaborate with clients and multidisciplinary teams to execute creative solutions- Design visual identity systems and branded collateral with business goals in sight- Bring ideas to the table, explain your point of view, and take feedback and direction - Manage multiple projects simultaneously and meet deadlines without breaking a sweat- Solid foundation in branding and communication design - Experience with typography, environmental design, presentation design, or motion a plus- Mastery of Photoshop, Illustrator, and IndesignAttributes- Detailed and organized- Excellent communicator- Able to manage multiple projects simultaneously- Responsible with a strong work ethic and sense of ownership- Enjoy working in a collaborative environment- Passion for quality design and innovation- A thirst for learningHello is a creative agency driven to craft worthy experiences. We believe everything will be digital—surrounding us like the air we breathe. Strategically insightful and creatively purposeful, we start with relevant and authentic ideas. Hello is communication, and simply what we do. Our clients include Facebook, Nike, Tillamook, Sonos, Murad, and Supercell. Our work: hellodesign.comBenefits include competitive salary, 100% employer paid health and dental, 401(k) match, paid vacation, sick leave and holidays. When we're in the office we also have a fully stocked snack rack, freshly ground coffee, and really cute dogs.",Associate,Full-time,DesignArt/CreativeInformation Technology,DesignInternetMarketing and Advertising
2469537795,2021-03-30,Warren James Graphic,Graphic Designer,"Los Angeles, CA","Company Introduction  YOU DREAM IT. WE BUILD IT. Warren James creates stronger emotional bonds between creators and fans through extraordinary merchandise experiences, for a global audience every day. We create innovation and experiences across consumer products including custom apparel, accessories, collectibles, art, consumables, character creation and so much more. Warren James is made up of a diverse team of creatives and innovators, working with top talent covering the spectrum of media, tech, gaming, retail, and entertainment. As an early member of our team, you will play a foundational role in shaping Warren James’ culture and leadership in the experiential merchandise arena.  Graphic DesignerWe are seeking a skilled mid-level Graphic Designer who is organized, creative, able to take direction well, and is interested in the cool properties and content creators we work with every day. In this position, under the guidance of the Art Director, you will support graphic design needs per client that can include apparel and accessory design, logo mockups, packaging design and more. Strong experience with design programs such as Photoshop and Illustrator are required. Other skills we are looking for in a graphic artist include print production and illustrative experience, but are not mandatory. An understanding of streetwear trends, fashion, and entertainment are a must! Responsibilities and Duties ● In partnership with the Creative Manager, support customized branding and product strategies through graphic design for specific Warren James properties and content creators ● Via the Art Director’s leadership, the GD will: ·         Support the strategy and development of product designs ·         Take direction and modify designs to reflect feedback accordingly·         Work within Warren James creative processes, concepts, guidelines, and strategies·         Collaborate with the Brand Management team to gauge the needs of their individual clients·         Participate in collaborative meetings throughout the design process·         Push the boundaries of what “trending” means and test new waters with different product concepts our Clients can review·         Other duties as assigned Preferred Qualifications ·      Minimum of 3-6 years of graphic design experience·         Proficiency with design software such as Photoshop, Illustrator, InDesign and other design technologies  ·         Willingness to learn and ability to action constructive feedback·         Experience working in the fashion or toy industry with knowledge of design styles, fabrics, and products is preferred but not required·         Print production experience and knowledge of how to set up files for apparel strongly preferred·         Ability to think creatively and strategically in a fast-paced company culture·         Strong team player with interpersonal skills is a must·         ​Excellent verbal and written communication skills·         Possess an understanding and appreciation for a broad range of categories and demographics from children's toys to contemporary streetwear·         Knowledge of current trends and an experienced user of social media·         Familiarity with Gsuite, Asana, Discord, Canva or similar applications·         A degree in fine arts or design is a plus·         Illustrative Experience (not required)·         Tech-pack design (not required)Reports To The Graphic Designer role will report to the Warren James Art Director, with a dotted line to the Brand Director Employment Level Mid-Level DesignerEmployment Type Full-TimeIndustry Consumer Goods What We Offer ·         Health and Dental Benefits·         Paid time off and sick leave ·         Paid parental leave·         A completely remote work experience We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status. Learn more about Warren James, our capabilities, creators, and partners here: https://warrenjames.org",Entry level,Full-time,DesignArt/CreativeInformation Technology,Apparel & Fashion
2455995853,2021-03-18,Tesla Graphic,Visual Designer,"Hawthorne, CA","As a Visual Designer at Tesla, you will be responsible for the design development of all visual brand communications. You will be part of the team that creates and executes world-class graphic design, branding, and more.Using your considerable design experience and innovative thinking, you will be tasked with working with the team in creating designs for visual brand communications but you may also be called upon for other design tasks (photography, illustration, etc.) based on your skillset. Our design team prides itself on being multitalented and flexible, and we look for the same in our potential candidates. You will report to the manager for Content Creation.ResponsibilitiesDevelop and design assets for events, communications, web, marketing, sales, products, and anything else that needs graphic design work to communicate Tesla’s visual style in a creative way. This can be anything from full-on campaigns from start-to-finish or unique one-off properties.Some project will require you to work with engineers, digital modelers, architects, and other professionals within the company. Participate in cross-functional strategy, timing, and process discussion as it pertains to brand communications.Work cross-functionally with designers of other disciplinesWork with suppliers to achieve our design goals on any physical assets.Collaborate with the fabrication team to complete prototypes when necessary.Occasionally participate in design efforts outside of your area of expertise as necessity and as your own skillset dictates.Skills And Qualifications1-8 years of work experience in visual design or a related fieldMust be able to show a portfolio of work that reflects creative thinking, broad range, and modern, minimalist taste.Beneficial to have in-depth technical knowledge of product development as it relates to graphic design (such as printing, web and mobile app development, etc)Excellent at creating and maintaining cross-functional working relationships.Exceptional visual and oral communication skills.Must be self-motivated and able to manage multiple parallel-path projects.Demonstrated an ability to deliver successful designs under tight timing constraints and provide examples of such scenarios throughout career.Bachelor’s or Master’s degree in Graphic Design (or similar)",Entry level,Full-time,Information Technology,AutomotiveRenewables & EnvironmentUtilities
2468097679,2021-03-29,AG Jeans Graphic,Jr. Graphic Designer,Los Angeles Metropolitan Area,"Job Title: Jr. Graphic Designer** Provide resume and portfolio (Required)OverviewAG is looking for an entry level Graphic Designer to join the Ecommerce team. Reporting to the Sr. Graphic Designer, this individual will support the creative team to conceptualize, plan and design digital content for the Brand. Responsibilities:Provide high quality and on brand design concepts for product launches, landing pages, email marketing, SMS, site content blocks, brand campaigns and digital paid media adsCollaborate with user experience designers to turn wireframes into high fidelity design conceptsSupport the creative team in developing design concepts, mood boards and inspiration decksManage, organize and maintain digital assetsPartner with Project Management, User Experience, Digital Marketing and Merchandising teams on key dates, deadlines and content delivery requirementsQualifications:2-3 years’ experience in digital graphic designBachelor’s degree in art, design or related disciplineExpert experience in creative tools such as Ps, Ai, Id, Keynote, InDesign, Figma, Sketch, etc.Ability to take high level direction from creative management and build digital assets, inspiration boards and design pitch decksDemonstrated undressing of website usability and digital content optimization best practicesUnderstands the nuances of digital design in areas of site experience, social media and digital marketingStrong design skills in layout, call to action, color composition and typographyA trained eye for design aesthetic and creative layoutA collaborative and creative mindset with a positive attitude",Entry level,Full-time,Art/Creative,Apparel & Fashion
2451119561,2021-03-16,Herman-Scheer Graphic,Brand Designer,"Los Angeles, CA","Herman-Scheer is a brand and growth studio, focused on building and launching best-in-class consumer brands that real people love. We're based in Venice, currently all WFH-ing, and we're okay with this role being fully remote.We're looking for a Brand Designer obsessed with highly differentiated identities and design systems to join the team and build best-in-class brands. This is a full-time role reporting to our Chief Creative Officer. You will be working alongside verbal designers, visual designers, motion designers, and creative directors.What You'll Be Doing:Develop Creative Concepts - you'll work with our team in synthesizing business objectives, target audiences, and brand strategies in order to develop visual identity concepts and mood boards.Produce Key Brand Touchpoints - you'll leverage those concepts and work alongside a copywriter to produce high-fidelity mockups to understand how the brand exists in its most important formats.Create Design Systems - you'll establish guidelines for the use of brand marks, fonts, colors, graphics, patterns, textures, photos, renders, and all other elements of a visual ecosystem.Multifaceted Design - Although the focus here is on brand identity design, the ability to step in and support web design and social content design is a huge plus.Always Help Us Get Better - You'll work alongside our Project Management team and Operations team to continuously improve our process, become more efficient and increase the quality of our work.Requirements:4+ years working in digital design at an agency, startup, or similar environmentExpert in design tools like Figma and the Adobe Creative SuiteDetail-oriented and skilled in time and deadline managementAbility to multi-task and handle multiple large projects at once and at high-speedBenefits:Above market salaryHealth care15 days paid time offFlexible remote vs in officeGrowth opportunities in a young, hungry and rapidly growing companyWork alongside great people, doing great work for great clients",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and Advertising
2481593217,2021-03-30,Innerspin Graphic,Designer (Temp/Freelance),"Los Angeles, CA","Freelance DesignerInnerspin Studio is a creative studio that specializes in brand strategy, design and digital marketing.We’re looking for a talented designer to join our team on a regular, freelance basis. You’ll be working closely with our other designers and art director to create smart, visually stunning work for a range of clients. We’re a small team, which means everyone pitches in on most projects — no matter the size. You’ll be designing various assets, including print collateral, identities, websites, packaging, eblasts, social media images, and pitch materials.Qualifications BA/BFA in Design or Advertising, or equivalent work experience 2+ years of experience Detailed and organized Able to manage multiple projects simultaneously Able to work in a fast environment with tight deadlines Proficient in Adobe Creative Suite (InDesign, Illustrator, and Photoshop) Familiar / working knowledge of Microsoft Office Suite Must be able to work on-site and be available for project meetings. Remote working positions are available. Please submit your resume and a link to your portfolio.Rate: $25–35/hr DOE",Mid-Senior level,Contract,DesignArt/CreativeInformation Technology,Apparel & FashionConsumer GoodsRetail
2465727546,2021-03-25,Compass Graphic,Designer,"Los Angeles, CA","At Compass, we envision a world where the experience of selling or buying a home is simple and pleasant for everyone. Founded in 2012, Compass provides an end-to-end platform that empowers residential real estate agents to deliver exceptional service to their seller and buyer clients, all in service of our mission to help everyone find their place in the world.Team BackgroundThe National Design Studio is our in-house Compass HQ team comprising over 60 designers in 13 major cities (and growing) across the country—including Boston, DC, Philly, Miami, Atlanta, Chicago, Denver, Dallas, Austin, Los Angeles, San Francisco, Seattle, and San Diego. We are responsible for creating high quality, best-in-class design materials, brand identities, and campaigns for our agents; evolving and refining the Compass brand; and partnering with other internal teams to maintain and raise creative excellence throughout the company—mainly with regional Marketing teams. We are passionate and nerdy about all things graphic design, typography, and branding. It is our priority to continue to grow as an inclusive, empathetic, and inspiring creative culture. Check out our instagram channel @compasscreates.The RoleYou’re a talented designer who knows how to apply your skills to create beautiful work. You are a creative problem solver and thoughtful in your approach to achieve shared goals. You have experience working on projects alone and with a team all while staying committed to delivering excellence every time. You are quick at learning new processes, and open to growing with an ambitious curiosity to help the team. This role reports into an Associate Design Director or Design Director who reports into the National Head of Design.At Compass You May First and foremost be responsible for making incredible creative work Design brand identities for agents, including logos and brand identity work Design print collateral, books, print ads, billboard, websites, and digital ads Generate innovative ideas and campaigns in custom social media, print, and brand; and design. You will also move fast to interpret creative briefs from our Creative Producer and/or Marketing Advisors to deliver high-quality work that meets the brief’s goals Maintain the quality of design throughout all phases for a variety of projects types and brand campaigns Follow direction and propose new conceptual ideas for various projects Work closely with other Designers and Directors to ensure design work exceeds expectations Collaborate on projects for our internal and/or external designers, illustrators, photographers, and videographers to execute high-quality content Ensure our designs adhere to our brand guidelines  Contribute to the way we tell a compelling, dynamic story with copy and design Research and develop mood boards before executing on your ideas What We're Looking For Top graphic design skills and a portfolio that shows it—with a focus on typography, composition, and photography Proficient in Illustrator, Photoshop and Indesign Proficient understanding of branding and scalable design systems Proficient in digital/product design and/or animation is preferred. Major bonus for Figma, After Effects, Cinema 4D, and video skills. Someone with talent and skill in illustration would be a welcome bonus Developing skills at presentations and communicating creative solutions to internal stakeholders and our agents Proficient at following processes, receiving and giving feedback from both internal and external stakeholders Proficient understanding of the creative process and open to creative critique Ability to time manage and meet deadlines Interested in collaborating with other designers Agency or Design Studio experience is a plus 3–8+ years creating amazing design work, award-winning work is a bonus Currently authorized to work in the United States Currently, this role is fully remote. This is subject to change in the future.Do your best work, be your authentic selfAt Compass, we believe that everyone deserves to find their place in the world — a place where they feel like they belong, where they can be their authentic selves, where they can thrive. Our collaborative, energetic culture is grounded in our Compass Entrepreneurship Principles and our commitment to diversity, equity, inclusion, growth and mobility. As an equal opportunity employer, we offer competitive compensation packages, robust benefits and professional growth opportunities aimed at helping to improve our employees' lives and careers.Notice for California Applicants",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
2470511110,2021-03-30,Tinder Graphic,Senior Graphic Designer,"Los Angeles, CA","Tinder empowers users around the globe to create new connections that otherwise might never have been possible. We build products that bring people together. We are dedicated to developing, innovating, and evolving a global brand identity consumed by millions. We’re a tight-knit team with ambitious standards. We believe the best work happens when you pair creativity with empathy, keeping our members at the forefront of design decisions.As a Senior Graphic Designer on Tinder’s Brand Creative team, you will be focused on building Tinder’s new global visual identity, with an eye toward the future.Responsibilities:Work closely with the Creative Director and lead a small team of designers in ideating and executing brand materialsConcept, develop and build a wide variety of creative assets (in-app, print, web, CRM, social, etc.) to support product, marketing and business objectivesLead web design and digital asset development initiatives in collaboration with creative, product and engineering teamsIterate on design based on feedback from team members, partners and users by translating complex notes into simple directives — all while keeping on strategyPerform quality control on all design, ensuring the creative aligns with our brand guidelinesRun multiple projects simultaneously, perform under pressure, and stay focused on the big pictureRequirements:5+ years of experience in creative experience in agency, studio or in-houseA strong portfolio of design, showing an excellent sense of typography, layout, web and digital design principlesProficiency with industry-standard design tools and software (Adobe Creative Suite)An eagle-eye attention-to-detail when it comes to crafting designsExperience with leading creative projects from conception to executionAbility to make persuasive arguments to influence design decisions with internal and external partnersA pulse on what is relevant in culture, design and technology and can push for and help set trends.A self-starter attitude with an excitement to work in a fast-paced, low-ego environmentBonus: Knowledge in product design, UI design and/or UX designKnowledge of project management software like Monday, Figma and JiraPrevious experience in executing designs for international marketsAs part of our team, you’ll enjoy: Working on a product that has an immediate impact on people’s lives all around the world Collaborating with a team of creative, fun and driven colleagues Comprehensive health coverage, competitive salary, 401(k) employer match Other perks and wellness benefits like a fitness membership subsidy, paid concierge medical membership, pet insurance offerings, and a commuter subsidy Access to mental health resources Fertility preservation benefits No Meeting Wednesdays, an annual Learning + Development stipend, and access to a wide range of product and service discounts through Perkspot Charitable donations match up to $15,000 annually Monthly and weekly interactive virtual events including Book Club, trivia with prizes and yoga workouts The opportunity to join six active Employee Resource Groups (ERGs)At Tinder, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our product, and our community. We strive to make our workplace an inclusive and diverse environment, giving people from all walks of life the opportunity to have a voice. We champion and encourage those who bring different perspectives, ideas, and creativity to join our team dedicated to bringing people together across the globe. Tinder is proud to be an equal opportunity workplace where we welcome all people regardless of sex, gender identity, race, ethnicity, disability, or other lived experience.",Associate,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
