Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2460879901,2021-03-23,Tesla Graphic,Visual Designer,"Fremont, CA","The RoleTesla Design is looking for an outstanding Visual Designer to design the future of the Tesla website. The Visual Designer will be responsible for researching, designing, innovating, and prototyping new user experiences that pave the way for the future of energy & vehicles in a way that has never been done before. Our digital experiences and the way consumers, businesses and municipalities transition to EVs and sustainable energy will be transformative.The Digital Experience Team focuses on consumer experiences on the website and in the Tesla App. The candidate will collaborate with business owners, product owners, other designers, content strategists, developers and project managers and will be a key contributor and originator in their own right.Candidates should possess exceptional design skills, storytelling skills, a great sense of aesthetics, as well as customer centric design principles. The applicant must have an affinity for minimal design, typography, and attention to the smallest of details. A strong ability to distill complex problems into simple, elegant solutions is key to success at Tesla. We are a fast-paced company with an entrepreneurial spirit, so the majority of the work will be focused on innovating original and creative content and application, as well as final deliverables and solutions that work in the real world.You will be working on the most advanced vehicle, insurance and energy solutions in existence both today and tomorrow.Responsibilities Create designs for defined consumer segments building upon and scaling Tesla offerings Imagine and conceive design concepts and projects from creative briefs or messaging strategies and then to implement chosen concepts Create graphic diagrams and animations to explain how products and processes work on our support pages  Constantly measure how designs are performing for target customers. Iterate and improve those experiences as needed. Influences team roadmaps to include experience improvements when the design or product is not performing or needs improvement. Invest in building relationships and trust with stakeholders, peers and working groups. Build a strong network across Tesla, globally. Determines best design solutions based on customer feedback and business goals and helps to determine overall direction, identifying challenges and adapting as needed based on the context of the solution and customer.Foster the defining and sharing of design patterns, standards and guidelines, artifact reuse and consistency across team members. Contribute to the Tesla Design System iconography, animations and data visualizations.Requirements 3+ years work experience advocating for, creating and building and world-class experiences for mobile, web, TV or other digital devices. Knowledge of global design best practices and working for international companies a plus. An excellent portfolio showcasing web design, UI and/or visual design work with a strong design sensibility and articulate storytelling. Evidence of exceptional design ability is a must Must be proficient and highly skilled in Sketch, Photoshop, Illustrator and other design tools Ability to prototype in Keynote, Flinto, Principle or Sketch  Understanding of front-end web and mobile technologies such as CSS/HTML and general understanding of back end technologies that are required to build out experiences. Partnering well with technology is a must. Ability to perform in a fast paced, high stress iterative design process under minimal supervision Customer-focused, with experience using design research methods to uncover customer insights. Are able to take those insights and define the desired customer outcomes.  Evidence of solving large scale problems for customers. Ability to take complex concepts and simplify them for the customer in the form or elegant experiences. Excellent command of user experience, design principles, problem-framing skills, and beautiful visual design skills Outstanding written and verbal communication skills. Strong ability to communicate design concept ideas through sketches, prototypes and wireframes. Experienced and comfortable with presenting work to executives and large groups. Strong ability to communicate complicated concepts and bring clarity to stakeholders and team members.   Self-motivated, able to work independently but also collaborative and driven by group critique. Proven track record as an expert in design who can collaborate well with other functions.Education Bachelors or master’s degree in the study of design including one of the following; Design, Web Design, Animation, UI/UX Design, or a portfolio that shows equivalent project experience.",Entry level,Full-time,Information Technology,AutomotiveRenewables & EnvironmentUtilities
2465797831,2021-03-26,Apple Graphic,Sr. Designer,"Cupertino, CA","Summary Marcom is Apple’s Global Marketing Communications group. We oversee all of Apple’s advertising and marketing to ensure the creative development and execution of world-class communications. The Design Team is responsible for the design and art direction of core communications—including product launches and seasonal campaigns—across Retail, Channel, Packaging, Keynote, and Events. Working in a highly collaborative manner, a primary focus of the Design Team is to define the look and feel of all Apple product imagery through experimentation, critical thinking, and extraordinary attention to detail. The Senior Designer is an integral member of the team creating innovative and compelling work that meets the requirements outlined in Apple’s creative briefs—from ideation to execution. In this role, you will be instrumental in developing work that inspires both current and potential customers for one of the most beloved brands. Key Qualifications 4-6 years of design experience with a growing ability to develop innovative creative work across a broad range of media. Must have a working knowledge of graphic design, branding, photography, and art direction as it pertains to print, digital, and motion.You are naturally curious and passionate about design — with a keen awareness of the evolving landscape of available tools, technologies, resources, and trends.You are a motivated and driven designer that collaborates well with a team to find simple solutions to complex problems.You are a strong communicator that is able to articulate ideas in a clear manner, engage in healthy debate, and accept directional feedback.Good organization skills to file work in a manner that can be shared with the team.Excellent skills with design software, primarily the Adobe Creative Suite.Experience with 3D software is a plus. Description You will be a vital member of the team — brainstorming, coordinating, and collaborating frequently in order to bring to life Apple’s key elements of design and art direction.With an appreciation for your craft, you will dive deep into the details while understanding how your work contributes to bigger-picture objectives.Able to multi-task on design projects that require both conceptual and functional thinking with a tireless work ethic.React quickly to new information, opinions, and direction to strategically pivot when necessary. Education & Experience BA or BFA degree in Graphic Design or a related field preferred. Role Number: 200223957",Not Applicable,Full-time,Marketing,Consumer Electronics
2464814564,2021-03-25,Poshmark Graphic,Visual Designer,"Redwood City, CA","Poshmark is a leading social marketplace for new and secondhand style for women, men, kids, home, and more. By combining the human connection of physical shopping with the scale, ease, and selection benefits of ecommerce, Poshmark makes buying and selling simple, social, and fun.We are seeking a Visual Designer on a contract basis to support the creative team in executing design concepts and bring a fresh perspective while maintaining our brand standards. You’ll play a key role defining, evolving, and maintaining our company’s brand and marketing creatives that reflect our company’s mission and values.The Ideal Visual DesignerThe Visual Designer is an integral member of the team supporting work that meets the requirements of the creative brief and the business strategy—from ideation to execution. In this role, you will create designs for emails, social, events and web to inspire the Poshmark Community.Responsibilities Partner with Marketing to design and optimize existing and new campaigns. Collaborate closely with the team to create campaigns, brand events and launch product features. Create thoughtful and consistent email, social, web, and visual design. Balance exciting design with superior campaign performance and brand guidelines. Assist with off-line campaigns to support Community initiatives and Poshmark Events. Juggle multiple projects while effectively managing timelines and expectations. Desired Skills BA/BS in Visual Arts, Graphic Design, or other related discipline. 2+ years of professional design experience focused on online and performance marketing. Highly collaborative nature with the ability to also work independently. Strong understanding of effective, user-focused design. Ability to prioritize and manage work to adhere to critical project timelines in a fast-paced environment. Strong sense of typography and attention to detail. Solid working knowledge of Adobe Creative Suite (Photoshop, Illustrator, InDesign) Experience with Website builders, After Effects is a plus Passion for quality design and innovation. Please also include a link to your portfolio or samples of recent work. Please note this is a 6-month contract roleAbout UsPoshmark is a leading social marketplace for new and secondhand style for women, men, kids, pets, home, and more. By combining the human connection of physical shopping with the scale, ease, and selection benefits of ecommerce, Poshmark makes buying and selling simple, social, and sustainable. Its community of more than 70 million registered users across the U.S., Canada, and Australia is driving the future of commerce while promoting more sustainable consumption. For more information, please visit www.poshmark.com, and for company news and announcements, please visit investors.poshmark.com. You can also find Poshmark on Instagram, Facebook, Twitter, Pinterest, and YouTube.Why Poshmark?At Poshmark, we’re constantly challenging the status quo and are looking for innovative and passionate people to help shape the future of Poshmark. We’re disrupting the industry by combining social connections with e-commerce through data-driven solutions and the latest technology to optimize our platform. We’re nothing without our amazing team who deliver an unparalleled social shopping experience to the millions of people we connect each day.We built Poshmark around four core values: 1) focus on people to create empowered communities that drive success; 2) together we grow to support each other to strive for our dreams; 3) lead with love to foster genuine connections built upon a foundation of respect; and 4) embrace your weirdness to accept and empower one another on their own unique journey. We’re invested in our team and community, working together to build an entirely new way to shop. That way, when we win, we all win together. Come help us build the most connected shopping experience ever.Poshmark is an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",Entry level,Contract,Information Technology,Internet
2455697394,2021-03-10,Deloitte Graphic,Jr. Studio Designer,"San Jose, CA","Jr. Studio DesignerNew York, San JoseDeloitte Studios is a full-service creative agency within Deloitte Digital. A newly formed group that brings together our Digital Experience capabilities and our Advertising/Marketing teams into new kind of Creative agency. An agency that, coupled with the power of Deloitte Digital, combines creativity and technology to tell new stories in new ways. We are a collection of artists, analysts, strategists, engineers, writers, makers, business-builders, designers, and dreamers with offices in Chicago, Denver, Los Angeles, New York, San Francisco, and Seattle. We work alongside broader Deloitte to create brand momentum, bringing people closer to the things they care about and driving businesses forward.We are seeking Designer that is passionate about brands and eager to help grow a new agency model. A model that is powered by smarter insights, and puts creativity to work in advertising, and well beyond it – influencing the entire marketing ecosystem. We believe brands should impact more than just comms, and we hope you do too.The Deloitte Studios Team Sits within our “Advertising, Marketing & Commerce” offeringWithin our group, we create content, communications, and experiences that engage and inspire our clients’ customers to act.  We implement and operate the technology platforms that enable personalized content, commerce and user-centric experiences. And, in doing so, we transform our clients’ marketing and engagement operations into modern, data-driven, creatively focused organizations – all built to drive growth. Our AM&C offering serves our clients through the following types of work: Advertising campaign ideation, development and execution  Cross-channel customer engagement strategy, design and development to include the creation of omni-channel digital experiences across web, mobile, social, physical, AR/VR, voice, gesture, IoT, and video  eCommerce strategy, implementation and operations  Marketing Content and digital asset management solutions  Marketing Technology and Advertising Technology solutions  Marketing analytics implementation and operations  Acquisition and engagement campaign ideation, development and execution  Agile based, design-thinking, user-centric, empirical projects that accelerate results Work you’ll doThe Studio Designer is a member of the Design Studios, a tight knit group adept in visual design, typography, digital illustration and production art. Our main goal is to visually execute and communicate ideas using image, type, color and composition as our weapons of choice. We work across a variety of media both digital and traditional.You’ll need three minds: design, strategic and analytical to create the best possible solutions to our design tasks. We do everything from brand identities to banner ads, client presentations to digital experiences. This role is a hybrid that encompasses visual design and production responsibilities so a range of skills in commercial art is key. You should have knowledge of graphic design history while staying aware of emerging trends and technologies. Create original, compelling and visually stimulating designs across media. Possess superior typography, color pairing and layout abilities and delight in the details that can make a good design great. Be adaptable to a variety of design approaches. Create consistent, pixel/point perfect layouts and clean, organized files. Produce print and digital deliverables to spec for final production. Work closely with Art Directors and Creative Directors to execute from comp layouts, and maintain the integrity of the creative concept. Work closely with Account, Production and New Business teams to create documents that need design love. Produce materials for creative presentations, new business and internal projects. Qualifications: Required – What You Bring 4+ years’ agency (or similar) experience in a comparable role A portfolio demonstrating strong design skills and a personal aesthetic Advanced proficiency in Adobe InDesign, Photoshop and Illustrator Proficient in Keynote and Mac OS; familiarity with PowerPoint & Sketch An understanding of web standards, web & app development, best practices in digital production, and an understanding of pre-press workflows and printing Willingness to travel up to 30 percent (While 30% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice) Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Preferred – Bonus Points If You Have Undergraduate degree in design or a related field Possess the humility to take direction, courage to offer critical feedback, and personality to enhance collaboration. Strong organizational skills Ability to effectively communicate with various personality types and navigate through internal approval chains Dexterity in illustration and the ability to apply it to digital design  Able to wield an X-Acto and straight edge kwdeldigadmkusakwdeldigallddusadeloittestudiosAMC2021As used in this posting, “Deloitte” means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. Certain services may not be available to attest clients under the rules and regulations of public accounting.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law.Requisition code: E21NATCSASAB011-CM",Not Applicable,Full-time,ManagementStrategy/PlanningConsulting,AccountingInformation Technology and ServicesManagement Consulting
2466489320,2021-03-26,Cisco Graphic,Visual Designer,"San Jose, CA","Cisco’s Customer Experience Design Group is looking for a Visual Designer to help reimagine the customer experience across the entire lifecycle of our portfolio; from sales, to support, to product renewal. You will work on initiatives that range from incubating design-centric proof-of-concepts, to digging into the details of strategic products to transform them into something our customers can’t live without.Your ResponsibilitiesCollaborate closely with interaction designers to transform UI wireframes into beautifully crafted and visually compelling application designsCreate conceptual solutions to design problemsProduce innovative and contemporary design styles Lead brainstorming sessions on how to build a creative strategy to meet the needs of various target audiences  Create custom graphics/illustrations based on the creative brief  Produce guideline documents and assets for implementation by development teams Who You’ll Work WithYou will be part of an innovative Experience Design team responsible for reimagining the way customers and partners interact with Cisco. Our team develops forward-looking applications, solutions, and services across cloud, desktop, and mobile platforms. Operating in an agile environment, you will work on products from concept to delivery, collaborating daily with a growing team of product designers, content designers, and UI engineers.Who You Are 4+ years of experience in UI visual design  Deep knowledge of design tools Figma, Sketch, Adobe suite, etc.  Mastery of typography, color, and composition to support brand and product requirements  Strong online portfolio – web application and mobile design particularly relevant  Ability to produce guideline documents and assets for development teams  Creative and pragmatic problem solver  Successful track record of delivering integrated high-end user interfaces on schedule, on budget, and with high quality Nice-To-Have Skills Data visualization  Ability to prototype interactive UI concepts  Mastery of animating UI mockups to support user interactions and understanding Why Cisco#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it).Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA). We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Keywords Visual design, figma, photoshop, sketch, illustrator, ui design, experience design, customer experience, design systems, branding",Not Applicable,Full-time,Information Technology,Computer HardwareComputer SoftwareComputer Networking
2466408093,2021-03-01,Netflix Graphic,"Visual Designer, Customer Service","Los Gatos, CA","At Netflix, we are shaping the future of global entertainment because we believe there is a better way to watch. Our members need our help from time to time, and that’s where our Global Customer Service (CS) organization focuses: providing amazing interactions for our subscribers around the world. Our goal is excellence, simplicity and getting our members back to streaming.We are looking for a talented Visual Designer to join our Global Customer Service team in Los Gatos, California to support two teams: Product Support Operations (PSO) and Learning and Development (L&D). The PSO team is the bridge between Netflix CS teams and our partners in Product, Marketing, and other business functions, focusing on agent/operational readiness, customer self-service, facilitating insights, and driving improvements to the customer and agent experience. The L&D team creates engaging and effective learning experiences across our outsourced call centers worldwide.This role reports to the Manager, Content Strategy within the PSO team and will have the opportunity to apply tremendous passion and creativity to design the most engaging and impactful visuals for our customer self-help tools and our customer service training curriculum offering.ResponsibilitiesCreate and maintain a consistent visual design strategy across Customer Service.Initiate, explore, and prototype visual design solutions and products from concept to completion across Customer Service. Create imagery to illustrate troubleshooting steps and transform complex concepts, such as billing, into visuals (both static and motion) that can be easily understood by a global audienceCreate branded visual templates with a strong sense for typography, color and layout for standard page layouts (i.e., landing pages, billing articles, news posts, etc.) that can be easily cloned and updated by the team Develop a digital asset management strategy (metadata, taxonomy) to organize flat image library and make images more discoverableWork with our engineering teams to enhance the look of our technical interfaces and tools Create diverse media (visuals, graphics, animation, and videos) to enrich our training curriculum to be more engaging and excitingAs an expert storyteller you’ll establish and articulate a clear and consistent design vision for the work you do everyday. Establish and maintain healthy working relationships with internal organizational partners including our technology and localisation teamsRequirements8+ years of professional hands-on design experience in a digital environment.Portfolio of visual design, both static and motion, samples featuring online self help tools and/or effective training experiences. Experience defining and evolving design systems, from brand and visuals to motion, prototypes and ultimately working directly with our technology teamsExpertise in Adobe Creative Suite (Photoshop, Animate, Illustrator), Figma, and Google Docs and Slides.Exceptional written and oral communication and presentation skills.Proven leadership and strategic ability.An appreciation of A/B testing and using data to inform design decisions.Smart, conceptual, confident, competent, adaptable, proactive, independent, flexible, and results-oriented.Earnest, mature, and ego-free. You welcome candid feedback and can constructively give it as well.Illustration and storyboarding is a plus.Why work at Netflix?If you are looking to have a large impact at a growing company and work with a high performance team. Work with talented colleagues on hard problems that affect 100+ million members across the globe.We value high performance, freedom and responsibility. We don't focus on rules, processes or procedures. We are candid and transparent and seek excellence in all that we do.We tackle hard problems that others have not been able to solve. We produce great content, build systems at scale and use data to push the business forward. We connect people with movies and television globally.In order to attract deep talent, we pay top of market. Solving hard problems requires highly talented people, and we compensate appropriately. We expect a lot.",Not Applicable,Full-time,Information Technology,EntertainmentInternetMotion Pictures and Film
2444182442,2021-03-12,Imgur Graphic,Creative Designer,San Francisco Bay Area,"Hello internet friend, we are Imgur’s “find wonderful people” team (or “talent acquisition” if you wanna get technical), and we’re on the lookout for an incredible part-time Creative Designer. Sound good? Good.Imgur?Let us introduce ourselves… we are Imgur. The place where memes are born and selfies get downvoted into oblivion. We have a community of bajillions (this is a somewhat official estimate), who visit every day and leave with smiles on their faces. A community where anyone can post a picture of their dog and be internet-famous the very same day.Imgur’s mission is to lift the world’s spirits and we like to bring that mentality to our work every day. We see it as an honor and a privilege to work on a tech product that genuinely makes people happier. Or in the much more succinct and professional sounding words of our communications team... Imgur is the easiest way to discover and enjoy the internet’s most entertaining content. It’s where you’ll find the internet’s funniest, most informative and inspiring images, memes, GIFs, and visual stories. Powered by a passionate community, we put smiles on the faces of 250M people around the world each month.You?You are a wonderful person with a wonderful attitude who can dream up big ideas and design internet gold!You are a visual storyteller with an appreciation for your craft who can dive deep into the details while understanding how your work contributes to bigger-picture objectives. You have experience working across mediums and you react quickly to new information, opinions, and direction to strategically pivot when necessary.You are able to work three days a week (preferably Monday - Wednesday, but flexible), approximately 24-28 hours. You have a deep understanding of creative advertising and can weave magic out of the latest trends, internet speaks (ideally of the Imgur variety), and a brand’s objectives.  You are comfortable working on a number of different projects and are solutions-focused, energetic, and empathetic. Having a viral original post or two is a plus.More importantly - you’re excited about working with a tight-knit team to develop branded content campaigns that our highly-engaged community love. Responsibilities:Work closely with Creative and Integrated Marketing teams to ideate and execute on visual concepts on behalf of brand partnersDevelop and maintain a deep understanding of Imgur platform, community, and brand Support a wide range of design needs from branded content (GIFs to Static images) to advertising assets, marketing collateral, or eventsEnsure projects are completed with high quality and on scheduleRefine design work or perform revisions and updates based on creative or client directionAttend brainstorming sessions and client meetings as neededWhat you bring to the table:3+ years working with advertising clients at an agency, marketing, or media companyStrong portfolio and demonstrated track record of doing awesome, viral things on the internet, either for fun or for brands.Passion for visual and social advertising, with the ability to strategize, articulate, and champion ideasStellar communication, presentation, problem-solving and project-management skillsComfortable, adaptable, and can thrive in a fast-paced environmentYou speak fluent internet, better yet, you are familiar with Imgur and live for the lulzProficient in Photoshop and can work in Illustrator, After Effects, and Premiere (or comparable video and graphic design software)Thanks for taking the time to read this, we appreciate you - here take an imaginary upvote.Above all: As we grow, so will you.Interested? Click apply and let’s begin the journey together. Note: if you don't meet these requirements we are still open to hearing from you.",Entry level,Part-time,DesignArt/CreativeInformation Technology,Internet
2430094009,2021-03-01,West Graphic,Visual Designer,San Francisco Bay Area,"SUMMARYWest is looking for a Visual Designer to fulfill the diverse needs of our portfolio companies. West is not a conventional brand studio or investor, nor is this individual. Like West, you will be a proud hybrid whose trajectory has been driven by a desire to do things differently rather than be defined by existing boxes in your industry. The successful candidate will be someone who relentlessly pushes their own experience and skills, working across a range of creative projects and objectives for a truly diverse set of companies and various needs. What we are looking forYou have a strong eye for design, visual and how it fits with product, marketing and company strategyCapabilities: brand, UX/UI, and visual designYou are a doer, a thinker, problem solver and a makerStrong portfolio with clear sense of design and aesthetic (layout, color, typography)Strong storytelling and conceptual skills Possess a curiosity for research to find fresh inspiration with an eye on design trendsEmpathy and curiosity to understand audience and objectivesYou can produce work efficiently and on schedule virtuallyCommand digital experience campaigns and brandingComfortable connecting and making relationships across multiple teams and experiencesA passion for making everything you touch appealing and impactfulRequired experienceAt least 3-7 years of agency or design firm experienceExperience driving visual and UX design (unique web design)Experience working with startups and their founders; specifically in a dynamic and results-driven environmentYou have designed and produced standout campaigns/ideas/efforts that have made people smile, cry, and laugh, as well as being highly effective in delivering results ABOUT WESTWest is a Venture Studio (a brand studio and a venture fund). Since 2011, we’ve helped design, build, and launch purposeful brands with lasting impact. Many of these brands came to us when they were big ideas but small businesses. West’s work was to find smart, creative, beautiful ways to help them ride the growth curve. Many, like Twitter, Impossible Foods and others have become household names.Today we continue to work with visionary founders in almost all sectors and at all stages of growth. This keeps the work interesting and stops us from getting stale. The big difference today, compared to our early days, is that we are also investors. This not only allows us to share in the successes of our portfolio companies in a more significant way but further sharpens us as strategists, creatives, and partners. One day we’re creatives/strategists with an investor's mindset. The next day it's the other way around. There’s no one else quite like us and we’re okay with that - we all left our creative/marketing/consulting/investing jobs to create something special.",Mid-Senior level,Full-time,DesignArt/CreativeMarketing,Venture Capital & Private EquityGraphic DesignMarketing and Advertising
2467271538,2021-03-27,B-Stock Solutions Graphic,Associate Designer,San Francisco Bay Area,"THE COMPANYB-Stock is the world’s largest online marketplace for returned, excess, and other liquidation merchandise. Our customers range from SMB to the world’s largest brands and retailers (including all ten of the top 10 U.S. retailers). Led by eBay veterans, B-Stock completes over 200,000 transactions per year, selling 135 million items annually, making us a clear leader in the space.The amount of inventory that is returned or unsold each year is growing very rapidly; in 2020, the value of this merchandise was estimated at $500 billion. Much of it ends up being liquidated for pennies on the dollar; some of it is even destroyed or landfilled. We believe there is tremendous value in and demand for this inventory - no matter the category, condition, or location. The B-Stock platform gives buyers a simple and direct way to buy valuable products, and offers sellers a trusted replacement for traditional liquidation and a critical boost in operational efficiency.Backed by top investors including Spectrum Equity, True Ventures, and Susquehanna Growth Equity, B-Stock runs lean, fast, and shows no signs of slowing down. Our core values have shaped the company we are today and will certainly drive our success for many years to come.For more information, visit www.bstock.com/careers/THE MARKETING TEAMWe are a mission-driven group committed to reimagining and disrupting the liquidation industry. We believe that by combining our talent, marketing technology, and strategy superpowers, we can deliver amazing results for our buyers and sellers. We foster customer-driven innovation, grit, discipline, and teamwork—leveraging data and a dedication to learning through experimentation. Join us as we continue to build an awesome marketing team!JOB SUMMARYGiven our rapid growth, we are actively looking for a talented and motivated Associate Designer to join our Marketing team at B-Stock. This role will support our Marketing team on a range of projects and assets across web, advertising, social, email, and print. As an Associate Designer, this person will work closely with members of the team to design high-quality and consistent marketing assets to create impactful design solutions that define and push not the B-Stock brand, but our client’s brands as well.Reporting into the Visual Designer, the Associate Designer will have the opportunity to learn about different aspects of design projects, such as writing creative copy, thinking of outside-the box campaign ideas, editing animations or videos, and/or help manage the social media calendar.ESSENTIAL JOB DUTIES AND RESPONSIBILITIESDesign assets and projects for marketing that meets the expectations of the company and client needsProduce creative solutions from concept through production across various channels, for digital and print assets such as banner ads, landing pages, emails, logos, blog post imagery, booths, etc.Responsible for researching design trends to ensure B-Stock is being competitive in the design landscapeAssist with development of marketing collateral including infographics, case studies, emails, white papers, and other design elementsCollaborate with team members to launch campaigns, client sites, and various projectsWork with external agencies to manage deliverablesUse constructive feedback from leaders to iterate, improve, and learnParticipate in special projects and initiatives, as needed by the team.MINIMUM QUALIFICATIONSBFA in Graphic or Digital Media Design and 0-2 years experience of graphic design experienceStrong online portfolio of design samples that demonstrate strong foundational design skills, creative problem solving skills, and conceptual thinkingStrong working knowledge and experience in the Adobe Creative SuiteDetail oriented, meticulous, and a keen eye for design while also having a solid understanding of typography and layoutAbility to follow brand guidelines but also be able to push B-Stock’s digital brand to reflect the customer’s values and missionA team player, someone that naturally collaborates with others (at all levels) and doesn’t hesitate to engage other teams to achieve the best resultsAbility to work efficiently under tight deadlines, respond positively to feedback, and adapt quickly to changesCreative problem-solver who can bring enthusiasm and fresh ideasExcellent communication and presentation skillsPREFERRED QUALIFICATIONSExperience in Account-Based MarketingE-commerce, retail or reverse supply chain experience preferredOUR VALUESMake Each Dollar Count Whether it’s the recovery amount or a buyer’s budget, money matters to all of our clients. And because each dollar matters to them, it matters to us.Take Our Work Seriously, Not OurselvesEverything at B-Stock continues to grow - everything but our egos, that is. We’re not afraid to let loose and laugh (often at ourselves).Do The Hard Things Today That Will Pay Off TomorrowWe’re willing to sacrifice and endure, fail and adapt to reach our long-term goals. Use Trust As The Best Measure Of SuccessThe trust we earn along the way is more valuable than money. Without trust from both our buyers and sellers, our business won’t succeed. Find Strength In NumbersUse our passion for data to provide value to our customers, improve ourselves, and develop new ways to delight our buyers and sellers.EMPLOYEE BENEFITSCompetitive compensation packages including bonus and optionsMedical, dental, and vision benefitsPaid Time Off, telecommuting and matching 401(K)Support for continuing educationTeam off-sites, social events and extracurricular activities are a stapleSnacks, drinks, and the occasional box of donutsNo applicant will face discrimination/harassment based on race, color, ancestry, national origin, religion, age, gender, marital domestic partner status, sexual orientation, gender identity, disability status, or veteran status. Above and beyond discrimination/harassment based on “protected categories,” B-Stock also strives to prevent other, subtler forms of inappropriate behavior (e.g., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at B-Stock.US Work Authorization required.",Entry level,Full-time,AdvertisingDesignArt/Creative,InternetComputer SoftwareLogistics and Supply Chain
2395897174,2021-03-07,Walmart Graphic,Senior Designer,"Sunnyvale, CA","Position Summary... What You'll Do...Supports and leads User Experience strategy and innovation by evaluating the current competitive landscape for compelling customer experiences; analyzing future trends and forecasts in related fields; constructing compelling artifacts outlining present conditions and proposed solutions; and presenting information within and across the organization to gain strategic alignment and encourage change.Supports the continuous improvement of and leads the creation of user experience tools, documentation, and processes by maintaining holistic viewpoint when tackling project decisions; defining solutions frameworks from a scalable and global viewpoint; contributing to the evolution of site standards; collecting feedback and industry research standards; and providing recommendations.Creates the user experience designs (for example, user interface design comps, visual design specs, prototypes) for complex and comprehensive initiative-level projects by leading project design definition activities; defining methods to be used, including competitive audits and secondary research; driving creation of designs and specs that will advance the company's merchandising, business, marketing, and branding objectives; presenting designs to project and business teams for review; and working with Engineering leads to determine the effectiveness of solutions.Mentors Associate Designers and Designers in day-to-day User Experience design methodology and principles by providing guidance on project based design tasks; and creating educational design modules for the User Experience practice curriculum.Manages user experience design, prototyping, and specification writing projects by proposing and leading project definition activities; working with other project team members to define methods to be used, including competitive audits and secondary research; driving the creation of designs, prototypes, and specifications that will advance the company's merchandising, business, marketing, and branding objectives; presenting designs to project and business teams for review; working with Engineering leads to determine the effectiveness of solutions; producing detailed design documentation and other specifications required to implement design; working with product manager and team to define documentation scope; reviewing project product requirements document (PRD) to ensure correct translation of design; and providing quality assurance (QA) feedback to and consultation with HTML, Engineering, and Product Management teams prior to launch.Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans by providing expert advice and guidance to others in the application of information and best practices; supporting and aligning efforts to meet customer and business needs; and building commitment for perspectives and rationales.Provides and supports the implementation of business solutions by building relationships and partnerships with key stakeholders; identifying business needs; determining and carrying out necessary processes and practices; monitoring progress and results; recognizing and capitalizing on improvement opportunities; and adapting to competing demands, organizational changes, and new responsibilities.Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity by incorporating these into the development and implementation of business plans; using the Open Door Policy; and demonstrating and assisting others with how to apply these in executing business processes and practices.Must-HavesPrevious UX/UI design experienceBachelor degree in Design, Visual Arts, or a relevant fieldStrong portfolio of completed design projectsAt least 4 years of design experienceNice to HavesFamiliarity in top design concept and prototyping tools (Sketch, InVision, etc.)Strong communication skills in discussing and communicating design concepts with internal teams and external stakeholders About Global TechImagine working in an environment where one line of code can make life easier for hundreds of millions of people and put a smile on their face. That’s what we do at Walmart Global Tech. We’re a team of 15,000+ software engineers, data scientists and service professionals within Walmart, the world’s largest retailer, delivering innovations that improve how our customers shop and empower our 2.2 million associates. To others, innovation looks like an app, service or some code, but Walmart has always been about people. People are why we innovate, and people power our innovations. Being human-led is our true disruption.We’re virtualWorking virtually this year has helped us make quicker decisions, remove location barriers across our global team, be more flexible in our personal lives and spend less time commuting. Today, we are reimagining the tech workplace of the future by making a permanent transition to virtual work for most of our team. Of course, being together in person is an important part of our culture and shared success. We’ll collaborate in person at a regular cadence and with purpose.Minimum Qualifications...Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. Minimum QualificationsBachelor Degree and 2 years design experience OR Masters Degree and 1 year design experience OR 4 years design experience1 year experience designing front-end user experience solutions for mobile applications on major smartphone platforms (for example, Android,i OS). Preferred Qualifications...Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. Designing front-end user experience solutions for consumer software development using modern web technologies (for example, AJAX, Ruby on Rails, strong HTML/CSS skills), Developing user experience solutions with agile methodology, eCommerce, Software Design",Associate,Full-time,DesignArt/CreativeInformation Technology,Information Technology and ServicesComputer SoftwareInternet
