Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2472284810,2021-03-31,hi5.agency Graphic,Interactive Designer x Spotify,"Burbank, CA","At hi5.agency we take an audience first approach to storytelling. We offer a diverse set of POVs and represent a wide variety of backgrounds that allow us to solve some of the most perplexing multicultural marketing challenges. A hi5.agency ID has the ability to solve complex creative problems through design and visual language. This role acts as a hands on design force with a speciality in multimedia design. The ID shares our passion for innovation and upholds our high standard of quality and fan-first approach. Responsibilities:Work directly with CDs, ADs and Executive Creatives to collaborate on project vision and strategyHonor and celebrate our culture of inclusivity, diversity, and innovation in every taskDesign your ass off!Be passionate about design and creative culture, tapped into trends, and an avid consumer of music and podcastsBe meticulous about process and always striving to improve and growPivot from different styles seamlessly and keep ideas fresh and dynamicEffectively translate a creative vision into final productBe able to embrace changes on the fly and not take feedback personallyHave a complete and well rounded understanding of different limitations and standards of various platforms and placementsDesign with clear intention for animation and collaborate with motion designers Offer valuable insight and perspective on creative solutions beyond just applying notes and feedbackBe accountable with time-management, and setting proper expectations around deliverablesBe kind, respectful, patient, and endlessly communicativeTurn up responsibly Qualifications, Skills and Experience:Fiercely independent and self-motivatedExcellent organizational and communication skillsExperience working as a Graphic Designer in an agency or similar settingWork comfortably in a fast-paced environment and maintain a cool headProven track record developing bespoke creative with a strong portfolioA mastery of Photoshop and Illustrator and familiar with Google Suite Illustration and photography skills are a plusAvid Spotify user who is familiar with the platform and featuresAbility to work remotely, self manage and consistently meet deadlinesAttention to detail within  alignment/layout, grammar, and ability to digest and execute brand guidelines and visual identity impeccablyFile organization, cleanliness, and best practices a mustEgo-free personality that collaborates with a highly motivated team to get shit donePodcast lovers to the front!",Mid-Senior level,Full-time,AdvertisingMarketingDesign,Marketing and AdvertisingMusicEntertainment
2450955328,2021-03-23,LA COLLECTIVE Graphic,Graphic Designer,"Los Angeles, CA","**This is a Los Angeles based position and requires graphic design experience at an apparel, lifestyle, or e-commerce brand**LA Collective is looking for a rockstar Graphic Designer that will play a critical role in the future growth of our company and will the responsible for the ongoing visual identity of LA Collective. The ideal candidate has worked directly for a consumer startup or at a relevant branding agency. In this role, you will be responsible for delivering creative solutions in an exciting growth environment. This position is expected to grow into a more senior lead creative roleAbout LA Collective:LA Collective is a venture-backed startup based in Los Angeles, disrupting the celebrity and influencer apparel industry. We are a full-service fashion incubator and e-commerce platform bringing talent-backed brands to market. Our mission is to disrupt the apparel industry by designing high quality and sought-after collections locally and sustainably. Responsibilities:Generate brand and marketing creative collateral (website, email, marketing assets, social media, special projects, etc.) while developing brand awareness and maintaining brand reputationCollaborate cross-functionally on brand and email marketing and social content strategyManage project load while coordinating with executives on schedules, requirements, goals, and assignments as neededImplement a content editorial calendar to manage content and plan specific, timely marketing campaigns.Manage the design, layout, and production of email marketing messages and ensure email templates are optimized for all display channelsSolve design challenges while adhering to the brand aestheticRequirements:2+ years of Graphic Design experience, preferably for a retail or eCommerce environment with a lifestyle-oriented ""trend-setting"" brand.Strong portfolio of professional work demonstrating excellent visual design fundamentals; composition, color theory, typography, and concept developmentKeen understanding of visual elements (layout, typography, hierarchy, and composition)Experience in creating motion/animated art and graphicsPossess an excellent design sense, a strong work ethic, and a willingness to seek projects big and small.Photography experience is a plus",Entry level,Full-time,DesignArt/CreativeInformation Technology,Apparel & Fashion
2481592967,2021-03-30,CBS Interactive Graphic,Marketing Designer,"Burbank, CA","REF#: 38170CBS BUSINESS UNIT: CBS InteractiveJOB TYPE: Full-Time StaffJob ScheduleJOB LOCATION: Burbank, CAAbout UsViacomCBS Streaming (formerly CBS Interactive) is a division of ViacomCBS that encompasses both free, paid, and premium streaming services including Pluto TV, Paramount +, CBS Sports Digital, and CBS News Digital.Division OverviewDESCRIPTION:Our team is responsible for the creation and management of unique marketing concepts and executions to help promote ViacomCBS Streaming programming, tentpole events, paramountplus.com, and our premier streaming service: Paramount+. We directly support the Marketing, Network, and Executive teams to execute their market vision.Role DetailsThe individual hired for this role will report to the Sr. Creative Director, Digital Display Marketing at ViacomCBS Streaming’s premier design studio in Burbank, California. Assets to be produced include but are not limited to key art, multi-show concepts, display ads, static social media ads, general marketing materials, promos, and custom email blasts. He/she will work in collaboration with other designers and partners in order to hit specific benchmarks throughout the year.Your Day-to-Day Attend Creative Kick-offs with Designer Manager or Creative Director for various projects Meet daily with the Project Manager, Creative Director and Design Manager to review current hotlist Concept and build dynamic, groundbreaking digital marketing campaigns Familiarize yourself with current entertainment industry marketing trends as it relates to TV and digital streaming Constantly challenge yourself to learn new methodology, tips, and tricks in everything from photo manipulation and retouching to type design and production Maintain consistency in developing campaigns while adhering to brand guidelines Communicate with fellow designers and creative leads to flag problems and be proactive in every aspect of your work to ensure that deadlines are regularly met and problems are solved before they become blockers to on-time delivery Key Projects Top-level digital assets to be produced include but are not limited to various forms of digital advertising across platforms in addition to full digital campaigns, presentations, print, press kits, outdoor advertising, display ads, and general marketing materials. NFL ON CBS, UEFA Champions League Soccer, SEC & NCAA College Football & Basketball and Pro Golf including both Masters & PGA Tournaments Originals like The Stand, Star Trek: Picard, Star Trek: Discovery, and The Good Fight Primetime rating grabbers including Young Sheldon, Big Brother, NCIS, and Survivor Fresh CBS Network hits like FBI, The Neighborhood, Magnum P.I., SEAL Team, and Bull Shows from the Viacom family of brands including Nickelodeon hits like Avatar & Spongebob Squarepants, VH1 hit RuPaul’s Drag Race, MTV’s The Challenge, and much more! The best Late Night TV featuring The Late Show with Stephen Colbert and The Late Late Show with James Corden, as well as The Daily Show with Trevor Noah Incredible LIVE Specials like The Grammys, The Tonys, and ACM Awards What You Bring To The TeamQUALIFICATIONS:You have - Minimum of 6 years of Entertainment advertising experience. Able to present a solid portfolio showcasing cutting-edge marketing and graphic design. The ability to collaborate with team members, utilize different design and photo retouching/illustration techniques, helping developing multiple concepts, and supporting Design Managers with groundbreaking ideas to help drive campaigns. Solid understanding of common design issues, challenges, and guidelines. Familiarity with popular streaming services and current TV marketing, advertising, and programming trends. Confidence in your marketing and design prowess, with photo manipulation/comping/masking experience, and proficiency in Adobe’s Creative Suite (mainly Photoshop and Illustrator). Retouching and color adjusting knowledge/experience a huge plus. The attitude to be an all-around team player, knowing that you’ll go above and beyond the call of duty whenever necessary. The ability to learn and use internal processes, including formatting, file naming, and archiving. You might also have - An interest in pop culture and understanding the current trajectory of new media. Excellent communication skills, self-motivation, enthusiasm, and a fine eye for detail. The ability to work both independently and with a team. You can proactively gather consensus from multiple internal stakeholders when necessary, and be able to change tasks quickly based on shifts in priorities or urgent deadlines. FUNCTION: CreativeEEO StatementViacomCBS is an equal opportunity employer (EOE) including disability/vet.At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran statusIf you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access www.viacbs.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Broadcast MediaEntertainmentMedia Production
2469534680,2021-03-30,Sanctuary Clothing Graphic,Art Director,"Burbank, CA","We are looking for someone with an exceptional eye, outstanding skills who will own the creative art department and direction of our fast-growing successful brand.The ideal candidate:Display a passion and commitment for creating the absolute best images every time. - Maintain absolute accuracy and attention to detail throughout the creative process. - Continue to elevate the brand image and aesthetic.Maintain the style guide for all to reference.Responsibilities: Responsible for maintaining the brand voice and visual style.Executing creative strategy along with creative marketing team, to increase brand awareness and overall sales.Included but not limited to, photoshoots, all marketing assets, all E-Commerce assets. - Work directly with the creative director on all visual initiatives.Forecasting all design and art direction and trends.Lead creative strategy for all new marketing and E-Commerce initiatives.Oversee and lead all art direction on all ecommerce, marketing, digital marketing, print, wholesale, sales, and visual assets.Produce graphic design assets for all above.Manage and produce all photoshoots.Manage overall creative budget and drive efficiency.Manage the creative marketing strategy calendar for assets, in alignment with marketing, sales and E-Commerce team.Participate in all external agency meetings, marketing, pr and social to help create strategy.Manage and create the social media team and assets, maintain brand guidelines and new content creation.Responsible for approval of all art assets made externally with licensees as well as trade shows, E- Commerce, dept store signage, external homepage posters etc.  Requirements:Min 5 years’ experience as an associate or art director, photo editor, graphics artist.Bachelor's Degree in design, photography, graphics, digital media, or related fieldComputer literate using mac, InDesign, illustrator, photoshop.Strong organizational and communication skillsCollaborative, inclusive, highly flexible team memberProactive problem-solving skills, ability to anticipate obstacles and quickly generate alternative options. ",Director,Full-time,DesignArt/CreativeInformation Technology,Apparel & Fashion
2474102012,2021-03-24,The NOW  Graphic,Graphic Designer,"Beverly Hills, CA","The NOW Massage, a new concept massage boutique, was founded on the principle that self-care is a necessity not a luxury. Designed to serve as an oasis from today’s fast paced digital society, our goal is to offer high-quality, affordable massage services in a beautiful setting. After launching in 2015, The NOW quickly became LA’s hottest wellness destination for globe trotting influencers and locals alike. With boutiques currently open from coast to coast and steady expansion on the horizon, The NOW is looking forward to bringing our thoughtfully crafted menu with customizable enhancements, healing products and singular design aesthetic to cities all over the United States.We’re seeking a multifaceted part time graphic designer with a diverse skill set. Your creative will be featured in a variety of forms including merchandise, animations, social, other digital marketing platforms, product development technical designs, packaging and print. The ideal candidate will be able to color within the lines and the ability to conjure up fresh and unique concepts. Agility is a critical trait to possess as we work in a fast-paced environment, in which quick turnarounds are common and plans can pivot at a moment’s notice. We’re looking for a team player who can adjust on the fly and is unafraid to have fun while they work.ResponsibilitiesWe’re seeking a graphic designer who will: Design and create assets for various mediums and platforms, including – social, website, email, newsletters, blog, packaging and other printed collateral Effectively capture the brand look and feel of The NOW Massage Prioritize and juggle multiple projects while adhering to timelines and delivery dates Brainstorm with marketing team members to develop new design concepts Partner with key marketing stakeholders to build upon brand style guide Review and QC with a meticulous eye Work with dye lines for packaging and product designs Research and report on industry design trends  Collaborate with stakeholders across departments – e.g., Marketing, Executive Team, Sales, Direct to Consumer, Production, Customer Service  Interpret project kick-off direction, take meticulous notes for revisions Update progress via project management platform Edit and retouch photos Design and create original layouts on concepts for new projects Properly organize and maintain art files and photos on our server Take full ownership of assignments Think creatively! Requirements 3-5 years as a graphic designer preferred High level design program skills  Ability to conceptualize and present on-brand ideas Skillful at adapting creative to various mediums Work comfortably in a fast-paced environment  Superb time management skills Desired Skills Videography and photography experience a plus Experience in the wellness, fashion or beauty industry The Company is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",Mid-Senior level,Full-time,DesignArt/CreativeInformation Technology,"RetailHealth, Wellness and FitnessHospitality"
2470555365,2021-03-30,Madison Square Garden Entertainment Corp. Graphic, Visual Designer  ,"Burbank, CA","As part of MSG Sphere Studio’s Experience and Design and Production team, Visual Designers collaborate to visually communicate concepts ranging in fidelity from sketches through detailed 2D/3D rendering and polished pitches & presentations. Under the direction of the Creative Director, they work with cross-functional teams to research, develop and express experiential concepts across a variety of platforms. We are looking for a wildly creative teammate who has an affinity for new technology, pop culture trends and constantly seeks opportunities to improve your visual design skills. You are emboldened by the challenge of being a part of the team developing a world’s first medium & platform.  SPECIFIC FUNCTIONS/ACTIVITIES SUMMARY:   Develop visual communication designs, from concept sketching through multi-platform visual design strategies (systems approach to visual design). Provide visual design and creative experiential thinking across a variety of projects. Collaborate with project teams in research, ideation and development of original, scalable concepts and experiences for various media: projection mapping, interactive screens and installations, live show visuals, brand installations, motion graphics, user experiences. Research and prepare documents to communicate ideas to stakeholders, including design proposals and presentations.  Source references and identify trends from the worlds of design, art, film and music. Ensure that all work meets a high level of creativity, innovation and brand association.    QUALIFICATIONS:    2+ years of experience working in a fast-paced professional creative production studio. Proficient in a variety of methods to convey ideas and concepts (e.g. storytelling, storyboards, mood boards, concept treatments, etc.) Demonstrated visual design software proficiency (Photoshop, InDesign, Keynote, etc.). Strong design background; understanding of typography, layout, form, color and spatialization; well versed in design process and production methods. A knack for capturing the spirit of a concept in presentation format. Able to work in varying degrees of fidelity, from sketching through production (speed vs quality). Able to communicate the thinking behind your process. Strong collaboration and relationship building skills. Comprehensive knowledge of emerging creative technologies, best practices and experimental approaches in design, marketing and brand communications. Ability to manage multiple tasks simultaneously and effectively.  A portfolio of self produced work is required for this role. Please include link on your resume. ",Associate,Full-time,Art/Creative,Entertainment
2409809039,2021-02-05,Legendary Entertainment Graphic,Graphic Designer,"Burbank, CA","Summary Of PositionThe Graphic Designer will work as part of the Creative Strategy team to provide creative services for the Franchise Management team. This will include Style Guides, Merchandising and Branding, product concepts and packaging, industry ads, presentation decks and partnership mockups. This position will assist in translating Legendary’s characters/qualities into branding and packaging programs and all other requests as needed by the Franchise Management department. Responsibilities Translate Creative Strategy for Legendary’s IP into Branding and Packaging tools that meet the needs of of the Franchise Management team Utilize design and packaging applications to develop and deliver Style Guides and product designs including print, color, and typography tools Liaise with Project Manager to ensure Style Guide delivery is turnkey for partners, including approved images, licensed fonts, color guides and brand guidelines Work closely with the Franchise Management team to compile designs for partner pitching and business development purposes Work closely with gaming division to create and supply files for in-game integrations Additional duties as needed. Experience & Skills Bachelor’s degree or 2 years of Technical College in a design discipline 2-3 years experience in Style Guide creation, custom graphics and packaging design Intermediate skills working with Illustrator, Photoshop, InDesign, PowerPoint and Keynote",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingLegal ServicesEntertainment
2426195132,2021-03-19,Focil Construction  Graphic,2020 Designer,"Thousand Oaks, CA",Looking for an experienced 2020 Designer to train our kitchen designer on advanced 2020 renderings. Please call 805-405-9225 for details.,Not Applicable,Contract,N/A,N/A
2467050787,2021-02-21,Nickelodeon Animation Graphic,BACKGROUND DESIGNER,"Burbank, CA","About The BrandFor over 30 years, the Nickelodeon Animation Studio continues to be one of the largest producers of television animation in the world, reflecting all kids today. Based in Burbank, Calif., with offices in New York, the Studio, designed by our artists and for our artists, is home to the world's greatest creative talents. Our campus of creativity houses top-notch talent, storytellers, artists, production teams, voice actors, cartoon experts and more. At Nickelodeon, we are always looking to recruit dedicated craftspeople to help bring groundbreaking new ideas to life and that starts with you! We are leading the way in animated content for TV series, TV movies, shorts and theatrical features. Some of our new upcoming original animated series include, Kamp Koral: SpongeBob's Under Years, Rugrats, Middlemost Post, Star Trek: Prodigy, Big Nate and Santiago of the Seas, among others. Our content development teams are creator-driven, our work culture is collaborative, our mentorship of new talent is second to none, and we are committed to hiring inclusively to reflect authenticity in the diverse stories we want to tell. Join us!Summary Overview and Responsibilities  Generates background designs, overlays, underlays, shadow and color guides, floor plans and any other background-related art that the production may require, ensuring style and quality of show is met. Responsibilities Review script for backgrounds needed at handout of show.  Complete all rough, revised and final designs necessary within assigned deadlines.  Resolve design problems with creative supervisors.  Ensure all deadlines are met.  Communicate progress of work to appropriate production staff.  Ensure all artwork is properly backed up and saved appropriately.  Ensure all shipping materials are prepared and ready on time.  Be available for questions until your department’s shipment is complete.  If required, generate multiple views of environment and specific elements within it. Additional Responsibilities Assist with special projects.  If applicable, make special shadow and color indications. Basic Qualifications Must demonstrate proficiency in style of show.  Strong background design skills.  Relevant drawing experience necessary.  Thorough understanding of perspective.  Knowledge of or willingness to learn applicable design software and hardware.  Strong time-management skills.  Work well under pressure.  Ability to multitask a plus. Additional Qualifications BA in Fine Arts or equivalent work experience highly desired.",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingEntertainmentMedia Production
2447996329,2021-03-15,MD GLAM Graphic,Art Director,"Beverly Hills, CA","Art Director MD GLAMMD GLAM is a fast-growing eCommerce company that is disrupting the anti-aging skincare industry. Thoughtfully curated and born from science MD GLAM is an extension of the Founder and World-Renowned Plastic Surgeon, Dr. Cat Begovic. “Based on Science but with the Luxury all women desire”We’re looking for a passionate Art Director who will be responsible for everything visual including graphic design, video, illustration, photography — Graphic Design will be part of their wider creative concept and execution. Experience in copywriting, communication, and strategy is a big plus. The art director will also formulate campaigns, promotional, and advertising content that speak to our customers within the eCommerce space which are reflective of our elegance, glamour, and elevated quality of products. This person would work directly with the Owners and the eCommerce manager to bring our company’s vision to life across multiple platforms. This position is a mix of Graphic Designer, Art Director, and Creative Director. The candidate will manage the creative process from concept to completion and translate marketing objectives into clear creative strategies. The ideal candidate is understanding UI and Design with a clear point of view, who is both creative and data-driven. This person is an excellent communicator with an understanding of various platforms, analytics, and tools.Applicants should have at least a 4-year degree in design or art with at least 3 years of professional eCommerce experience.Skincare or beauty industry experience is a plus. Experience with working in a fast-paced, fast-changing, eCommerce environment and managing multiple projects while keeping deadlines is a must. You must be able to adapt quickly to different types of tasks and assignments when it comes to graphic design, branding, and illustration as we work with multiple brands simultaneously.SKILLS & EXPERIENCE:Bachelor’s degree or equivalent from a four-year college or university with a Graphic Design degree or similar.Portfolio required to demonstrate creative and technical skillsMust have 3+ years of experience within graphic design, art direction, multimedia or similarExpertise in Adobe Creative Suite (e.g. Photoshop, Illustrator)Shopify experienceSocial MediaDigital MarketingMailChimpStrong visual design and concept skills including web design and layoutExperience with and enjoy working in a fast-paced, fast-changing, publishing environment managing multiple concurrent projects.Exceptionally well organizedAble to meet deadlinesBroad expertise with print in a variety of formatsPassionate energy and enthusiasm, collaboration, and an ideology of continuous improvement approach to creativity for the purpose of achieving the company’s goals.Able to prioritize and multitaskSelf-motivated with a strong work ethicStrong attention to detailApply with a cover letter, resume, references, and design/art portfolioJob Type: Full-timeJob Location: Beverly HillsRequired education: Bachelor's or higherBenefits: This full-time job includes health insurance, retirement plan, paid holidays, paid vacation, and paid sick/family leave days.Compensation: Based on experience",Director,Full-time,DesignArt/CreativeInformation Technology,Cosmetics
