Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2463048957,2021-03-24,Apple Graphic,Studio Designer,"Shanghai, Shanghai, China","Summary Apple is a detail-obsessed company that always puts customer experience first. It shows in the products we make, and also in the communications we create to help people understand and get the most out of those products. Like the team who designs the products, we share the goal of making everything we touch feel beautiful and elegantly simple.Apple’s Marcom group is a team of creatives, producers, and planners that help develop and execute Apple’s marketing strategy. Marcom manages the communication materials, retail and channel environments, motion graphics, films, events materials, direct marketing, package design, as well as http://Apple.com.This is a role for the designer, communicator and problem solver who wants to have their hands in several things at once; who can deliver high polished design across media types, screens, formats and technologies; and who can collaborate well with others. Sound like you? If so, we'd love to hear from you. Key Qualifications 6 - 8 years of design experience in advertising agency or digital agency in Mainland ChinaExtensive exposure to China e-commerce landscapeExperience with large, international brands.Fluency across graphic design, typography, photography and illustration and across digital, social and printClear and concise communication, organization skills and ability to work across time zonesExtreme attention to detailA keen ability to create work under minimal supervision, as well as package and present solutions to the wider creative team. Quickly and beautifully.Able to work under pressure and within short time frames.Able to travel to California up to 4 times a year, for 2-3 weeks at a time. Description This designer will be responsible for all design work for Apple’s social media campaigns in China. Experienced in collaborating in the execution of engaging and successful content across platforms and audiencesDemonstrates an uncanny level of curiosity; keeps up with the evolving landscape of available tools, technologies and resources Collaborates with Creatives, Producers, and other cross functional team members to solve complex problems with simple solutions. Role Number: 200228376",Not Applicable,Full-time,Marketing,Consumer Electronics
2469573298,2021-03-30,hcreates | Interior Design Graphic,Graphic Designer,"Xuhui District, Shanghai, China","ABOUT US:hcreates is an interior design and consulting studio based in Shanghai, since 2010. hcreates is an Architectural Digest China AD100 top 100 designer. Well known for creating successful restaurants and bars, hcreates continues to develop a significant portfolio of workplace and health and wellness spaces too. Our design philosophy is that ‘Design should be simple, clever and fun, creating spaces for people to collaborate and connect as they work, eat and play’ We provided a hands-on family environment for people to collaborate on multiple projects and develop and grow their design talents. The ideal candidate will have strong creative skills and a portfolio of work that demonstrates their passion for illustrative design and typography. This candidate will have experience in working with numerous different design platforms such as digital and print forms and a strong background in art.   We are currently looking for a graphic designer: ResponsibilitiesConvert client briefs into compelling and effective visual elementsCollaborate with the wider interior team to ensure integration with the whole brand direction.  Create multiple brand elements and execution for interior projects, from logos to signage, wallpaper/textiles to menus and wayfindingQualificationsBachelor's degree in Graphic Design or related field2-4 years of experience in graphic designProficient in Adobe Creative SuiteStrong communication, conceptual thinking, typography skills and design skillsA diverse portfolio of work",Entry level,Full-time,DesignArt/Creative,Design
2389863031,2021-02-01,Tesla Graphic,Designer,"Shanghai, Shanghai, China","Graphic DesignerKey Responsibilities Develop and design assets for events, communications, web, marketing, sales, products, and anything else that needs graphic design work to communicate Tesla’s visual style in a creative way. This can be anything from full-on campaigns from start-to-finish or unique one-off properties. Some project will require you to work with engineers, digital modelers, architects, and other professionals within the company. Participate in cross-functional strategy, timing, and process discussion as it pertains to brand communications. Work cross-functionally with designers of other disciplines Work with suppliers to achieve our design goals on any physical assets. Collaborate with the fabrication team to complete prototypes when necessary. Occasionally participate in design efforts outside of your area of expertise as necessity and as your own skillset dictates. Skills And Qualifications Bachelor’s or Master’s degree in Graphic Design (or similar) At least three years experience as a graphic designer Must be able to show a portfolio of work that reflects creative thinking, broad range, and modern, minimalist taste. Beneficial to have in-depth technical knowledge of product development as it relates to graphic design (such as printing, web and mobile app development, etc) Excellent at creating and maintaining cross-functional working relationships. 平面设计师职位详情l 以最创新的方式传达特斯拉视觉风格，开发及设计活动页面、对外沟通、网站宣传、市场营销、销售、产品及其他需要平面设计的内容。l 部分项目将与公司内部的工程师、数字建模师、建筑师等跨部门的同事合作。l 参与与品牌传播相关的跨职能战略、时间安排和流程讨论。l 跨职能与其他方向的设计师合作。l 统筹、管理各类供应商的创意项目协作，创意需求、规范制定输出，项目进度把控，出品品质把控等，共同实现特斯拉设计目标。l 有需要时，与技术团队共同合作完成产品样本。l 有需要时，根据您的个人能力，参与专业领域之外的设计工作。任职条件l 平面设计专业（或广告设计、美术专业等相关专业）的全日制本科或硕士学位。l 三年及以上平面设计师相关工作经验。l 具备丰富的创造性思维、简约、现代感设计案例。l 对产品开发有深入的技术知识，如与平面设计相关的知识（如印刷、网页、移动端应用开发等）。l 具备良好的团队合作精神和高度的责任感",Entry level,Full-time,DesignArt/CreativeInformation Technology,AutomotiveRenewables & EnvironmentUtilities
2444413926,2021-03-18,The Walt Disney Company Graphic,Lead Designer,"Shanghai, China","Job Purpose                      : ·       In charge in product design and development process from artwork creative to finished product with focus on beauty categories.                                           Key Responsibilities         : ·       To work closely with licensees, category managers and Creative Directors in developing new product lines·       To involve in the approval process for in house approvals of licensees so as to ensure Disney’s standards are upheld.·       To give design advise/suggestions internally to category Managers and externally to existing and prospective licensees on quality concepts and designs for their product, so as to increase the revenue for the Company.·       To initiate and perform product line reviews, and new licensees’ induction meetings on a regular basis.·       To provide support in marketing program / tie-in promotions, artworks & special project assigned.·       To supervise and direct Local Content characters/design usage in products, print materials, advertising and promotional and retail projects. ·       To build and add into existing library and manage the distribution of art resources, i.e. style guides, art portfolios and brand manuals received from head office·       To update and revise the manual for Category Managers and licensees on Disney character usage, brand knowledge and product approval procedures·       To recruit and train freelance character artists, designers well versed in Disney standards for referral to licensees·       To perform any and all other duties, as may from time to time be assigned from management team Working Relationships·       Internal – Category Managers / Directors, Creative Team, cross LOB projects with other regional creative teams within North Asia. ·       External – Potential / existing Licensees (ie, most of the well-known beauty brands in China, like Loreal, P&G, Amore Pacific, Mentholatum, Estee Lauder, etc.)  Outsourced creative house / design companiesFreelance character artists, designers and sculptorsKey local retail accountsLeading consumer product manufacturersRequirementsEducation:•       University graduate in Graphics / Product Design Experience:•       5+ years experience with relevant design experience in beauty products / fashion / packaging design; •       Bi-lingual English and Mandarin•       Strong product knowledge for fashion and beauty products•       Frequent travel to Guangdong, or head office in Shanghai Knowledge:•       Computer skills on PC, Macintosh, and any related tools, e.g. Adobe Illustrator, Photoshop •       3D rendering software skill is definitely a bonus•       Presentation Skills in Keynote or PowerPointCore Skills:•       Creativity and aesthetics in beauty trend / graphic design•       Strong presentation skill to present ideas and concepts•       Excellent co-ordination and communication skills•       Product/market/trend research skillsOthers:•       Team player + strong work ethics•       Business integrity + professional attitude•       Design sense + high taste level•       Initiative•       Committed to excellence•       Attention to detail•       A creative flair and be able to work in a highly innovative and dynamic environment",Associate,Full-time,DesignArt/Creative,CosmeticsConsumer Goods
2462833965,2021-03-15,adidas Graphic,Graphic Designer Originals,"Shanghai, Shanghai, China","Purpose & Overall Relevance For The OrganizationTo design market right graphics for the adidas brand as part of an international design team in cooperation with marketing and developmentKey Responsibilities Design and develop creative graphic solutions to concepts. Present the design in context to the category direction. Execute and implement the seasonal Direction of the Category according to market trends as well as overall Design Direction and ensure consistency though graphics. Self-manage own creative process and execute towards given design languages within the category Execute graphic design work according to the visual language of adidas as well as given Corporate Identity guidelines according to legal guidance. Verbally presens graphic ideas and details with clarity in small groups and team meeting Ensure efficient process and communication flow between design, marketing and development (within x- functional team) for all issues regarding your graphics Ensure proper handover of graphic artworks to development. Main duty is to submit all relevant information needed for the development process such as original artworks, color indication, execution information, artwork sizes. Design graphics, select materials and colour for productswithin apparel range based on the direction from the line manager and in close cooperation with marketing. This includes Key Relationships Marketing  Development Team members Knowledge, Skills And Abilities Strong knowledge of graphic design with awareness of the competitive market Strong presentation and communication skills Apparel graphic knowledge / apparel product knowledge High level of creativity Knowledge and use of Macintosh computer design software/systems (Photoshop, Illustrator) Fluent in English (spoken and written) Requisite Education And Experience / Minimum Qualifications BA or MA in Graphic design or comparable education 4 years of experience in graphic design",Not Applicable,Full-time,Art/CreativeDesign,Consumer GoodsRetailSporting Goods
2374041923,2021-01-20,Nike Graphic,Sr Designer. 365 Studio,"Shanghai, China","Brand Creative is the Art of Storytelling. We are the storytellers. We are the voice of Nike’s heart & soul. It's about telling powerful, meaningful stories across the entire brand ecosystem, leveraging all existing and new platforms to inspire, enable and engage athletes*, while driving brand distinction and business impact. We aim to make people feel and help them do sport on a daily basis.       Sr Designer. 365 Studio       You will be a critical creative member of the team reporting to the Art Direct / Creative Director. The role requires a passion for art direction and graphic design, focusing on the look and feel of the brand, helping execute the vision along side with other creative expert. The work in GC 365 Studio focuses on lookbooks, editorial, app content, product key visuals & motion assets, product and styling photography, 365 O2O assets and guideline,  and commercial campaigns art direction that go full end-to-end, working from concept to execution across all of our digital and physical channels. You will play a crucial role in developing work that is a mix of origination for specific GC projects and extending and aligning against global directives.           This position requires creating a strong partnership with the rest of the creative team, from narrative to experience to production against all creative. You are a master executor of concepts, visual and creative thinking, and your experiences should have a mix of a few disciplines, from photo direction, to understanding and working against a narrative, include graphic, motion and environmental design that speak to our youth consumers and TA. The position requires a strong conceptual process that drives the work across every touchpoint. It is also important to have an understanding of the various digital platforms, working with the latest software, and a knowledge of the different channels and the creative that clearly works into them, whilst also driving compelling innovative solutions. The designers are exceptional team players, focused on execution, they work under the direction of the creative lead and alongside producers and narrative expert. You will also collaborate with agencies and other external creatives. You are passionate and connected to the creative industry – looking at the latest trends in art direction and graphic design, and technology. This ever-expanding knowledge, network and interest both inspires and drives your creative thinking.           WHAT YOU WILL WORK ON       The work will be varied and will involve working on briefs that deliver against our consumer direct offense. These projects will deliver to their marketing brief across all of our marketing channels.  You will work and partner with the Art Director / Creative Director to develop the look and feel, layout, visual language, and its application on campaigns/projects and have the ability to work in teams and work against other team members concepts when required. You need to be extremely well versed in matrix navigation, multiple stakeholder management, and be able to undertake enterprise thinking while at the same time sweat the details. You will work and contribute in different squads on a daily basis and have the ability to jump across many varied projects while maintaining great communication across all of them. You will be working and gaining experiences and the ability to change thinking for each consumer mindset is a must. You are a creative specialist that is hungry for innovative thinking, working across every consumer touch point, from brand defining to member defining with full end-to-end communication. For you, an understanding of the consumer and visual/content trends is always at the forefront of your executional thinking. You will be required to deliver high quality visual concepts and solutions at every stage of the creative process. Executional excellence, attention to detail and the knowledge to drive this forward is a must. You will need to be able to communicate design concepts to various internal and external audiences and work with the art director to evaluate your own creative process. In addition, you'll provide ideas that influence, increase and enhance Nike Brand Creative and initiate and drive ""best practices"".    ",Mid-Senior level,Full-time,MarketingAdvertising,Marketing and Advertising
2444196778,2021-03-25,Jones Knowles Ritchie Graphic,Designer,"Shanghai, China","Hello! We are Jones Knowles RitchieWe’re a design-led creative company building brands for scale, disruption and good.Founded in 1990 and proudly independent, we work for some of the most famous brands in the world out of our studios in Shanghai, New York and London.We are looking for exceptional design talent to create the future of the world’s most cherished brands. We need collaborative, insightful & skilled talent to create strategic and beautiful solutions for our clients. You will be part of a highly creative team working on global as well as regional and local brands. We look for brand based idea generation as well as the ability to execute that idea across a number of touch points, including packaging and brand identity.QualificationsAn articulate visual and verbal communicator.Detail oriented and ideas driven.Curious, multidisciplinary, and eager to learn.Some experience of carrying projects from concept through to production,Fluent in relevant technology, Adobe photoshop, illustrator etc.",Entry level,Full-time,DesignArt/Creative,Marketing and AdvertisingDesignGraphic Design
2192297446,2020-10-19,PepsiCo Graphic,Senior Designer,"Shanghai, Shanghai, China","PepsiCo Greater China PepsiCo is one of the world’s leading food & beverage companies in the world.In our Global design team we count over 180 designers and thinkers from world class agencies and fortune 500 companies.Brand Designers in PepsiCo is very hands-on. We make stuff, work with Designers, Brand teams, consumer insights, Media, Ecommerce teams and engineers.We’re especially fond of quick thinkers, problem solvers and good communicators with a well-developed sense of form, proportion, color and materials both for graphic and product executions. If that’s you, please keep reading.The Senior Designer is responsible for execution of comprehensive brand design Strategy and graphic design projects within Food / Snacks Group. Successful candidates will demonstrate superior ability to drive design thinking from ideation thru concept development, refinement, and execution. Creating high quality brand design solutions by directly executing design and leveraging internal/external design resources.  The Designer must be able to Visualize and articulate his/her creative thinking. The main objective of this role is to execute major brand design projects across a specific product portfolio. This means planning, organizing, and implementing consistent design principles and production processes to ensure that the design/production guardrails are met. Senior Designer : Takes ownership of the visual identity for specific brands in the portfolio, working in collaboration with the Design Manager, Design director, Brand teams, insights teams and global design team while leading design team member.Generates creative design proposals (visions, scenarios, concepts) in order to visualize the desired output and share it with internal and external team members. Participates in research activities and effectively translates customer needs into actionable design requirements. Execute those requirements into design solutions. Responsible for driving to final design recommendations, decisions and design approval to enable artwork execution / production phases. Ensure thorough consideration of all project variables and that the final solution will perform as planned.   Qualifications / Requirements·        4+ years of deep brand design experience Graphic designer Degree or similar ( Not a must ) ·        Extraordinary design taste and skill ·        Extraordinary ability in using the Adobe Creative Suite software ( 3D software is a Plus) ·        Ability to work in dynamic work environment; is comfortable with risk and uncertainty·        Effectively communicates (verbally and written) with internal and external  stakeholder across all levels Works well with others to deliver results; keeps others informed to avoid unnecessary surprisesProficiency in oral and written English ( is a plus)Capability to develop and visualize concepts through hand sketching or computer softwareAn incurable curiosity relating to all design thingsGreat passion for new and creative trendsHighly collaborativeTeam oriented, brainstorming sessions or presenting in front of other team membersAbility to work smoothly with a fast-paced interdisciplinary team.Demonstrate clear “point of view” relating to their design·        Open and optimistic with entrepreneurship·        Can work under pressure·        Portfolio required",Associate,Full-time,DesignArt/CreativeInformation Technology,Food & BeveragesConsumer GoodsMarketing and Advertising
2464871219,2021-03-25,JWDK Graphic,Senior Designer,"Shanghai, China","我们正在寻找自信优秀的高级品牌设计师加入我们上海团队！也许就是你！✊✊✊如果你满足以下条件，欢迎申请！• 平面设计专业本科以及6年以上相关工作经验• 具有在中国或国外场所品牌设计相关工作经验• 流利的普通话及英语沟通能力• 具有中等水平的3D及数字动画设计能力• 能够领导小规模的设计团队• 能够即时入职（限于持有中国居民身份证或中国工作签证）请将您的个人简历及设计作品集发送至jobs@jwdkpartners.com或者联系我们以了解更多有关该职位的信息。JWDK是一家屡获殊荣的品牌设计公司，为全国各地优秀场所和企业机构量身打造独特的品牌体验。获取更多信息，请访问我们的网站jwdkpartners.com或我们的微信公众号JWDKpartners。---We are seeking a seriously good Senior Designer to join our branding team in Shanghai. That might well be you! ✊✊✊If you can answer 'yes' to the points below, then please apply.• Bachelors degree in graphic/communication design and 6+ years industry experience• Evidence of place brand design experience either in China or internationally• Bilingual speaker (Mandarin & English)• Capabilities in 3D design and digital animation to an intermediate level• Capable of leading a small team of designers• With immediate ability to work in China (Visa or ID card holders only)Please send your CV and a design portfolio to jobs@jwdkpartners.com. Or contact us for more details about the role.JWDK is an award-winning design firm creating unique brands for places and organisations throughout China. For more, visit our website jwdkpartners.com or our WeChat account JWDKpartners.",Mid-Senior level,Full-time,DesignArt/CreativeStrategy/Planning,Design
2463287491,2021-03-16,Canada Goose Graphic,Graphic Designer,"Shanghai, China","Job Purpose:The Graphic Designer is responsible for developing innovative, intelligent design and conceptual thinking that elevates, differentiates and functions on-brand and on-strategy. Incorporating the past while pushing the brand forward in local market. An essential background in design and the ability to conceptualize and oversee creative for digital, print and spatial projects. Using mandatory technical design skills, handle multiple projects at once and have a strong eye for elevated visuals. This role is responsible for the design, execution & implementation of digital and traditional marketing initiatives and strategies which include all localized marketing touch points such as our website, e-commerce channels, social media, digital display ads, short videos, email marketing, out-of-home and print initiatives.  Key Responsibilities:·      Conceptualize, develop, align and execute against art direction from global to local for end-to-end art direction and image/video assets creation for China initiated campaigns based on channel requirements including but not limited to PR, OOH, Weibo, WeChat, Little Red Book, Douyin, Baidu, Tmall, Jingdong, and so on.·      Handling of final assets – making selects, retouching notes and distributing final images to the greater marketing team.·      Offer support to brand event, to ensure the event related creatives are in consistency with global guidance.·      Building relationships with external creative partners – photographers, makeup artists, stylists   Experience, Education and Designations:·      Minimum 3 years of Graphic Design/ Technical Production experience (in-house or agency)·      Post -Secondary Degree in Digital Media Arts or Graphic Design·      Front end development languages a bonus·      Experience with UI/UX·      Portfolio of work demonstrating the ability to communicate compelling stories through visual communication Knowledge, Skills and Attributes:•        Proficient in Photoshop, InDesign, Illustrator, Sketch, After Effect, and Premiere.•        Ability to articulate and sell-in creative ideas to the greater team•        Strong eye for tasteful design and photography•        Knowledge of online marketing industry standards (IAB)•        Able to develop unique and novel solutions to problems; ability to present information in an attention-getting and interesting manner.•        Understand digital design from both technical and creative standpoints•        Technical photography knowledge in order to communicate effectively with partners on set•        Understand web design and optimization for mobile•        Flexible worker with superb multitasking abilities•        Effectively take initiative and complete projects thoroughly and on time•        Fluent oral and written communication skills in English•        Passionate about digital and creative localization",Mid-Senior level,Full-time,Design,Apparel & Fashion
