Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2472209188,2021-03-31,"Adverum Biotechnologies, Inc. Graphic",Junior Designer,San Francisco Bay Area,"The designer must has a keen eye for details and brand standards, along with a mix of creative and technical know-how. Self-motivated and well organized, they can work on multiple projects. As our company expands, things are constantly changing and we need team members who are flexible and ready to adapt. The Graphic Artist is expected to stay up to date with the latest in design trends, best practices and technology including Adobe Creative Suite.Responsibilities of the Designer:Design monthly promotion advertising in the form of free-standing inserts, web banners, digital ads and print ads including the semi-annual catalogs.Upload to our designated printer vendors for pre-press work.Craft interactive assets for use on the web and in digital marketing channels such as social media.Create large-format in-store promotional signage and in-store tags.Produce newspaper ads based on the monthly promotions and inserts.Manage and process images for the web.Collaborate with teammates to assist in strategies and design to support print, digital and web-related needs.Bring creative ideas to regular team meetings and look for ways to streamline creative processes. Requirements of the Designer:Bachelor’s degree in Marketing, Advertising, and/or Graphic Design.Extensive experience in Adobe Creative Suite; (InDesign, Photoshop, Illustrator, and Acrobat).Knowledgeable with other digital/web technology platforms or tools a plus.At least 1 year of experience in web design and a portfolio of workAbility to create content for digital purposes. Video and animation skills are a plus.Attentive to details and ability to manage multiple projects under deadlines.Strong command of time management and organization.A positive attitude and a creative mind.Strong communication and interpersonal skills.Preferred Skills:An understanding of responsive web designHighly organized, self-motivated, and detail-orientedAbility to absorb and apply constructive criticism from peersTakes initiative and is creative/innovative in solving problemsStrong knowledge of, and sensitivity to, use of typography and imageryMaintains a positive attitude under pressureStrong communication skills, both written and verbal",Entry level,Part-time,Art/CreativeWriting/EditingDesign,BiotechnologyHospital & Health CareHospitality
2460879901,2021-03-23,Tesla Graphic,Visual Designer,"Fremont, CA","The RoleTesla Design is looking for an outstanding Visual Designer to design the future of the Tesla website. The Visual Designer will be responsible for researching, designing, innovating, and prototyping new user experiences that pave the way for the future of energy & vehicles in a way that has never been done before. Our digital experiences and the way consumers, businesses and municipalities transition to EVs and sustainable energy will be transformative.The Digital Experience Team focuses on consumer experiences on the website and in the Tesla App. The candidate will collaborate with business owners, product owners, other designers, content strategists, developers and project managers and will be a key contributor and originator in their own right.Candidates should possess exceptional design skills, storytelling skills, a great sense of aesthetics, as well as customer centric design principles. The applicant must have an affinity for minimal design, typography, and attention to the smallest of details. A strong ability to distill complex problems into simple, elegant solutions is key to success at Tesla. We are a fast-paced company with an entrepreneurial spirit, so the majority of the work will be focused on innovating original and creative content and application, as well as final deliverables and solutions that work in the real world.You will be working on the most advanced vehicle, insurance and energy solutions in existence both today and tomorrow.Responsibilities Create designs for defined consumer segments building upon and scaling Tesla offerings Imagine and conceive design concepts and projects from creative briefs or messaging strategies and then to implement chosen concepts Create graphic diagrams and animations to explain how products and processes work on our support pages  Constantly measure how designs are performing for target customers. Iterate and improve those experiences as needed. Influences team roadmaps to include experience improvements when the design or product is not performing or needs improvement. Invest in building relationships and trust with stakeholders, peers and working groups. Build a strong network across Tesla, globally. Determines best design solutions based on customer feedback and business goals and helps to determine overall direction, identifying challenges and adapting as needed based on the context of the solution and customer.Foster the defining and sharing of design patterns, standards and guidelines, artifact reuse and consistency across team members. Contribute to the Tesla Design System iconography, animations and data visualizations.Requirements 3+ years work experience advocating for, creating and building and world-class experiences for mobile, web, TV or other digital devices. Knowledge of global design best practices and working for international companies a plus. An excellent portfolio showcasing web design, UI and/or visual design work with a strong design sensibility and articulate storytelling. Evidence of exceptional design ability is a must Must be proficient and highly skilled in Sketch, Photoshop, Illustrator and other design tools Ability to prototype in Keynote, Flinto, Principle or Sketch  Understanding of front-end web and mobile technologies such as CSS/HTML and general understanding of back end technologies that are required to build out experiences. Partnering well with technology is a must. Ability to perform in a fast paced, high stress iterative design process under minimal supervision Customer-focused, with experience using design research methods to uncover customer insights. Are able to take those insights and define the desired customer outcomes.  Evidence of solving large scale problems for customers. Ability to take complex concepts and simplify them for the customer in the form or elegant experiences. Excellent command of user experience, design principles, problem-framing skills, and beautiful visual design skills Outstanding written and verbal communication skills. Strong ability to communicate design concept ideas through sketches, prototypes and wireframes. Experienced and comfortable with presenting work to executives and large groups. Strong ability to communicate complicated concepts and bring clarity to stakeholders and team members.   Self-motivated, able to work independently but also collaborative and driven by group critique. Proven track record as an expert in design who can collaborate well with other functions.Education Bachelors or master’s degree in the study of design including one of the following; Design, Web Design, Animation, UI/UX Design, or a portfolio that shows equivalent project experience.",Entry level,Full-time,Information Technology,AutomotiveRenewables & EnvironmentUtilities
2472273838,2021-03-31,Treeform Packaging Solutions Graphic,Graphic Designer,San Francisco Bay Area,Treeform is looking for a full time graphic designer. Must have experience with Adobe Illustrator. Packaging and Print Background is encouraged.,Entry level,Full-time,DesignArt/CreativeInformation Technology,N/A
2469526903,2021-03-29,Electronic Arts (EA) Graphic,Brand Graphic Designer,"Redwood City, CA","Brand Graphic Designer We are looking for the right person to lead the vision of the Creative Strategists by planning and creating outstanding brand identities and integrated design systems for franchise mobile game brands across user acquisition channels and the Google and Apple storefronts. The team is growing, and in this role you will operate autonomously and collaboratively as the team growth trajectory is reached.Job ResponsibilitiesCreate design concepts, and sample layouts with an eye for color, typography, and compelling designHelp lead and creatively direct our external agenciesPresent work and build understanding around design direction and execution with Senior Brand Creative Team membersInspire, lead, and direct designers and oversee the daily work and outputsInterpret creative feedback and data into iterative designQualificationsMaster of the Adobe Creative Suite, specifically:PhotoshopIllustratorInDesignBonus ProficienciesAfter EffectsUnityMaya",Not Applicable,Full-time,AdvertisingMarketing,Computer GamesInformation Technology and ServicesComputer Software
2455697394,2021-03-10,Deloitte Graphic,Jr. Studio Designer,"San Jose, CA","Jr. Studio DesignerNew York, San JoseDeloitte Studios is a full-service creative agency within Deloitte Digital. A newly formed group that brings together our Digital Experience capabilities and our Advertising/Marketing teams into new kind of Creative agency. An agency that, coupled with the power of Deloitte Digital, combines creativity and technology to tell new stories in new ways. We are a collection of artists, analysts, strategists, engineers, writers, makers, business-builders, designers, and dreamers with offices in Chicago, Denver, Los Angeles, New York, San Francisco, and Seattle. We work alongside broader Deloitte to create brand momentum, bringing people closer to the things they care about and driving businesses forward.We are seeking Designer that is passionate about brands and eager to help grow a new agency model. A model that is powered by smarter insights, and puts creativity to work in advertising, and well beyond it – influencing the entire marketing ecosystem. We believe brands should impact more than just comms, and we hope you do too.The Deloitte Studios Team Sits within our “Advertising, Marketing & Commerce” offeringWithin our group, we create content, communications, and experiences that engage and inspire our clients’ customers to act.  We implement and operate the technology platforms that enable personalized content, commerce and user-centric experiences. And, in doing so, we transform our clients’ marketing and engagement operations into modern, data-driven, creatively focused organizations – all built to drive growth. Our AM&C offering serves our clients through the following types of work: Advertising campaign ideation, development and execution  Cross-channel customer engagement strategy, design and development to include the creation of omni-channel digital experiences across web, mobile, social, physical, AR/VR, voice, gesture, IoT, and video  eCommerce strategy, implementation and operations  Marketing Content and digital asset management solutions  Marketing Technology and Advertising Technology solutions  Marketing analytics implementation and operations  Acquisition and engagement campaign ideation, development and execution  Agile based, design-thinking, user-centric, empirical projects that accelerate results Work you’ll doThe Studio Designer is a member of the Design Studios, a tight knit group adept in visual design, typography, digital illustration and production art. Our main goal is to visually execute and communicate ideas using image, type, color and composition as our weapons of choice. We work across a variety of media both digital and traditional.You’ll need three minds: design, strategic and analytical to create the best possible solutions to our design tasks. We do everything from brand identities to banner ads, client presentations to digital experiences. This role is a hybrid that encompasses visual design and production responsibilities so a range of skills in commercial art is key. You should have knowledge of graphic design history while staying aware of emerging trends and technologies. Create original, compelling and visually stimulating designs across media. Possess superior typography, color pairing and layout abilities and delight in the details that can make a good design great. Be adaptable to a variety of design approaches. Create consistent, pixel/point perfect layouts and clean, organized files. Produce print and digital deliverables to spec for final production. Work closely with Art Directors and Creative Directors to execute from comp layouts, and maintain the integrity of the creative concept. Work closely with Account, Production and New Business teams to create documents that need design love. Produce materials for creative presentations, new business and internal projects. Qualifications: Required – What You Bring 4+ years’ agency (or similar) experience in a comparable role A portfolio demonstrating strong design skills and a personal aesthetic Advanced proficiency in Adobe InDesign, Photoshop and Illustrator Proficient in Keynote and Mac OS; familiarity with PowerPoint & Sketch An understanding of web standards, web & app development, best practices in digital production, and an understanding of pre-press workflows and printing Willingness to travel up to 30 percent (While 30% of travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice) Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Preferred – Bonus Points If You Have Undergraduate degree in design or a related field Possess the humility to take direction, courage to offer critical feedback, and personality to enhance collaboration. Strong organizational skills Ability to effectively communicate with various personality types and navigate through internal approval chains Dexterity in illustration and the ability to apply it to digital design  Able to wield an X-Acto and straight edge kwdeldigadmkusakwdeldigallddusadeloittestudiosAMC2021As used in this posting, “Deloitte” means Deloitte Consulting LLP, a subsidiary of Deloitte LLP. Please see www.deloitte.com/us/about for a detailed description of the legal structure of Deloitte LLP and its subsidiaries. Certain services may not be available to attest clients under the rules and regulations of public accounting.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law.Requisition code: E21NATCSASAB011-CM",Not Applicable,Full-time,ManagementStrategy/PlanningConsulting,AccountingInformation Technology and ServicesManagement Consulting
2469520032,2021-03-29,Apple Graphic,Visual Designer,"Cupertino, CA","Summary At Apple great ideas have a way of becoming great products, services, and customer experiences. Apple Media products combines unparalleled user interface design with world-class content across TV, Music, Apps, Games and more. We are seeking an experienced visual designer to join our Media Products Design team in an exciting and fast-paced organization. The ideal designer will have a passion for taking on complex problems and designing elegant, simple solutions that surprise and delight users. We’ll provide you with unparalleled levels of opportunity and resources, with the goal of creating experiences that influence the industry, as well as people’s lives. By constantly focusing on the consumer, you’ll create products that are not only amazing to look at, but also intuitive and useful to billions of people worldwide. Join this team if you’re committed to making every human interaction — visual, audial, and haptic — amazing for our users. Key Qualifications 8+ years work experienceAn excellent on-line portfolio showcasing visual and graphic design work across a variety of platforms including iOS, TV and web.A command of visual and communication design principles including typography, iconography and grid systems with experience applying this knowledge to digital experiences.Experience designing, maintaining and implementing design systems with precision from start to finish including the development process.Ability to communicate design concepts through sketches, high-fidelity comps and/or prototypes.Highly skilled in Sketch, Photoshop, Illustrator, Keynote and other design tools.Enthusiasm for an iterative design process, inspired by group critique.Able to function independently and in a team environment, with excellent collaboration skills.Excellent communication and presentation skills; both written and verbal.Previous experience working in branding, marketing and/or art direction is highly recommended.A deep understanding of the Apple design aesthetic, UI, and history.A passion for Apple, its products, and its customers is a requirement. Description We are looking for an extraordinary hands-on visual designer to work across all Apple Media Products. You will be responsible for bringing an uncompromising bar of quality to the look and feel of digital experiences and how they’re represented across platforms. You have experience working across a variety of design areas, including branding, visual design, art direction and interactive. You are a problem-solver responsible for conceptualizing, designing and implementing visual elements and new experiences based on product requirements. Deliverables include design mockups, production of visual assets and producing documentation required for implementation with engineering teams. You flourish in a dynamic, ever-changing, and deadline driven environment. You are a natural collaborator and a phenomenal communicator, able to develop and present design ideas in a large team environment. You will work closely with cross-functional teams such as Engineering, Production, Product Marketing, and Senior Management. Prior experience working within a technical environment is recommended. You should possess extraordinary visual and user interface design skills, as well as user-centered design principals. You have an affinity for consistency, color use, typography, and a keen eye for subtle details. While exercising a good eye for aesthetics, you are able to grasp and distill highly complex issues and translate them into clean, focused, understandable and systematic solutions. Interest in new and inventive visual approaches across a variety of mediums is required. You should be a self-starter, self-motivated, able to work independently, and perform multiple tasks under minimal supervision. Education & Experience Bachelors Degree in Graphic Design, Interaction, Media Arts or similar. Role Number: 200222024",Not Applicable,Full-time,Art/CreativeDesign,Consumer Electronics
2464814564,2021-03-25,Poshmark Graphic,Visual Designer,"Redwood City, CA","Poshmark is a leading social marketplace for new and secondhand style for women, men, kids, home, and more. By combining the human connection of physical shopping with the scale, ease, and selection benefits of ecommerce, Poshmark makes buying and selling simple, social, and fun.We are seeking a Visual Designer on a contract basis to support the creative team in executing design concepts and bring a fresh perspective while maintaining our brand standards. You’ll play a key role defining, evolving, and maintaining our company’s brand and marketing creatives that reflect our company’s mission and values.The Ideal Visual DesignerThe Visual Designer is an integral member of the team supporting work that meets the requirements of the creative brief and the business strategy—from ideation to execution. In this role, you will create designs for emails, social, events and web to inspire the Poshmark Community.Responsibilities Partner with Marketing to design and optimize existing and new campaigns. Collaborate closely with the team to create campaigns, brand events and launch product features. Create thoughtful and consistent email, social, web, and visual design. Balance exciting design with superior campaign performance and brand guidelines. Assist with off-line campaigns to support Community initiatives and Poshmark Events. Juggle multiple projects while effectively managing timelines and expectations. Desired Skills BA/BS in Visual Arts, Graphic Design, or other related discipline. 2+ years of professional design experience focused on online and performance marketing. Highly collaborative nature with the ability to also work independently. Strong understanding of effective, user-focused design. Ability to prioritize and manage work to adhere to critical project timelines in a fast-paced environment. Strong sense of typography and attention to detail. Solid working knowledge of Adobe Creative Suite (Photoshop, Illustrator, InDesign) Experience with Website builders, After Effects is a plus Passion for quality design and innovation. Please also include a link to your portfolio or samples of recent work. Please note this is a 6-month contract roleAbout UsPoshmark is a leading social marketplace for new and secondhand style for women, men, kids, pets, home, and more. By combining the human connection of physical shopping with the scale, ease, and selection benefits of ecommerce, Poshmark makes buying and selling simple, social, and sustainable. Its community of more than 70 million registered users across the U.S., Canada, and Australia is driving the future of commerce while promoting more sustainable consumption. For more information, please visit www.poshmark.com, and for company news and announcements, please visit investors.poshmark.com. You can also find Poshmark on Instagram, Facebook, Twitter, Pinterest, and YouTube.Why Poshmark?At Poshmark, we’re constantly challenging the status quo and are looking for innovative and passionate people to help shape the future of Poshmark. We’re disrupting the industry by combining social connections with e-commerce through data-driven solutions and the latest technology to optimize our platform. We’re nothing without our amazing team who deliver an unparalleled social shopping experience to the millions of people we connect each day.We built Poshmark around four core values: 1) focus on people to create empowered communities that drive success; 2) together we grow to support each other to strive for our dreams; 3) lead with love to foster genuine connections built upon a foundation of respect; and 4) embrace your weirdness to accept and empower one another on their own unique journey. We’re invested in our team and community, working together to build an entirely new way to shop. That way, when we win, we all win together. Come help us build the most connected shopping experience ever.Poshmark is an Equal Opportunity Employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.",Entry level,Contract,Information Technology,Internet
2481900216,2021-03-30,Planet Technology Graphic,Visual Designer,"Menlo Park, CA","Visual Designer IIIOur client's Global Business Marketing team is looking for a talented, versatile, and strategic Visual Designer to create intuitive, engaging digital experiences that are easy to use and inspiring. While you spend most of your time working in digital design. You are a design fundamentalist, but approach projects with a rational and innovative mindset. You will work with a highly cross-functional team of marketers, product leaders, and business leaders, all working together to bring their ideas to life.Location: San Francisco, CA or Menlo Park, CA Benefits: Health, Dental, Vision and moreWhat You'll DoExecute top-quality and cutting-edge visual design work for a digital platform.Work closely with art directors, creative Leads, stakeholders, writers, development teams, and strategists to implement a cohesive visual branding, voice, and tone.Ensure work across the team is on brief, on-brand, and of the highest quality.Develop style guide, visual design assets, user interfaces, infographics, and iconography.Responsible for the execution of production work with exceptional craftsmanship.Self-motivated, a great communicator, and comfortable receiving feedback.QualificationsDegree is nice to have, experience/portfolio speaks louder6+ years experience as a Visual Designer at a digital agency, advertising agencyExperience creating Picture perfect filesDigital experience and knowledge of digital design for Web, Responsive, Mobile and marketing channelsKnowledgeable around UX design and CMSExperience articulating conceptual and design decisionsExperience in Mac OSX, Adobe Creative Suite, Figma, Sketch, After Effects, and other prototyping tools.Portfolio available online",Entry level,Full-time,Information Technology,Information Technology and ServicesComputer SoftwareStaffing and Recruiting
2482392345,2021-03-30,GoFundMe Graphic,Senior Brand Designer,"Redwood City, CA","Senior Brand DesignerDo you believe that people should compassionately support one another to create a better world? We do!Serving as the world’s most trusted fundraising platform, GoFundMe is committed to inspire hope and change lives through giving. We envision a world in which need everywhere is met by a rising movement of people ready to help. Our customers have raised over $9 billion for their causes, making GoFundMe a top 200 website in the US based on traffic, with a monthly audience of over 100 million people.We are seeking a Senior Brand Designer to join our design team. GoFundMe is a storytelling platform at heart. We are looking for someone wildly creative to create exceptionally polished designs to better tell our story and the hugely important stories of our users.About The Role Partner closely with writers, a design director, and marketing stakeholders to create some of the most creative and innovative work out right now. Develop conceptually sound design work for marketing landing pages, social media, email, print, and out-of-home ads.  Use your extensive knowledge of brand identity, illustration, icon design, typography, and web design to help evolve the GoFundMe Brand. Work with other brand designers to contribute to, and evolve the GoFundMe brand book and visual language system. Partner with various media agencies on the placement of your creative assets within marketing campaigns. Collaborate with product designers to ensure that GoFundMe users have a cohesive, seamless experience through marketing pages and the products. About You 6+ years of experience at a brand studio, agency or in-house team. BA or BFA in graphic design, visual communications, or equivalent experience. Comprehensive portfolio that showcases your skill in conceptual thinking, typography, layout, icon design, and motion design. Experience crafting campaigns and brand experiences for web, email, social, out-of-home, and other brand-related projects. You are an excellent communicator that can clearly articulate your design decisions, ideas, and vision. You obsess over the details and refinement of your craft. Self-motivated and love a challenge. Why you’ll love it here We offer competitive pay and excellent benefits. Employees can choose from a wide range of health insurance options, including medical, dental, and vision. We cover 100% of employee premiums and 80% of premiums for spouses and dependents.  We provide generous parental leave, as well as a 401(k) retirement plan with company matching. Employees can enjoy perks such as complimentary lunches, commuter benefits, a $600 wellness stipend, paid volunteer time, and generous sick time and paid time off (Due to COVID-19 employees now get a work from home stipend)  We encourage our employees to support fundraisers by offering our Gives Back program. Employees can select a fundraiser every week to nominate to receive a donation from the company. Our Diversity, Equity, and Inclusion team is always finding new ways for our company to uphold and represent the experiences of all of the people in our organization. We offer employee resource groups for women, parents, and the LGBTQIA+ community. Your work has real purpose and will help change lives on a global scale. You’ll be a part of a fun, supportive team that works hard and celebrates accomplishments together.  We live by our core values: consider everything, do the right thing, spread empathy, delight the customer, and give back. We are a certified Great Place to Work and we’re growing fast and have incredible opportunities ahead! GoFundMe is proud to be an equal opportunity employer that actively pursues candidates of diverse backgrounds and experiences. We are committed to providing diversity, equity, and inclusion training to all employees, and we do not discriminate on the basis of race, color, religion, ethnicity, nationality or national origin, sex, sexual orientation, gender, gender identity or expression, pregnancy status, marital status, age, medical condition, mental or physical disability, or military or veteran status.Learn More About GoFundMeA Year in Giving: 2020GoFundMe HeroesWhy GoFundMeWe Support Justice + Equality",Entry level,Full-time,DesignArt/CreativeInformation Technology,Marketing and AdvertisingComputer SoftwareInternet
2444182442,2021-03-12,Imgur Graphic,Creative Designer,San Francisco Bay Area,"Hello internet friend, we are Imgur’s “find wonderful people” team (or “talent acquisition” if you wanna get technical), and we’re on the lookout for an incredible part-time Creative Designer. Sound good? Good.Imgur?Let us introduce ourselves… we are Imgur. The place where memes are born and selfies get downvoted into oblivion. We have a community of bajillions (this is a somewhat official estimate), who visit every day and leave with smiles on their faces. A community where anyone can post a picture of their dog and be internet-famous the very same day.Imgur’s mission is to lift the world’s spirits and we like to bring that mentality to our work every day. We see it as an honor and a privilege to work on a tech product that genuinely makes people happier. Or in the much more succinct and professional sounding words of our communications team... Imgur is the easiest way to discover and enjoy the internet’s most entertaining content. It’s where you’ll find the internet’s funniest, most informative and inspiring images, memes, GIFs, and visual stories. Powered by a passionate community, we put smiles on the faces of 250M people around the world each month.You?You are a wonderful person with a wonderful attitude who can dream up big ideas and design internet gold!You are a visual storyteller with an appreciation for your craft who can dive deep into the details while understanding how your work contributes to bigger-picture objectives. You have experience working across mediums and you react quickly to new information, opinions, and direction to strategically pivot when necessary.You are able to work three days a week (preferably Monday - Wednesday, but flexible), approximately 24-28 hours. You have a deep understanding of creative advertising and can weave magic out of the latest trends, internet speaks (ideally of the Imgur variety), and a brand’s objectives.  You are comfortable working on a number of different projects and are solutions-focused, energetic, and empathetic. Having a viral original post or two is a plus.More importantly - you’re excited about working with a tight-knit team to develop branded content campaigns that our highly-engaged community love. Responsibilities:Work closely with Creative and Integrated Marketing teams to ideate and execute on visual concepts on behalf of brand partnersDevelop and maintain a deep understanding of Imgur platform, community, and brand Support a wide range of design needs from branded content (GIFs to Static images) to advertising assets, marketing collateral, or eventsEnsure projects are completed with high quality and on scheduleRefine design work or perform revisions and updates based on creative or client directionAttend brainstorming sessions and client meetings as neededWhat you bring to the table:3+ years working with advertising clients at an agency, marketing, or media companyStrong portfolio and demonstrated track record of doing awesome, viral things on the internet, either for fun or for brands.Passion for visual and social advertising, with the ability to strategize, articulate, and champion ideasStellar communication, presentation, problem-solving and project-management skillsComfortable, adaptable, and can thrive in a fast-paced environmentYou speak fluent internet, better yet, you are familiar with Imgur and live for the lulzProficient in Photoshop and can work in Illustrator, After Effects, and Premiere (or comparable video and graphic design software)Thanks for taking the time to read this, we appreciate you - here take an imaginary upvote.Above all: As we grow, so will you.Interested? Click apply and let’s begin the journey together. Note: if you don't meet these requirements we are still open to hearing from you.",Entry level,Part-time,DesignArt/CreativeInformation Technology,Internet
