Job ID,Date,Company Name,Post,Location,Description,Level,Type,Function,Industry
2468054935,2021-03-29,Saatchi &amp;amp;amp; Saatchi Graphic,Junior Designer,"Sydney, New South Wales, Australia","We're looking for a passionate, ambitious creative thinker with a strong conceptual and innovative approach to their work. In this role, you'll will be involved in all aspects of graphic design supporting the other designers on the team in the delivery of a range of materials. The emphasis of the role will be on executing designs from pre-existing templates and previous examples. You'll be involved in developing new concepts and designing and delivering materials around these. Tasks and responsibilities of the positionYou will work under the day-to-day creative direction and mentorship of our Head of Design, ECD and Creative teamsDevelop all design assets from print, branding to finished artCreate illustrations and logos on new design projects as requiredResponsible for delivering high quality, accurate artwork meeting all internal and external deadlinesConceptualise and produce innovative design solutions across all outputsAssist in revisions as necessary and perform typesetting for forms and publicationsOccasionally deliver finished art in preparation for pre-press and digital ready states when the finished artists are at capacityResponsible for taking and questioning briefs effectively from the account teamWork within and help develop brand guidelinesWorks closely with Design team members on educating the wider team on best-practice design Pro-actively contributes ideas to the creative process and inspires colleaguesQualificationsThe ideal candidate will be:a team player with an entrepreneurial spirit and an open mind. Your #1 mission is to champion best-practice design craftinquisitive, social with great energy levels, resilience and a cool headpositive. We are the Nothing is Impossible company, a can-do attitude is a mustable to manage multiple tasks and to deliver within tight deadlinesable to work autonomously whilst also contributing to team projects and a cohesive familiar with a studio environmentattentive to detail and consistency whilst demonstrating proofreading skillsfluent with InDesign, Photoshop and Illustrator as well as all relevant file formatsBonus points for:Knowledge of graphic animation and video editing desirableKnowledge of photography and photography editing desirableA keen interest in cars would be extremely desirableAdditional InformationWhat we’ll offer you:Work in one of the world’s most progressive and dynamic modern communications businessesOpportunity to work with a diverse workforce where we value all the benefits of harnessing differences for our people, our clients and our business. A committed Diversity and Inclusion and Belonging strategy driven through our Viva! Women, Égalité and First Peoples RAP (reconciliation action plan) programs A creative, fun and rewarding office environment backed up by our Publicis Liberté flexibility approach “working your way, with us!”Open environment, where your input and feedback is valuedAccess to employee benefits including –wellness programmes, learning and development opportunities, network eventsConfidential 24 hour support via our employee assistance programmeSaatchi & Saatchi, as a part of Publicis Groupe, believes that our people are our greatest asset. Our people are chosen for their personalities, their ethics and professional qualities without any exclusion, preferential treatment or discrimination. We are proud to be an equal opportunities employer and do not discriminate by reason of age, gender, gender identity, race, sexual orientation, nationality, religion or disability or any other difference. We encourage applications from all qualified individuals and will provide appropriate assistance for candidates with disabilities or special needs throughout the recruitment process upon request.",Entry level,Full-time,Advertising,Marketing and Advertising
2469540091,2021-03-30,Pinpoint Talent Graphic,Graphic Designer,"Sydney, New South Wales, Australia","One of our Federal Government Clients is looking for a Graphic Designer within The Corporate Service Division. This is going to be a 12 month contract delivering key enabling services to support the efficient and effective operations. This role will require the following:Develop concepts to produce high quality marketing and communications assets.Produce and evolve brand identities and visual guides as needed.Establish and maintain systems for storage of finished art and asset libraries.Present ideas and final deliverables to internal and external teams and communicates with stakeholders about the benefit of each option.Follow all Agency policies, procedures and instructions and take reasonable care foryour own health, safety and wellbeing in the workplace.The ideal candidate will have experience with the following: High level competency with InDesign, Photoshop and Illustrator.Senior Graphic DesignerStrong experience in creating digital assets including 3D graphics, animation and ad units highly regarded.Experience with mark‐up language such as HTML and CSS for basic front‐end design and EDM creations.Experience with animation tools such as After Effects and Adobe Animate. (Desirable)Willingness to learn and adapt to new technologies.Due to the constrains of the role we can only consider citizens.",Mid-Senior level,Contract,DesignArt/CreativeInformation Technology,Hospital & Health CareGovernment AdministrationGovernment Relations
2480873925,2021-03-29,The Colour Club Graphic,Mid/Senior Designer,"Sydney, New South Wales, Australia","We’re looking for passionate and motivated designers to join our team in Surry Hills on a full-time basis.The core of our work starts with branding but we love working on all facets of design including packaging, printed matter, signage, illustration and digital projects. We are passionate about finding the unique stories in brands and bringing them to life through strategic thinking and strong conceptual development.Experience— At least 4 years experience in a similar studio— A solid understanding of brand, print & digital projects and be capable of developing them from concepts through to print / go-live.— Meeting and presenting clients with concepts and ideas on tight deadlines.Responsibilities:— Lead the conceptual development of creative projects with the drive to build unique and engaging brands— A typography and layout perfectionist— Work collaboratively, in a small team— Work closely with and manage clients on a range of different briefs and work on multiple projects at once— You are driven by creative problem solvingDesirable but not necessary: Illustration capabilities, photography skills, Spotify recommendations.* This position is in our studio so applicants must be Sydney based.If you think you’d be a great fit then we’d love to chat!Send your resumé along with a pdf to hi@thecolourclub.com.au",Associate,Full-time,DesignArt/CreativeInformation Technology,Graphic Design
2464886415,2021-03-25,160over90 Graphic,Junior Designer,"Sydney, New South Wales, Australia","Endeavor is one of the biggest names in culture and entertainment in the world. 160over90 is “the agency within the agency”, offering everything from brand strategy and activation, advertising, public relations, digital, sponsorship, influencer strategy, original content and business intelligence to major brand partners.Endeavor (formerly WME | IMG) is a global leader in sports, entertainment and fashion operating in more than 30 countries. Named one of Fortune’s 25 Most Important Private Companies, Endeavor is comprised of a number of industry-leading companies including WME, IMG and UFC.  At 160over90, we redefine what you expect from a creative agency. Led by experts from across the marketing landscape, our foundation is built on more than a century of cultural leadership. We know where audiences are turning their time and attention next, and every strategic idea is made to meet them there. 160over90 is looking for a Junior Designer where you will be working within a fun, energetic and supportive team driving sales opportunities across an extensive range of projects within a multitude of industries including; sport, entertainment, retail, culinary and fashion.The creative team here is like at any other agency – ideas. ideas. ideas. But it’s also unlike any other agency, in that creatives here need to be up on culture – because that’s what we’re selling. This is an agency that empowers brands and culture to intersect. In sports. Music. Film. Fashion. Culinary.The Junior Designer is responsible for supporting the team in all aspects of visual output at 160over90. This includes but is not limited to: graphic design projects (which span experiential/live events, content, digital, social and print), large-scale mock ups for a variety of clients/brands and business pitches. This role needs someone who is creative, highly organised, and able to work efficiently on multiple projects to meet tight deadlines. You need to be able to offer solutions to creative and visual problems for briefs and questions asked by other team members, working collaboratively across the process. We like to have fun when we work - so the Junior Designer needs to be someone that can be positive and have a good time, even when we are tackling a big workload. You’ll be able to:Collaborate with the client services, production and strategy teams across Asia Pacific to creatively solve our clients business challenges with break through creative ideasUnderstand and maintain clients brand requirements, goals and objectives while pushing creative boundaries50% of time will be spent working in Keynote or Powerpoint to develop presentations for client work and new business pitches50% of time will be spent visualising creative ideas and concepts bringing those to life, for example photoshop renders, sketch up, illustration, hand sketching etc.Assist the team with any other necessary design tasksBe responsible for seeing through the creative process, from initial briefing, working with internal stakeholders to final sign off and deliveryCollaborate, be a problem solver and contribute to the wider team creativity through sharing inspiration and contributing to creative ideation sessions You will have:A Bachelors Degree in Design or equivalent qualificationBe highly skilled in the Adobe Creative Suite (Photoshop, Illustrator & In-design etc.)Knowledge of sketch up or illustration skills beneficialThe ability to use initiative and if unsure ask the right questionsStrong typographical, colour, form and layout skillsExcellent time management skills and attention to detailThe ability to balance multiple projects at onceTake a profound interest in the world around you – culture, music, film, sport, art, entertainmentA desire to learn, grow and contribute in a creative, collaborative environmentThis is an incredible opportunity, so please submit a covering letter and your resume to Steph Tidey on stidey@160over90.com or hit Apply button now.Due to the volume of the applications, only successful applicants will be contacted. Please note, you must have the right to work in Australia to apply.Endeavor is an equal opportunity employer committed to a diverse and inclusive work environment. All qualified applicants will receive consideration for employment without regard to race, colour, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",Entry level,Full-time,DesignArt/Creative,Marketing and AdvertisingEvents ServicesEntertainment
2460808886,2021-03-22,deferit Graphic,Brand Designer,"Sydney, New South Wales, Australia","About the jobWe’re not just any company, we are a fast growing fintech startup where you can make your mark and be our Brand Designer. If you think this seems boring, you don’t know us yet.We are always iterating and challenging the status quo and we are looking for someone who wants to own the brand and make it stand out from the crowd of the new BNPL wave. If you are always thinking outside of the box, noticing how things can be done better and want the creative freedom you find within an agency then this is the role for you.You will work with a team of UX/UI, motion and communication designers under the guidance of our Head of Design on a major visual identity restyling that will shape how the deferit brand will look like in the future.What you'll be doingYou will be working on your own projects to deliver a fresh look & feel, engaging designs, stunning marketing campaigns and more. Create beautiful and engaging design assets for all our channels including website, app, marketing campaigns, social channels, presentations and pitch decks. These will include illustrations, lockups, infographics, patterns, typography, icons and assets for motion designs.Design and keep always up to date our brand guidelines and support the team (not only designers) to easily work with those guidelines. Come up with fresh and original visual ideas based on the latest design trends always following the brief requirements.Pitching ideas on how we can do things differently or better and then creating itPartner with senior designers, creatives, marketers and key stakeholders to take conceptual ideas and turn them into project and campaign deliverables.Support the team's scalability through documentation, ad hoc design projects, and process improvement as well as promote a culture for good design across the company.Who you areYou have 5 years experience working in a creative agency or design studio and currently working as a designer in some capacity.You are a conceptual designer: you think aesthetic is important as well as the idea behind it.Experience in design and creation of visual identities, brand guidelines and comms. You are a master of the Creative Suite: Illustrator, Photoshop and InDesign are the main tools you’ll be using but bonus brownie points for those familiar with After Effects.You design beautiful and clear presentations with both PowerPoint or Keynote and you’re able to prepare useful and simple to use templates for non designers.You’re someone who eats breakfast scrolling Dribbble shots and follows random stuff on Instagram. When you’re waiting for a train you don’t look at billboards: you deconstruct them by typography, colour palette, photography and layout.A person who takes initiative, loves making improvements and having autonomyWhat you'll love at deferitBe a part of a rapidly growing company with great options for further development and career growth and to contribute to our next success story.We are a fun, friendly, tight-knit team, who value ideas over hierarchy and know that everyone’s opinion matters. Being true to one of our values, we have the courage to be different and we are always looking for ways to do things better. Our office is located in Sydney CBD (Martin Place) but we’re embracing remote working  which means you can work from home in your avo patterned pj's or put something casual and pop in the office if you like. We’re super flexible about it.",Associate,Full-time,DesignArt/CreativeInformation Technology,Information Technology and ServicesFinancial Services
2468037132,2021-03-28,Jaxsta Music Graphic,Graphic Designer,"Sydney, New South Wales, Australia","We are seeking a Graphic Designer to join our Team. Jaxsta is a music company using technology to develop the world’s most comprehensive resource of official music credits.  About You:3+ years of design experienceAgency experience requiredBachelor's Degree in Graphic Design or equivalent professional experienceDemonstrated ability to create effective designsExperience with designing effective Digital Marketing Campaigns, which include static, animated and video assets, eDM, website landing pages, social media and other digital collateral.A portfolio that demonstrates a core range of skills  in designing effective digital marketing & advertising assets across multiple formats and platforms for both brand and tactical campaigns Your key skills:Adobe Creative Cloud skills: Photoshop (expert), inDesign (expert), Illustrator (expert), Animate (preferred), Premier (preferred), After Effects (preferred), Spark (preferred). Coding knowledge: HTML, SVG, CSS (preferred)High-end graphic design skills; with demonstrated knowledge of how to handle over colour, typography, image, grid, style, theme and compositionUnderstanding of how to work with branded assets, and how to develop a brand furthereDM skills: experience designing and building campaigns in Mailchimp or similarMotion Graphics skillsAbility to develop company-wide design principles and outcomes, and communicate them to team members and stakeholdersKnowledge of best practises for how to demo and visually sell digital productsComfort working in the Google Suite: Google Docs, Google Sheets, Google SlidesQuick and efficient with implementing designs, with an ability to be proactive in interpreting briefs and identifying opportunities to effectively communicate with customer baseStrong conceptualisation ability, strong visual communication ability, drawing skills and sketchbook techniqueAbility to work at a fast pace on multiple projects, ensuring deadlines are met In this role, you will:Work closely with our Sales and Marketing team to deliver amazing digital assets Collaborate with our entire Team and awesome users to synthesise feedback into innovative solutions Understand our brand, product and vision and ensure this is reflected in our entire visual presence and all assetsDeliver everything from fast mockups to in-depth brand asset explorationsDeliver and design our stunning Annual ReportCreating print designs for stationery, print media advertising and brochures.Execute top-quality design from concept to delivery complying with brand standards in execution of marketing materials.Develop digital storyboards and animation as demanded.Upgrade on latest software, design and advertising trends to help strengthen our design team.Lead and verify projects for completion and documented to ensure accuracy and consistencyProactively research and pursue ideas for professional development.Take responsibility for the timely execution of all project deliverables. We will offer a competitive salary and flexibility in work arrangements (part time). We love to have fun and our Team benefits and perks include a dynamo events calendar, doona days and birthday leave.Why Jaxsta?The evolution of digital music means we're losing the CD booklet and album 'jacket', and along with them the opportunity to discover and recognize the people behind the music. Jaxsta rectifies this. We are the official credit roll for the lost ‘Jacket Stars’ or ‘Jaxstas’ of the music industry.How is Jaxsta different to other music sites?We do not accept crowd-sourced information. Jaxsta delivers official data sourced exclusively and directly from the custodians of that data, such as major and independent record labels, publishers, royalty agencies and industry associations across the globe. The data is de-duplicated, cross-referenced, deep-linked and then made available online within a multi-functional, ever-evolving platform. Jaxsta also collates charts and awards information directly from their respective sources.Jaxsta is made by music people, for music peopleJaxsta is a music company with technology, not a tech company with a music department. Our team consists of seasoned music industry veterans – from musicians and performers to behind-the-scenes professionals – all with a shared passion for music and a common goal: to put the people behind the music back on the record.From BABYMETAL to Cola Boyy to John Hanes to Thelma Plum, music is a multi-faceted force that unites people from all backgrounds. It's what makes music so powerful and it's this magic that we celebrate at Jaxsta. Our mission has always been to recognise everyone behind the music and this extends to our workplace. Like in music, all are welcomed to thrive and contribute.... We like diversity in our playlist and we cherish diversity in our team to keep our ears, minds and hearts open. We encourage people from all backgrounds to apply, including First Nations peoples, people from culturally and linguistically diverse backgrounds, mature age workers, people with a disability and people of any, all or no genders and sexual orientation.",Associate,Part-time,DesignMarketingArt/Creative,Music
2469556730,2021-03-30,TPG Telecom Graphic,Visual Designer,"Sydney, New South Wales, Australia","Two of Australia’s leading telecommunication companies, Vodafone Hutchison Australia and TPG, have come together to form TPG Telecom Limited. TPG Telecom Limited has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and Felix. TPG Telecom is the second largest telecommunications company listed on the ASX. Combining a mobile network and a fixed line network delivering exceptional performance, TPG Telecom Limited is connecting Australia for the better.Vodafone is a telecommunications brand offering mobile and fixed broadband services. Our 4G mobile network covers more than 23 million Australians and our 5G mobile network rollout is underway. Vodafone nbn™ fixed broadband services are available in capital cities and selected regional centres.As a Visual Designer, you will design visual assets for Vodafone digital environments. Under the guidance of the Senior Visual Designer, you will work within an Agile delivery team to design and deliver Merchandising, Marketing Campaigns, Product Propositions, Devices Launches and Support Services. You will design experiences that are consistent with Vodafone’s brand and are useful, valuable, desirable and visually pleasing. Key Responsibilities and Tasks:   Design high quality visuals for Vodafone digital environments.Work with the wider digital experience design team to create deliverables that align to the Vodafone brand and digital style guide, ensuring consistent application across digital channels.Collaborate with stakeholders across the business to understand customer needs and business objectives in order to translate them into effective and engaging visual assets.Utilise data & performance to input into visual design solutions.Ensure best online practices are applied to all tasks and deliverables.Apply a customer centric mind set, advocating for the best customer online experience while planning and creating visual design deliverables.Work within agile delivery teams, using continuous design practices to test, measure and learn.Accountable for delivering high quality visual assets on time, proactively aligning with project team members and stakeholders on timelines, approvals and any blockers.Contribute to the alignment of team practices and quality outcomes.Manage multiple projects simultaneously.Adhere to Vodafone policies and procedures as introduced and varied from time to time.Knowledge & Experience Requirements:1-3 years of hands-on experience in digital design, particularly in visual design, UI design and prototyping.Strong technical ability in Adobe Creative Suite plus all relevant digital design applicationsStrong visual design skills with a passion for simple, elegant and innovative design.Experience in designing for mobile and desktop including responsive and adaptive web design Strong communication and negotiation skills with the ability to build strong relationships with a diverse range of stakeholders.Creative, flexible and energetic.Experience in a fast paced, dynamic organisation.Ability to be pragmatic, design around constraints and adapt to changing requirements.Previous experience working in an Agile environment is desirable, but not essential.We are committed to attracting, developing and retaining the best people by offering a flexible, diverse and inclusive workplace where hard work is truly rewarded. You will have access to fantastic benefits, including generous leave policies, leadership development programs and opportunities to grow your career. You’ll be faced with loads of variety where no two days are ever the same in a collaborative workspace that helps drive innovation.Ready?",Associate,Full-time,DesignInformation TechnologyArt/Creative,Telecommunications
2458243440,2021-03-20,Amazon Graphic,Visual Designer,"Sydney, New South Wales, Australia","DescriptionWe are looking for a Visual Designer to work on a new project with strategic significance and high exposure. This role requires excellent design skills and the ability to hit the ground running. As a foundational member of this growing team, you will be responsible for creating best-in-class designs that will scale globally. You should be an organized self-starter that can deal with ambiguity and an excellent collaborator who has no problem presenting–and defending–your ideas to other designers, product managers, and company leaders.You will need to apply customer data and insights to tailor your designs to customer needs and pain points. You will set the standard for design solutions with your world-class design talent, command of visual principals and keen attention to detail.If you enjoy designing highly innovative customer experiences and solving challenging problems, come join us!Basic Qualifications A portfolio of work listed on your resume demonstrating creative designs with measurable results Proficiency in Adobe Creative Cloud, including InDesign, Illustrator, and Photoshop Bachelor’s degree in Communication Design, Digital Design, Digital Advertising, or comparable degree program, or commensurate professional experience. 4+ years of experience as a visual designer, interaction designer or similar Experience with eCommerce, search, social, and other major application typesPreferred Qualifications Visual design expertise across multiple international markets. Experience as a lead across multi-disciplinary product teams. Experience designing for D2C audiences. Excellent communication, interpersonal, and analytical skills, including the ability to present design clearly and persuasively to colleagues, partners, stakeholders, and especially to senior executives. Ability to work efficiently and demonstrate a bias for action in a fast-paced, ambiguous environment. Knowledge of information architecture, usability, UI and UX design.Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon Support Services PtyLtdJob ID: A1485677",Not Applicable,Full-time,Information TechnologyConsultingEngineering,Computer SoftwareInformation Technology and ServicesInternet
2447298288,2021-03-19,I work for NSW Graphic,Senior Designer.,"Sydney, New South Wales, Australia","Senior Designer,  Temporary, SYDNEY CBDJob Title: Senior Product DesignerSalary: SNSW Grade 9/10 - The package includes a base salary starting at $111,806.00 plus employer’s contribution to superannuation and annual leave leading.Duration: 6month temporary role – with potential to extendLocation: Sydney CBDJoin Service NSW - One of the top 10 best places to work in Australia 2019 We’re in an exciting phase of growth at Service NSW. One of the most exciting things about working here is the work has real purpose. We are delivering value to close to 8 million residents in NSW.Be part of a fast paced environmentHave fun in a flexible working environment, where everyone welcomes, collaborates with and supports you Get an opportunity to create digital experiences of high social impact, helping customers, communities and businessesWe are seeking a senior designer to work in one of our product teams dedicated to digitising the omnichannel experience and improving internal systems for our customer service teams, with a focus on providing the best user experience. You will need to have experience designing enterprise software, understanding and solving problems from a wide range of perspectives, and working with a design system to create intuitive user flows and applications. You are encouraged and empowered to own the end-to-end design process through discovery, audits, research, framing and iterative development and collaborate closely with teams of other Designers, Engineers, Product Managers and other subject matter experts.We are passionate about work/life balance, with a flexible working environment and a leadership team who appreciate the balancing act.Your Responsibilities IncludeThe ability to think strategically about how your solutions will work for complex business transactions and technology requirements within Service NSW and other government agencies. Lead end to end product design through discovery, audits, research, framing and iterative development and delivery Conduct interviews with stakeholders and end-users and synthesize insights into actionable next steps Creates the User Experience designs (user interface design comps, visual design specs, prototypes, and other visual assets) for our in-house enterprise softwareCommunicate and present your ideas effectively Collaborate within a cross-functional team, other product teams and across NSW Government with partner agencies and customers to understand requirements Proactively seek to unify the customer’s experience and improve our product offeringWho Would Love This RoleSomeone who enjoys working in a highly collaborative environment. Our balanced product squads include a product manager, designer, engineers and other rolesSomeone who is inspired to create meaningful design solutions at scale Someone looking for a role that has real value and purpose Someone who enjoys to lead and influence. In this role, you will work with multiple product squad across the wider Service NSW and our partner agencies to deliver consistent and experiences collaboratively. Someone with a broad experience in UX design and delivery of complex product solutions for customer service delivery environments. Someone who has accessibility at the heart of everything they design. Someone who can't get enough of product and learning. Your Experience You Bring On Your First DayExtensive experience using Sketch or other prototyping software to help build out components, patterns, flows, templates and applications. Product Design experience working in a lean and agile environment and have successfully designed complex digital products Strong presenting, workshopping and facilitation skills Ability to break down complex problems into actionable stepsAccessibility is at the forefront of every interaction Empathy for the end user You are curious, flexible and have a learning mindset When Applying You MUSTProvide a portfolio of project work and resume that details your experience.Additional InformationA talent pool may be created for future ongoing and temporary roles and is valid for a period of up to 18 months. Employment to Service NSW is subject to a satisfactory national criminal record check.Working at Department of Customer ServiceThe Department of Customer Service is a great place to work! Our values of accountability, trust, service and integrity drive our initiatives and culture. We support innovative programs in areas as broad as digital government, consumer protection and major public works. We are an inclusive organisation that celebrates diversity and flexible work practices and believe our people are our greatest asset.Salary Grade 9/10, with the base salary for this role starting at $111,806 base plus superannuationClick Here to access the Role Description . For enquires relating to recruitment please contact Lucy Chen lucy.chen@service.nsw.gov.auClosing Date: Wednesday 7th April at 9:59am - Applications will be reviewed on a rolling basis, applications may close early or extendThe Department of Customer Service is proud to be an EEO Employer who are fully focused on equality and believe deeply in diversity of all identities making us different and a true reflection of our NSW customers. As an inclusive workplace, we support various employee resource groups, practice flexible work and workplace adjustment.If you do require an adjustment during the recruitment process, please notify us on your application form.",Not Applicable,Full-time,DesignArt/CreativeInformation Technology,Government Administration
2464828980,2021-03-25,Carter Murray Graphic,Creative Designer,Greater Sydney Area,"My client, is an award-winning multi-asset broker, empowering clients with the technology, resources and knowledge they need to trade the global financial markets. Reporting to the Head of Branding & Communications and managing a team of mid-level UI/UX designers and a studio manager, you will be instrumental in creating a strong and consistent brand image that embodies the value proposition and spirit of the brandThe roleAn understanding of animation techniques and how they assist the user experience.At least 5 years’ experience in delivering end-to-end UI/UX projects. Excellent visual design, typography, layout and colour sensibilities. Proficiency with Sketch, Adobe XD, Photoshop, Illustrator, InDesign or similar.Strong knowledge and experience of conceptual design, requirement gathering and prototypes.Highly creative mind with ability to offer own ideas and best-practice recommendations.Knowledge CRO practices would be well regarded. Other Skills: Create UI/UX architectures that lead to amazing customer experiences. Set the visual design and UI/UX standards for the creative team.Manage the creative team in the delivery of key assets including website, landing pages, banner ads, social media tiles, wireframes etc.Work with product team to understand and analyse business processes (especially in admin portal and CRM system).A/B testing and using data to drive design decisions.Assessing existing information architectures and identify areas for improvement. Excellent culture, excellent opportunity for career growth.Feel free to email stuartmilson@cartermurray.com.au for further information on the role",Mid-Senior level,Full-time,DesignArt/Creative,Financial Services
